interaction_name	pathway_name	ligand	receptor	lr_class	split	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
HLA-E_CD8B	MHC-I	HLA-E	CD8B	inhibitory	q4q1	4	53	0.0600358140890461	0.0544244969448333	0.0177525833802261	0.0007201066900451	5.327343589016686e-08	74.01438598057088	GSE131907+GSE205335+GSE207422+GSE325414
HLA-E_CD8A	MHC-I	HLA-E	CD8A	inhibitory	q4q1	4	71	0.0634902898215575	0.0430263662344377	0.0189871685505082	0.0008262367262058	8.427756666575947e-10	80.56096336968425	GSE131907+GSE205335+GSE207422+GSE325414
CDH1_KLRG1	CDH1	CDH1	KLRG1	barrier|inhibitory	q4q1	4	34	0.0425074758811031	0.0470331325055516	0.0129165013504865	0.000998519738621	1.6298145055770872e-09	86.49631035001603	GSE131907+GSE205335+GSE207422+GSE325414
LPAR3_ADGRE5	ADGRE	LPAR3	ADGRE5	other	q4q1	4	33	0.0200052104359472	0.0209669945362256	0.0061285353486391	0.0010974549319673	1.3334210962057114e-06	62.997140942838	GSE131907+GSE205335+GSE207422+GSE325414
COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	q4q1	4	67	0.104303858433824	0.0726408792342814	0.0319809800070315	0.0011085019923533	1.8774155505049736e-06	60.89138172972579	GSE131907+GSE205335+GSE207422+GSE325414
LAMC2_CD44	LAMININ	LAMC2	CD44	other	q4q1	5	72	0.1294266001683791	0.1105364320701169	0.0398575817641842	0.0011653556228266	1.2586533236265468e-11	87.14919352558566	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	barrier|inhibitory	q4q1	3	50	0.1345030388465876	0.1011977403602527	0.0416525781891204	0.0012415233336732	1.5631940186722204e-13	87.87678601552005	GSE205335+GSE207422+GSE325414
COL1A2_CD44	COLLAGEN	COL1A2	CD44	other	q4q1	4	18	0.0374325436551917	0.0314653970006134	0.0116177993725939	0.0012729936166237	0.0028076171875	0.0	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DRB1_CD4	MHC-II	HLA-DRB1	CD4	other	q4q1	4	51	0.010380303904689	0.0028876411863528	0.0032539762358864	0.0014225468338861	0.4762273413115154	0.0	GSE131907+GSE205335+GSE207422+GSE325414
GDF15_TGFBR2	GDF	GDF15	TGFBR2	other	q4q1	5	46	0.0511581867902166	0.0594592999952719	0.0161927038171087	0.0015812924726845	1.5631940186722204e-12	91.0965721201438	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
CD99_CD99	CD99	CD99	CD99	other	q4q1	5	77	0.0670535375558427	0.0439659927090406	0.0222212747887248	0.0025483722193826	1.3140773182632725e-08	83.93484673500782	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
APP_SORL1	APP	APP	SORL1	other	q4q1	5	60	0.0464478892447014	0.0250568224680346	0.0155618752473904	0.0028383509109838	3.54780095058651e-09	78.03422752247496	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	q4q1	5	76	0.0775113950451639	0.062949307508617	0.0264347725508647	0.0033659636852107	1.0618160360545578e-11	93.34165161406357	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
CXCL16_CXCR6	CXCL	CXCL16	CXCR6	recruit	q4q1	4	36	0.0331918167675329	0.0192766142596905	0.0113765914597387	0.0035278887018597	2.2060231010725877e-06	81.13614087771448	GSE131907+GSE205335+GSE207422+GSE325414
HLA-F_CD8B	MHC-I	HLA-F	CD8B	inhibitory	q4q1	4	50	0.0451007942865418	0.0199690242701424	0.016282202298311	0.0056065870719892	6.220717985172541e-08	68.67167938698957	GSE131907+GSE205335+GSE207422+GSE325414
NECTIN2_CD226	NECTIN	NECTIN2	CD226	barrier|inhibitory	q4q1	3	32	0.035878155120208	0.0334273898824998	0.0130101394313529	0.0058208311293032	2.0023435354232788e-08	85.78509427114052	GSE205335+GSE207422+GSE325414
JAG1_NOTCH1	NOTCH	JAG1	NOTCH1	other	q4q1	2	15	0.01017410009391	0.0049410658360023	0.0037243973581728	0.0063000074070146	6.103515625e-05	0.0	GSE205335+GSE207422
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	inhibitory	q4q1	4	31	0.0118159848156679	0.0138083247207683	0.0043261962727138	0.0063091879512996	0.0017087731951465	0.0	GSE131907+GSE205335+GSE207422+GSE325414
LAMA5_CD44	LAMININ	LAMA5	CD44	other	q4q1	5	81	0.0960228738446368	0.0732423714719759	0.0354460973349746	0.0067489804939597	1.0987528695504331e-10	91.83566403340876	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
HLA-C_CD8B	MHC-I	HLA-C	CD8B	other	q4q1	4	53	0.0314241791213359	0.025153905227677	0.0119351079265699	0.0084654393870824	3.179708546983036e-07	77.60801195236182	GSE131907+GSE205335+GSE207422+GSE325414
HLA-B_CD8B	MHC-I	HLA-B	CD8B	other	q4q1	4	53	0.0288871050151206	0.0278181128331376	0.0111508760958796	0.0095817633636044	4.62081818256095e-06	76.33463238409422	GSE131907+GSE205335+GSE207422+GSE325414
HLA-A_CD8B	MHC-I	HLA-A	CD8B	other	q4q1	4	53	0.0250421036979038	0.0204108633054994	0.0099380891556135	0.0117417952092297	2.4278480256853923e-06	79.57504307391281	GSE131907+GSE205335+GSE207422+GSE325414
IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	other	q4q1	4	50	0.0596820351184267	0.019463017948813	0.0239288457215525	0.0126260594561608	4.236403228219388e-08	78.18089111850756	GSE131907+GSE205335+GSE207422+GSE325414
PVR_TIGIT	PVR	PVR	TIGIT	barrier|inhibitory	q4q1	4	46	0.0317851590364452	0.0178033805352718	0.0129578182260304	0.0141681556623262	1.2563519931063638e-06	74.41092006357586	GSE131907+GSE205335+GSE207422+GSE325414
THBS1_CD47	THBS	THBS1	CD47	other	q4q1	5	54	0.0205423782417472	0.0170991785290266	0.0092614555351249	0.0265513734352592	0.0001955252025014	61.44753193619019	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
HLA-DQB1_CD4	MHC-II	HLA-DQB1	CD4	other	q4q1	4	50	0.0050291500754948	0.002282079243928	0.0022955240149969	0.0284626083995128	0.9010179923007228	0.0	GSE131907+GSE205335+GSE207422+GSE325414
COL4A5_CD44	COLLAGEN	COL4A5	CD44	other	q4q1	4	28	0.0519457096969917	0.0415916300811353	0.0239888704552043	0.0303563974825708	0.0298331901431083	67.29746757181613	GSE205335+GSE207422+GSE291670+GSE325414
LAMB2_CD44	LAMININ	LAMB2	CD44	other	q4q1	4	63	0.0591228421654098	0.0465038467704644	0.028104195718908	0.0354044827476729	2.2379334150786758e-06	83.65167146932629	GSE131907+GSE205335+GSE207422+GSE325414
HLA-C_CD8A	MHC-I	HLA-C	CD8A	other	q4q1	4	71	0.0264211206921271	0.0173024814037968	0.0129178907538429	0.0408240800407636	6.772803545959348e-07	83.93681579762033	GSE131907+GSE205335+GSE207422+GSE325414
COL4A4_CD44	COLLAGEN	COL4A4	CD44	other	q4q1	5	30	0.0392160614489004	0.031053384549452	0.0193627930536708	0.0428334062948558	4.4075772166252136e-05	64.71664709573453	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
LAMA3_CD44	LAMININ	LAMA3	CD44	other	q4q1	5	49	0.0606104351963625	0.0706971430951794	0.0299755230450557	0.0431766013855419	0.0009935353361556	80.0348943426591	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
LAMB1_CD44	LAMININ	LAMB1	CD44	other	q4q1	5	35	0.0237280018740469	0.0127149645263895	0.0118985879166873	0.0461316908655143	0.2418630408618763	0.0	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
SPP1_CD44	SPP1	SPP1	CD44	other	q4q1	4	41	0.0334421355617271	0.0205672722702259	0.0175890025594979	0.0572615010983561	0.2064557713110844	16.792087616465057	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DRA_CD4	MHC-II	HLA-DRA	CD4	other	q4q1	4	52	0.0093357357735463	0.0029982162230189	0.0049825240025896	0.0609723242902553	0.616455283857481	1.1887777097596164	GSE131907+GSE205335+GSE207422+GSE325414
PPIA_BSG	CypA	PPIA	BSG	other	q4q1	4	76	-0.0051065314374376	-0.0085436866343799	0.0027289095412374	0.061307418798217	0.0077872114981426	0.0	GSE131907+GSE205335+GSE207422+GSE325414
LPAR1_ADGRE5	ADGRE	LPAR1	ADGRE5	other	q4q1	5	37	0.0059225363353251	0.0042613316882166	0.0032516997053101	0.0685511908580521	0.0153458228611402	8.48221243878516	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
CLEC2B_KLRB1	CLEC	CLEC2B	KLRB1	other	q4q1	4	44	0.019765988430086	0.0204671319965376	0.0110866031045178	0.0746072274312227	8.179178018963285e-05	72.4675642759011	GSE131907+GSE205335+GSE207422+GSE325414
HLA-B_CD8A	MHC-I	HLA-B	CD8A	other	q4q1	4	71	0.0226665209739058	0.0142562187220635	0.0128540144894624	0.0778363039320458	3.608561553316718e-05	84.5164600700601	GSE131907+GSE205335+GSE207422+GSE325414
COL4A2_CD44	COLLAGEN	COL4A2	CD44	other	q4q1	5	20	0.0282182747113028	0.0156028482727451	0.0160543871433005	0.0788040987282873	0.8408222198486328	0.0	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
NECTIN3_TIGIT	NECTIN	NECTIN3	TIGIT	barrier	q4q1	3	21	0.0289601578488599	0.0126300785206465	0.0168121025610918	0.0849648679412656	0.0013742446899414	86.05772221540768	GSE205335+GSE207422+GSE325414
PVR_CD226	PVR	PVR	CD226	barrier|inhibitory	q4q1	4	26	0.0067688897042212	0.0065319649423964	0.004288313236819	0.1144621765237058	0.0010443925857543	74.87690169332389	GSE131907+GSE205335+GSE207422+GSE325414
FN1_CD44	FN1	FN1	CD44	other	q4q1	5	54	0.0497423313015016	0.046272752648064	0.0318411998014873	0.1182408142687313	0.0015548044386322	84.88763834307224	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
HLA-A_CD8A	MHC-I	HLA-A	CD8A	other	q4q1	4	71	0.0190265486362501	0.0122675025082342	0.0129922000294661	0.1430684857486194	4.085994994829218e-05	86.00142539290012	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DQA1_CD4	MHC-II	HLA-DQA1	CD4	other	q4q1	4	46	0.0028223691593526	0.0005497169912784	0.0020974833937691	0.1784322432252778	0.7950824064250241	0.0	GSE131907+GSE205335+GSE207422+GSE325414
TGM2_ADGRG1	ADGRG	TGM2	ADGRG1	other	q4q1	4	22	0.0280946804910328	0.0211394128302078	0.0212053610903785	0.1852090516668449	0.0046849250793457	75.34735728477406	GSE131907+GSE205335+GSE207422+GSE325414
PTN_NCL	PTN	PTN	NCL	other	q4q1	4	20	0.0190170043722103	0.0020488447470071	0.0165046440467231	0.2492300985035263	0.5705966949462891	0.0	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DMA_CD4	MHC-II	HLA-DMA	CD4	other	q4q1	4	52	0.005836540220553	0.0037185878677761	0.0050778278952393	0.250384194019941	0.2258111292280001	33.88042602969603	GSE131907+GSE205335+GSE207422+GSE325414
HLA-G_CD8A	MHC-I	HLA-G	CD8A	inhibitory	q4q1	3	16	0.0340321955825188	0.032858438988019	0.0355069491942693	0.3378279415538913	0.00762939453125	78.46645437913682	GSE131907+GSE205335+GSE325414
HLA-DQA2_CD4	MHC-II	HLA-DQA2	CD4	other	q4q1	3	15	-0.0039425442918905	0.0012551667482362	0.0048656468445868	0.4177783265905868	0.76153564453125	0.0	GSE131907+GSE205335+GSE325414
HLA-DMB_CD4	MHC-II	HLA-DMB	CD4	other	q4q1	4	45	0.0012814259035253	0.0008827186908789	0.0021288154148279	0.5472119654842289	0.5683001623108339	0.0	GSE131907+GSE205335+GSE207422+GSE325414
CLEC2C_KLRB1	CLEC	CD69	KLRB1	other	q4q1	3	18	0.0151783566609473	0.006136872584554	0.0259672082864796	0.5588704079274891	0.3037948608398437	61.15140518974948	GSE131907+GSE205335+GSE207422
CLEC2D_KLRB1	CLEC	CLEC2D	KLRB1	other	q4q1	4	44	0.0027617353471275	0.0017476848463222	0.0061912517995659	0.6555462557659628	0.1286787177920132	76.28684838810085	GSE131907+GSE205335+GSE207422+GSE325414
CD274_PDCD1	PD-L1	CD274	PDCD1	inhibitory	q4q1	4	15	0.0002980693201376	0.0011069212417138	0.0008309704492926	0.7198193303293687	0.01806640625	0.0	GSE131907+GSE205335+GSE207422+GSE325414
COL4A3_CD44	COLLAGEN	COL4A3	CD44	other	q4q1	4	17	0.0062354373995164	-0.0070013152645845	0.0183441509272785	0.7339211421385935	0.8899688720703125	47.61747957386977	GSE131907+GSE205335+GSE291670+GSE325414
HLA-DPB1_CD4	MHC-II	HLA-DPB1	CD4	other	q4q1	4	50	-0.0047976662107388	-0.009558675410525	0.016338548389417	0.7690323117855883	0.1688807175356323	56.275474956386695	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DPA1_CD4	MHC-II	HLA-DPA1	CD4	other	q4q1	4	50	-0.0041364183984424	-0.0106547444847402	0.014769816522241	0.7794323252691525	0.2079595183084759	62.1154265379088	GSE131907+GSE205335+GSE207422+GSE325414
MIF_CD74_CD44	MIF	MIF	CD74_CD44	other	q4q1	4	57	-0.0028540917212654	-0.0045757347744254	0.0134068103931716	0.8314176578986239	0.1680509414439949	51.83329916511398	GSE131907+GSE205335+GSE207422+GSE325414
MIF_CD74_CXCR4	MIF	MIF	CD74_CXCR4	other	q4q1	4	57	-0.0030042732531328	-0.004064650063685	0.0172416465420042	0.8616728052435696	0.1680509414439949	57.45897926417251	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DRB5_CD4	MHC-II	HLA-DRB5	CD4	other	q4q1	4	35	0.001143001449738	0.0012580620132323	0.0100788260015074	0.909708517263488	0.8778985550743528	36.96965722343932	GSE131907+GSE205335+GSE207422+GSE325414
SFTPD_ADGRE5	ADGRE	SFTPD	ADGRE5	other	q4q1	5	42	-0.0005753150167272	-0.004111844374806	0.0075245222778434	0.9390541888553396	0.07911272312061	69.907609279684	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
HLA-DOA_CD4	MHC-II	HLA-DOA	CD4	other	q4q1	3	27	-0.0001267266144131	-0.0011637775620912	0.015562228685385	0.9935027242154556	0.809337503179622	55.3416723190337	GSE205335+GSE207422+GSE325414
