interaction_name	pathway_name	ligand	receptor	lr_class	split	k_units	n_q1	n_q4	n_compared	mean_delta	se	p_meta	i2	units
CDH1_KLRG1	CDH1	CDH1	KLRG1	barrier|inhibitory	between_q4q1_given_cldn4	2	8	6	14	0.11883456614720463	0.06754380299477696	0.07851462001201268	38.732979953845685	GSE131907+GSE205335
LPAR1_ADGRE5	ADGRE	LPAR1	ADGRE5	other	between_q4q1_given_cldn4	2	5	4	9	-0.01138432979522659	0.006576706201102322	0.08345037159294558	0.0	GSE207422+GSE325414
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	between_q4q1_given_cldn4	4	17	18	35	0.11376680196373934	0.06868756580585383	0.09766229838071702	0.0	GSE131907+GSE205335+GSE207422+GSE325414
LAMB1_CD44	LAMININ	LAMB1	CD44	other	between_q4q1_given_cldn4	2	5	5	10	-0.030156563710740634	0.018308336554777038	0.09952736224135247	0.0	GSE207422+GSE325414
LGALS9_P4HB	GALECTIN	LGALS9	P4HB	inhibitory	between_q4q1_given_cldn4	4	16	18	34	0.06906038904016637	0.04825275742070896	0.1523667127648496	0.0	GSE131907+GSE205335+GSE207422+GSE325414
MDK_SDC1	MK	MDK	SDC1	other	between_q4q1_given_cldn4	1	2	4	6	0.17708182085657823	0.12509676187307672	0.15690472418132134	0.0	GSE325414
APP_CD74	APP	APP	CD74	other	between_q4q1_given_cldn4	4	21	20	41	0.0945127213747858	0.06923358444375359	0.17221274714706114	80.47752545591756	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DQB1_CD4	MHC-II	HLA-DQB1	CD4	other	between_q4q1_given_cldn4	4	15	12	27	0.04704265033990971	0.03465004052989177	0.17457456032784635	34.453954136118995	GSE131907+GSE205335+GSE207422+GSE325414
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	inhibitory	between_q4q1_given_cldn4	4	9	8	17	-0.024149763266308404	0.018169562619521965	0.18380413112609717	0.0	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DMB_CD4	MHC-II	HLA-DMB	CD4	other	between_q4q1_given_cldn4	4	13	11	24	0.026326573341719697	0.02017268789358377	0.19187232873895943	64.06230250380352	GSE131907+GSE205335+GSE207422+GSE325414
CADM1_CADM1	CADM	CADM1	CADM1	barrier	between_q4q1_given_cldn4	1	2	2	4	-0.23440957186971012	0.1799679160032686	0.19274293393610087	0.0	GSE291670
PPIA_BSG	CypA	PPIA	BSG	other	between_q4q1_given_cldn4	4	21	20	41	-0.09244944273901753	0.07177796712157274	0.19774877074692543	73.71228142760967	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DOA_CD4	MHC-II	HLA-DOA	CD4	other	between_q4q1_given_cldn4	1	2	3	5	-0.14635088404971525	0.11699758169272813	0.21097530176969592	0.0	GSE325414
JAG1_NOTCH1	NOTCH	JAG1	NOTCH1	other	between_q4q1_given_cldn4	1	2	2	4	0.011257228643289149	0.009355688104680964	0.2288797183028839	0.0	GSE205335
CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	between_q4q1_given_cldn4	4	20	19	39	0.07695864482168234	0.0646023264450656	0.2335486313456433	0.0	GSE131907+GSE205335+GSE207422+GSE325414
GDF15_TGFBR2	GDF	GDF15	TGFBR2	other	between_q4q1_given_cldn4	3	9	10	19	0.06373853758836821	0.05398585143859913	0.23774074600508655	35.40051407145878	GSE205335+GSE207422+GSE325414
HLA-DRB1_CD4	MHC-II	HLA-DRB1	CD4	other	between_q4q1_given_cldn4	4	15	13	28	0.08729941651519178	0.07634001237748257	0.25280598461315507	49.28685536096904	GSE131907+GSE205335+GSE207422+GSE325414
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	between_q4q1_given_cldn4	4	17	18	35	0.09776669930330543	0.08621409722915697	0.25679497107796323	0.0	GSE131907+GSE205335+GSE207422+GSE325414
COL1A1_SDC1	COLLAGEN	COL1A1	SDC1	other	between_q4q1_given_cldn4	1	2	4	6	0.02921245320032855	0.026669466366966495	0.273362456378925	0.0	GSE325414
LAMA5_CD44	LAMININ	LAMA5	CD44	other	between_q4q1_given_cldn4	5	22	21	43	0.05048822113595483	0.050354108359678185	0.3160232980847736	0.0	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
HLA-C_CD8A	MHC-I	HLA-C	CD8A	other	between_q4q1_given_cldn4	4	21	17	38	0.10652274553942334	0.10633680794407109	0.3164650410834138	68.68052727582035	GSE131907+GSE205335+GSE207422+GSE325414
IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	other	between_q4q1_given_cldn4	3	9	9	18	-0.04835398075909879	0.048718321314835826	0.32094320269516896	0.0	GSE131907+GSE205335+GSE325414
LAMC2_CD44	LAMININ	LAMC2	CD44	other	between_q4q1_given_cldn4	4	18	17	35	0.05802779503268738	0.06056250352340623	0.33798852201158636	0.0	GSE131907+GSE205335+GSE207422+GSE325414
HLA-A_CD8A	MHC-I	HLA-A	CD8A	other	between_q4q1_given_cldn4	4	21	17	38	0.10348962364536311	0.10803978583265818	0.33812106197823155	68.95186416058333	GSE131907+GSE205335+GSE207422+GSE325414
APP_SORL1	APP	APP	SORL1	other	between_q4q1_given_cldn4	4	15	15	30	0.04922583641507688	0.052537503142921174	0.3487762212572524	0.0	GSE131907+GSE205335+GSE207422+GSE325414
TNC_SDC1	TENASCIN	TNC	SDC1	other	between_q4q1_given_cldn4	1	2	4	6	-0.033006498436473825	0.03555121922743607	0.35318923050014817	0.0	GSE325414
CLEC2D_KLRB1	CLEC	CLEC2D	KLRB1	other	between_q4q1_given_cldn4	4	15	10	25	0.013593768111040168	0.014877918128403767	0.3608810637796406	91.39530536868405	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DMA_CD4	MHC-II	HLA-DMA	CD4	other	between_q4q1_given_cldn4	4	15	13	28	0.06139086950778497	0.07354480688544474	0.40386352203648024	86.47877521473085	GSE131907+GSE205335+GSE207422+GSE325414
SFTPD_ADGRE5	ADGRE	SFTPD	ADGRE5	other	between_q4q1_given_cldn4	1	3	4	7	0.14904667797429763	0.1925690724259781	0.43893627002012325	0.0	GSE325414
PLAU_PLAUR	PLAU	PLAU	PLAUR	other	between_q4q1_given_cldn4	1	2	2	4	-0.028921691742889742	0.03747887375150941	0.440304066858902	0.0	GSE325414
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	barrier|inhibitory	between_q4q1_given_cldn4	3	15	11	26	0.033630836992102224	0.04553365936642932	0.4601542438641988	0.0	GSE205335+GSE207422+GSE325414
HLA-E_CD8A	MHC-I	HLA-E	CD8A	inhibitory	between_q4q1_given_cldn4	4	21	17	38	0.04768743414559024	0.06574562385949195	0.4682481054732499	39.531052191853284	GSE131907+GSE205335+GSE207422+GSE325414
COL6A2_CD44	COLLAGEN	COL6A2	CD44	other	between_q4q1_given_cldn4	2	5	8	13	-0.05597733916366954	0.08381791621214078	0.5042328209063428	0.0	GSE131907+GSE325414
COL9A2_CD44	COLLAGEN	COL9A2	CD44	other	between_q4q1_given_cldn4	2	6	7	13	0.07272920131489806	0.11280284598176499	0.5190917001789064	88.31596682420927	GSE131907+GSE325414
LAMC1_CD44	LAMININ	LAMC1	CD44	other	between_q4q1_given_cldn4	5	20	21	41	0.01973320872641054	0.033706875577152504	0.558254781467242	0.0	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
HLA-E_KLRK1	MHC-I	HLA-E	KLRK1	inhibitory	between_q4q1_given_cldn4	1	6	5	11	-0.07321070217415515	0.13513527971483155	0.5879848035151156	0.0	GSE205335
NECTIN2_CD226	NECTIN	NECTIN2	CD226	barrier|inhibitory	between_q4q1_given_cldn4	2	9	6	15	0.008496955773759978	0.016013662839726266	0.5956913959964861	0.0	GSE205335+GSE325414
HLA-B_CD8A	MHC-I	HLA-B	CD8A	other	between_q4q1_given_cldn4	4	21	17	38	0.04419839115684637	0.08982937382676351	0.6227009345896104	52.128122869891804	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DRB5_CD4	MHC-II	HLA-DRB5	CD4	other	between_q4q1_given_cldn4	2	8	5	13	-0.01902366475503646	0.041677090475087025	0.6480637128792361	0.0	GSE205335+GSE325414
CD99_CD99	CD99	CD99	CD99	other	between_q4q1_given_cldn4	4	20	19	39	0.028089680698567404	0.0637164587066801	0.6593184130062517	51.137243522672584	GSE131907+GSE205335+GSE207422+GSE325414
LAMA3_CD44	LAMININ	LAMA3	CD44	other	between_q4q1_given_cldn4	4	13	12	25	-0.09176988779069929	0.2139955052019095	0.6680394788283797	92.76050169763288	GSE205335+GSE207422+GSE291670+GSE325414
CXCL16_CXCR6	CXCL	CXCL16	CXCR6	recruit	between_q4q1_given_cldn4	3	7	8	15	-0.012092326204855836	0.028580489066927915	0.6722243118459634	0.0	GSE131907+GSE205335+GSE207422
HLA-F_CD8A	MHC-I	HLA-F	CD8A	inhibitory	between_q4q1_given_cldn4	4	19	16	35	0.0304169673428837	0.07450869204453982	0.683102027195844	40.559007521257925	GSE131907+GSE205335+GSE207422+GSE325414
PVR_TIGIT	PVR	PVR	TIGIT	barrier|inhibitory	between_q4q1_given_cldn4	4	12	12	24	-0.004611589829083556	0.01142706651744763	0.6865309714463046	0.0	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DQA1_CD4	MHC-II	HLA-DQA1	CD4	other	between_q4q1_given_cldn4	4	14	11	25	0.013355467977817972	0.0342412746446725	0.6965069426971218	53.86452110368736	GSE131907+GSE205335+GSE207422+GSE325414
LPAR2_ADGRE5	ADGRE	LPAR2	ADGRE5	other	between_q4q1_given_cldn4	4	15	17	32	0.0026742907285193947	0.00705021071935004	0.7044497442568114	0.0	GSE131907+GSE205335+GSE207422+GSE325414
FN1_CD44	FN1	FN1	CD44	other	between_q4q1_given_cldn4	3	12	15	27	0.027496316360560158	0.07859984765995141	0.7264688455182648	0.0	GSE131907+GSE205335+GSE325414
NECTIN3_TIGIT	NECTIN	NECTIN3	TIGIT	barrier	between_q4q1_given_cldn4	1	2	2	4	-0.015636462758047365	0.04612061254765391	0.7345840026952958	0.0	GSE205335
HLA-DPA1_CD4	MHC-II	HLA-DPA1	CD4	other	between_q4q1_given_cldn4	4	14	13	27	0.026371952209180684	0.09113422631857475	0.7722945461281707	74.25490391985728	GSE131907+GSE205335+GSE207422+GSE325414
MIF_CD74_CXCR4	MIF	MIF	CD74_CXCR4	other	between_q4q1_given_cldn4	4	18	16	34	-0.009279580067451457	0.033103909643306687	0.7792345079432577	0.0	GSE131907+GSE205335+GSE207422+GSE325414
COL4A4_CD44	COLLAGEN	COL4A4	CD44	other	between_q4q1_given_cldn4	2	4	4	8	-0.014682356929327067	0.055567719055196634	0.7916068759483071	64.38350493426164	GSE205335+GSE325414
HLA-B_CD8B	MHC-I	HLA-B	CD8B	other	between_q4q1_given_cldn4	3	13	10	23	-0.05598496648209767	0.22618574553016849	0.8045076258353882	69.55644946707852	GSE131907+GSE205335+GSE207422
HLA-DRA_CD4	MHC-II	HLA-DRA	CD4	other	between_q4q1_given_cldn4	4	15	13	28	0.02923880975436032	0.12216981952915368	0.810850295796695	74.84984414988314	GSE131907+GSE205335+GSE207422+GSE325414
LAMB2_CD44	LAMININ	LAMB2	CD44	other	between_q4q1_given_cldn4	4	14	16	30	0.011086427770289979	0.050601473155110474	0.8265776156309348	59.99530293937584	GSE131907+GSE205335+GSE207422+GSE325414
HLA-DPB1_CD4	MHC-II	HLA-DPB1	CD4	other	between_q4q1_given_cldn4	4	14	12	26	0.018356007076685207	0.08828536477898427	0.8352939618700492	80.31981832747618	GSE131907+GSE205335+GSE207422+GSE325414
MIF_CD74_CD44	MIF	MIF	CD74_CD44	other	between_q4q1_given_cldn4	4	18	16	34	-0.005142502651310331	0.028267773665557588	0.8556446961582704	0.0	GSE131907+GSE205335+GSE207422+GSE325414
PVR_CD226	PVR	PVR	CD226	barrier|inhibitory	between_q4q1_given_cldn4	2	5	5	10	-0.0007528414081702371	0.004329876584909607	0.8619665833656631	14.763299325825002	GSE205335+GSE325414
CLEC2B_KLRB1	CLEC	CLEC2B	KLRB1	other	between_q4q1_given_cldn4	3	15	8	23	-0.005011005333232212	0.03254688357339828	0.8776391638271991	0.0	GSE131907+GSE205335+GSE325414
HLA-A_CD8B	MHC-I	HLA-A	CD8B	other	between_q4q1_given_cldn4	3	13	10	23	-0.035630481816067885	0.23565258554067992	0.8798185833416036	68.63262006004817	GSE131907+GSE205335+GSE207422
HLA-E_CD8B	MHC-I	HLA-E	CD8B	inhibitory	between_q4q1_given_cldn4	3	13	10	23	-0.020010858209982437	0.1750029349700343	0.9089636429498114	66.01433563203207	GSE131907+GSE205335+GSE207422
HLA-C_CD8B	MHC-I	HLA-C	CD8B	other	between_q4q1_given_cldn4	3	13	10	23	-0.024741455931897218	0.25161322674911824	0.9216692240188532	73.9193472698331	GSE131907+GSE205335+GSE207422
HLA-F_CD8B	MHC-I	HLA-F	CD8B	inhibitory	between_q4q1_given_cldn4	3	12	10	22	-0.007667604518688294	0.12374908872915362	0.9505939719534515	65.34726803708418	GSE131907+GSE205335+GSE207422
COL4A5_CD44	COLLAGEN	COL4A5	CD44	other	between_q4q1_given_cldn4	1	2	2	4	-0.009995562704304572	0.17797297021174582	0.9552116574320959	0.0	GSE207422
BAG6_NCR3-PS	BAG	BAG6	NCR3	other	between_q4q1_given_cldn4	2	4	5	9	0.0004311266400401281	0.007685721514309275	0.9552665321891598	0.0	GSE131907+GSE205335
COL9A2_SDC1	COLLAGEN	COL9A2	SDC1	other	between_q4q1_given_cldn4	1	2	3	5	0.0011815500531369468	0.076218556948905	0.9876315844194767	0.0	GSE325414
