cohort	gene	row	found	n_obs
OV	OCLN	ENSG00000197822.11	True	83
OV	TJP1	ENSG00000104067.16	True	62
OV	TJP2	ENSG00000119139.20	True	29
OV	TJP3		False	0
OV	F11R	ENSG00000158769.18	True	83
OV	JAM2	ENSG00000154721.15	True	7
OV	JAM3	ENSG00000166086.13	True	83
OV	MARVELD2	ENSG00000152939.17	True	21
OV	MARVELD3	ENSG00000140832.9	True	22
OV	CGN	ENSG00000143375.15	True	83
OV	CGNL1	ENSG00000128849.10	True	76
PDAC	CLDN1	ENSG00000163347.6	True	75
PDAC	CLDN3	ENSG00000165215.6	True	105
PDAC	CLDN4		False	0
PDAC	CLDN7		False	0
PDAC	OCLN	ENSG00000197822.11	True	105
PDAC	TJP1	ENSG00000104067.16	True	105
PDAC	TJP2		False	0
PDAC	TJP3	ENSG00000105289.15	True	105
PDAC	F11R	ENSG00000158769.18	True	105
PDAC	JAM2	ENSG00000154721.15	True	21
PDAC	JAM3	ENSG00000166086.13	True	87
PDAC	MARVELD2	ENSG00000152939.17	True	86
PDAC	MARVELD3	ENSG00000140832.9	True	68
PDAC	CGN	ENSG00000143375.15	True	105
PDAC	CGNL1	ENSG00000128849.10	True	105
UCEC	CLDN1	ENSG00000163347.6	True	6
UCEC	CLDN3	ENSG00000165215.6	True	95
UCEC	CLDN4	ENSG00000189143.9	True	89
UCEC	CLDN7		False	0
UCEC	OCLN	ENSG00000197822.11	True	95
UCEC	TJP1	ENSG00000104067.16	True	95
UCEC	TJP2	ENSG00000119139.20	True	6
UCEC	TJP3	ENSG00000105289.15	True	95
UCEC	F11R	ENSG00000158769.18	True	95
UCEC	JAM2	ENSG00000154721.15	True	95
UCEC	JAM3	ENSG00000166086.13	True	95
UCEC	MARVELD2	ENSG00000152939.17	True	95
UCEC	MARVELD3	ENSG00000140832.9	True	94
UCEC	CGN	ENSG00000143375.15	True	95
UCEC	CGNL1	ENSG00000128849.10	True	95
