sample	CLDN4_protein	TJ15_protein	TJ7_protein	TJ15_RNA	TJ7_RNA	CD8_RNA	CYT_RNA	GEP18_RNA	ImmuneScore	StromalScore	ESTIMATEScore	CD8_CIBERSORT	CD8_xCell	Immune_xCell	WES_purity	WGS_purity
C3N-01488	22.7616095643611	-0.38610321183995383	-0.39034465418900105	-0.05969624043755005	-0.15192234076383676	0.16355264666641084	0.23657466476107356	0.5124707747966939	9111.416	8928.03	18039.445	0.133870432	0.004657962	0.1223354	0.35	0.21
C3N-01413	22.9881347041029	0.4163586919952641	0.32567800195404595	0.024428288275751064	-0.3313231074060938	0.2758997690779882	-0.03347170598253954	0.7177787521073881	8952.236	7914.501	16866.737	0.107477413	0.0291269	0.1047151	0.27	0.1325
C3N-01030		-0.34538649967618396	-0.1058222110690087	0.1492267594291724	0.3424782189578342	-0.11265398444670642	-0.13387553028912985	0.2669574454470285	8697.712	8587.047	17284.759	0.157003227	0.01917851	0.1386716	0.32	0.32
C3N-02588		-0.4628348248185974	-0.6795346787628256	-0.37858323780580067	-0.418747480424006	-0.6819025319898249	-1.3727462056189275	-0.7338761451341839	7087.149	6634.625	13721.775	0.078316398	2.160139e-18	0.02073073	0.22	0.22
C3N-00552		-0.3467945135084809	0.04500915934926686	-0.16447024594754212	-0.2349559990546566	-1.021708290940763	0.4799037883913929	-0.04480054970726189	9182.698	7720.331	16903.029	0.0702072	0.0004545691	0.1310824	0.35	0.36
C3L-01889		0.7324252744975891	0.8005293909535875	0.44408629085090773	0.443796557565514	-0.5718998986262555	-1.2258104230030091	-0.9790336414380446	6086.455	6059.466	12145.922	0.126343394	0.004254233	0.01057726	0.52	0.52
C3N-00169		0.22456940557605384	0.02295218156718999	-0.15583364721298795	-0.20650078767383676	-0.23657093066870183	-0.2545036141576205	-0.3576510774839154	7777.296	7293.89	15071.187	0.1988377862	1.5005010000000001e-18	0.04384752	0.42	0.28
C3L-00422		0.030162171116028345	0.20352100692588837	-0.3412403124665099	-0.16314791068622206	-0.790753686387557	-1.4221436785418	-0.5655818854323864	8202.736	5339.794	13542.531	0.008082118	0.0277532	0.09577877	0.56	0.5675
C3L-00083		-0.31941768215213134	-0.5233014808863536	-0.38487332569009536	-1.134535082032642	0.35812906239311265	-0.9229383751327549	0.10970691801056177	9412.821	9161.682	18574.503	0.23071142	0.005572736	0.2324115	0.33	
C3N-00551		-0.19608952342273664	-0.7221010192188333	-0.0985696886797638	-0.42932828252044003	-0.5195243509982733	-0.8533494980719838	-0.3692964870039824	8248.138	7974.233	16222.37	0.145992839	0.0	0.07689126	0.27	0.18
C3N-01842		-0.06746543664780542	0.0020910235476997996	0.021415321753748672	-0.07154009992208128	-0.6253547664942563	-0.5179745511287861	-0.414417963992461	7193.706	6756.418	13950.124	0.1174142	0.001026559	0.02851079	0.46	0.2925
C3N-02089	22.5664900184424	-0.898598233274397	-0.12997790287581243	-1.0991677063998422	-0.5589751547097864	1.2058643223293495	0.3792585887166702	-0.12014422949645016	7793.194	5024.051	12817.245	0.150037036	4.0648109999999996e-20	0.02964308	0.27	0.27
C3L-01682	22.5812742648168	0.4949168622688526	0.4868871691619992	0.40905622410259074	0.6769066452817899	0.4177880411282475	1.179498377498336	0.8314522876629202	9994.354	8150.673	18145.027	0.1111751	0.0358848	0.134129	0.24	0.13
C3N-01016	22.8077305689692	0.13076973288285149	0.30070480265932004	0.24378662283595923	0.20303718798346693	-0.5802660041931142	-0.7760499841506293	-0.7794176648730093	7215.226	7357.264	14572.491	0.10023341	0.008436138	0.03600047	0.46	0.4
C3N-00580	22.956394458931	-0.34987118735298106	-0.14801840954419315	-0.23974643755420733	-0.09095129444609491	-0.20912051221228695	0.5144249091185957	-0.04398536246305961	7017.657	6032.423	13050.08	0.15878486	0.01937581	0.03544304	0.74	0.42
11LU013	24.2288100347116	0.019563856041246032	-0.022506708721474904	-0.07475422147856288	-0.3212515998593936	-0.3638041619850796	-0.6611094142110677	-0.4453010096009565	7328.733	8316.18	15644.913	0.13194913	0.002133852	0.03184285	1.0	0.335
C3N-02000	22.6138202897042	-0.2359978606338327	-0.3915072716900056	0.22013496673515567	0.1792812709892646	-1.0217444416962176	-0.2444927719562408	-0.19921406715066903	8114.258	7664.137	15778.395	0.066900382	0.03299996	0.09431262	0.28	0.33
C3N-01489	23.4378993502263	0.02848998107345018	0.1772936564805928	-0.113188706115229	-0.31831730186864016	0.8658776611522212	0.9419838848881477	0.7527202817790078	9632.214	8544.042	18176.256	0.224695418	0.0201398	0.1643667	0.23	0.12
C3N-00737	22.8389478624937	-0.3008401441881573	-0.2559792297308187	-0.4563273479148798	-0.9071048558460469	1.358558898630398	1.0442857649187278	0.7462738133174144	9145.274	7504.5	16649.775	0.1729654214	0.1222861	0.2272532	0.25	0.235
C3N-01405	22.74180487393	0.13189652703826465	0.2019889613101761	-0.2391273034087302	-0.09856408294093107	1.3849169425946006	0.6431156482780692	0.5399690557448947	8478.652	6462.058	14940.711	0.344660321	0.07239694	0.1204301	0.26	0.2625
C3N-01416	22.8022385013355	0.026823770447506775	0.22226488619991508	0.10030156047242521	0.13168415640884837	0.49061880761684273	0.9706887902240805	0.910227166753098	9556.236	8724.056	18280.292	0.23290655	0.0275743	0.1356237	0.34	0.125
C3N-02149	23.4279584707319	-0.21212993266809035	-0.6187501447034143	-0.1318493456144111	-0.2415694130457854	-0.28360522280963996	-0.5883772878970105	-0.6917247343776499	7484.389	7231.349	14715.738	0.098730667	1.179804e-20	0.03793382	0.19	0.1825
C3N-02424	22.4020229349542	-1.2952161187149231	-1.6160307173833033	-1.322378688475269	-1.2132093971562383	-0.03492395197832529	0.2558286512827805	0.917752341542209	9810.899	7672.153	17483.052	0.149237578	0.007568773	0.259218	0.25	0.12
C3L-00279	23.2860645112057	-0.08537188751801567	-0.2480972484649258	0.17881549284913895	0.1960437442132764	0.44315811627841417	0.4502738401474264	0.6352658944573963	9568.736	9421.784	18990.52	0.1348872	0.04644201	0.1581967	0.25	0.09
C3N-02379	23.5417998945134	-0.3952128704178604	-0.5761715185799191	-0.5204809271372107	-0.2719376949037902	0.1597162063382964	0.49503832634466954	0.6755524854701389	8719.779	7028.77	15748.549	0.131554613	0.01520101	0.07925115	0.38	0.225
C3L-00095	22.7377013762395	-0.3331701402866137	-0.4793976175819738	-0.5236588441185234	-0.7985667609591195	0.7940580415724015	0.6196116108428404	0.3344051193022719	9895.047	9185.232	19080.278	0.255908532	0.08355455	0.2748869	0.24	0.06
C3N-00559	23.5373723891433	0.5522792236779783	0.7768709123618822	0.24255650593005684	0.13496674896532304	0.6024586137405303	0.6634401890296489	0.17232678983957575	8231.303	7145.504	15376.807	0.168639889	0.03885995	0.07752763	0.43	0.33
C3N-02572	23.2219729497678	0.3703802899005511	0.40413194428598764	0.23411579012920664	0.37773061922206913	-1.1171303392634748	-1.299250593004243	-0.16644414214624123	7861.555	7511.233	15372.788	0.107502392	0.01291242	0.08586806	0.36	0.3
11LU016	23.1247733514201	-0.2379239326395959	-0.514653352686038	-0.4109570381722276	-0.3823043355288681	0.5106908422885592	0.6726290275474316	0.4516368025024481	8959.895	7605.276	16565.172	0.32361854	0.01121403	0.09794161	0.26	0.22
C3L-02345	23.0881877526733	-0.742562841522135	-0.8672060469630971	-0.05924077616102039	-0.3019994904891049	0.14940952293724574	0.040758096774915056	0.26154548754137635	8658.056	8443.532	17101.588	0.17916301	0.01835867	0.09240722	0.36	0.255
C3L-00510	23.1292447486031	-0.482887263508926	-0.16907351352907626	0.06939222002084654	0.48733260958316776	-0.8905944796112271	-1.1114933816897001	-0.5519971777352297	6027.041	3454.977	9482.018	0.134907437	0.02022582	0.02025181	0.81	0.6675
C3L-00093	22.6538741788685	-0.9422379757347908	-0.8498728181655453	0.18756329320209175	0.4795724829797465	-0.03920185488559092	-0.12245409835655807	0.5643322768046259	9279.385	8820.757	18100.142	0.098940802	0.02552148	0.1454568	0.24	0.15
C3L-00913	22.2374648973275	-0.8531027838120572	-1.160221126169354	-0.7206257564928157	-0.7026680988080819	1.1868641821568005	0.9266367085741611	0.455238853928622	9537.491	8049.067	17586.557	0.233668273	0.02784945	0.1176151	0.24	0.135
11LU022	22.6898994877278	-0.5416814959446583	-0.6126060671023247	-0.147007991853863	-0.42718526296046583	0.6863661805696075	0.6385332400201418	0.045496040785761305	7824.536	8028.834	15853.37	0.150465095	0.0005692301	0.04081311	0.26	0.3
C3L-00412	23.3303204083114	0.5079820615780631	0.6816505281170382	0.029374696555111053	-0.390523680129976	-0.2040225677889094	-0.5356450790118767	0.02967172729043775	9397.489	9403.536	18801.025	0.17215206	0.01064336	0.1176586	0.23	
C3N-01415	23.6366902249778	-0.006789639105808654	0.07265964161481647	-0.02205355418501768	0.06187443254613685	-0.3154971404517143	-0.8116726322984608	-0.008368201602156872	8236.775	7744.452	15981.227	0.1011137125	0.0	0.09311556	0.26	0.184
C3N-00549	23.6160125139896	0.15516305144345946	0.32191697721177903	-0.6889569981594659	-1.023352012418949	2.4179479049177153	-1.0864466243413284	-1.717102310622456	4096.151	5209.277	9305.428	0.11012975	0.06654533	0.04436355	0.66	0.64
C3N-02433	22.7954243706539	0.11126842353320866	0.08467811709448436	0.11686318365771552	-0.20549415586210995	0.11085730728951368	-0.3266474155450472	0.04426463258295163	8929.383	8314.274	17243.656	0.14298772	0.03614289	0.1482313	0.39	0.255
C3N-01021	22.893751041462	0.30884394800600423	0.4656978622472871	0.09813252263586629	0.308456342923498	-0.492310793535798	-0.24717095591112637	-0.4684784982466381	7849.283	8589.999	16439.282	0.093600035	1.805988e-18	0.02223326	0.35	0.3375
C3L-01330	23.9091447507019	-0.6156106477914602	0.5487611687401384	0.5806594943552955	0.6431024336168102	-1.1565687787594108	-0.800582663175594	-0.361122700199198	7885.714	6717.756	14603.47	0.08472388	0.00774835	0.06423345	0.31	0.305
C3N-00203	22.7256513326753	0.8679784680909935	0.9143395435260526	-0.7498807812591226	-0.3583811504039976	1.1874079472266925	1.5588240813104992	1.1009110029259734	9029.167	6697.736	15726.903	0.510521062	0.06813752	0.1334592	0.25	0.305
C3N-00574	23.5742067301739	-0.07262408484978974	-0.22057055704562947	0.058134483696555904	-0.0971510601836052	-0.30640331819829797	-0.6170853054688336	-0.020302197904833567	8127.54	7924.892	16052.431	0.087449832	0.0	0.02446137	0.25	0.35
11LU035	23.7962370228291	-0.2464298625349536	-0.0763464794057423	-0.059354203049324705	0.09851875424165339	-0.14168440918686637	0.01776366512906167	-0.022154039988963266	9197.404	8372.34	17569.744	0.146070577	0.0	0.1474417	0.46	0.16
C3N-01071	22.7761210374651	-0.19730699089135648	-0.1829335297080972	0.20691854661454662	0.3186618995371093	0.23413952002993008	0.12881637787935607	-0.09208114904176362	8123.593	6329.398	14452.991	0.21212141	0.02606857	0.08324134	0.25	0.106
C3N-00550	23.5374327819564	-0.05429748360321204	-0.0687721432201216	-0.06909816836134829	-0.2563334650013118	0.17790963007294122	0.06235794726190064	-0.014943590221621866	8281.054	6664.043	14945.097	0.199273386	0.02647286	0.1008045	0.48	0.32
C3N-00167	22.5282200233318	0.45088810435092164	0.04341091778697631	0.4776805089158568	0.221332755536667	-0.9121532551979226	-0.583711464201629	-0.37477255327847075	7747.156	6735.576	14482.733	0.08389613	0.0	0.04156633	0.46	0.25
C3L-00001	22.2505932145858	-0.36066275728882063	-0.7989109829741862	0.13167059954572644	-0.12055618664398438	-0.9396625605641781	-0.09360919835406961	-0.5236311368753238	7303.39	8519.536	15822.926	0.00268929	0.03544304	0.1225245	0.25	0.275
C3N-01074	23.2922695578876	-0.24021778688923212	-0.12223775083286433	0.04544315687861354	0.3049968779693267	-1.1467860059563928	-0.538210495590298	-0.9184571236382784	6978.484	6371.87	13350.354	0.096662599	0.0	0.01974747	0.4	0.4025
C3L-01632	23.2057692073973	0.07450546313569574	0.17478194929300375	0.44027076289235184	0.7697605809168815	-0.7684622908358212	-1.4573600956205337	-1.0573523064099906	6697.275	7635.267	14332.543	0.139896493	0.0	0.008987196	0.37	0.157
C3N-02155	23.1315863737099	-0.0032878499996607225	-0.12638160321841657	-0.3457344514631939	-0.14280899488303492	-0.5607190518277536	-0.8258793501852484	-1.1636452144408898	5976.38	4960.712	10937.092	0.152323113	0.0	2.310097e-18	0.41	0.3925
C3N-00217	23.1796512868201	0.4113611848229225	0.12549108160008976	0.3359063075820838	0.06382683677773011	0.00776361914388627	0.9001338147392548	-0.3895219677673898	6731.891	6640.668	13372.559	0.20930546	0.0200174	0.01531738	0.42	0.4225
C3N-02002	23.0423185151942	0.26400968323255064	0.35383587165620317	0.5360134462019601	0.5275806406702657	-0.6176259780649533	-0.2742023899043573	-0.6311931723502967	7394.305	6114.595	13508.899	0.12112623	0.009062779	0.04907294	0.28	0.285
C3N-02145	23.0912934238736	-0.03499113698429203	-0.24285483891345916	0.13566442253449776	0.1086996489004077	-0.3615602688600041	0.10443278820345377	-0.5911223418965293	7808.154	8188.374	15996.528	0.1431923	0.00617734	0.05863036	0.33	0.3375
C3L-02219	23.1144638152865	-0.02304988832707951	0.04598691731163006	0.5903779855203	0.661231552455232	-0.23930461089613803	0.23886230942863654	0.5504724954933715	9474.976	7669.058	17144.034	0.09276252	0.01686762	0.1353812	0.26	0.28
C3N-02586	23.0831956652913	0.07798772496876026	0.10430339340011438	0.06224476252677881	-0.351587630076681	0.15265766302963552	-0.6613087466156746	-0.04675540270336014	7372.811	6854.049	14226.86	0.188433417	0.02025831	0.04025235	0.63	0.485
C3N-00180	23.1521648288664	0.055757837883537074	-0.3848701043740227	-0.28476793154804214	-0.7079961956356824	-1.826623833793227	-1.8811854844303881	-1.5170391628804183	4638.346	5395.427	10033.773	0.08499993	2.770091e-20	0.0009036869	0.6	0.5775
C3L-01862	22.8498798230815	-0.10499913108426746	-0.20349775380359694	0.24984819872664155	0.5302119910897889	0.12659322752114605	0.7577011248782448	0.2733958442468131	8435.346	7633.595	16068.941	0.18392434	0.01251554	0.04014116	0.34	0.3425
C3N-00704		0.782679771357265		-0.11445787910795956	0.23171706034899683	0.6724220276467561	0.009013633696521084	0.06898593004275483	8007.408	6369.734	14377.142	0.30788432	0.06595701	0.08505011	0.34	0.22
C3N-02158		0.591526790571849		0.4362100722254246	-0.03981100275919943	0.4163193767247739	0.3742370007460109	-0.09893264459092137	8115.207	6157.119	14272.326	0.154302301	0.03136925	0.07076349	0.25	0.305
C3N-02421		0.5477694230671019		0.3664689805065132	0.6009036231266061	-0.8248913442400523	-1.2399909943784162	-0.24072744340593843	7897.621	8405.602	16303.222	0.07369344	0.006294657	0.06076322	0.4	0.37
C3N-00556		-0.33428980894238547		-0.3695036267463444	-0.23494761689637725	0.46193693250456247	0.9831898148973663	0.8506600506362618	9126.827	9398.593	18525.42	0.175439114	0.01683008	0.1007938	0.26	0.185
C3N-00294		0.3382857243857705		-0.2292646213646795	0.045969997491911066	-0.18227256102605924	-0.0027238488670901922	-0.01456574254261194	7704.568	6959.523	14664.091	0.21949555	0.0003602958	0.04676806	0.4	0.415
C3N-01072		-0.5860881636048967		-0.35296071186870975	-0.530418956463119	-0.09523653166812159	0.88426611169655	0.27312554525398847	8166.396	7908.633	16075.028	0.15726247	0.04147871	0.1253612	0.4	0.405
C3L-00094		-0.5996464009039149		0.3300476750781145	0.2669094423179785	0.43992220094845486	0.020060683775414034	-0.35937345534807474	7797.116	7199.842	14996.958	0.140721169	0.03715426	0.08991233	0.38	0.256
C3L-00144		-0.19217332707081033		0.0887940075004696	0.23371059137539188	1.302564780679222	0.6976100738804395	0.7275089403517556	8814.897	7612.891	16427.787	0.31334264	0.06737169	0.1862016	0.23	0.21
C3N-00223		0.736975243294994		0.21319356436591214	0.32352627693538105	-0.06770352921039942	0.2986275071290361	0.5215843084013319	9123.682	7713.331	16837.013	0.0798618	0.03655397	0.1439054	0.34	0.19
C3N-02380		0.6450356550114812		0.6529457833284921	0.4919136699916166	-2.139670802541178	-1.968055169912033	-0.9149035103609156	6803.122	5708.073	12511.195	0.040562214	0.0	0.04213731	0.24	0.26
C3L-01924	23.2693463646084	0.5529325568788724	0.6701053290206661	0.3294453147346762	0.3613067616110833	0.4420649632911131	0.9243301295376498	0.42843794507187566	8816.864	7926.449	16743.314	0.143950777	0.05112999	0.1311397	0.31	0.275
C3N-00433	23.4315563797695	-0.8947617265350114	-0.6634113561489372	-1.5187884670023633	-1.9033763484231816	3.19407982201812	2.7456476503028004	2.302956567030778	11277.868	9507.709	20785.577	1.07405735	0.2957314	0.4453644	0.23	0.05
C3L-01683	22.9576002640105	-0.9002645763436324	-1.011487286973191	-1.3772014905755288	-1.5852004621466556	2.1126680986515023	1.928942198647302	1.8485238907214747	11247.81	10093.36	21341.17	0.521160496	0.2032891	0.4572936		
C3N-00293	22.759500088294	1.0005774732923525	0.8907265956759527	0.5945582599492323	0.5069927788245855	0.40040101313953436	-0.4633174132354498	-0.055081952468223686	7722.183	7037.6	14759.783	0.2272946791	0.02902722	0.06562142	0.24	0.23
C3L-00009		-0.03110123878317504	-0.01739488370906081	-0.175930674268126	-0.116189006229218	0.10062292539937233	0.18259949855787136	-0.11182875273311105	8803.27	8661.034	17464.303	0.11273086	0.00439214	0.08406495	0.26	0.165
C3N-00546		-0.12308437419748432	-0.6248466605092351	-0.20816402909219628	-0.24850605186936742	0.9612168761741974	0.7795892953926858	0.7675354301748611	9126.47	7156.608	16283.078	0.210239285	0.02644515	0.1347301	0.36	0.2325
C3N-01414		0.16929866260661094	-0.03976110900391336	0.11641898209426423	-0.0063373248251841355	-0.29190026769890326	0.03253552458252052	-0.8612871085759879	7302.268	6930.943	14233.211	0.110999568	1.304253e-18	0.002828016	0.24	0.31
C3N-02087		-0.16765548514880982	-0.572741864360644	-0.2629813268579053	-0.22648607977157087	-0.08722754484906636	0.011775326308493657	0.7727177167703911	9956.644	8435.742	18392.386	0.111305039	0.01392226	0.235887	0.37	0.105
C3L-00140	23.6406399698345	0.15073700370793613	0.46306015614803425	-0.04251808476577893	0.1754797172495275	-0.9327314140513353	-0.7648294687427619	-0.40821086899086656	7657.542	5535.42	13192.962	0.121182917	0.02928585	0.08698471	0.3	0.305
C3N-02529	21.7468855979234	-0.9207067418558422	-1.3367754592222278	-0.225843877168212	-0.19345123566692662	1.0564325064231563	0.9215413959074907	0.9191848200951998	9232.569	7830.292	17062.861	0.22672667	0.06018185	0.1509108	0.25	0.26
C3L-00368	23.0710721901358	0.26859140365134776	0.4029631284559602	0.8528776152288289	1.0599428080469797	0.32988810819783276	0.29060950403080427	0.0641068322683555	8590.971	7446.479	16037.451	0.20610133	0.02729576	0.07468032	0.35	0.314
C3N-02067	22.9703406837123	0.6222998259956283	0.5294581553407403	0.3782092735325521	0.4492688786362565	-1.1995520411269023	-1.0798568406309965	-0.5400908701079437	7841.881	6568.061	14409.942	0.0758090509	0.008581807	0.08169182	0.41	0.36
C3N-02422	24.9609243822922	0.8423432033287688	1.4043453732046762	0.549514188231918	0.8997849290777912	-1.3499434770441607	-1.222958568630378	-0.5748046082392284	7126.44	6422.031	13548.471	0.07344884	0.006208861	0.03264588	0.31	0.3975
C3L-00080	22.8925375144422	0.058515194617845476	0.6013060904309727	-0.46747942161266454	-0.2933395418751375	0.2564774802748367	0.17001934476504596	-0.2560097289317677	7241.276	5370.191	12611.467	0.173517966	0.01748088	0.05931378	0.45	0.445
C3N-00547	22.681142044946	0.17546475198551448	-0.09852344836465794	0.26894262032679467	-0.09009750582550542	-0.8097420392029213	-0.8226054985868707	-0.42232184888609897	6623.462	6541.742	13165.204	0.095989376	2.08016e-18	0.02155594	0.32	0.2825
C3N-01023	23.0412586404478	-0.18731113252165002	-0.5769608602947878	-0.1876202087653765	-0.2642281147006903	0.7489082143851641	1.8815538156203186	0.25981632676641	8770.69	7409.97	16180.66	0.102765821	0.03676157	0.09152551	0.35	0.275
C3N-01024	23.0852976928544	0.2477208314805771	0.27490345375069236	0.1282025661295355	0.6230432615682423	-1.618255285974965	-0.3173877224861898	-0.9313123678428994	6950.055	6617.564	13567.619	0.0588717	0.006939329	0.03972786	0.41	0.415
C3L-00973	23.9705222145823	-0.4587867827993178	-0.33947649034141175	-0.17038723336524952	0.1496133424598546	0.6244804401465816	-0.15943735393838793	0.5884174032882276	9864.86	8198.034	18062.894	0.12200685	0.05608926	0.3216732	0.23	0.215
C3L-02348	21.4349671016967	-0.07126297529731748	-0.6064228042272545	0.3229260964036683	0.2907449584360903	1.381080897747275	1.0948985764531174	0.733699393359688	9193.413	7168.167	16361.58	0.289689668	0.1067976	0.172611	0.4	0.235
C3L-02508	22.4996764483953	0.5488656010572049	0.5617493421055636	-0.1142124848061347	-0.4007981354244978	0.13405355052693488	0.1325129162888766	0.20278004000525962	9456.088	10208.598	19664.686	0.082080329	0.0	0.05224425	0.24	0.135
C3N-00560	23.2506094037229	-0.3595229125940816	-0.5841429032038429	-0.4203951942723749	-0.6439580696994389	1.4400986895348349	1.6772908923476513	0.19876242259855031	7477.095	5895.884	13372.978	0.396179414	0.002327858	0.01041601	0.52	0.4275
C3L-00604		-0.07993443154576153	-0.016566186505597935	0.6827427575414562	1.2074502920210064	-1.8037242914652865	-0.19129259051401204	-0.49725731758050656	7529.111	7501.609	15030.721	0.05689304	0.02103009	0.08529103	0.7	0.4125
C3N-00199		0.1370744687912003	-0.06548515345019898	0.41575948069122437	0.6753196958673792	-0.9770727774371182	-1.3254934751873253	-0.9897452588640976	6680.621	6785.117	13465.737	0.076434678	0.009696943	0.01812342	0.54	0.2575
C3N-00579		0.5423151792992275	0.3553852088141145	0.5282740218068658	0.5485975915355958	0.28322632227460337	1.2874227498047295	0.8327973288814614	8711.774	7175.303	15887.077	0.132241838	0.02969392	0.0746303	0.35	0.355
C3N-02582		0.009285872343098673	-0.6797507295144081	0.15382652320348517	0.11443159400890512	-1.3886141600189124	-1.1846903125717012	-0.030329185743378475	7622.619	6673.65	14296.269	0.1044322	0.01600604	0.06139555	0.32	0.425
C3L-02350	22.9163465657716	0.1740279946142561	-0.10784551515739742	0.10301657185269324	-0.13035966828466714	1.1865954243705634	0.9330249980156378	0.6141764971907312	9532.847	7631.359	17164.205	0.195406994	0.1141781	0.2318783	0.28	0.28
C3N-00738	23.2917756667206	0.3907324897242922	0.22747714495544297	-0.2194661978400122	-0.6609333720915711	1.2670736791837618	0.9230945707733853	0.12775894288957793	9494.847	9286.247	18781.094	0.26613977	0.068749	0.1265715	0.19	0.1
C3N-00959	22.9716358025199	0.5933026531392613	0.8853420660150991	0.6786759863741623	1.088184913414471	-0.43867660876103476	-0.9165417179210735	-0.7551577593800712	7461.782	6687.792	14149.574	0.05254911	0.01872918	0.02236945	0.32	0.3
C3N-02003	22.5151424908747	-0.7087668961872648	-0.620144039921483	-0.7830109167371427	-0.37712836526737537	1.5211530016910126	1.4689753683328242	1.631295326813696	10593.123	7935.085	18528.207	0.400990755	0.1113352	0.273584	0.26	0.1575
C3N-00175		0.3893717634387507	0.6987690533888342	-0.07660718509423167	-0.10301605744237145	-0.6057619270803027	-0.45345265984901884	-0.06356300554192269	7796.313	7645.067	15441.38	0.052796419	0.02352231	0.1022771	0.34	
C3N-01823		-0.43962794201671296	-0.2991217948833833	-0.2845439704413779	-0.2094356025785593	0.625086046330102	0.12665421056910545	-0.047409703310420145	8443.056	7424.061	15867.117	0.145297079	0.02012835	0.1052254	0.23	0.185
C3L-02549		1.3563845514091966	1.7786166142744897	0.7831821258933167	1.120139273464422	0.2916921330810198	0.7385517058920248	0.321387410573917	8477.417	6321.997	14799.414	0.1408547	0.01662839	0.02595778	0.2	0.2
C3L-02365		0.3788755092468875	0.5528461644025102	0.5486786046878731	0.8132695362886231	-1.7700386744413346	-2.401574418458517	-1.516167237642616	6099.632	6576.366	12675.998	0.0636908	4.759841e-18	0.02171192	0.43	0.43
