cohort	n_tumors	n_CLDN4_protein	tj15_n_genes	predictor	endpoint	pheno_column	n	rho	p	ci95_lo	ci95_hi
OV	83	83	13	TJ15_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	82	-0.034513910103789014	0.7582113615918095	-0.2475299357021575	0.19183291683008893
OV	83	83	13	TJ15_protein	CD8_xCell	xCell_T_cell_CD8+	82	0.08555803785676384	0.4447064522251494	-0.12503080786001025	0.3006160366871135
OV	83	83	13	TJ15_protein	Immune_xCell	xCell_immune_score	82	-0.02637106692352064	0.8140729033205162	-0.2525585366388728	0.2151326140235877
PDAC	105	0	12	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	0				
PDAC	105	0	12	CLDN4_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	0				
PDAC	105	0	12	CLDN4_protein	CD8_xCell	xCell_T_cell_CD8+	0				
PDAC	105	0	12	CLDN4_protein	Immune_xCell	xCell_immune_score	0				
PDAC	105	0	12	TJ15_protein	ImmuneScore	ESTIMATE_ImmuneScore	105	-0.26867095168981964	0.005584164912330729	-0.4552988940221196	-0.06325219881675838
PDAC	105	0	12	TJ15_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	105	-0.04133319510678001	0.6754732299375079	-0.22817425699774257	0.13902069102460257
PDAC	105	0	12	TJ15_protein	CD8_xCell	xCell_T_cell_CD8+	105	-0.006796794529618023	0.945138068379522	-0.20450016004874894	0.18807548188557008
PDAC	105	0	12	TJ15_protein	Immune_xCell	xCell_immune_score	105	-0.36454488907319094	0.00013173562515751962	-0.525048351386246	-0.17981067592445288
UCEC	95	89	12	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	89	0.09393939393939395	0.38122968558691284	-0.11525956354987872	0.30218642110053223
UCEC	95	89	12	CLDN4_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	89	-0.016822390311203958	0.8756628306959588	-0.24053238870058208	0.20685407240420284
UCEC	95	89	12	CLDN4_protein	CD8_xCell	xCell_T_cell_CD8+	89	-0.04835902681810567	0.6526871875404329	-0.27146489721423495	0.16629851109781732
UCEC	95	89	12	CLDN4_protein	Immune_xCell	xCell_immune_score	89	0.041130405175349	0.7019420913028857	-0.18028949045542	0.2585764366884623
UCEC	95	89	12	TJ15_protein	ImmuneScore	ESTIMATE_ImmuneScore	95	-0.1954367301231803	0.05769469717153569	-0.39966946588686914	0.020483064262775234
UCEC	95	89	12	TJ15_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	95	0.009386648071123885	0.9280642836450633	-0.20930538262195741	0.2115127357781772
UCEC	95	89	12	TJ15_protein	CD8_xCell	xCell_T_cell_CD8+	95	-0.015002751403202843	0.8852627695061551	-0.21536341424966224	0.1758489868379421
UCEC	95	89	12	TJ15_protein	Immune_xCell	xCell_immune_score	95	-0.15923852183650616	0.12322640268122835	-0.3662393823547069	0.06322487998329109
