gsm	title	source	cell_subtype	cell_type
GSM2411346	Bulk_RNA-Seq_NSCLC_42_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411347	Bulk_RNA-Seq_NSCLC_27_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411348	Bulk_RNA-Seq_NSCLC_12_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411349	Bulk_RNA-Seq_NSCLC_17_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411350	Bulk_RNA-Seq_NSCLC_43_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411351	Bulk_RNA-Seq_NSCLC_11_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411352	Bulk_RNA-Seq_NSCLC_22_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411353	Bulk_RNA-Seq_NSCLC_25_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411354	Bulk_RNA-Seq_NSCLC_15_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411355	Bulk_RNA-Seq_NSCLC_20_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411356	Bulk_RNA-Seq_NSCLC_06_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411357	Bulk_RNA-Seq_NSCLC_04_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411358	Bulk_RNA-Seq_NSCLC_30_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411359	Bulk_RNA-Seq_NSCLC_21_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411360	Bulk_RNA-Seq_NSCLC_18_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411361	Bulk_RNA-Seq_NSCLC_35_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411362	Bulk_RNA-Seq_NSCLC_24_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411363	Bulk_RNA-Seq_NSCLC_13_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411364	Bulk_RNA-Seq_NSCLC_33_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411365	Bulk_RNA-Seq_NSCLC_26_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411366	Bulk_RNA-Seq_NSCLC_09_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411367	Bulk_RNA-Seq_NSCLC_27_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411368	Bulk_RNA-Seq_NSCLC_07_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411369	Bulk_RNA-Seq_NSCLC_32_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411370	Bulk_RNA-Seq_NSCLC_28_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411371	Bulk_RNA-Seq_NSCLC_03_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411372	Bulk_RNA-Seq_NSCLC_19_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411373	Bulk_RNA-Seq_NSCLC_17_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411374	Bulk_RNA-Seq_NSCLC_16_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
