sample	TACSTD2	CLDN4	CD8	CYT	GEP18	CD8_AB	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_purity_raw	ESTIMATE_purity	ESTIMATE	ABSOLUTE_purity	LEUK
TCGA-22-0940-01	13.5749	12.179	10.1812	10.93235	1.4111192726902941	9.054	182.55	1647.35	1829.91	0.6420732722858598	0.6420732722858598	1647.35	0.4	0.366703443056114
TCGA-22-0944-01	13.15	13.3658	6.3586	5.15685	-0.9423909342300456	5.20485	-1157.06	-480.48	-1637.54	0.9342610014235864	0.9342610014235864	-480.48	0.66	0.080187294228385
TCGA-22-1000-01	14.6463	12.0035	9.1834	8.2454	0.8720952904430234	8.0186	1478.49	1908.01	3386.5	0.45173597170216745	0.45173597170216745	1908.01	0.18	0.42246856812027
TCGA-22-1002-01	13.3604	11.8436	8.042	8.1421	0.10753226684273676	7.3538	424.72	807.73	1232.44	0.7067553084224116	0.7067553084224116	807.73	0.38	0.308618835720025
TCGA-22-1005-01	12.3967	12.0722	10.6428	10.08685	1.3877236420933114	9.5436	727.59	2466.57	3194.16	0.4767409627902935	0.4767409627902935	2466.57	0.12	0.595404950411797
TCGA-22-1011-01	15.4278	12.1806	8.5867	7.905849999999999	0.47920071083178684	7.4061	49.59	1388.79	1438.38	0.6850494864226797	0.6850494864226797	1388.79	0.36	0.48366816872966
TCGA-22-1012-01	13.109	12.8507	7.761	7.3213	-0.3083702510022591	6.847049999999999	-618.73	263.89	-354.84	0.8510047231094489	0.8510047231094489	263.89	0.32	0.834843340743955
TCGA-22-1016-01	13.1593	12.0676	6.983	7.0802	-0.12914412374652975	7.28505	702.58	1194.96	1897.54	0.6344310615756804	0.6344310615756804	1194.96	0.33	0.302886364078565
TCGA-22-1017-01	12.2597	13.8836	8.2717	8.77335	0.3890675404096622	6.8095	-735.0	694.66	-40.33	0.8258619398127889	0.8258619398127889	694.66	0.34	0.287329697830712
TCGA-22-4591-01	12.7419	12.5799	7.1499	6.9232	-0.5319200380698955	6.8419	-1172.99	-305.47	-1478.46	0.9256802889368171	0.9256802889368171	-305.47	0.73	0.0618978641455472
TCGA-22-4593-01	11.1126	9.3035	7.1886	6.63605	-0.8050941770378425	6.67495	380.75	-342.52	38.24	0.8193039261194289	0.8193039261194289	-342.52	0.77	0.13300709315647
TCGA-22-4594-01	11.1644	13.4567	8.4509	7.77025	0.4641188352353481	7.975950000000001	416.76	1356.24	1773.01	0.6484540063130871	0.6484540063130871	1356.24	0.24	0.435827981511797
TCGA-22-4595-01	11.798	11.5973	7.8504	8.118549999999999	0.19341131869503378	6.833399999999999	342.27	836.38	1178.65	0.7123191306717432	0.7123191306717432	836.38	0.46	0.353602583759668
TCGA-22-4596-01	11.8719	13.1646	8.6637	8.600999999999999	0.9712814627033143	8.03055	1217.57	2378.09	3595.66	0.42413630755467324	0.42413630755467324	2378.09	0.69	0.449433943955886
TCGA-22-4599-01	9.1335	10.5536	10.196	9.71105	1.0117288548143297	9.426400000000001	0.75	1598.79	1599.54	0.6676257979807952	0.6676257979807952	1598.79	0.47	0.312948753894612
TCGA-22-4601-01	14.3815	13.131	7.3971	6.67295	-0.07964318395953728	6.35665	-815.3	-227.57	-1042.87	0.899616430342197	0.899616430342197	-227.57	0.78	0.108186327624784
TCGA-22-4604-01	12.4751	10.9081	8.5634	7.834849999999999	0.7831766080268927	7.59305	998.61	1230.68	2229.29	0.5960520197882226	0.5960520197882226	1230.68	0.84	0.0552811301427802
TCGA-22-4605-01	14.2588	13.0472	6.6309	6.55345	-0.062404072855416236	5.4906	514.48	847.86	1362.34	0.6931379696807934	0.6931379696807934	847.86	0.24	0.40223338768534
TCGA-22-4607-01	15.6019	13.5062	6.3879	6.7444500000000005	-0.29287033231318904	5.70915	-109.53	450.67	341.13	0.7930106895122204	0.7930106895122204	450.67	0.63	0.186116592719558
TCGA-22-4609-01	12.657	12.949	9.3932	8.674199999999999	0.680581201329066	8.38915	651.12	1560.81	2211.93	0.598096186299655	0.598096186299655	1560.81	0.42	0.387203419997164
TCGA-22-4613-01	13.2131	11.1383	8.6538	7.77125	0.5402665899368686	8.484950000000001	-432.62	974.47	541.85	0.7747197978636451	0.7747197978636451	974.47	0.62	0.333079247197
TCGA-22-5471-01	13.1133	12.6076	10.6918	9.72485	1.0911467803980477	9.566400000000002	-383.48	1119.17	735.69	0.7564173814290055	0.7564173814290055	1119.17	0.44	0.319893358295622
TCGA-22-5472-01	15.1452	13.6165	7.1296	6.94785	-0.4836472844372508	6.307449999999999	-364.56	583.24	218.69	0.803831175409144	0.803831175409144	583.24	0.65	0.205270823459314
TCGA-22-5473-01	11.8703	11.8269	7.1088	8.02065	-0.0849068064790856	5.62355	-496.35	-103.42	-599.76	0.869330926286211	0.869330926286211	-103.42	0.58	0.135090053962581
TCGA-22-5474-01	13.3459	13.1584	9.639	9.34535	1.2384236438845362	8.46975	-16.77	1516.32	1499.55	0.678480754828716	0.678480754828716	1516.32	0.55	0.370463948554339
TCGA-22-5477-01	11.3383	11.6933	8.1594	7.50985	0.03273021665178043	7.0078	-980.43	-226.87	-1207.3	0.9098932905394186	0.9098932905394186	-226.87	0.73	0.0876262680077907
TCGA-22-5478-01	12.3821	13.2948	6.8016	6.938000000000001	-0.1751863183712485	5.6578	31.01	171.5	202.51	0.805241715112795	0.805241715112795	171.5	0.4	0.306703820959775
TCGA-22-5479-01	12.0168	11.0259	7.812	7.50475	0.16602034288704892	6.5994	-431.5	166.34	-265.16	0.84401801652101	0.84401801652101	166.34	0.28	0.342920010093047
TCGA-22-5480-01	9.6659	9.9598	7.6445	7.98475	0.8912188796235545	6.757	-123.9	1286.04	1162.15	0.7140169403313892	0.7140169403313892	1286.04	0.71	0.219465920829392
TCGA-22-5481-01	7.2839	8.1648	9.1047	8.1323	0.512982977561522	8.34565	-723.86	731.58	7.72	0.8218643357949047	0.8218643357949047	731.58	0.7	0.13873667836157
TCGA-22-5482-01	13.5215	12.2852	6.0015	6.6264	-0.7084282000199877	4.8075	-509.1	-404.88	-913.98	0.8911941086991406	0.8911941086991406	-404.88	0.66	0.160630245007198
TCGA-22-5483-01	11.4251	13.5568	8.2561	7.663600000000001	0.061022605552421255	10.5609	251.79	257.15	508.94	0.7777652878005648	0.7777652878005648	257.15	0.7	0.111769742474756
