contrast	symbol	present	logFC_KO_minus_WT_or_deposited	logFC_Cldn4high_minus_low	logCPM	PValue	FDR	panel
naive_KO_vs_WT	F11r	True	-0.117393214	0.117393214	7.7934684	0.461547387	1.0	TJ
naive_KO_vs_WT	Gbp2	True	0.582953916	-0.582953916	6.245549072	0.001937604	0.055191191	IFN
naive_KO_vs_WT	Gbp3	True	0.718229032	-0.718229032	5.271887604	0.000512122	0.022326997	IFN
naive_KO_vs_WT	H2-D1	True	0.354590336	-0.354590336	9.93629862	0.066866018	0.48248859	MHC
naive_KO_vs_WT	H2-K1	True	-0.070918061	0.070918061	9.655239381	0.724031147	1.0	MHC
naive_KO_vs_WT	H2-Q10	True	2.173208944	-2.173208944	6.047642961	4.38254e-26	7.92692e-23	MHC
naive_KO_vs_WT	H2-Q6	True	0.267680314	-0.267680314	6.796366737	0.236959507	0.866589065	MHC
naive_KO_vs_WT	H2-Q7	True	-0.55255535	0.55255535	6.395288226	0.061800284	0.46271405	MHC
naive_KO_vs_WT	H2-T23	True	1.045262026	-1.045262026	7.359938301	2.91128e-06	0.000365257	MHC
naive_KO_vs_WT	Hopx	True	-0.616166206	0.616166206	8.954447062	0.026518726	0.292920581	EPI
naive_KO_vs_WT	Ifi44	True	0.749481166	-0.749481166	3.363330116	0.000843269	0.031234037	IFN
naive_KO_vs_WT	Ifit1	True	0.57577684	-0.57577684	4.616952198	0.000719541	0.02824166	IFN
naive_KO_vs_WT	Ifit2	True	-0.369023039	0.369023039	5.378882136	0.012872714	0.19255841	IFN
naive_KO_vs_WT	Ifit3	True	-0.206965942	0.206965942	6.490944313	0.315638468	0.967196558	IFN
naive_KO_vs_WT	Ifng	True	2.444784843	-2.444784843	-0.611866493	0.100971434	0.590157829	IFN
naive_KO_vs_WT	Il1b	True	0.005943139	-0.005943139	3.874145725	1.0	1.0	focal
naive_KO_vs_WT	Il6	True	-0.956931278	0.956931278	-0.749370016	0.40784964	1.0	focal
naive_KO_vs_WT	Irf1	True	0.381826817	-0.381826817	7.037226346	0.014730324	0.20707363	IFN
naive_KO_vs_WT	Irf7	True	0.227316665	-0.227316665	3.975825801	0.329109646	0.983132036	IFN
naive_KO_vs_WT	Irf9	True	0.388118792	-0.388118792	5.738470017	0.009614213	0.160767716	IFN
naive_KO_vs_WT	Isg15	True	1.075372735	-1.075372735	2.786682884	3.92718e-05	0.003095569	IFN
naive_KO_vs_WT	Krt18	True	-0.29979136	0.29979136	6.784738289	0.072729795	0.500504045	EPI
naive_KO_vs_WT	Krt19	True	-0.171906757	0.171906757	7.389413741	0.409136787	1.0	EPI
naive_KO_vs_WT	Krt8	True	-0.133307607	0.133307607	6.335438371	0.388102338	1.0	EPI
naive_KO_vs_WT	Marveld2	True	-0.026034301	0.026034301	4.901681675	0.888516897	1.0	TJ
naive_KO_vs_WT	Mx1	True	0.626672753	-0.626672753	1.371645385	0.11907033	0.648233013	IFN
naive_KO_vs_WT	Nlrc5	True	0.747974933	-0.747974933	4.594037806	0.004173122	0.092615153	MHC
naive_KO_vs_WT	Oas1a	True	0.762345187	-0.762345187	2.608181988	0.014921827	0.208748722	IFN
naive_KO_vs_WT	Oas2	True	1.488747185	-1.488747185	2.670168875	1.7297e-05	0.001526145	IFN
naive_KO_vs_WT	Oasl1	True	1.10744629	-1.10744629	1.321019312	0.033653348	0.335645718	IFN
naive_KO_vs_WT	Ocln	True	-0.045588289	0.045588289	6.309162954	0.764313783	1.0	TJ
naive_KO_vs_WT	Psmb10	True	0.367612833	-0.367612833	5.545250733	0.014323027	0.203986117	MHC
naive_KO_vs_WT	Psmb8	True	0.431991771	-0.431991771	6.019475943	0.026174502	0.290707433	MHC
naive_KO_vs_WT	Psmb9	True	0.901806032	-0.901806032	5.006852697	0.001094233	0.037343278	MHC
naive_KO_vs_WT	Rsad2	True	1.198246334	-1.198246334	2.615202416	0.016139179	0.218459763	IFN
naive_KO_vs_WT	Sftpc	True	0.0	-0.0	13.52257441	1.0	1.0	EPI
naive_KO_vs_WT	Stat1	True	0.390851313	-0.390851313	6.948292617	0.026232231	0.29079192	IFN
naive_KO_vs_WT	Stat2	True	0.445880011	-0.445880011	5.910982493	0.002832605	0.071324478	IFN
naive_KO_vs_WT	Tacstd2	True	-0.144934323	0.144934323	5.894486173	0.485961384	1.0	focal
naive_KO_vs_WT	Tap1	True	0.183633493	-0.183633493	6.194316935	0.441394482	1.0	MHC
naive_KO_vs_WT	Tap2	True	-0.008632457	0.008632457	6.638647269	0.962929036	1.0	MHC
naive_KO_vs_WT	Tapbp	True	0.104827622	-0.104827622	8.105498367	0.471505925	1.0	MHC
naive_KO_vs_WT	Tjp1	True	-0.103722846	0.103722846	9.291946899	0.459751347	1.0	TJ
naive_KO_vs_WT	Tjp2	True	-0.0128493	0.0128493	7.441936003	0.938468817	1.0	TJ
naive_KO_vs_WT	Tnf	True	0.244418728	-0.244418728	0.354966643	0.762014194	1.0	focal
naive_KO_vs_WT	Usp18	True	0.119993902	-0.119993902	4.179000307	0.529799228	1.0	IFN
VILI_WT_vs_naive_WT	Aqp5	True	-0.205620102		8.397490097	0.134216763	0.510565461	EPI
VILI_WT_vs_naive_WT	B2m	True	-0.589623878		9.085892726	9.16886e-06	0.000312847	MHC
VILI_WT_vs_naive_WT	Bst2	True	-0.093290091		4.934871313	0.598878937	1.0	IFN
VILI_WT_vs_naive_WT	Ccl5	True	0.315804881		3.26820708	0.250048674	0.722280956	IFN
VILI_WT_vs_naive_WT	Cd274	True	-0.511789098		4.839420171	0.007166145	0.070190062	MHC
VILI_WT_vs_naive_WT	Cdh1	True	0.284006995		9.128107964	0.037633675	0.229191615	TJ
VILI_WT_vs_naive_WT	Ciita	True	-0.885923166		4.667767243	1.44854e-05	0.000455661	MHC
VILI_WT_vs_naive_WT	Cldn18	True	-0.154836861		10.08947552	0.384467688	0.898753543	TJ
VILI_WT_vs_naive_WT	Cldn3	True	0.498191028		7.380296893	0.00022056	0.004585501	TJ
VILI_WT_vs_naive_WT	Cldn4	True	3.958568579		6.215956852	9.90857e-95	7.168849999999999e-91	Cldn4
VILI_WT_vs_naive_WT	Cldn5	True	-0.150938399		8.626474105	0.261376867	0.729670083	TJ
VILI_WT_vs_naive_WT	Cldn7	True	0.740525102		5.790238325	1.05605e-06	4.86657e-05	TJ
VILI_WT_vs_naive_WT	Cxcl10	True	1.895302621		0.535145941	0.006979531	0.06885942	IFN
VILI_WT_vs_naive_WT	Cxcl11	True	0.0		-1.674307425	1.0	1.0	IFN
VILI_WT_vs_naive_WT	Cxcl9	True	-1.874469118		-0.504382423	0.125446113	0.492103358	IFN
VILI_WT_vs_naive_WT	Dhx58	True	0.115147873		2.841392413	0.744916929	1.0	IFN
VILI_WT_vs_naive_WT	Egr1	True	0.731246486		8.99013986	0.002865358	0.035579283	focal
VILI_WT_vs_naive_WT	Eif2ak2	True	-0.189119042		4.973151002	0.266333384	0.738661652	IFN
VILI_WT_vs_naive_WT	Epcam	True	0.247500238		6.182118104	0.08713196	0.396145619	EPI
VILI_WT_vs_naive_WT	Erap1	True	0.119021961		6.253470537	0.413595184	0.926539799	MHC
VILI_WT_vs_naive_WT	F11r	True	-0.183083958		7.775357114	0.168751253	0.57744694	TJ
VILI_WT_vs_naive_WT	Gbp2	True	-0.767055143		5.614558649	1.97797e-06	8.288e-05	IFN
VILI_WT_vs_naive_WT	Gbp3	True	-0.82890073		4.540011696	2.69309e-05	0.0007661	IFN
VILI_WT_vs_naive_WT	H2-D1	True	-0.562160232		9.480115154	6.73483e-05	0.00166113	MHC
VILI_WT_vs_naive_WT	H2-K1	True	-0.727376975		9.327452603	7.81121e-08	4.47324e-06	MHC
VILI_WT_vs_naive_WT	H2-Q10	True	0.138247921		4.681043672	0.547020247	1.0	MHC
VILI_WT_vs_naive_WT	H2-Q6	True	-1.028547198		6.266740181	4.20665e-10	3.5947e-08	MHC
VILI_WT_vs_naive_WT	H2-Q7	True	-1.310995914		6.162531935	5.14372e-16	9.15118e-14	MHC
VILI_WT_vs_naive_WT	H2-T23	True	-0.524875923		6.532706895	0.000165836	0.003635833	MHC
VILI_WT_vs_naive_WT	Hopx	True	-0.069477777		9.186585557	0.691893633	1.0	EPI
VILI_WT_vs_naive_WT	Ifi44	True	-0.158262084		2.895548183	0.628623723	1.0	IFN
VILI_WT_vs_naive_WT	Ifit1	True	-0.052626931		4.294359368	0.836017114	1.0	IFN
VILI_WT_vs_naive_WT	Ifit2	True	-0.396375213		5.368719859	0.02472416	0.172830236	IFN
VILI_WT_vs_naive_WT	Ifit3	True	-0.310685235		6.476074544	0.038511069	0.232975948	IFN
VILI_WT_vs_naive_WT	Ifng	True	-3.169925001		-1.35237933	0.513906326	1.0	IFN
VILI_WT_vs_naive_WT	Il1b	True	1.639434192		4.921882331	2.08842e-09	1.6189e-07	focal
VILI_WT_vs_naive_WT	Il6	True	4.651794009		2.947744395	1.2085400000000001e-23	3.74735e-21	focal
VILI_WT_vs_naive_WT	Irf1	True	-0.694435909		6.552104768	4.65508e-07	2.2453e-05	IFN
VILI_WT_vs_naive_WT	Irf7	True	0.190441181		3.976744266	0.44301161	0.956582471	IFN
VILI_WT_vs_naive_WT	Irf9	True	-0.309607044		5.394470853	0.049514518	0.276916415	IFN
VILI_WT_vs_naive_WT	Isg15	True	-0.715749108		1.940402419	0.103323641	0.437759054	IFN
VILI_WT_vs_naive_WT	Krt18	True	1.543413224		7.921416269	6.290010000000001e-29	2.90478e-26	EPI
VILI_WT_vs_naive_WT	Krt19	True	0.825451869		7.965937511	4.79902e-08	2.87743e-06	EPI
VILI_WT_vs_naive_WT	Krt8	True	1.755044757		7.566185799	1.60177e-38	1.2416599999999998e-35	EPI
VILI_WT_vs_naive_WT	Marveld2	True	0.291382684		5.077236634	0.099524553	0.428607227	TJ
VILI_WT_vs_naive_WT	Mx1	True	-0.304854582		1.107052289	0.6084397	1.0	IFN
VILI_WT_vs_naive_WT	Nlrc5	True	-0.789065623		3.860967952	0.000444941	0.008088303	MHC
VILI_WT_vs_naive_WT	Oas1a	True	-0.447458977		2.039938093	0.240519047	0.710991556	IFN
VILI_WT_vs_naive_WT	Oas2	True	0.06377591		1.940402419	0.942418271	1.0	IFN
VILI_WT_vs_naive_WT	Oasl1	True	0.831245542		1.256429913	0.186739498	0.613330798	IFN
VILI_WT_vs_naive_WT	Ocln	True	0.169578907		6.443335677	0.23604251	0.703074334	TJ
VILI_WT_vs_naive_WT	Psmb10	True	-0.557207625		5.111962203	0.003947117	0.044995885	MHC
VILI_WT_vs_naive_WT	Psmb8	True	-0.797374331		5.465243928	5.24714e-07	2.52526e-05	MHC
VILI_WT_vs_naive_WT	Psmb9	True	-0.38973005		4.331317124	0.092425805	0.410078106	MHC
VILI_WT_vs_naive_WT	Rsad2	True	-0.581229782		1.785124194	0.212727336	0.662730992	IFN
VILI_WT_vs_naive_WT	Sftpc	True	0.0		13.3743923	1.0	1.0	EPI
VILI_WT_vs_naive_WT	Stat1	True	-0.804298846		6.419770261	1.03349e-08	6.98816e-07	IFN
VILI_WT_vs_naive_WT	Stat2	True	-0.704523636		5.375541125	1.27788e-05	0.000412129	IFN
VILI_WT_vs_naive_WT	Tacstd2	True	1.253496819		6.74354509	2.68746e-17	5.60878e-15	focal
VILI_WT_vs_naive_WT	Tap1	True	-0.581507429		5.862910976	8.75379e-05	0.002097048	MHC
VILI_WT_vs_naive_WT	Tap2	True	-0.330775807		6.51675179	0.017412396	0.135363914	MHC
VILI_WT_vs_naive_WT	Tapbp	True	-0.186009106		7.988583434	0.15913972	0.55769862	MHC
VILI_WT_vs_naive_WT	Tjp1	True	-0.073045008		9.277978814	0.567980777	1.0	TJ
VILI_WT_vs_naive_WT	Tjp2	True	-0.060726529		7.437806233	0.693573109	1.0	TJ
VILI_WT_vs_naive_WT	Tnf	True	3.270986529		2.434217032	2.88488e-12	3.32989e-10	focal
VILI_WT_vs_naive_WT	Usp18	True	-0.211245565		4.033051707	0.344323146	0.846859363	IFN
VILI_KOhigh_vs_WT	Aqp5	True	0.398597823	-0.398597823	8.548608268	0.039799535	0.535106393	EPI
VILI_KOhigh_vs_WT	B2m	True	0.314736017	-0.314736017	8.975150277	0.142421797	0.904672256	MHC
VILI_KOhigh_vs_WT	Bst2	True	0.557006587	-0.557006587	5.091224478	0.025588596	0.422711652	IFN
VILI_KOhigh_vs_WT	Ccl5	True	0.101283336	-0.101283336	3.323231988	0.787579343	1.0	IFN
VILI_KOhigh_vs_WT	Cd274	True	0.462526425	-0.462526425	4.695834221	0.066221279	0.675438373	MHC
VILI_KOhigh_vs_WT	Cdh1	True	0.165105539	-0.165105539	9.433573441	0.397960633	1.0	TJ
VILI_KOhigh_vs_WT	Ciita	True	0.025648587	-0.025648587	4.060197582	0.953780104	1.0	MHC
VILI_KOhigh_vs_WT	Cldn18	True	-0.083390521	0.083390521	10.00783664	0.737522011	1.0	TJ
VILI_KOhigh_vs_WT	Cldn3	True	0.186843303	-0.186843303	7.717539335	0.407865017	1.0	TJ
VILI_KOhigh_vs_WT	Cldn4	True	-10.16213953	10.16213953	6.122599651	1.33054e-98	2.8879500000000004e-94	Cldn4
VILI_KOhigh_vs_WT	Cldn5	True	0.290668616	-0.290668616	8.751278548	0.135374506	0.900697785	TJ
VILI_KOhigh_vs_WT	Cldn7	True	0.678918309	-0.678918309	6.449923993	0.001168479	0.065365563	TJ
VILI_KOhigh_vs_WT	Cxcl10	True	1.071384633	-1.071384633	1.560482368	0.042926155	0.5516354	IFN
VILI_KOhigh_vs_WT	Cxcl11	True	3.169925001	-3.169925001	-1.048326874	0.518065311	1.0	IFN
VILI_KOhigh_vs_WT	Cxcl9	True	2.722466024	-2.722466024	-0.282792128	0.059524222	0.645266237	IFN
VILI_KOhigh_vs_WT	Dhx58	True	0.243557031	-0.243557031	2.858563721	0.538423773	1.0	IFN
VILI_KOhigh_vs_WT	Egr1	True	2.134492522	-2.134492522	10.82546326	1.7898299999999997e-20	3.30042e-17	focal
VILI_KOhigh_vs_WT	Eif2ak2	True	-0.341036918	0.341036918	4.621266877	0.183225417	0.967146808	IFN
VILI_KOhigh_vs_WT	Epcam	True	0.283647363	-0.283647363	6.421721852	0.172791315	0.950291477	EPI
VILI_KOhigh_vs_WT	Erap1	True	-0.07577854	0.07577854	6.245374668	0.718931631	1.0	MHC
VILI_KOhigh_vs_WT	F11r	True	0.162368598	-0.162368598	7.7737659	0.446614631	1.0	TJ
VILI_KOhigh_vs_WT	Gbp2	True	0.444178725	-0.444178725	5.342272031	0.059649384	0.645266237	IFN
VILI_KOhigh_vs_WT	Gbp3	True	0.098150021	-0.098150021	4.000432437	0.753507365	1.0	IFN
VILI_KOhigh_vs_WT	H2-D1	True	0.26127267	-0.26127267	9.391919413	0.197242283	0.994782963	MHC
VILI_KOhigh_vs_WT	H2-K1	True	0.08004717	-0.08004717	9.022062453	0.726386677	1.0	MHC
VILI_KOhigh_vs_WT	H2-Q10	True	1.400602409	-1.400602409	5.495478302	1.33381e-08	4.0209e-06	MHC
VILI_KOhigh_vs_WT	H2-Q6	True	0.601925741	-0.601925741	5.93694584	0.027759772	0.439158785	MHC
VILI_KOhigh_vs_WT	H2-Q7	True	0.190743188	-0.190743188	5.396273939	0.62480888	1.0	MHC
VILI_KOhigh_vs_WT	H2-T23	True	0.65190485	-0.65190485	6.573724945	0.001745691	0.086640831	MHC
VILI_KOhigh_vs_WT	Hopx	True	-0.134078049	0.134078049	9.152081352	0.577553133	1.0	EPI
VILI_KOhigh_vs_WT	Ifi44	True	-0.14873538	0.14873538	2.583941341	0.759598015	1.0	IFN
VILI_KOhigh_vs_WT	Ifit1	True	-0.124626655	0.124626655	4.101420245	0.726927068	1.0	IFN
VILI_KOhigh_vs_WT	Ifit2	True	-0.403558491	0.403558491	4.887132873	0.125331769	0.870474471	IFN
VILI_KOhigh_vs_WT	Ifit3	True	-0.316431252	0.316431252	6.135556585	0.300634411	1.0	IFN
VILI_KOhigh_vs_WT	Ifng	True	0.0	-0.0	-1.370254969	1.0	1.0	IFN
VILI_KOhigh_vs_WT	Il1b	True	1.728691073	-1.728691073	6.559003439	7.43239e-10	2.60194e-07	focal
VILI_KOhigh_vs_WT	Il6	True	2.237203233	-2.237203233	5.216584819	9.16083e-07	0.000182418	focal
VILI_KOhigh_vs_WT	Irf1	True	0.83274024	-0.83274024	6.599131552	0.00013541	0.012614018	IFN
VILI_KOhigh_vs_WT	Irf7	True	-0.086156644	0.086156644	3.901208059	0.786007822	1.0	IFN
VILI_KOhigh_vs_WT	Irf9	True	0.102889174	-0.102889174	5.209060968	0.659716472	1.0	IFN
VILI_KOhigh_vs_WT	Isg15	True	1.129691077	-1.129691077	2.089176649	0.020188724	0.375530071	IFN
VILI_KOhigh_vs_WT	Krt18	True	0.849535327	-0.849535327	9.029022955	9.89783e-06	0.001491891	EPI
VILI_KOhigh_vs_WT	Krt19	True	0.841394009	-0.841394009	8.835843645	4.35618e-05	0.005083377	EPI
VILI_KOhigh_vs_WT	Krt8	True	0.740358641	-0.740358641	8.646379237	0.000126472	0.011987192	EPI
VILI_KOhigh_vs_WT	Marveld2	True	0.172467196	-0.172467196	5.233371376	0.473449474	1.0	TJ
VILI_KOhigh_vs_WT	Mx1	True	0.081300102	-0.081300102	1.056009785	1.0	1.0	IFN
VILI_KOhigh_vs_WT	Nlrc5	True	0.726434927	-0.726434927	3.66866402	0.047238014	0.584386121	MHC
VILI_KOhigh_vs_WT	Oas1a	True	0.548742313	-0.548742313	1.987297035	0.236453291	1.0	IFN
VILI_KOhigh_vs_WT	Oas2	True	0.168681835	-0.168681835	1.877672544	0.792977445	1.0	IFN
VILI_KOhigh_vs_WT	Oasl1	True	1.312976494	-1.312976494	2.153306987	0.00827109	0.226385898	IFN
VILI_KOhigh_vs_WT	Ocln	True	0.187580023	-0.187580023	6.602724817	0.359650464	1.0	TJ
VILI_KOhigh_vs_WT	Psmb10	True	0.344158868	-0.344158868	4.891839876	0.209169475	1.0	MHC
VILI_KOhigh_vs_WT	Psmb8	True	0.442213088	-0.442213088	5.168903842	0.066659186	0.677576656	MHC
VILI_KOhigh_vs_WT	Psmb9	True	0.135683598	-0.135683598	4.072688526	0.654673681	1.0	MHC
VILI_KOhigh_vs_WT	Rsad2	True	1.713506621	-1.713506621	2.371212017	0.00076126	0.048740875	IFN
VILI_KOhigh_vs_WT	Sftpc	True	0.0	-0.0	13.31531512	1.0	1.0	EPI
VILI_KOhigh_vs_WT	Stat1	True	0.212370502	-0.212370502	6.033822167	0.324389208	1.0	IFN
VILI_KOhigh_vs_WT	Stat2	True	-0.078200752	0.078200752	4.853746705	0.767065267	1.0	IFN
VILI_KOhigh_vs_WT	Tacstd2	True	0.635229366	-0.635229366	7.590471025	0.007933722	0.220771082	focal
VILI_KOhigh_vs_WT	Tap1	True	0.006282841	-0.006282841	5.484613414	0.989067122	1.0	MHC
VILI_KOhigh_vs_WT	Tap2	True	-0.105665781	0.105665781	6.266369651	0.614696459	1.0	MHC
VILI_KOhigh_vs_WT	Tapbp	True	0.229426821	-0.229426821	8.042314877	0.24489375	1.0	MHC
VILI_KOhigh_vs_WT	Tjp1	True	-0.514176539	0.514176539	9.089944926	0.006903102	0.206461944	TJ
VILI_KOhigh_vs_WT	Tjp2	True	0.304114533	-0.304114533	7.577381969	0.14932691	0.912320439	TJ
VILI_KOhigh_vs_WT	Tnf	True	2.005217709	-2.005217709	4.411104744	8.30872e-11	3.7571e-08	focal
VILI_KOhigh_vs_WT	Usp18	True	0.277853121	-0.277853121	3.951673126	0.369220069	1.0	IFN
VILI_KOlow_vs_WT	Aqp5	True	0.378089489	-0.378089489	8.557371117	0.045357197	0.887716833	EPI
VILI_KOlow_vs_WT	B2m	True	0.117873459	-0.117873459	8.881689331	0.496582024	1.0	MHC
VILI_KOlow_vs_WT	Bst2	True	0.289304361	-0.289304361	4.941367666	0.152076249	1.0	IFN
VILI_KOlow_vs_WT	Ccl5	True	-0.603405106	0.603405106	2.980467486	0.049446094	0.915882579	IFN
VILI_KOlow_vs_WT	Cd274	True	0.170395932	-0.170395932	4.536860834	0.443627244	1.0	MHC
VILI_KOlow_vs_WT	Cdh1	True	-0.18836896	0.18836896	9.256143857	0.308521618	1.0	TJ
VILI_KOlow_vs_WT	Ciita	True	-0.735702288	0.735702288	3.718975245	0.007210493	0.32651514	MHC
VILI_KOlow_vs_WT	Cldn18	True	-0.01621055	0.01621055	10.04926013	0.941305529	1.0	TJ
VILI_KOlow_vs_WT	Cldn3	True	0.007971558	-0.007971558	7.636002992	0.966794861	1.0	TJ
VILI_KOlow_vs_WT	Cldn4	True	-12.69283342	12.69283342	6.133145479	1.77e-126	3.84e-122	Cldn4
VILI_KOlow_vs_WT	Cldn5	True	0.42009551	-0.42009551	8.852216275	0.017557518	0.550218004	TJ
VILI_KOlow_vs_WT	Cldn7	True	0.155195545	-0.155195545	6.165740451	0.412438542	1.0	TJ
VILI_KOlow_vs_WT	Cxcl10	True	-0.725140159	0.725140159	0.755501121	0.272492121	1.0	IFN
VILI_KOlow_vs_WT	Cxcl11	True	0.0	-0.0	-1.566426974	1.0	1.0	IFN
VILI_KOlow_vs_WT	Cxcl9	True	0.530514717	-0.530514717	-0.865987256	1.0	1.0	IFN
VILI_KOlow_vs_WT	Dhx58	True	-0.301429785	0.301429785	2.583320145	0.389151572	1.0	IFN
VILI_KOlow_vs_WT	Egr1	True	0.542752473	-0.542752473	9.680387835	0.036733245	0.798093185	focal
VILI_KOlow_vs_WT	Eif2ak2	True	-0.156375846	0.156375846	4.702699705	0.473023112	1.0	IFN
VILI_KOlow_vs_WT	Epcam	True	-0.096133786	0.096133786	6.230423821	0.613102264	1.0	EPI
VILI_KOlow_vs_WT	Erap1	True	-0.200639108	0.200639108	6.195124258	0.295647846	1.0	MHC
VILI_KOlow_vs_WT	F11r	True	-0.007014028	0.007014028	7.705036054	0.971138428	1.0	TJ
VILI_KOlow_vs_WT	Gbp2	True	0.076822239	-0.076822239	5.137476599	0.704213267	1.0	IFN
VILI_KOlow_vs_WT	Gbp3	True	-0.066247278	0.066247278	3.909306457	0.817205508	1.0	IFN
VILI_KOlow_vs_WT	H2-D1	True	0.038504585	-0.038504585	9.261907887	0.828040382	1.0	MHC
VILI_KOlow_vs_WT	H2-K1	True	-0.192842004	0.192842004	8.896458671	0.291189093	1.0	MHC
VILI_KOlow_vs_WT	H2-Q10	True	1.052709817	-1.052709817	5.256940266	1.29735e-06	0.000408101	MHC
VILI_KOlow_vs_WT	H2-Q6	True	0.152191177	-0.152191177	5.688601596	0.435971242	1.0	MHC
VILI_KOlow_vs_WT	H2-Q7	True	-0.564343884	0.564343884	5.039052544	0.106634569	1.0	MHC
VILI_KOlow_vs_WT	H2-T23	True	0.444075506	-0.444075506	6.462860253	0.013507322	0.470248483	MHC
VILI_KOlow_vs_WT	Hopx	True	0.054007992	-0.054007992	9.250756565	0.816550959	1.0	EPI
VILI_KOlow_vs_WT	Ifi44	True	-0.66682077	0.66682077	2.364310363	0.095848054	1.0	IFN
VILI_KOlow_vs_WT	Ifit1	True	-0.285238286	0.285238286	4.014773608	0.315524667	1.0	IFN
VILI_KOlow_vs_WT	Ifit2	True	-0.322614384	0.322614384	4.919402334	0.159254367	1.0	IFN
VILI_KOlow_vs_WT	Ifit3	True	-0.640515064	0.640515064	6.006273252	0.008235159	0.355356109	IFN
VILI_KOlow_vs_WT	Ifng	True	2.321928095	-2.321928095	-1.396501973	1.0	1.0	IFN
VILI_KOlow_vs_WT	Il1b	True	0.675012105	-0.675012105	5.830177807	0.021513942	0.604088108	focal
VILI_KOlow_vs_WT	Il6	True	0.758882783	-0.758882783	4.120073553	0.007832406	0.345533296	focal
VILI_KOlow_vs_WT	Irf1	True	0.338388639	-0.338388639	6.319269399	0.110345557	1.0	IFN
VILI_KOlow_vs_WT	Irf7	True	-0.101729887	0.101729887	3.876516522	0.723341253	1.0	IFN
VILI_KOlow_vs_WT	Irf9	True	-0.156513468	0.156513468	5.079231458	0.541284247	1.0	IFN
VILI_KOlow_vs_WT	Isg15	True	0.632695112	-0.632695112	1.700359566	0.187050332	1.0	IFN
VILI_KOlow_vs_WT	Krt18	True	0.16226297	-0.16226297	8.665394204	0.352674459	1.0	EPI
VILI_KOlow_vs_WT	Krt19	True	0.346726911	-0.346726911	8.563339007	0.074545901	1.0	EPI
VILI_KOlow_vs_WT	Krt8	True	0.199819375	-0.199819375	8.333685089	0.266690221	1.0	EPI
VILI_KOlow_vs_WT	Marveld2	True	0.03789984	-0.03789984	5.156380557	0.864547878	1.0	TJ
VILI_KOlow_vs_WT	Mx1	True	0.150025444	-0.150025444	0.957134982	0.885669335	1.0	IFN
VILI_KOlow_vs_WT	Nlrc5	True	0.115220898	-0.115220898	3.29775917	0.704053184	1.0	MHC
VILI_KOlow_vs_WT	Oas1a	True	0.283393493	-0.283393493	1.737353774	0.54819174	1.0	IFN
VILI_KOlow_vs_WT	Oas2	True	-0.168681835	0.168681835	1.681500539	0.775697168	1.0	IFN
VILI_KOlow_vs_WT	Oasl1	True	0.72038271	-0.72038271	1.700359566	0.162511835	1.0	IFN
VILI_KOlow_vs_WT	Ocln	True	0.035845199	-0.035845199	6.52434708	0.848433433	1.0	TJ
VILI_KOlow_vs_WT	Psmb10	True	0.064488726	-0.064488726	4.741912056	0.80082441	1.0	MHC
