uid	accession	gdstype	entrytype	n_samples	platform	taxon	pdat	matched_queries	title	summary
200189185	GSE189185			117	24676;18573	Homo sapiens		ici_colitis	Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis.	This SuperSeries is composed of the SubSeries listed below.
200186144	GSE186144			111	16791;21290	Homo sapiens		ici_irae	T cell characteristics associated with toxicity to immune checkpoint blockade in patients with melanoma	This SuperSeries is composed of the SubSeries listed below.
200108666	GSE108666			104	16791	Homo sapiens		ici_pneumonitis	Longitudinal Saliva Omics Responses to Immune Perturbation: A Case Study [saliva small RNA-seq]	The investigation includes findings from our clinical trial, monitoring individualized response to pneumococcal vaccination, where we have carried out integrative profiling assessment of saliva pre and post vaccination in a single individual. This is to our knowledge the most extensive saliva-centered omics dataset on an individual, covering 100 timepoints over the course of one year. The time spa
200108664	GSE108664			100	20301	Homo sapiens		ici_pneumonitis	Longitudinal Saliva Omics Responses to Immune Perturbation: A Case Study [Saliva RNA-sequencing]	The investigation includes findings from our clinical trial, monitoring individualized response to pneumococcal vaccination, where we have carried out integrative profiling assessment of saliva pre and post vaccination in a single individual. This is to our knowledge the most extensive saliva-centered omics dataset on an individual, covering 100 timepoints over the course of one year. The time spa
200117580	GSE117580			96	20301	Homo sapiens		ici_pneumonitis	Inflammation induced by influenza virus impairs innate control of human pneumococcal carriage	Secondary bacterial pneumonia following influenza infection is a significant cause of mortality worldwide. Upper respiratory tract pneumococcal carriage is important as both determinants of disease and population transmission. The immunological mechanisms that contain pneumococcal carriage are well-studied in mice but remain unclear in humans. Loss of this control of carriage following influenza i
200206299	GSE206299			95	24676	Homo sapiens		ici_colitis	Colitis associated with immune checkpoint inhibitors [tissue_cells]	In this study we set investigate four aspects of irColitis that are vital  to the pathogenesis of most immunotherapy related adverse events: (1) the  interactions between CD8 T cells and other immune, epithelial, and  mesenchymal cells that sustain organ specific inflammation; (2) the  contribution of circulating immune cells to disease; (3) the epithelial and  mesenchymal defects that define pare
200287541	GSE287541			92	30173	Homo sapiens		ici_irae	Transcriptomic and proteomic characterization of cell and protein biomarkers of checkpoint inhibitor-induced liver injury [scRNA-seq]	Immune checkpoint inhibitors (ICI) targeting CTLA-4 and PD-1 have shown remarkable antitumor efficacy but can also cause immune-related adverse events, including checkpoint inhibitor-induced liver injury (ChILI). This multi-omic study aimed to investigate changes in blood samples from treated cancer patients who developed ChILI. PBMCs were analyzed by transcriptomic and T cell receptor sequencing 
200314698	GSE314698			83	34281	Homo sapiens		ici_irae	Pancreatic volume and immunological biomarkers predict checkpoint inhibitor-associated autoimmune diabetes in humans.	Background: Checkpoint inhibitor-associated autoimmune diabetes (CIADM) is a rare but life-altering complication of immune checkpoint inhibitor (ICI) therapy. Biomarkers that predict type 1 diabetes (T1D) are unreliable for CIADM. Aim To identify biomarkers for prediction of CIADM. Methods: From our prospective biobank, 14 CIADM patients who had metastatic melanoma treated with anti-PD-1±anti CTLA
200020346	GSE20346			81	6947	Homo sapiens		ici_pneumonitis	Expression profiling of critically ill influenza and bacterial pneumonia patients, also influenza vaccination recipients	Longitudinal Gene expression profiling of whole blood from critically ill influenza and bacterial pneumonia patients.  In addition before vs 7 days post influenza vaccination volunteer samples are assayed.
200144469	GSE144469			81	15520;16791;20301	Homo sapiens		ici_colitis	Molecular Pathways of Colon Inflammation Induced by Cancer Immunotherapy	Checkpoint blockade with antibodies specific for the PD-1 and CTLA-4 inhibitory receptors can induce durable responses in a wide range of human cancers. However, the immunological mechanisms responsible for severe inflammatory side effects remain poorly understood. Here we report a comprehensive single cell analysis of immune cell populations in colitis, a common and severe side effect of checkpoi
3919	GDS3919			81	6947	Homo sapiens		ici_pneumonitis	Severe influenza A infection: whole blood	Analysis of whole blood (WB) from critically ill influenza and bacterial pneumonia patients for up to 5 days, and WB from before and 7 days post-influenza vaccination volunteers. Results provide insight into the role of host response in influencing disease progression in influenza A infection.
200228597	GSE228597			75	18573;24676	Homo sapiens		ici_irae	Immunologic drivers of immune checkpoint inhibitor therapy myocarditis, fatality and anti-tumor response in cancer patients	Immune checkpoint inhibitors (ICIs) can offer remarkable benefits to patients with cancer, but these agents can cause morbid and potentially fatal immune-related adverse events (irAEs), the most lethal of which is ICI-related myocarditis (irMyocarditis). The pathogenesis of irMyocarditis and its relationship to anti-tumor immunity remain poorly understood. We sought to define how immune cell traff
200266750	GSE266750			75	24676;24247	Homo sapiens; Mus musculus		ici_colitis	GATA6 is a Novel Regulator of Gene Expression and 3D Genome in Colorectal Cancer	This SuperSeries is composed of the SubSeries listed below.
200249898	GSE249898			72	24676	Homo sapiens		ici_irae	Multidimensional analysis reveals innate and adaptive immune features associated with toxicities in patients receiving checkpoint inhibitor therapy	Analysis of 162 patients revealed that individuals who developed clinically significant irAEs exhibited a baseline proinflammatory, autoimmune-like state characterized by a significantly higher abundance of CD57+ T and natural killer (NK) T cells, plasmablasts, proliferating and activated CXCR3+ lymphocytes, CD8+ effector and terminal effector memory T cells, along with reduced NK cells and elevat
200281729	GSE281729			67	24676	Homo sapiens		ici_irae	Response-Adaptive Surgical Timing in neoadjuvant immunotherapy demonstrates enhanced pathologic treatment response in Head and Neck Squamous Cell Carcinoma	Abstract:  Purpose: We evaluated whether IDO-inhibitor BMS986205 (IDOi) + PD-1 inhibitor nivolumab enhanced T-cell activity and augmented immune-mediated antitumor responses in untreated, resectable HNSCC. We employed response-adaptive surgical timing to identify responders to immunotherapy and enhance their response.  Patients and Methods: Patients with HNSCC were 3:1 randomized to receive nivolu
200186143	GSE186143			66	16791	Homo sapiens		ici_irae	T cell characteristics associated with toxicity to immune checkpoint blockade in patients with melanoma [bulk RNA-seq]	Severe immune-related adverse events (irAEs) occur in up to 60% of melanoma patients treated with immune checkpoint inhibitors (ICIs). However, it remains unknown whether a common baseline immunological state precedes irAE development. Leveraging CyTOF, single-cell RNA sequencing, bulk RNA sequencing, and T cell receptor sequencing to analyze pretreatment blood from metastatic melanoma patients tr
200180045	GSE180045			65	24676;24247	Homo sapiens; Mus musculus		ici_irae	Identification of Pathogenic Immune Cell Subsets in Checkpoint Inhibitor-induced Myocarditis	Immune checkpoint inhibitors (ICIs) are monoclonal antibodies used widely to activate the immune system against tumor cells. Despite their therapeutic benefits, ICIs are known to cause immune-related adverse events (irAE) such as myocarditis, a rare but serious side effect with up to 50% mortality. To identify pathogenic immune subset(s) responsible for ICI myocarditis and other irAE, we performed
200190564	GSE190564			62	24676	Homo sapiens		ici_colitis	Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis -  whole tissue scRNA-Seq	Adult inflammatory bowel disease is incompletely understood. We combine unbiased single-cell RNA sequencing (gene expression profiling, CITE-seq derived cell surface protein data, TCR and BCR sequence data) with unbiased spatial transcriptomics to interrogate changes across immune and non-immune populations in colitis and health, across tissue and blood. We compare idiopathic ulcerative colitis wi
200307261	GSE307261			58	18573	Homo sapiens		ici_irae	CTLA-4 Blockade Shifts the B Cell Repertoire Towards Autoimmunity	Checkpoint inhibitors targeting CTLA-4 and PD-1 revolutionized the treatment of cancer patients but their use is limited by the emergence of immune-related adverse events (irAE). We assessed autoreactive B cell frequencies in the blood of cancer patients before and after treatment with checkpoint inhibitors by testing the reactivity of recombinant antibodies cloned from single B cells. We found th
200151764	GSE151764			56	24014	Homo sapiens		ici_pneumonitis	Two distinct immunopathological profiles in lungs of lethal COVID-19	Immune responses in lungs of Coronavirus Disease 2019 (COVID-19) are poorly characterized. We conducted transcriptomic, histologic and cellular profiling of post mortem COVID-19 and normal lung tissues. Two distinct immunopathological reaction patterns were identified. One pattern showed high expression of interferon stimulated genes (ISGs) and cytokines, high viral loads and limited pulmonary dam
200319496	GSE319496			51	18573	Homo sapiens		ici_irae	Association between blood parameters, whole-blood transcriptomic profiles, and immune-related adverse events in metastatic renal cell carcinoma during nivolumab plus ipilimumab	Pretreatment immune profiles associated with immune-related adverse events (irAEs) may inform individualized management strategies, including enhanced monitoring and early toxicity intervention, in patients with metastatic renal cell carcinoma (mRCC) treated with nivolumab plus ipilimumab. In this cohort (n = 51), we analyzed pretreatment peripheral blood parameters and whole-blood transcriptomic 
200195471	GSE195471			48	24676	Homo sapiens		ici_irae	Pembrolizumab and decitabine for refractory or relapsed acute myeloid leukemia	Background: The powerful ‘graft versus leukemia’ effect thought partly responsible for the therapeutic effect of allogeneic hematopoietic cell transplantation in acute myeloid leukemia (AML) provides rationale for investigation of immune-based therapies in this high-risk blood cancer. There is considerable preclinical evidence for potential synergy between PD-1 immune checkpoint blockade and the h
200216329	GSE216329			48	24676	Homo sapiens		ici_irae;ici_pneumonitis;ici_colitis	Single cell RNA sequencing reveals distinct T cell populations in immune-related adverse events of checkpoint inhibitors	PD-1 is an essential inhibitory receptor in T cells, and antibodies that block its interaction with its ligands can augment anti-tumor immune responses. The clinical potential of these agents is limited by the fact that approximately half of all patients who receive anti-PD-1 treatment subsequently develop immune-related Adverse Events (irAEs). To generate insights into the cellular and molecular 
200199490	GSE199490			47	18573	Homo sapiens		ici_irae	PD-1 expressing CD4 and CD8 lymphocyte populations were compared to PD-1 negative CD4 and CD8 lymphocyte populations from 5 RA patients	Programmed cell death protein 1 (PD-1)-expressing T cells are expanded in individuals with established rheumatoid arthritis (RA). However, little is known about their functional role in the pathogenesis of early RA. We investigated the transcriptomic profiles of circulating CD4+ and CD8+ PD-1+ lymphocytes from patients with early RA (n=5) using fluorescence activated cell sorting in conjunction wi
200183415	GSE183415			46	15520;20301	Homo sapiens		ici_irae	Phase II Study of Immune Checkpoint Blockade with Pembrolizumab after High Dose Cytarabine in Relapsed/Refractory Acute Myeloid Leukemia	To address the role of immune dysregulation in AML, we conducted a phase II study of high-dose cytarabine followed by pembrolizumab 200 mg IV on day 14 to examine whether programmed death-1 inhibition improves clinical responses in relapsed/refractory (R/R) AML. Overall responders could receive pembrolizumab maintenance up to two years. Among thirty-seven patients enrolled, the overall response ra
200278119	GSE278119			44	24676	Homo sapiens		ici_irae;ici_pneumonitis;lung_ici	Clonally expanded effector CD4+ cytotoxic T lymphocytes are associated with severe neurological adverse events after immune checkpoint inhibitor therapy	Immune checkpoint inhibitor (ICI) therapies present a pillar of modern cancer therapy but can cause severe and potentially fatal neurological immune-related adverse events (n-irAEs). Here, we performed single-cell RNA sequencing and T cell receptor profiling of PBMCs of a cohort of 17 cancer patients receiving ICI therapy. Our data suggest alterations in regulatory T cell frequencies and B cell st
200335494	GSE335494			44	24676	Homo sapiens		ici_irae	B-cell depletion improves therapeutic index of combination checkpoint blockade in patients with advanced melanoma	Combined checkpoint blockade (CCB) of programmed-death-1 (PD-1) and cytotoxic-T-lymphocyte-associated protein-4 (CTLA-4) is highly active in melanoma but limited by significant morbidity from immune-related adverse events (irAEs). Effective strategies toprevent CCB-mediated irAEs are lacking. Patients with advanced melanoma were randomly assigned to receive standard of care ipilimumab and nivoluma
200229557	GSE229557			42	21697	Homo sapiens		ici_irae	Immune profile associated to vitiligo onset in melanoma patients undergoing treatment with checkpoint inhibitors gives insight into the raising of the adverse event and of the effective anti-tumor response	Immunotherapy with checkpoint inhibitors is an efficient treatment for metastatic melanoma. Development of vitiligo upon immunotherapy represents a specific immune-related adverse event (irAE) diagnosed in 15% of patients and associated with a positive clinical response. Therefore, a detailed characterization of immune cells during vitiligo onset in melanoma patients would give insight into the im
200107375	GSE107375			40	24311	Homo sapiens		ici_pneumonitis	High-resolution map of copy number variations in motor cortex of Control and Sporadic Amyotrphic Lateral Sclerosis patients by using a customized exon-centric comparative genomic hybridization array.	Amyotrophic lateral sclerosis (ALS) is an incurable and fatal neurodegenerative disease. Increasing the chances of success for future clinical strategies requires more in-depth knowledge of the molecular basis underlying disease heterogeneity. We recently laid the foundation for a molecular taxonomy of ALS by whole transcriptome expression profiling of motor cortex from sporadic ALS (SALS) patient
200260461	GSE260461			39	18573	Homo sapiens		ici_pneumonitis;lung_ici	Sex-dependent APOE4 Neutrophil-microglia interactions drive cognitive impairment in Alzheimer's Disease	APOE4 is the strongest genetic risk factor for Alzheimer's disease (AD), with increased odds ratios in females. Targeting amyloid plaques shows modest improvement in male non-APOE4 carriers. Leveraging single-cell transcriptomics across APOE variants in both sexes, multiplex flow cytometry, and validation in two independent cohorts of APOE4 female AD patients, we identify a new subset of neutrophi
200322576	GSE322576			38	24676	Homo sapiens		ici_irae	Inflammatory arthritis immune related adverse events represent a unique autoimmune disease entity primarily driven by T cells, but likely not autoantibodies	Immune checkpoint inhibitor (ICI)-induced inflammatory arthritis (IA) is an increasingly recognized immune-related adverse event (irAE), yet its underlying immunopathogenesis remains poorly understood. Unlike rheumatoid arthritis (RA), where autoantibodies and B cell dysfunction are central features, the contribution of humoral immunity to IA irAE is unclear. Here, we performed in-depth immunophen
200313101	GSE313101			37	24676	Homo sapiens		ici_irae	FOLFIRINOX Plus Nivolumab Promotes Irregular Intra-Tumoral Lymphoid Aggregates in Borderline Resectable Pancreatic Adenocarcinoma: A Phase 1 Trial	Combination therapies of chemotherapy and immune checkpoint inhibitors (ICIs) have failed to improve survival in pancreatic ductal adenocarcinoma (PDAC), except in rare MSI-H cases, despite their success in other solid tumors.  Most prior studies have been conducted in advanced disease. Here, we present clinical, pathologic, and translational results from a phase 1b/2 investigator-initiated study 
200206300	GSE206300			34	24676	Homo sapiens		ici_colitis	Colitis associated with immune checkpoint inhibitors [tissue_nuclei]	In this study we set investigate four aspects of irColitis that are vital  to the pathogenesis of most immunotherapy related adverse events: (1) the  interactions between CD8 T cells and other immune, epithelial, and  mesenchymal cells that sustain organ specific inflammation; (2) the  contribution of circulating immune cells to disease; (3) the epithelial and  mesenchymal defects that define pare
200212521	GSE212521			34	11154	Homo sapiens		ici_pneumonitis;lung_ici	First-in-human study of the novel fibroblast activation protein-targeted 4-1BB agonist RO7122290 in patients with advanced solid tumors	This first-in-human (FIH) study evaluated RO7122290, a novel, bispecific fusion protein carrying a split trimeric 4-1BB (CD137) ligand and a fibroblast activation protein-α (FAP) binding site that effectively co-stimulates T cells for improved tumor cell killing in FAP-expressing tumors. Patients with advanced and/or metastatic solid tumors received escalating weekly intravenous doses of RO7122290
200236367	GSE236367			34	10558	Homo sapiens		ici_irae	CTLA-4 pathway is instrumental in Giant Cell Arteritis	BACKGROUND: Giant Cell Arteritis (GCA) causes severe inflammation of the aorta and its branches and is characterized by intense effector T cells infiltration. The roles that immune checkpoints play in pathogenesis of GCA are still unclear.Our aim was to study the immune checkpoints interplay in GCA. METHODS: First, we used VigiBase, the WHO international pharmacovigilance database, to evaluate the
200056677	GSE56677			33	17077	Homo sapiens		ici_pneumonitis	Cytokine stimulation systems approach demonstrates differences in innate and pro-inflammatory host responses between genetically distinct MERS-CoV isolates.	Background: The recent emergence of a novel coronavirus in the Middle East (designated MERS-CoV) is a reminder of the zoonotic potential of coronaviruses and the severe disease these etiologic agents can cause in humans. Clinical features of Middle East respiratory syndrome (MERS) include severe acute pneumonia and renal failure that is highly reminiscent of severe acute respiratory syndrome (SARS
200297863	GSE297863			32	24676;16791	Homo sapiens		ici_irae	Immune-related cutaneous adverse events display distinct clinical and molecular characteristics, depending on immune checkpoints targeted	Background/Objectives: Immune-related cutaneous adverse events (ircAE) are common complications of cancer immunotherapy and provide insight into immune-related ad-verse events (irAE) more broadly. To enhance our molecular understanding, we char-acterized ircAE resulting from single-agent (PD1) and combined immunotherapy reg-imens (P+C). Clinically, maculopapular rashes (MPR) and toxic epidermal ne
200157789	GSE157789			31	24676	Homo sapiens		ici_pneumonitis	Dexamethasone modulates immature neutrophils and interferon programming in severe COVID-19	While critical for host defense, innate immune cells are also pathologic drivers of acute respiratory distress syndrome (ARDS). Innate immune dynamics during COVID-19 ARDS, compared to ARDS from other respiratory pathogens, is unclear. Moreover, mechanisms underlying beneficial effects of dexamethasone during severe COVID-19 remain elusive. Using scRNA-seq and plasma proteomics, we discovered that
200189126	GSE189126			29	21290	Homo sapiens		ici_irae	T cell characteristics associated with toxicity to immune checkpoint blockade in patients with melanoma [BCR and TCR scRNA-Seq]	Severe immune-related adverse events (irAEs) occur in up to 60% of melanoma patients treated with immune checkpoint inhibitors (ICIs). However, it remains unknown whether a common baseline immunological state precedes irAE development. Leveraging CyTOF, single-cell RNA sequencing, bulk RNA sequencing, and T cell receptor sequencing to analyze pretreatment blood from metastatic melanoma patients tr
200228540	GSE228540			29	24676	Homo sapiens		ici_pneumonitis	Integrated analysis of messenger RNA and microRNA in patients with community-acquired pneumonia associated sepsis (miRNA part)	Background: Community-acquired pneumonia (CAP) is defined as an acute lung infection involving the alveoli that occurs in a patient without recent health care exposure. A complication of CAP is severe sepsis, a syndrome of infection often accompanied by systemic inflammation and organ dysfunction. The aim of this study was to evaluate mRNA and miRNA in whole blood and to perform an integrative ana
200228541	GSE228541			29	28038;24676	Homo sapiens		ici_pneumonitis	Integrated analysis of messenger RNA and microRNA in patients with community-acquired pneumonia associated sepsis (mRNA part)	Background: Community-acquired pneumonia (CAP) is defined as an acute lung infection involving the alveoli that occurs in a patient without recent health care exposure. A complication of CAP is severe sepsis, a syndrome of infection often accompanied by systemic inflammation and organ dysfunction. The aim of this study was to evaluate mRNA and miRNA in whole blood and to perform an integrative ana
200202417	GSE202417			28	23126	Homo sapiens		lung_ici	Potential of Bezafibrate for Combination with Nivolumab in Treatment of Advanced Non-Small Cell Lung Cancer	Background. Novel combination therapies with PD-1/PD-L1 inhibitors are needed to overcome resistance to these drugs. Bezafibrate, a ligand of PGC-1a/PPAR complexes, has shown a synergistic antitumor effect with PD-1 blockade in mice that is mediated by activation of mitochondria in T cells. We have therefore now performed a phase I trial of bezafibrate with nivolumab in previously treated patients
200313597	GSE313597			27	30173	Homo sapiens		ici_irae	High throughput sequencing of B and T cells in checkpoint inhibitor treated patients	This is a prospective longitudinal study designed to identify biomarkers predictive of the onset of irAEs associated with ICI therapy and determine whether these biomarkers are further related to treatment efficacy. We obtained serial blood samples in patients who will be receiving anti-PD-1/PD-L1 either as a single agent or in combination with other therapy.
200296680	GSE296680			26	24676	Homo sapiens		ici_irae	Using plasma cell-free mRNA to profile immune response and myocardial damage in immune checkpoint inhibitor-induced myocarditis 	Immune checkpoint inhibitor-induced myocarditis (ICI-m) is a highly fatal cancer treatment complication with challenging diagnosis and invasive diagnostic methods. We developed a plasma cell-free mRNA (cf-mRNA) platform for noninvasive characterization of the immune and myocardial landscape in ICI-m. We sequenced bulk cell-free total RNA from plasma of cancer patients treated with ICIs: without im
200108665	GSE108665			25	20301;16791	Homo sapiens		ici_pneumonitis	Multi-omics profiling for individualized precision wellness [blood (PBMCs) RNA-seq]	The investigation includes findings from our clinical trial, monitoring individualized response to pneumococcal vaccination, where we have carried out integrative profiling on peripheral blood mononuclear cells (PBMCs) and saliva pre and post vaccination in a single individual. This is to our knowledge the most extensive saliva-centered omics dataset on an individual, covering 100 timepoints over 
200338460	GSE338460			25	24676	Homo sapiens		ici_irae	Immune hallmarks of recurrent immune checkpoint inhibitor-mediated inflammatory arthritis	Immune checkpoint inhibitor (ICI) therapy is often associated with immune-related adverse events including inflammatory arthritis (ICI-IA). However, the mechanisms underlying ICI-IA, especially its recurrence, have not been fully investigated. The purpose of this study is to elucidate mechanisms of recurrent ICI-IA by analyzing longitudinal synovial fluid (SF) samples. SF samples were collected fr
200189040	GSE189040			24	24676;18573	Homo sapiens		ici_colitis	Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis - CD3 scRNA-Seq	Adult inflammatory bowel disease is incompletely understood. We combine unbiased single-cell RNA sequencing (gene expression profiling, CITE-seq derived cell surface protein data, TCR and BCR sequence data) with unbiased spatial transcriptomics to interrogate changes across immune and non-immune populations in colitis and health, across tissue and blood. We compare idiopathic ulcerative colitis wi
200314805	GSE314805			24	33582	Homo sapiens		ici_irae	Prostate Tumor Immune Microenvironment Changes Following Immunotherapy Shared by Patients who Developed Anti-Tumor Response or Immune-Related Adverse Events	Here, we evaluated the changes within the tumor immune microenvironment in patients who had any PSA decline (clinical responder) while on treatment, or developed irAEs, with the goal of identifying mechanisms of response or adaptive mechanisms of treatment resistance. Specifically, we performed gene expression analysis of tumor biopsies by isolating total RNA from the FFPE tissue and also performe
200206298	GSE206298			23	24676	Homo sapiens		ici_colitis	Colitis associated with immune checkpoint inhibitors [blood_cells]	In this study we set investigate four aspects of irColitis that are vital  to the pathogenesis of most immunotherapy related adverse events: (1) the  interactions between CD8 T cells and other immune, epithelial, and  mesenchymal cells that sustain organ specific inflammation; (2) the  contribution of circulating immune cells to disease; (3) the epithelial and  mesenchymal defects that define pare
200253096	GSE253096			20	24247;20795	Homo sapiens; Mus musculus		ici_colitis	Targeting the FOXP3–T-bet interaction to restore Treg stability in IFN-γ–driven autoimmunity	Regulatory T cell (Treg) stability is maintained by dynamic remodeling of the FOXP3 transcriptional complex, and its disruption leads to Treg dysfunction and immune dysregulation. However, how specific FOXP3 mutations alter the dynamic remodeling of the FOXP3-complex and thereby contribute to pathogenic Treg reprogramming in IPEX syndrome remains unclear. Here, by uncovering the distinctive pathog
200210037	GSE210037			19	24676	Homo sapiens		ici_irae;ici_colitis	Checkpoint blockade-induced dermatitis and colitis are dominated by tissue resident memory T cells and  Th1/Tc1 cytokines	Immune checkpoint blockade (ICB) is therapeutically successful in multiple cancer types. However, immune-related adverse events (irAE) frequently occur and can sometimes be life-threatening. It is critical to understand the immunologic mechanisms of irAEs with the goal of finding novel treatment targets. Therefore, we studied tissues from irAE dermatitis cases using multiparameter immunofluorescen
200264586	GSE264586			19	24676	Homo sapiens		ici_irae	Sitravatinib in combination with nivolumab plus ipilimumab in patients with advanced clear cell renal cell carcinoma: a phase 1 trial	Sitravatinib is an immunomodulatory tyrosine kinase inhibitor that can improve responses when combined with immune checkpoint therapy (ICT). We conducted a phase I trial to determine the optimal dose of triplet therapy with sitravatinib plus nivolumab plus ipilimumab in 22 previously untreated patients with advanced clear cell renal cell carcinoma (ccRCC). The primary endpoint was safety. The addi
200235663	GSE235663			18	24676	Homo sapiens		ici_colitis	Stem-like T cells are associated with the pathogenesis of ulcerative colitis in humans [scRNAseq_Human]	To understand the role of T cells in the pathogenesis of ulcerative colitis (UC), we analyzed colonic T cells isolated from UC patients and controls. We identified colonic CD4+ and CD8+ 32 T lymphocyte subsets with gene expression profiles resembling stem-like progenitors, previously reported in animal models of diabetes and other contexts. Stem-like T cells were increased in inflamed areas compar
200246354	GSE246354			18	24676	Homo sapiens		lung_ici	GCN2 is a determinant of the response to WEE1 kinase inhibition in small-cell lung cancer 	Patients with small-cell lung cancer (SCLC) are in dire need of more effective therapeutic options. Frequent disruption of the G1 checkpoint in SCLC cells creates a greater dependency of these cells on the G2/M checkpoint to maintain genomic integrity. Indeed, in pre-clinical models, inhibiting the G2/M kinase WEE1 shows promise in inhibiting SCLC growth. However, toxicity and acquired resistance 
200274983	GSE274983			18	24676	Homo sapiens		ici_irae	Soluble Mesothelin-Related Peptide as a Prognosticator in Pleural Mesothelioma Patients Receiving Checkpoint Immunotherapy	Objective: Immune checkpoint therapy (ICT) has significantly impacted malignant pleural mesothelioma (MPM) treatment. Despite some promising results from combination therapies, nearly half of MPM patients do not benefit, underscoring the urgent need for reliable predictive biomarkers. This study assesses the prognostic value of serum soluble mesothelin-related peptide (SMRP) and PD-L1 levels in MP
200173303	GSE173303			16	24676	Homo sapiens		ici_irae	Distinct molecular and immune hallmarks of inflammatory arthritis induced by immune checkpoint inhibitor therapy	We report globel transcriptomic landscane and TCR sequencing of synovial fluid cells and autologoug peripheral blood mononuclear cells.
