contrast	filter	variant	method	set_name	thesis_expect	n_genes	effect	effect_name	p_method	p_kind	thesis_match	thesis_p	extra
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	NHEJ_CORE	down	6	-0.7479827229199498	NES	0.767	prerank_gsea_two_sided_absES	True	0.3835	ES=-0.3894;nperm=2000;leadingEdge_n=3;leading=Lig4,Prkdc,Nhej1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	NHEJ_PLUS_POL	down	10	0.8011598999936942	NES	0.7065	prerank_gsea_two_sided_absES	False	0.6467499999999999	ES=0.3862;nperm=2000;leadingEdge_n=2;leading=Polm,Dclre1c
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	up	21	0.47357509530232605	NES	0.9865	prerank_gsea_two_sided_absES	True	0.49325	ES=0.1936;nperm=2000;leadingEdge_n=2;leading=H2-Q7,Sec24a
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	up	279	-0.4832957589535418	NES	1.0	prerank_gsea_two_sided_absES	False	0.5	ES=-0.1326;nperm=2000;leadingEdge_n=79;leading=Fzr1,Psmb4,Fbxo30,Herc3,Fbxo6,Arel1,Rnf25,Cul3
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	up	31	-1.0718894339432474	NES	0.355	prerank_gsea_two_sided_absES	False	0.8225	ES=-0.4183;nperm=2000;leadingEdge_n=12;leading=Irf7,Trim56,Trim32,Dhx36,Stat6,Uba52rt,Dhx9,Uba52
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	-0.7501180337658385	NES	0.759	prerank_gsea_two_sided_absES	False	0.6205	ES=-0.3153;nperm=2000;leadingEdge_n=5;leading=Uba52rt,Abce1,Uba52,Irf9,Socs1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	REACTOME_INTERFERON_GAMMA_SIGNALING	up	16	-0.9395404347375519	NES	0.517	prerank_gsea_two_sided_absES	False	0.7415	ES=-0.4133;nperm=2000;leadingEdge_n=3;leading=Ybx1,Jak2,Socs1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	down	42	1.914244114931345	NES	0.0	prerank_gsea_two_sided_absES	False	1.0	ES=0.6923;nperm=2000;leadingEdge_n=9;leading=H2bc8,H2bc6,Bard1,Brca1,H2bc4,H2bc12,H4c14,H2ax
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	up	6	-1.1901515111288068	NES	0.3125	prerank_gsea_two_sided_absES	False	0.84375	ES=-0.6336;nperm=2000;leadingEdge_n=2;leading=Dtx4,Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	APM_MHC1_CORE	up	15	-1.6061225830672534	NES	0.028	prerank_gsea_two_sided_absES	False	0.986	ES=-0.6016;nperm=2000;leadingEdge_n=2;leading=Calr,Psmb8
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	CGAS_STING_CORE	up	4	-0.9039562657377096	NES	0.6045	prerank_gsea_two_sided_absES	False	0.69775	ES=-0.4999;nperm=2000;leadingEdge_n=1;leading=Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	up	28	-0.700568989415656	NES	0.9045	prerank_gsea_two_sided_absES	False	0.54775	ES=-0.2251;nperm=2000;leadingEdge_n=4;leading=H2-M3,H2-Q4,Get3,Calr
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	-1.0764595462078361	NES	0.338	prerank_gsea_two_sided_absES	False	0.831	ES=-0.3367;nperm=2000;leadingEdge_n=5;leading=Rnf7,Map3k7,Lyplal1,Sting1,Smpdl3a
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	74	-0.8078503667827924	NES	0.8395	prerank_gsea_two_sided_absES	True	0.41975	ES=-0.2114;nperm=2000;leadingEdge_n=19;leading=Aplf,Aste1,Smarcal1,Poll,Parp3,Polb,Usp51,Hmga2
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	up	79	-0.7571060151320893	NES	0.917	prerank_gsea_two_sided_absES	False	0.5415	ES=-0.1980;nperm=2000;leadingEdge_n=17;leading=Dhx9,Polr3g,Trim56,Cul3,Polr3c,Gapdh,Oas3,Pbld2
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	HALLMARK_DNA_REPAIR	down	142	1.0562281785078163	NES	0.3145	prerank_gsea_two_sided_absES	False	0.84275	ES=0.2523;nperm=2000;leadingEdge_n=52;leading=Sdcbp,Rad51,Nt5c,Nme1,Usp11,Xpc,Pcna,Lig1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	80	-1.181456236208077	NES	0.1935	prerank_gsea_two_sided_absES	False	0.90325	ES=-0.3033;nperm=2000;leadingEdge_n=18;leading=Herc6,Ube2l6,Csf1,Isg20,Uba7,Irf9,Slc25a28,Plscr1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	140	-1.4484268840000905	NES	0.0125	prerank_gsea_two_sided_absES	False	0.99375	ES=-0.3459;nperm=2000;leadingEdge_n=26;leading=Plscr1,Txnip,Sri,Tdrd7,Nampt,Mx2,Rtp4,Socs1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	IFN_ISG_COMPACT	up	26	-0.8340164527512037	NES	0.7055	prerank_gsea_two_sided_absES	False	0.64725	ES=-0.2749;nperm=2000;leadingEdge_n=6;leading=Herc6,Oas3,Irf9,Mx2,Trim30a,Samd9l
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	NHEJ_CORE	down	6	0.557990070215661	NES	0.9375	prerank_gsea_two_sided_absES	False	0.53125	ES=0.2754;nperm=2000;leadingEdge_n=1;leading=Xrcc6
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	NHEJ_PLUS_POL	down	10	1.124259083679208	NES	0.3035	prerank_gsea_two_sided_absES	False	0.84825	ES=0.4853;nperm=2000;leadingEdge_n=3;leading=Polm,Xrcc6,Dclre1c
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	up	21	-0.9481322288832529	NES	0.544	prerank_gsea_two_sided_absES	False	0.728	ES=-0.3269;nperm=2000;leadingEdge_n=8;leading=Sec24c,Tap2,Erap1,Sec23a,H2-M3,Sec24b,Sec24d,Calr
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	up	279	-1.0411633465603105	NES	0.345	prerank_gsea_two_sided_absES	False	0.8275	ES=-0.2270;nperm=2000;leadingEdge_n=66;leading=Mkrn1,Rnf41,Rnf25,Fbxo6,Cul3,Fzr1,Lonrf1,Fbxw7
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	up	31	-1.405189023800021	NES	0.078	prerank_gsea_two_sided_absES	False	0.961	ES=-0.4464;nperm=2000;leadingEdge_n=11;leading=Trim32,Dhx9,Trim56,Stat6,Dhx36,Uba52rt,Uba52,Nfkb1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	-0.9935798829322344	NES	0.4585	prerank_gsea_two_sided_absES	False	0.77075	ES=-0.3471;nperm=2000;leadingEdge_n=5;leading=Irf9,Abce1,Uba52rt,Socs1,Uba52
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	REACTOME_INTERFERON_GAMMA_SIGNALING	up	16	-1.1799598806831009	NES	0.2315	prerank_gsea_two_sided_absES	False	0.88425	ES=-0.4399;nperm=2000;leadingEdge_n=3;leading=Socs1,Jak2,Ybx1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	down	42	1.5009259078570143	NES	0.0275	prerank_gsea_two_sided_absES	False	0.98625	ES=0.4450;nperm=2000;leadingEdge_n=15;leading=H2bc4,Polm,H2bc6,Bard1,H2bc8,H2ax,Herc2,H2bc21
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_wald	REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	up	6	-1.2126110294947696	NES	0.2645	prerank_gsea_two_sided_absES	False	0.86775	ES=-0.5911;nperm=2000;leadingEdge_n=2;leading=Dtx4,Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	APM_MHC1_CORE	up	15	-1.3383431546541895	NES	0.1505	prerank_gsea_two_sided_absES	False	0.92475	ES=-0.5980;nperm=2000;leadingEdge_n=1;leading=Psmb8
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	CGAS_STING_CORE	up	4	-0.8594476719639783	NES	0.6395	prerank_gsea_two_sided_absES	False	0.68025	ES=-0.4973;nperm=2000;leadingEdge_n=1;leading=Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	up	28	0.5215503860506715	NES	0.9835	prerank_gsea_two_sided_absES	True	0.49175	ES=0.2038;nperm=2000;leadingEdge_n=8;leading=H2-Q6,H2-Q7,Raet1e,Raet1d,H2-Q1,Mfsd6,H2-T23,Ifi30
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	-0.764869301429322	NES	0.7785	prerank_gsea_two_sided_absES	False	0.61075	ES=-0.2916;nperm=2000;leadingEdge_n=4;leading=Irgm2,Lyplal1,Smpdl3a,Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	74	0.6091882717117036	NES	0.9825	prerank_gsea_two_sided_absES	False	0.50875	ES=0.2003;nperm=2000;leadingEdge_n=5;leading=Plk1,Aunip,Lig1,Polq,Polm
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	up	79	0.6983214283314705	NES	0.951	prerank_gsea_two_sided_absES	True	0.4755	ES=0.2253;nperm=2000;leadingEdge_n=6;leading=Ptpn22,Cgas,Trim65,Ticam1,Kpna2,Usp22
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	HALLMARK_DNA_REPAIR	down	142	-0.7407455057399184	NES	0.949	prerank_gsea_two_sided_absES	True	0.4745	ES=-0.2251;nperm=2000;leadingEdge_n=5;leading=Ak1,Pde4b,Rev3l,Bcam,Nme4
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	80	-1.4642847747545575	NES	0.0225	prerank_gsea_two_sided_absES	False	0.98875	ES=-0.4873;nperm=2000;leadingEdge_n=10;leading=Samd9l,Txnip,Casp1,Ncoa7,Ddx60,Gbp3,Rtp4,Psmb8
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	140	-1.2521176242181091	NES	0.0835	prerank_gsea_two_sided_absES	False	0.95825	ES=-0.3808;nperm=2000;leadingEdge_n=25;leading=Casp7,Isoc1,Irf9,Herc6,Nfkbia,Il18bp,Sspn,Nfkb1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	IFN_ISG_COMPACT	up	26	-1.6418732066122983	NES	0.0145	prerank_gsea_two_sided_absES	False	0.99275	ES=-0.6602;nperm=2000;leadingEdge_n=6;leading=Irf9,Herc6,Samd9l,Oas3,Mx2,Trim30a
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	NHEJ_CORE	down	6	-0.7443680260724049	NES	0.745	prerank_gsea_two_sided_absES	True	0.3725	ES=-0.3956;nperm=2000;leadingEdge_n=3;leading=Lig4,Prkdc,Nhej1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	NHEJ_PLUS_POL	down	10	0.8038821564851512	NES	0.6995	prerank_gsea_two_sided_absES	False	0.65025	ES=0.3818;nperm=2000;leadingEdge_n=2;leading=Polm,Dclre1c
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	up	21	0.46548298197727384	NES	0.9845	prerank_gsea_two_sided_absES	True	0.49225	ES=0.1912;nperm=2000;leadingEdge_n=2;leading=H2-Q7,Sec24a
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	up	279	-0.4843639143051163	NES	1.0	prerank_gsea_two_sided_absES	False	0.5	ES=-0.1343;nperm=2000;leadingEdge_n=79;leading=Fzr1,Psmb4,Fbxo30,Herc3,Arel1,Fbxo6,Rnf25,Fbxw9
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	up	31	-1.0620013255407488	NES	0.3485	prerank_gsea_two_sided_absES	False	0.82575	ES=-0.4224;nperm=2000;leadingEdge_n=12;leading=Irf7,Trim56,Trim32,Dhx36,Stat6,Uba52rt,Dhx9,Uba52
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	-0.7673645864192311	NES	0.747	prerank_gsea_two_sided_absES	False	0.6265000000000001	ES=-0.3228;nperm=2000;leadingEdge_n=5;leading=Uba52rt,Abce1,Uba52,Irf9,Socs1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	REACTOME_INTERFERON_GAMMA_SIGNALING	up	16	-0.9528086887670207	NES	0.504	prerank_gsea_two_sided_absES	False	0.748	ES=-0.4147;nperm=2000;leadingEdge_n=3;leading=Ybx1,Jak2,Socs1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	down	42	1.8953877101210774	NES	0.0	prerank_gsea_two_sided_absES	False	1.0	ES=0.6883;nperm=2000;leadingEdge_n=9;leading=H2bc8,Bard1,H2bc6,Brca1,H2bc4,H2bc12,H4c14,H2ax
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_logFC	REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	up	6	-1.1972375508999424	NES	0.2925	prerank_gsea_two_sided_absES	False	0.85375	ES=-0.6328;nperm=2000;leadingEdge_n=2;leading=Dtx4,Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	APM_MHC1_CORE	up	15	-1.4987701186763618	NES	0.0455	prerank_gsea_two_sided_absES	False	0.97725	ES=-0.5732;nperm=2000;leadingEdge_n=2;leading=Calr,Psmb8
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	CGAS_STING_CORE	up	4	-0.8476355902482158	NES	0.664	prerank_gsea_two_sided_absES	False	0.6679999999999999	ES=-0.4661;nperm=2000;leadingEdge_n=1;leading=Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	up	28	-0.7277640016236145	NES	0.8665	prerank_gsea_two_sided_absES	False	0.56675	ES=-0.2328;nperm=2000;leadingEdge_n=4;leading=H2-M3,H2-Q4,Get3,Calr
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	-1.116568905027041	NES	0.2615	prerank_gsea_two_sided_absES	False	0.86925	ES=-0.3492;nperm=2000;leadingEdge_n=5;leading=Rnf7,Lyplal1,Sting1,Map3k7,Smpdl3a
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	74	-0.8634200473638574	NES	0.7115	prerank_gsea_two_sided_absES	True	0.35575	ES=-0.2293;nperm=2000;leadingEdge_n=19;leading=Aplf,Aste1,Parp3,Smarcal1,Poll,Polb,Hmga2,Ercc6
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	up	79	-0.7538741447775306	NES	0.9125	prerank_gsea_two_sided_absES	False	0.54375	ES=-0.1986;nperm=2000;leadingEdge_n=17;leading=Dhx9,Polr3g,Gapdh,Trim56,Cul3,Oas3,Polr3c,Pbld2
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	HALLMARK_DNA_REPAIR	down	142	1.001186290168943	NES	0.4995	prerank_gsea_two_sided_absES	False	0.75025	ES=0.2332;nperm=2000;leadingEdge_n=51;leading=Sdcbp,Nt5c,Rad51,Xpc,Nme1,Pcna,Ada,Lig1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	80	-1.118387238058681	NES	0.2225	prerank_gsea_two_sided_absES	False	0.88875	ES=-0.2940;nperm=2000;leadingEdge_n=19;leading=Mvb12a,Ube2l6,Csf1,Herc6,Uba7,Isg20,Irf9,Slc25a28
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	140	-1.4699220034157887	NES	0.0095	prerank_gsea_two_sided_absES	False	0.99525	ES=-0.3508;nperm=2000;leadingEdge_n=26;leading=Sri,Tdrd7,Plscr1,Txnip,Nampt,Rtp4,Sspn,Socs1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	IFN_ISG_COMPACT	up	26	-0.8786912475537454	NES	0.641	prerank_gsea_two_sided_absES	False	0.6795	ES=-0.2874;nperm=2000;leadingEdge_n=6;leading=Herc6,Oas3,Irf9,Mx2,Samd9l,Trim30a
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	NHEJ_CORE	down	6	0.575773174990216	NES	0.9455	prerank_gsea_two_sided_absES	False	0.52725	ES=0.2795;nperm=2000;leadingEdge_n=1;leading=Xrcc6
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	NHEJ_PLUS_POL	down	10	1.129064225012093	NES	0.3175	prerank_gsea_two_sided_absES	False	0.84125	ES=0.4797;nperm=2000;leadingEdge_n=3;leading=Polm,Xrcc6,Dclre1c
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	up	21	-0.9590135153105303	NES	0.4885	prerank_gsea_two_sided_absES	False	0.75575	ES=-0.3329;nperm=2000;leadingEdge_n=8;leading=Tap2,Sec24c,Erap1,Sec23a,H2-M3,Sec24b,Sec24d,Calr
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	up	279	-1.0600008592739174	NES	0.256	prerank_gsea_two_sided_absES	False	0.872	ES=-0.2329;nperm=2000;leadingEdge_n=69;leading=Thop1,Znrf2,Fbxw4,Mkrn1,Fbxo6,Ube2l6,Herc6,Rnf41
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	up	31	-1.4257311821819962	NES	0.0565	prerank_gsea_two_sided_absES	False	0.97175	ES=-0.4540;nperm=2000;leadingEdge_n=11;leading=Trim32,Dhx9,Stat6,Trim56,Dhx36,Uba52rt,Uba52,Nfkb1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	-1.0020128289352421	NES	0.451	prerank_gsea_two_sided_absES	False	0.7745	ES=-0.3495;nperm=2000;leadingEdge_n=5;leading=Irf9,Abce1,Socs1,Uba52rt,Uba52
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	REACTOME_INTERFERON_GAMMA_SIGNALING	up	16	-1.147743359337017	NES	0.2745	prerank_gsea_two_sided_absES	False	0.86275	ES=-0.4285;nperm=2000;leadingEdge_n=3;leading=Socs1,Jak2,Ybx1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	down	42	1.5838570070462645	NES	0.0185	prerank_gsea_two_sided_absES	False	0.99075	ES=0.4579;nperm=2000;leadingEdge_n=16;leading=H2bc4,Polm,H2bc8,H2bc6,Bard1,H2ax,Herc2,Brca1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:edger_signed_sqrtF	REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	up	6	-1.1866639133760077	NES	0.2785	prerank_gsea_two_sided_absES	False	0.86075	ES=-0.5861;nperm=2000;leadingEdge_n=2;leading=Dtx4,Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:limma_logFC	APM_MHC1_CORE	up	15	-1.4149489042034527	NES	0.091	prerank_gsea_two_sided_absES	False	0.9545	ES=-0.6279;nperm=2000;leadingEdge_n=1;leading=Psmb8
