donor	cohort_id	matrix	compartment	CLDN4	PRKDC	LIG4	STING1	HLA-A	HLA-B	HLA-C	PTPRC	EPCAM	n_aliquots	NHEJ_mean	MHC_I
TCGA-OR-A5JL	TCGA-ACC	Toil	TCGA_solid_primary	4.4263	4.5497	3.0757	2.5087	11.3125	11.8573	11.1811	0.4125	4.7022	1	3.8126999999999995	11.4503
TCGA-OR-A5JM	TCGA-ACC	Toil	TCGA_solid_primary	0.5763	6.388	2.826	1.2147	7.9446	7.3653	8.4412	-2.6349	6.0871	1	4.607	7.917033333333333
TCGA-OR-A5JO	TCGA-ACC	Toil	TCGA_solid_primary	-5.0116	4.734	1.4652	4.6514	10.9426	11.6009	9.9768	3.6872	-0.2159	1	3.0996	10.840100000000001
TCGA-OR-A5JP	TCGA-ACC	Toil	TCGA_solid_primary	-2.3147	4.6101	0.6425	1.7229	8.1874	7.2662	6.6544	-1.1488	5.4634	1	2.6263	7.3693333333333335
TCGA-OR-A5JQ	TCGA-ACC	Toil	TCGA_solid_primary	-1.4699	5.1859	0.5568	3.325	9.4768	8.6382	7.4862	2.4252	4.0952	1	2.87135	8.533733333333334
TCGA-OR-A5JR	TCGA-ACC	Toil	TCGA_solid_primary	-0.2498	5.3082	1.3623	2.7615	10.1273	10.983	9.6797	1.5216	2.5462	1	3.3352500000000003	10.263333333333334
TCGA-OR-A5JS	TCGA-ACC	Toil	TCGA_solid_primary	0.6699	5.9134	2.0465	1.9564	8.5778	7.8589	8.1898	-0.8863	4.5844	1	3.97995	8.208833333333333
TCGA-OR-A5JT	TCGA-ACC	Toil	TCGA_solid_primary	2.1147	5.5482	1.7744	2.5061	10.7312	11.4989	10.5142	0.2277	3.0481	1	3.6612999999999998	10.914766666666667
TCGA-OR-A5JV	TCGA-ACC	Toil	TCGA_solid_primary	-0.3566	5.2888	1.8363	3.8167	10.4788	10.6006	9.8021	3.8915	4.359	1	3.56255	10.293833333333334
TCGA-OR-A5JW	TCGA-ACC	Toil	TCGA_solid_primary	1.0151	4.4509	2.5137	2.5011	9.086	8.5891	8.7574	0.4967	0.1257	1	3.4823	8.810833333333333
TCGA-OR-A5JX	TCGA-ACC	Toil	TCGA_solid_primary	-1.9942	2.9356	1.3791	1.0222	9.7751	8.6952	7.0519	-1.685	2.2175	1	2.15735	8.5074
TCGA-OR-A5JY	TCGA-ACC	Toil	TCGA_solid_primary	0.2154	6.1194	2.8877	2.236	9.3759	9.5314	9.6259	0.5069	1.0222	1	4.50355	9.511066666666666
TCGA-OR-A5JZ	TCGA-ACC	Toil	TCGA_solid_primary	1.4756	5.6949	1.4756	2.3019	11.1743	11.6693	9.9016	0.9642	3.9012	1	3.58525	10.915066666666668
TCGA-OR-A5K0	TCGA-ACC	Toil	TCGA_solid_primary	1.692	5.579	1.7828	1.736	8.8669	9.6247	8.6028	-2.5479	-3.6259	1	3.6809	9.031466666666667
TCGA-OR-A5K1	TCGA-ACC	Toil	TCGA_solid_primary	2.561	4.5838	0.8327	2.8955	10.3061	11.0423	9.0878	-0.3566	4.4771	1	2.70825	10.1454
TCGA-OR-A5K3	TCGA-ACC	Toil	TCGA_solid_primary	-0.6416	2.5363	0.2154	0.537	9.0777	8.9585	8.5658	-0.6873	2.3981	1	1.37585	8.867333333333333
TCGA-OR-A5K4	TCGA-ACC	Toil	TCGA_solid_primary	-0.3566	5.9876	1.9226	6.9563	9.9954	9.7642	8.844	-1.0862	4.3562	1	3.9551	9.534533333333334
TCGA-OR-A5K5	TCGA-ACC	Toil	TCGA_solid_primary	-1.0262	4.9472	0.9343	0.7664	9.4377	9.0729	8.7334	-2.5479	5.4453	1	2.94075	9.081333333333333
TCGA-OR-A5K6	TCGA-ACC	Toil	TCGA_solid_primary	0.9789	4.8812	2.9525	1.7403	8.9952	8.6867	7.5478	-0.5125	3.1701	1	3.91685	8.409899999999999
TCGA-OR-A5K8	TCGA-ACC	Toil	TCGA_solid_primary	-0.8863	1.7995	2.0147	0.9642	8.6551	8.448	6.6628	-2.9324	-0.1187	1	1.9071	7.921966666666666
TCGA-OR-A5K9	TCGA-ACC	Toil	TCGA_solid_primary	-0.9132	5.9921	2.1378	1.0642	9.2734	8.952	8.6462	-1.2481	1.6512	1	4.06495	8.9572
TCGA-OR-A5KO	TCGA-ACC	Toil	TCGA_solid_primary	-0.5973	5.9621	2.7401	1.8201	9.7072	9.7925	8.1282	-2.4659	4.7872	1	4.351100000000001	9.2093
TCGA-OR-A5KT	TCGA-ACC	Toil	TCGA_solid_primary	1.0983	4.3855	0.688	3.9175	9.7048	9.8598	9.793	1.3679	3.7603	1	2.53675	9.785866666666665
TCGA-OR-A5KU	TCGA-ACC	Toil	TCGA_solid_primary	-0.0574	5.1899	0.9191	1.5316	8.318	9.0974	7.6489	-2.3147	2.8877	1	3.0545	8.354766666666666
TCGA-OR-A5KV	TCGA-ACC	Toil	TCGA_solid_primary	-1.4305	5.0687	2.561	0.8488	8.9286	8.1137	8.3955	-2.3147	3.7539	1	3.81485	8.479266666666666
TCGA-OR-A5KW	TCGA-ACC	Toil	TCGA_solid_primary	4.7049	5.1563	2.6962	1.9415	7.9045	8.8576	7.8093	-1.8836	1.9111	1	3.92625	8.190466666666667
TCGA-OR-A5KX	TCGA-ACC	Toil	TCGA_solid_primary	0.1903	4.3958	1.3956	1.3225	9.8235	9.8518	8.4061	-1.8836	6.6644	1	2.8957	9.360466666666667
TCGA-OR-A5KY	TCGA-ACC	Toil	TCGA_solid_primary	-0.1665	4.5072	1.736	2.8076	6.2786	6.6304	6.1377	0.2762	-0.0425	1	3.1216	6.3488999999999995
TCGA-OR-A5KZ	TCGA-ACC	Toil	TCGA_solid_primary	1.6558	6.7481	0.1257	3.3163	10.3229	9.7668	8.6943	0.517	1.3167	1	3.4369	9.594666666666667
TCGA-OR-A5L3	TCGA-ACC	Toil	TCGA_solid_primary	-2.9324	0.605	0.9343	-0.2159	7.9639	6.4614	6.275	-4.6082	1.2085	1	0.76965	6.900099999999999
TCGA-OR-A5L4	TCGA-ACC	Toil	TCGA_solid_primary	2.9148	4.2243	1.0222	3.0056	9.2719	9.0773	8.7368	-0.9686	2.6067	1	2.62325	9.028666666666666
TCGA-OR-A5L5	TCGA-ACC	Toil	TCGA_solid_primary	-1.0862	3.991	1.4756	2.8916	10.1992	10.9554	9.9177	1.2147	3.2034	1	2.7333	10.357433333333333
TCGA-OR-A5L6	TCGA-ACC	Toil	TCGA_solid_primary	-1.1172	2.108	0.1519	1.8404	10.157	9.7255	8.5133	-0.7834	2.1114	1	1.12995	9.465266666666666
TCGA-OR-A5L8	TCGA-ACC	Toil	TCGA_solid_primary	-0.1345	5.6479	2.1013	1.6785	5.0466	6.2634	5.7501	-1.5105	5.0648	1	3.8746	5.686699999999999
TCGA-OR-A5L9	TCGA-ACC	Toil	TCGA_solid_primary	-3.1714	-0.394	-1.1488	0.346	9.3515	8.7455	6.234	-1.5951	2.8858	1	-0.7714000000000001	8.110333333333335
TCGA-OR-A5LA	TCGA-ACC	Toil	TCGA_solid_primary	-0.3752	2.183	-0.0725	2.0638	10.1912	10.7256	9.276	-0.0725	2.7763	1	1.05525	10.064266666666667
TCGA-OR-A5LB	TCGA-ACC	Toil	TCGA_solid_primary	0.8488	4.6849	2.328	2.1574	8.9891	8.9352	8.3125	-1.685	2.6325	1	3.50645	8.745600000000001
TCGA-OR-A5LC	TCGA-ACC	Toil	TCGA_solid_primary	-0.7834	5.4702	1.8564	3.034	8.6456	8.5445	8.7768	-1.7809	6.0007	1	3.6633	8.655633333333334
TCGA-OR-A5LD	TCGA-ACC	Toil	TCGA_solid_primary	-1.5522	0.8408	-2.1779	-0.5125	7.2597	5.1518	4.6312	-1.8314	2.2543	1	-0.6685500000000001	5.6809
TCGA-OR-A5LE	TCGA-ACC	Toil	TCGA_solid_primary	-1.4699	6.0002	2.3451	0.9935	8.9435	9.446	7.3265	-3.458	4.1788	1	4.17265	8.572
TCGA-OR-A5LG	TCGA-ACC	Toil	TCGA_solid_primary	-0.2671	3.5815	1.9786	2.4035	9.3874	8.5235	8.3229	-0.0425	0.2881	1	2.78005	8.7446
TCGA-OR-A5LH	TCGA-ACC	Toil	TCGA_solid_primary	3.1491	4.3075	1.766	2.5363	10.8551	11.2066	9.7548	-0.0877	5.4552	1	3.03675	10.605500000000001
TCGA-OR-A5LJ	TCGA-ACC	Toil	TCGA_solid_primary	0.2642	4.6329	1.8444	1.4174	7.9878	8.0717	7.7412	0.4016	3.0859	1	3.2386500000000003	7.933566666666667
TCGA-OR-A5LK	TCGA-ACC	Toil	TCGA_solid_primary	-0.5973	1.949	-0.6193	2.4198	7.739	7.9742	7.0729	1.9749	4.3681	1	0.66485	7.595366666666667
TCGA-OR-A5LL	TCGA-ACC	Toil	TCGA_solid_primary	-0.1187	5.6396	3.2112	1.8201	10.3508	9.3991	9.6742	-1.0559	0.3573	1	4.4254	9.808033333333334
TCGA-OR-A5LM	TCGA-ACC	Toil	TCGA_solid_primary	1.4756	3.1245	2.0183	1.614	11.0474	12.0324	11.2906	-0.8084	-0.6416	1	2.5713999999999997	11.4568
TCGA-OR-A5LN	TCGA-ACC	Toil	TCGA_solid_primary	-3.3076	1.9226	1.1316	1.3735	9.8562	9.4058	7.0794	1.0983	1.0007	1	1.5271	8.780466666666667
TCGA-OR-A5LO	TCGA-ACC	Toil	TCGA_solid_primary	1.7995	4.0567	1.0007	1.736	9.2161	8.73	7.4295	-2.3147	3.4358	1	2.5287	8.458533333333333
TCGA-OR-A5LP	TCGA-ACC	Toil	TCGA_solid_primary	-0.1031	4.6815	1.4704	3.506	8.9525	8.8525	8.8327	2.1345	4.17	1	3.0759499999999997	8.879233333333334
TCGA-OR-A5LS	TCGA-ACC	Toil	TCGA_solid_primary	-0.9971	4.6	1.9377	1.1833	6.7245	7.6668	7.4475	-0.5125	5.7195	1	3.2688499999999996	7.279599999999999
TCGA-OR-A5LT	TCGA-ACC	Toil	TCGA_solid_primary	-3.6259	3.772	2.727	0.547	9.7507	8.2802	8.3388	-0.9406	-2.2447	1	3.2495	8.789900000000001
TCGA-OU-A5PI	TCGA-ACC	Toil	TCGA_solid_primary	0.8805	4.3618	1.7446	3.2481	8.6931	8.262	7.4664	-0.0574	3.0127	1	3.0532	8.140500000000001
TCGA-P6-A5OF	TCGA-ACC	Toil	TCGA_solid_primary	1.5366	5.2138	3.2158	2.6395	8.9473	8.4919	8.7835	0.605	4.1587	1	4.2148	8.7409
TCGA-P6-A5OG	TCGA-ACC	Toil	TCGA_solid_primary	2.2663	5.8503	1.8242	5.6588	10.3111	10.7346	9.7415	2.7401	3.2405	1	3.83725	10.2624
TCGA-PA-A5YG	TCGA-ACC	Toil	TCGA_solid_primary	-1.9379	3.7171	0.8726	3.4197	8.867	8.5529	7.3518	2.651	2.6114	1	2.29485	8.257233333333334
TCGA-PK-A5H8	TCGA-ACC	Toil	TCGA_solid_primary	-0.2845	5.1855	1.787	1.8524	9.2325	8.9963	8.3351	0.5271	1.8604	1	3.48625	8.854633333333334
TCGA-PK-A5H9	TCGA-ACC	Toil	TCGA_solid_primary	-2.9324	5.1883	2.8381	2.7868	11.5081	11.8258	10.405	1.9073	1.9264	1	4.013199999999999	11.2463
TCGA-PK-A5HA	TCGA-ACC	Toil	TCGA_solid_primary	0.0158	4.7464	0.7748	2.9071	10.3099	10.5361	9.9839	1.736	3.1112	1	2.7606	10.276633333333335
TCGA-PK-A5HB	TCGA-ACC	Toil	TCGA_solid_primary	0.4967	5.6168	1.3623	2.7657	7.9481	8.0204	7.8053	-0.9971	1.4441	1	3.48955	7.924600000000001
TCGA-2F-A9KO	TCGA-BLCA	Toil	TCGA_solid_primary	9.2968	5.8344	2.826	3.7518	11.6382	12.1309	10.4685	4.0233	5.0264	1	4.3302	11.412533333333334
TCGA-2F-A9KP	TCGA-BLCA	Toil	TCGA_solid_primary	9.527	6.6106	1.6558	3.1327	8.2221	8.3247	9.4688	0.4865	7.0216	1	4.1331999999999995	8.671866666666666
TCGA-2F-A9KQ	TCGA-BLCA	Toil	TCGA_solid_primary	9.1068	5.2491	1.8683	3.652	8.5254	8.0096	9.1912	-0.4325	6.8221	1	3.5587	8.5754
TCGA-2F-A9KR	TCGA-BLCA	Toil	TCGA_solid_primary	8.1317	6.0164	2.1894	5.0981	10.4	11.0537	10.4724	1.1897	5.1835	1	4.1029	10.642033333333332
TCGA-2F-A9KT	TCGA-BLCA	Toil	TCGA_solid_primary	8.9968	5.7239	2.05	3.7324	7.7158	7.6421	7.1751	0.3346	6.332	1	3.88695	7.511
TCGA-2F-A9KW	TCGA-BLCA	Toil	TCGA_solid_primary	8.8571	6.3327	0.9115	4.5129	8.1569	9.1662	10.8187	2.0076	8.4591	1	3.6221	9.3806
TCGA-4Z-AA7M	TCGA-BLCA	Toil	TCGA_solid_primary	8.3509	6.6837	2.7993	3.8857	9.1585	8.4607	8.7593	-0.2498	7.3683	1	4.7415	8.792833333333332
TCGA-4Z-AA7N	TCGA-BLCA	Toil	TCGA_solid_primary	9.8974	5.8854	2.5585	5.4912	10.1391	10.3917	8.7315	6.5116	4.991	1	4.22195	9.7541
TCGA-4Z-AA7O	TCGA-BLCA	Toil	TCGA_solid_primary	8.1659	5.6781	1.2147	3.3549	10.7527	11.2432	10.2557	2.4908	6.417	1	3.4463999999999997	10.750533333333331
TCGA-4Z-AA7Q	TCGA-BLCA	Toil	TCGA_solid_primary	8.5316	5.3187	0.7748	5.9255	9.8729	10.9144	10.5033	3.027	6.4601	1	3.04675	10.430200000000001
TCGA-4Z-AA7R	TCGA-BLCA	Toil	TCGA_solid_primary	8.9219	6.3927	1.7185	3.3952	8.7566	8.501	8.5741	-0.6193	8.3433	1	4.0556	8.610566666666665
TCGA-4Z-AA7S	TCGA-BLCA	Toil	TCGA_solid_primary	10.4547	6.1285	1.4441	3.9719	6.2802	7.1105	7.5236	0.099	6.9866	1	3.7862999999999998	6.971433333333333
TCGA-4Z-AA7W	TCGA-BLCA	Toil	TCGA_solid_primary	9.8474	1.683	-0.0725	5.639	11.6955	12.486	11.5478	2.296	2.9319	1	0.80525	11.909766666666668
TCGA-4Z-AA7Y	TCGA-BLCA	Toil	TCGA_solid_primary	10.3247	6.511	1.7009	4.7751	9.238	9.6212	10.2875	-0.7108	6.433	1	4.10595	9.715566666666668
TCGA-4Z-AA80	TCGA-BLCA	Toil	TCGA_solid_primary	10.5853	6.3214	2.5213	2.376	9.753	10.0359	10.0933	0.5069	8.012	1	4.42135	9.960733333333332
TCGA-4Z-AA81	TCGA-BLCA	Toil	TCGA_solid_primary	10.0363	6.7934	2.3564	4.2781	11.6518	12.2864	11.5156	2.05	8.4332	1	4.5748999999999995	11.817933333333334
TCGA-4Z-AA82	TCGA-BLCA	Toil	TCGA_solid_primary	9.3301	6.0488	1.3791	6.7913	9.9016	10.2856	8.6972	2.5061	6.6959	1	3.71395	9.628133333333333
TCGA-4Z-AA83	TCGA-BLCA	Toil	TCGA_solid_primary	9.3278	4.6623	2.3048	5.1981	10.8087	10.1937	9.1728	1.2516	5.881	1	3.48355	10.0584
TCGA-4Z-AA84	TCGA-BLCA	Toil	TCGA_solid_primary	9.9051	7.3455	2.5213	2.3732	8.2201	7.6435	7.3856	-0.4921	8.728	1	4.933400000000001	7.749733333333334
TCGA-4Z-AA86	TCGA-BLCA	Toil	TCGA_solid_primary	6.5054	7.2182	2.3048	5.9263	10.989	11.7908	10.4228	4.5699	5.9821	1	4.7615	11.067533333333335
TCGA-4Z-AA87	TCGA-BLCA	Toil	TCGA_solid_primary	9.1803	5.5126	0.2762	2.826	7.6113	8.299	8.5846	1.6045	7.3531	1	2.8944	8.164966666666666
TCGA-4Z-AA89	TCGA-BLCA	Toil	TCGA_solid_primary	8.937	5.6924	2.4701	4.2465	10.7071	10.7727	9.3292	-0.1187	5.4829	1	4.08125	10.269666666666668
TCGA-5N-A9KI	TCGA-BLCA	Toil	TCGA_solid_primary	10.9311	4.7991	1.4228	6.3384	11.0929	11.7079	11.3697	1.6187	8.4304	1	3.11095	11.390166666666667
TCGA-5N-A9KM	TCGA-BLCA	Toil	TCGA_solid_primary	8.3107	4.9074	0.6969	4.3765	9.7545	10.1382	10.0726	1.8722	6.4504	1	2.80215	9.988433333333333
TCGA-BL-A0C8	TCGA-BLCA	Toil	TCGA_solid_primary	8.46600915771	3.76914191268	1.45467295597	3.00495999206	6.29682456316	7.10057419733	8.4676628026	0.919129355236	6.52830567865	1	2.611907434325	7.288353854363334
TCGA-BL-A13I	TCGA-BLCA	Toil	TCGA_solid_primary	0.80268752201	5.85858804363	1.42276794483	5.22951663505	9.63587577135	9.70490130568	9.23931645117	4.96320849012	-0.0178998446668	1	3.64067799423	9.526697842733332
TCGA-BL-A13J	TCGA-BLCA	Toil	TCGA_solid_primary	7.95991076673	5.16994515162	1.47042362682	3.2049287863	7.54725927095	7.91319129185	7.58228017309	2.95998833882	6.25267039146	1	3.32018438922	7.6809102452966656
TCGA-BL-A3JM	TCGA-BLCA	Toil	TCGA_solid_primary	5.8508	7.6786	2.5634	3.5237	9.9521	10.2463	9.9288	2.0395	9.3398	1	5.121	10.0424
TCGA-BL-A5ZZ	TCGA-BLCA	Toil	TCGA_solid_primary	5.191	6.3712	2.0183	5.9582	9.6074	9.7047	9.4219	3.3731	6.7987	1	4.19475	9.578000000000001
TCGA-BT-A0S7	TCGA-BLCA	Toil	TCGA_solid_primary	7.1946	6.2319	2.1957	3.3264	8.4449	8.2276	8.2645	1.1447	3.1797	1	4.2138	8.312333333333333
TCGA-BT-A0YX	TCGA-BLCA	Toil	TCGA_solid_primary	7.4122	5.6727	1.9859	5.6233	9.0397	9.3982	9.5505	3.3032	7.5127	1	3.8293	9.329466666666667
TCGA-BT-A20J	TCGA-BLCA	Toil	TCGA_solid_primary	7.9527	6.239	0.8164	5.6194	9.3507	9.9344	9.364	4.5255	8.0101	1	3.5277	9.5497
TCGA-BT-A20N	TCGA-BLCA	Toil	TCGA_solid_primary	7.2699	7.3573	1.4859	2.8542	9.2148	8.8202	8.217	0.1776	6.7935	1	4.4216	8.750666666666667
TCGA-BT-A20O	TCGA-BLCA	Toil	TCGA_solid_primary	-2.6349	6.2657	2.3788	5.6094	11.1855	11.8174	11.3394	6.5554	0.7664	1	4.32225	11.447433333333331
TCGA-BT-A20P	TCGA-BLCA	Toil	TCGA_solid_primary	8.1606	3.7825	0.5955	4.8851	9.2316	10.1279	8.5329	-1.9379	6.3616	1	2.189	9.297466666666667
TCGA-BT-A20Q	TCGA-BLCA	Toil	TCGA_solid_primary	7.9665	5.6189	2.2633	5.0117	10.6187	11.0061	10.0266	3.1876	3.5535	1	3.9411	10.550466666666667
TCGA-BT-A20R	TCGA-BLCA	Toil	TCGA_solid_primary	10.473	5.7722	1.4441	4.4816	8.3202	9.7532	10.1128	1.8078	8.1421	1	3.6081499999999997	9.3954
TCGA-BT-A20T	TCGA-BLCA	Toil	TCGA_solid_primary	8.534	5.3223	0.9935	3.906	10.8131	11.3489	10.3178	1.9377	4.4913	1	3.1579	10.8266
TCGA-BT-A20U	TCGA-BLCA	Toil	TCGA_solid_primary	8.4991	6.6929	1.8996	5.4155	10.2501	9.8237	8.2145	1.46	7.104	1	4.29625	9.429433333333334
TCGA-BT-A20V	TCGA-BLCA	Toil	TCGA_solid_primary	7.7371	7.0981	1.0711	6.9578	10.2607	10.3603	9.8359	2.1638	8.3058	1	4.0846	10.152300000000002
TCGA-BT-A20W	TCGA-BLCA	Toil	TCGA_solid_primary	9.4126	6.5062	1.884	4.2646	9.5873	10.2551	10.0896	3.242	7.6995	1	4.1951	9.977333333333334
TCGA-BT-A20X	TCGA-BLCA	Toil	TCGA_solid_primary	6.2957	6.0121	1.9415	4.3841	9.8936	9.7612	9.4635	1.7141	1.3901	1	3.9768	9.706100000000001
TCGA-BT-A2LA	TCGA-BLCA	Toil	TCGA_solid_primary	0.24	6.8607	2.0147	2.8681	8.2921	8.9219	9.5305	-1.5522	6.5067	1	4.4376999999999995	8.914833333333332
TCGA-BT-A2LB	TCGA-BLCA	Toil	TCGA_solid_primary	9.095	5.9598	0.7748	5.3349	10.692	11.3112	10.0398	2.2391	6.833	1	3.3673	10.681
TCGA-BT-A2LD	TCGA-BLCA	Toil	TCGA_solid_primary	9.8526	6.8299	1.1117	3.6669	10.1303	10.2919	9.8005	0.9789	8.3482	1	3.9708	10.074233333333334
TCGA-BT-A3PH	TCGA-BLCA	Toil	TCGA_solid_primary	10.4115	5.6419	1.4281	2.4252	7.5076	7.455	9.3582	-1.1172	6.5691	1	3.5349999999999997	8.106933333333332
TCGA-BT-A3PJ	TCGA-BLCA	Toil	TCGA_solid_primary	3.8013	6.9602	2.1378	4.576	11.5769	12.8283	11.9609	3.0393	6.3425	1	4.549	12.122033333333334
TCGA-BT-A3PK	TCGA-BLCA	Toil	TCGA_solid_primary	9.482	5.5696	1.5758	6.7978	10.3156	9.9201	8.6554	2.3251	6.1877	1	3.5727	9.630366666666667
TCGA-BT-A42C	TCGA-BLCA	Toil	TCGA_solid_primary	9.3477	5.5053	1.3791	4.0019	9.621	8.174	9.7443	-0.3383	7.5156	1	3.4422	9.179766666666668
TCGA-BT-A42E	TCGA-BLCA	Toil	TCGA_solid_primary	5.1194	6.1289	1.3679	3.9552	9.3784	10.5221	10.0259	3.0876	5.051	1	3.7483999999999997	9.975466666666668
TCGA-BT-A42F	TCGA-BLCA	Toil	TCGA_solid_primary	8.1061	5.8583	1.0079	4.067	9.3889	9.7071	9.0492	2.9224	5.9593	1	3.4331	9.381733333333335
TCGA-C4-A0EZ	TCGA-BLCA	Toil	TCGA_solid_primary	6.7801	7.1891	2.8178	3.3177	7.5181	7.6472	7.1644	-0.5756	8.5814	1	5.00345	7.443233333333333
TCGA-C4-A0F0	TCGA-BLCA	Toil	TCGA_solid_primary	-0.9132	7.2207	1.8762	4.8207	9.8076	9.8796	7.9324	1.9712	-0.3201	1	4.54845	9.206533333333335
TCGA-C4-A0F1	TCGA-BLCA	Toil	TCGA_solid_primary	3.1228	5.7898	1.1512	3.927	10.2786	10.2361	9.0844	0.8327	3.5815	1	3.4705	9.866366666666666
TCGA-C4-A0F6	TCGA-BLCA	Toil	TCGA_solid_primary	8.6024	6.206	0.679	3.8461	7.321	8.1405	7.8925	1.6093	7.9449	1	3.4425000000000003	7.784666666666666
TCGA-C4-A0F7	TCGA-BLCA	Toil	TCGA_solid_primary	8.0111	7.0782	1.0642	4.0584	8.6505	8.0897	8.1243	0.8408	7.7999	1	4.0712	8.288166666666667
TCGA-CF-A1HR	TCGA-BLCA	Toil	TCGA_solid_primary	10.4862	5.8795	2.118	4.3456	9.6081	9.5057	9.8471	1.2023	4.8274	1	3.9987500000000002	9.653633333333332
TCGA-CF-A1HS	TCGA-BLCA	Toil	TCGA_solid_primary	7.055	6.5535	2.6067	4.5355	9.4463	9.7403	8.8839	2.3536	5.6448	1	4.5801	9.356833333333332
TCGA-CF-A27C	TCGA-BLCA	Toil	TCGA_solid_primary	9.1567	4.9069	2.3251	4.47	8.6778	9.3737	9.0011	-0.1187	6.73	1	3.616	9.017533333333333
TCGA-CF-A3MF	TCGA-BLCA	Toil	TCGA_solid_primary	5.2582	2.0147	1.2756	1.3901	6.2536	6.04	5.9437	-3.816	2.7763	1	1.6451500000000001	6.0790999999999995
TCGA-CF-A3MG	TCGA-BLCA	Toil	TCGA_solid_primary	10.3132	6.1035	1.6558	3.7752	8.0853	7.9366	8.469	-3.0469	6.9881	1	3.8796500000000003	8.163633333333335
TCGA-CF-A3MH	TCGA-BLCA	Toil	TCGA_solid_primary	9.0444	5.0197	1.0151	3.9232	8.3268	8.5975	9.1141	-1.5105	6.6072	1	3.0174000000000003	8.679466666666668
TCGA-CF-A3MI	TCGA-BLCA	Toil	TCGA_solid_primary	8.3239	2.1638	1.0711	2.2268	7.1325	8.0851	7.5856	-1.5105	3.4129	1	1.61745	7.601066666666667
