cohort_id	matrix	compartment	in_lung_primary	n_samples	n_donors	n_donors_with_replicates	label
TCGA-GBM	Toil	TCGA_solid_primary	False	153	153	0	TCGA-GBM primary tumor
TCGA-HNSC	Toil	TCGA_solid_primary	False	518	518	0	TCGA-HNSC primary tumor
TCGA-KICH	Toil	TCGA_solid_primary	False	66	66	0	TCGA-KICH primary tumor
TCGA-KIRC	Toil	TCGA_solid_primary	False	530	530	0	TCGA-KIRC primary tumor
TCGA-KIRP	Toil	TCGA_solid_primary	False	288	288	0	TCGA-KIRP primary tumor
TCGA-LGG	Toil	TCGA_solid_primary	False	509	509	0	TCGA-LGG primary tumor
TCGA-LIHC	Toil	TCGA_solid_primary	False	369	369	0	TCGA-LIHC primary tumor
TCGA-LUAD	Toil	TCGA_solid_primary	True	513	513	0	TCGA-LUAD primary tumor
TCGA-LUSC	Toil	TCGA_solid_primary	True	498	498	0	TCGA-LUSC primary tumor
TCGA-MESO	Toil	TCGA_solid_primary	False	87	87	0	TCGA-MESO primary tumor
TCGA-OV	Toil	TCGA_solid_primary	False	419	419	0	TCGA-OV primary tumor
TCGA-PAAD	Toil	TCGA_solid_primary	False	178	178	0	TCGA-PAAD primary tumor
TCGA-PCPG	Toil	TCGA_solid_primary	False	177	177	0	TCGA-PCPG primary tumor
TCGA-PRAD	Toil	TCGA_solid_primary	False	495	495	0	TCGA-PRAD primary tumor
TCGA-READ	Toil	TCGA_solid_primary	False	92	92	0	TCGA-READ primary tumor
TCGA-SARC	Toil	TCGA_solid_primary	False	258	258	0	TCGA-SARC primary tumor
TCGA-SKCM	Toil	TCGA_solid_primary	False	102	102	0	TCGA-SKCM primary tumor
TCGA-STAD	Toil	TCGA_solid_primary	False	414	414	0	TCGA-STAD primary tumor
TCGA-TGCT	Toil	TCGA_solid_primary	False	148	148	0	TCGA-TGCT primary tumor
TCGA-THCA	Toil	TCGA_solid_primary	False	504	504	0	TCGA-THCA primary tumor
TCGA-THYM	Toil	TCGA_solid_primary	False	119	119	0	TCGA-THYM primary tumor
TCGA-UCEC	Toil	TCGA_solid_primary	False	180	180	0	TCGA-UCEC primary tumor
TCGA-UCS	Toil	TCGA_solid_primary	False	57	57	0	TCGA-UCS primary tumor
TCGA-UVM	Toil	TCGA_solid_primary	False	79	79	0	TCGA-UVM primary tumor
