gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
ACTR3	-0.4125613170037665	6.74959431530625	-1.7548824891998953	0.09152931243976738	0.23509341482566498	25	0.41221202396025575	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
TNFAIP6	-0.8013831650581086	0.6850670208018654	-1.754624892408376	0.09157426612323405	0.45672620314769397	25	0.41221202396025575	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CLDN16	-0.7976152758348156	0.7881413337865488	-1.7538432428784012	0.09171078840988944	0.45478139455939764	25	0.41221202396025575	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
FAS	-0.9282900775327712	3.48767168514228	-1.7456355658900968	0.09315483695626178	0.5317777064535446	25	0.4139993358211398	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
MAPK8	0.452410143388255	4.099439028816317	1.7342050835050669	0.09519810995411068	0.2608746495390683	25	0.4168588017199771	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
ACTR2	-0.3209066071948147	6.622518547583047	-1.7167591975077625	0.09839000386052005	0.18692581211195966	25	0.42134722998156565	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
LATS2	-0.916237641871826	2.7242318550010314	-1.715741573194419	0.09857895446625012	0.5340184420465766	25	0.4218444434065486	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CD74	-1.517398753422181	8.982390759137047	-1.7148186426183862	0.09875058815943885	0.884874187689748	25	0.42234742101058276	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
PPP2CA	-0.33259964052974783	6.033117457486967	-1.7027171073082545	0.10102456456176864	0.1953346443177158	25	0.42531641295012595	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
CRB3	0.9617133411033815	5.323257448010805	1.7013265171927023	0.10128868055126915	0.565272645423919	25	0.42573963574914336	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
