gse	gsm	title	source_name_ch1	characteristics_ch1	description	organism_ch1	supplementary_file	supplementary_file_1	label_ch1	label_ch2	source_name_ch2	characteristics_ch2
GSE22493	GSM558702	CLDN4 Replicate 3	SKOV-3-IP-Luc ovarian cancer cell line	cell line: SKOV-3-IP-Luc | protocol: CLDN4 overexpression (control)		Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM558nnn/GSM558702/suppl/GSM558702.txt.gz		Cy3	Cy5	SKOV-3-IP-Luc ovarian cancer cell line	protocol: CLDN4 knockdown | cell line: SKOV-3-IP-Luc
GSE245459	GSM7843076	shNC1	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: shNC	shNC1	Homo sapiens		NONE				
GSE245459	GSM7843077	shNC2	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: shNC	shNC2	Homo sapiens		NONE				
GSE245459	GSM7843078	shNC3	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: shNC	shNC3	Homo sapiens		NONE				
GSE245459	GSM7843079	sh1	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: sh	sh1	Homo sapiens		NONE				
GSE245459	GSM7843080	sh2	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: sh	sh2	Homo sapiens		NONE				
GSE245459	GSM7843081	sh3	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: sh	sh3	Homo sapiens		NONE				
GSE245459	GSM7843082	shDDP1	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: shDDP	shDDP1	Homo sapiens		NONE				
GSE245459	GSM7843083	shDDP2	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: shDDP	shDDP2	Homo sapiens		NONE				
GSE245459	GSM7843084	shDDP3	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: shDDP	shDDP3	Homo sapiens		NONE				
GSE245459	GSM7846650	shNCDDP1	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: shNCDDP	shNCDDP1	Homo sapiens		NONE				
GSE245459	GSM7846651	shNCDDP2	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: shNCDDP	shNCDDP2	Homo sapiens		NONE				
GSE245459	GSM7846652	shNCDDP3	SKOV3	cell line: SKOV3 | cell type: ovarian cancer | genotype: shNCDDP	shNCDDP3	Homo sapiens		NONE				
GSE274940	GSM8462258	EpH4 WT_1	EpH4	cell line: EpH4 | cell type: mouse mammary gland epithelial cells | genotype: WT | time: Day 7	WT1	Mus musculus		NONE				
GSE274940	GSM8462259	EpH4 WT_2	EpH4	cell line: EpH4 | cell type: mouse mammary gland epithelial cells | genotype: WT | time: Day 7	WT2	Mus musculus		NONE				
GSE274940	GSM8462260	EpH4 WT_3	EpH4	cell line: EpH4 | cell type: mouse mammary gland epithelial cells | genotype: WT | time: Day 7	WT3	Mus musculus		NONE				
GSE274940	GSM8462261	EpH4 Cldn-null_1	EpH4	cell line: EpH4 | cell type: mouse mammary gland epithelial cells | genotype: Cldn-null | time: Day 7	KO1	Mus musculus		NONE				
GSE274940	GSM8462262	EpH4 Cldn-null_2	EpH4	cell line: EpH4 | cell type: mouse mammary gland epithelial cells | genotype: Cldn-null | time: Day 7	KO2	Mus musculus		NONE				
GSE274940	GSM8462263	EpH4 Cldn-null_3	EpH4	cell line: EpH4 | cell type: mouse mammary gland epithelial cells | genotype: Cldn-null | time: Day 7	KO3	Mus musculus		NONE				
GSE289287	GSM8788410	T-47D WT, cell line, rep1	in vitro cell culture	tissue: in vitro cell culture | cell line: T-47D | cell type: breast cancer cell line | genotype: WT	Library name: OV-11B-RNA | DESeq2-DSG2KO_cells_vs_DSG2WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788411	T-47D WT, cell line, rep2	in vitro cell culture	tissue: in vitro cell culture | cell line: T-47D | cell type: breast cancer cell line | genotype: WT	Library name: OV-11C-RNA | DESeq2-DSG2KO_cells_vs_DSG2WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788412	T-47D WT, cell line, rep3	in vitro cell culture	tissue: in vitro cell culture | cell line: T-47D | cell type: breast cancer cell line | genotype: WT	Library name: OV-11D-RNA | DESeq2-DSG2KO_cells_vs_DSG2WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788413	T-47D DSG2 KO#1 cell line, rep1	in vitro cell culture	tissue: in vitro cell culture | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO	Library name: OV-12A-RNA | DESeq2-DSG2KO_cells_vs_DSG2WT.tsv | DESeq2-DSG2KO1_cells_vs_DSG2WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788414	T-47D DSG2 KO#1, cell line, rep2	in vitro cell culture	tissue: in vitro cell culture | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO	Library name: OV-12C-RNA | DESeq2-DSG2KO_cells_vs_DSG2WT.tsv | DESeq2-DSG2KO1_cells_vs_DSG2WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788415	T-47D DSG2 KO#1, cell line, rep3	in vitro cell culture	tissue: in vitro cell culture | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO	Library name: OV-12D-RNA | DESeq2-DSG2KO_cells_vs_DSG2WT.tsv | DESeq2-DSG2KO1_cells_vs_DSG2WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788416	T-47D DSG2 KO#2, cell line, rep1	in vitro cell culture	tissue: in vitro cell culture | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO	Library name: OV-13B-RNA | DESeq2-DSG2KO_cells_vs_DSG2WT.tsv | DESeq2-DSG2KO2_cells_vs_DSG2WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788417	T-47D DSG2 KO#2, cell line, rep2	in vitro cell culture	tissue: in vitro cell culture | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO	Library name: OV-13C-RNA | DESeq2-DSG2KO_cells_vs_DSG2WT.tsv | DESeq2-DSG2KO2_cells_vs_DSG2WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788418	T-47D DSG2 KO#2, cell line, rep3	in vitro cell culture	tissue: in vitro cell culture | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO	Library name: OV-13D-RNA | DESeq2-DSG2KO_cells_vs_DSG2WT.tsv | DESeq2-DSG2KO2_cells_vs_DSG2WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788419	T-47D WT, xenograft, animal 2812	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: WT | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-2812-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788420	T-47D WT, xenograft, animal 2808	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: WT | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-2808-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788421	T-47D WT, xenograft, animal 2810	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: WT | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-2810-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788422	T-47D Trop-2 KO, xenograft, animal 2815	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: TACSTD2 (Trop-2) KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-2815-RNA | DESeq2-Trop2KO_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788423	T-47D Trop-2 KO, xenograft, animal 2817	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: TACSTD2 (Trop-2) KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-2817-RNA | DESeq2-Trop2KO_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788424	T-47D Trop-2 KO, xenograft, animal 2818	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: TACSTD2 (Trop-2) KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-2818-RNA | DESeq2-Trop2KO_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788425	T-47D Trop-2 KO, xenograft, animal 2807	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: TACSTD2 (Trop-2) KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-2807-RNA | DESeq2-Trop2KO_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788426	T-47D DSG2 KO#2, xenograft, animal 4134	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-4134-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv | DESeq2-DSG2KO2_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788427	T-47D DSG2 KO#2, xenograft, animal 4135	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-4133-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv | DESeq2-DSG2KO2_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788428	T-47D DSG2 KO#2, xenograft, animal 4133	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-4135-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv | DESeq2-DSG2KO2_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788429	T-47D DSG2 KO#2, xenograft, animal 4121	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-4121-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv | DESeq2-DSG2KO2_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788430	T-47D DSG2 KO#1, xenograft, animal 4113	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-4113-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv | DESeq2-DSG2KO1_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788431	T-47D DSG2 KO#1, xenograft, animal 4197	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-4197-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv | DESeq2-DSG2KO1_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE289287	GSM8788432	T-47D DSG2 KO#1, xenograft, animal 4111	xenograft, breast tumor	tissue: xenograft, breast tumor | cell line: T-47D | cell type: breast cancer cell line | genotype: DSG2 KO | animal model: NRG female mouse; Mammary fat pad tumor	Library name: OV-4111-RNA | DESeq2-DSG2KO_tumors_vs_WT.tsv | DESeq2-DSG2KO1_tumors_vs_WT.tsv	Homo sapiens		NONE				
GSE334497	GSM9789678	4T1, KO, rep1	tumor tissue	tissue: tumor tissue | genotype: Trop2 KO | treatment: in vivo growth | batch: 1	Library name: KO162	Mus musculus		NONE				
GSE334497	GSM9789679	4T1, KO, rep2	tumor tissue	tissue: tumor tissue | genotype: Trop2 KO | treatment: in vivo growth | batch: 1	Library name: KO164	Mus musculus		NONE				
GSE334497	GSM9789680	4T1, KO, rep3	tumor tissue	tissue: tumor tissue | genotype: Trop2 KO | treatment: in vivo growth | batch: 1	Library name: KO165	Mus musculus		NONE				
GSE334497	GSM9789681	4T1, KO, rep4	tumor tissue	tissue: tumor tissue | genotype: Trop2 KO | treatment: in vivo growth | batch: 1	Library name: KO172	Mus musculus		NONE				
GSE334497	GSM9789682	4T1, KO, rep5	tumor tissue	tissue: tumor tissue | genotype: Trop2 KO | treatment: in vivo growth | batch: 1	Library name: RESUB-KO163R	Mus musculus		NONE				
GSE334497	GSM9789683	4T1, WT, rep1	tumor tissue	tissue: tumor tissue | genotype: WT | treatment: in vivo growth | batch: 1	Library name: RESUB-171R	Mus musculus		NONE				
GSE334497	GSM9789684	4T1, WT, rep2	tumor tissue	tissue: tumor tissue | genotype: WT | treatment: in vivo growth | batch: 1	Library name: RESUB-170R	Mus musculus		NONE				
GSE334497	GSM9789685	4T1, WT, rep3	tumor tissue	tissue: tumor tissue | genotype: WT | treatment: in vivo growth | batch: 1	Library name: RESUB-169R	Mus musculus		NONE				
GSE334497	GSM9789686	4T1, WT, rep4	tumor tissue	tissue: tumor tissue | genotype: WT | treatment: in vivo growth | batch: 1	Library name: RESUB-168R	Mus musculus		NONE				
GSE334497	GSM9789687	4T1, WT, rep5	tumor tissue	tissue: tumor tissue | genotype: WT | treatment: in vivo growth | batch: 1	Library name: control170	Mus musculus		NONE				
GSE50927	GSM1232580	WT no VILI	WT_lung	strain background: mixed 129S6, C57BL/6, BALB/c | genotype/variation: WT | tissue: whole lung | vili  condition: none	Sample 1 | processed data file: Cldn4lungWTvsKOgenes.csv | processed data file: VILIwtGenes.csv | processed data file: VILIwtkoloGenes.csv | processed data file: VILIwtkohiGenes.csv	Mus musculus		NONE				
GSE50927	GSM1232581	Cldn4 KO no VILI	Cldn4 KO_lung	strain background: mixed 129S6, C57BL/6, BALB/c | genotype/variation: Cldn4 KO | tissue: whole lung | vili  condition: none	Sample 2 | processed data file: Cldn4lungWTvsKOgenes.csv	Mus musculus		NONE				
GSE50927	GSM1232582	WT VILI	WT_VILI_lung	strain background: mixed 129S6, C57BL/6, BALB/c | genotype/variation: WT | exposed to: ventilator-induced lung injury (VILI) for 2 h | vili  condition: 40 cmH2O | tissue: whole lung	Sample 3 | processed data file: VILIwtGenes.csv	Mus musculus		NONE				
GSE50927	GSM1232583	Cldn4 KO VILIlow	Cldn4 KO_lung	strain background: mixed 129S6, C57BL/6, BALB/c | genotype/variation: Cldn4 KO | exposed to: ventilator-induced lung injury (VILI) for 2 h | vili  condition: 40 cmH2O | injury level: similar injury to WT | tissue: whole lung	Sample 4 | processed data file: VILIwtkoloGenes.csv	Mus musculus		NONE				
GSE50927	GSM1232584	Cldn4 KO VILIhigh	Cldn4 KO_lung	strain background: mixed 129S6, C57BL/6, BALB/c | genotype/variation: Cldn4 KO | exposed to: ventilator-induced lung injury (VILI) for 2 h | vili  condition: 40 cmH2O | injury level: higher injury than WT | tissue: whole lung	Sample 5 | processed data file: VILIwtkohiGenes.csv	Mus musculus		NONE				
