cohort	modality	cldn4_def	endpoint	endpoint_col	gate	n_total	n_high	n_low	cliff_delta	mwu_p	spearman_rho	spearman_p	spearman_n	tacstd2_companion_rho	median_high	median_low
GSE241934_Real	scRNA	epi_CLDN4_log1p_cp10k	T/NK	frac_tnk	Q4_vs_Q1	24	6	6	0.1111111111111111	0.8181818181818182	0.1782608695652174	0.404629262071875	24	0.477391304347826	0.47563584932911707	0.44887056350149357
GSE241934_Real	scRNA	epi_CLDN4_log1p_cp10k	CD8A	frac_cd8	median	24	12	12	0.2638888888888889	0.28547630885188247	0.18521739130434778	0.3862326819021753	24	0.477391304347826	0.2708196541592687	0.16653923324929065
GSE241934_Real	scRNA	epi_CLDN4_log1p_cp10k	CD8A	frac_cd8	Q4_vs_Q1	24	6	6	0.05555555555555555	0.9372294372294373	0.18521739130434778	0.3862326819021753	24	0.477391304347826	0.22190536952078224	0.23879447035656376
GSE148071	scRNA	malig_CLDN4_mean (TISCH)	ImmuneScore	immune_fraction	median	36	18	18	0.037037037037037035	0.861855796318015	-0.054568854568854575	0.7519313401584008	36	0.5070785070785071	0.28206675624179206	0.1824848629201088
GSE148071	scRNA	malig_CLDN4_mean (TISCH)	ImmuneScore	immune_fraction	Q4_vs_Q1	36	9	9	-0.08641975308641975	0.7910815129207817	-0.054568854568854575	0.7519313401584008	36	0.5070785070785071	0.3635280095351609	0.3604651162790697
GSE148071_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	median	36	18	18	-0.49691358024691357	0.010232551191693145	-0.39575892189971157	0.01688432431553232	36	0.48222996515679456	0.037390128465179154	0.25418275418275416
GSE148071_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	Q4_vs_Q1	36	9	9	-0.5308641975308642	0.060960283528817126	-0.39575892189971157	0.01688432431553232	36	0.48222996515679456	0.16	0.2702702702702703
GSE148071_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	median	41	21	20	-0.2357142857142857	0.19798839243897548	-0.2695398536231323	0.08833887458890977	41	0.48222996515679456	0.0145679516760272	0.0227702865148844
GSE148071_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	Q4_vs_Q1	41	11	11	-0.35537190082644626	0.1636812711420601	-0.2695398536231323	0.08833887458890977	41	0.48222996515679456	0.0272953345563128	0.0427429406829978
GSE207422_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	median	15	8	7	-0.42857142857142855	0.1892773892773893	-0.5107142857142856	0.051725498368269354	15	0.16785714285714282	0.07816084410578039	0.1967245461720599
GSE207422_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	Q4_vs_Q1	15	4	4	-0.5	0.34285714285714286	-0.5107142857142856	0.051725498368269354	15	0.16785714285714282	0.0775955674268678	0.3175809822361546
GSE207422_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	median	15	8	7	-0.42857142857142855	0.1892773892773893	-0.48571428571428565	0.06642631232518953	15	0.16785714285714282	0.07842626394281135	0.259310513976324
GSE207422_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	Q4_vs_Q1	15	4	4	-0.5	0.34285714285714286	-0.48571428571428565	0.06642631232518953	15	0.16785714285714282	0.0957321023610905	0.40804465672590673
GSE253013_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	median	9	5	4	-0.2	0.7301587301587302	-0.39999999999999997	0.286105101908313	9	0.7	0.1026186459326633	0.10647910692669016
GSE253013_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	Q4_vs_Q1	9	3	3	-0.5555555555555556	0.4	-0.39999999999999997	0.286105101908313	9	0.7	0.0169767441860465	0.1514492753623188
GSE253013_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	median	9	5	4	-0.5	0.2857142857142857	-0.6666666666666667	0.049867230568885125	9	0.7	0.0741474925614093	0.1791791014575325
GSE253013_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	Q4_vs_Q1	9	3	3	-1.0	0.1	-0.6666666666666667	0.049867230568885125	9	0.7	0.0186846659783625	0.2444942572461897
GSE131907_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	median	32	16	16	-0.1015625	0.6375611304257702	0.05718475073313783	0.7558993810643633	32	0.41202346041055715	0.0344536395879074	0.0610412249432225
GSE131907_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	Q4_vs_Q1	32	8	8	0.1875	0.5737373737373737	0.05718475073313783	0.7558993810643633	32	0.41202346041055715	0.0409806155471897	0.052318521257578646
GSE131907_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	median	32	16	16	-0.234375	0.26621422497906266	-0.0971407624633431	0.5968734614273277	32	0.41202346041055715	0.01602933279876135	0.06291730604043305
GSE131907_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	Q4_vs_Q1	32	8	8	0.0	1.0	-0.0971407624633431	0.5968734614273277	32	0.41202346041055715	0.0232028679566856	0.051588321822542804
GSE241934_IIT_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	median	11	6	5	-0.8666666666666667	0.017316017316017316	-0.6545454545454547	0.028864598957001903	11	0.9454545454545454	0.033459077292893	0.1646953804954251
GSE241934_IIT_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13	frac_CXCL13pos_T	Q4_vs_Q1	11	3	3	-1.0	0.1	-0.6545454545454547	0.028864598957001903	11	0.9454545454545454	0.0268256333830104	0.1646953804954251
GSE241934_IIT_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	median	11	6	5	-0.9333333333333333	0.008658008658008658	-0.7272727272727273	0.011204967253592074	11	0.9454545454545454	0.032903344939958445	0.2040325588534699
GSE241934_IIT_tls	scRNA	mal_CLDN4_mean_log1p_cp10k (TLS extract)	CXCL13_mean	cxcl13_mean_log1p_cp10k	Q4_vs_Q1	11	3	3	-1.0	0.1	-0.7272727272727273	0.011204967253592074	11	0.9454545454545454	0.0373495663368877	0.2653834480702838
GSE218989	bulk	CLDN4_log2tpm1	CD8A	CD8A_log2tpm1	median	355	178	177	-0.12413508538056243	0.04315957161121318	-0.17218151898836034	0.0011257074336079042	355	0.6098024450121771	2.913338728846755	3.195298098804616
GSE218989	bulk	CLDN4_log2tpm1	CD8A	CD8A_log2tpm1	Q4_vs_Q1	355	89	89	-0.3069056937255397	0.0004082541653454212	-0.17218151898836034	0.0011257074336079042	355	0.6098024450121771	2.464132634485907	3.320197123181247
GSE218989	bulk	CLDN4_log2tpm1	ImmuneScore	ESTIMATE_Immune_meanz	median	355	178	177	0.09077636005840158	0.13924502432801375	0.04397475194179425	0.4087897353236387	355	0.6098024450121771	0.1154278943840994	0.0234621207428979
GSE218989	bulk	CLDN4_log2tpm1	ImmuneScore	ESTIMATE_Immune_meanz	Q4_vs_Q1	355	89	89	0.042292639818204775	0.6270827501088106	0.04397475194179425	0.4087897353236387	355	0.6098024450121771	0.13365513922953	0.0260550411604135
GSE285029	bulk	CLDN4_log2p1	CD8A	CD8A	median	234	117	117	-0.010957703265395573	0.8855833284751491	0.06735776889621656	0.30488038778206983	234	0.52567572409822	2.330271553416697	2.5096958419333872
GSE285029	bulk	CLDN4_log2p1	CD8A	CD8A	Q4_vs_Q1	234	59	59	0.17581154840563057	0.10001316247850424	0.06735776889621656	0.30488038778206983	234	0.52567572409822	2.537544571964575	2.183645305394656
GSE285029	bulk	CLDN4_log2p1	ImmuneScore	immune8	median	234	117	117	-0.001387975746950106	0.986131434852467	0.08043278532844875	0.22028025836670387	234	0.52567572409822	-0.184186819469695	0.0143393626170697
GSE285029	bulk	CLDN4_log2p1	ImmuneScore	immune8	Q4_vs_Q1	234	59	59	0.1979316288422867	0.06409774244474323	0.08043278532844875	0.22028025836670387	234	0.52567572409822	0.1744089371869505	-0.2176240539720035
CPTAC_LUAD	bulk_RNA	CLDN4_RNA	CD8A	CIBERSORT_T_cell_CD8+	median	110	55	55	-0.25553719008264464	0.021023400572548843	-0.2252838533323833	0.017966389382884376	110	0.3918683756176749	0.1111751	0.150037036
CPTAC_LUAD	bulk_RNA	CLDN4_RNA	CD8A	CIBERSORT_T_cell_CD8+	Q4_vs_Q1	110	28	28	-0.27040816326530615	0.08384285104160184	-0.2252838533323833	0.017966389382884376	110	0.3918683756176749	0.1263404215	0.15216966850000002
CPTAC_LUAD	bulk_RNA	CLDN4_RNA	ImmuneScore	ESTIMATE_ImmuneScore	median	110	55	55	-0.07371900826446282	0.5069629423450537	-0.07875985907259682	0.4134281974192898	110	0.3918683756176749	8127.54	8202.736
CPTAC_LUAD	bulk_RNA	CLDN4_RNA	ImmuneScore	ESTIMATE_ImmuneScore	Q4_vs_Q1	110	28	28	-0.10204081632653061	0.517450674385169	-0.07875985907259682	0.4134281974192898	110	0.3918683756176749	8242.4565	8460.236499999999
CPTAC_LUAD	bulk_RNA	CLDN4_RNA	CXCL13	TLS_chemokine_RNA	median	110	55	55	-0.036694214876033054	0.7423083940717163	-0.05957707714049039	0.5364031495352334	110	0.3918683756176749	-0.159753979156197	0.0937854162013409
CPTAC_LUAD	bulk_RNA	CLDN4_RNA	CXCL13	TLS_chemokine_RNA	Q4_vs_Q1	110	28	28	-0.08163265306122448	0.6057249255219442	-0.05957707714049039	0.5364031495352334	110	0.3918683756176749	-0.25994765160148436	0.0225590593309243
CPTAC_LUAD_protein	protein	CLDN4_protein	CD8A	CIBERSORT_T_cell_CD8+	median	79	40	39	-0.02564102564102564	0.8483585374345783	-0.05856864654333009	0.6081524313478166	79	0.2745618305744888	0.1348973185	0.149237578
CPTAC_LUAD_protein	protein	CLDN4_protein	CD8A	CIBERSORT_T_cell_CD8+	Q4_vs_Q1	79	20	20	-0.04	0.8392322130718609	-0.05856864654333009	0.6081524313478166	79	0.2745618305744888	0.1215948835	0.149637307
CPTAC_LUAD_protein	protein	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	median	79	40	39	-0.24358974358974358	0.06314056402161107	-0.16772151898734178	0.13955015774719456	79	0.2745618305744888	7944.937	8770.69
CPTAC_LUAD_protein	protein	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	Q4_vs_Q1	79	20	20	-0.16	0.39417090995164517	-0.16772151898734178	0.13955015774719456	79	0.2745618305744888	8179.4215	8785.913
CPTAC_LUAD_protein	protein	CLDN4_protein	CXCL13	TLS_chemokine_RNA	median	79	40	39	-0.2782051282051282	0.03375744165171861	-0.1999026290165531	0.07734078855455098	79	0.2745618305744888	-0.32668439285943635	0.3964456272244593
CPTAC_LUAD_protein	protein	CLDN4_protein	CXCL13	TLS_chemokine_RNA	Q4_vs_Q1	79	20	20	-0.245	0.189543984158981	-0.1999026290165531	0.07734078855455098	79	0.2745618305744888	-0.17890643213285426	0.373119875038489
CPTAC_LSCC	bulk_RNA	CLDN4_RNA	CD8A	CIBERSORT_T_cell_CD8+	median	108	54	54	-0.11042524005486969	0.32404089837294237	0.0348019939957179	0.7206630408197003	108	0.4461759781373797	0.147740393	0.15497398
CPTAC_LSCC	bulk_RNA	CLDN4_RNA	CD8A	CIBERSORT_T_cell_CD8+	Q4_vs_Q1	108	27	27	0.0205761316872428	0.9036119592653111	0.0348019939957179	0.7206630408197003	108	0.4461759781373797	0.154467291	0.136747644
CPTAC_LSCC	bulk_RNA	CLDN4_RNA	ImmuneScore	ESTIMATE_ImmuneScore	median	108	54	54	-0.10356652949245541	0.3551006460398999	-0.1359303771377917	0.16070272062133734	108	0.4461759781373797	7985.4305	8173.996
CPTAC_LSCC	bulk_RNA	CLDN4_RNA	ImmuneScore	ESTIMATE_ImmuneScore	Q4_vs_Q1	108	27	27	-0.21810699588477367	0.17171993910435546	-0.1359303771377917	0.16070272062133734	108	0.4461759781373797	7990.761	8359.364
CPTAC_LSCC_protein	protein	CLDN4_protein	CD8A	CIBERSORT_T_cell_CD8+	median	78	39	39	-0.19789612097304404	0.13387175476147398	-0.2347905259297664	0.0385315095625223	78	0.08053971345110585	0.12717188	0.147718176
CPTAC_LSCC_protein	protein	CLDN4_protein	CD8A	CIBERSORT_T_cell_CD8+	Q4_vs_Q1	78	20	20	-0.31	0.09619629624919565	-0.2347905259297664	0.0385315095625223	78	0.08053971345110585	0.1304397765	0.18675151
CPTAC_LSCC_protein	protein	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	median	78	39	39	-0.326758711374096	0.013198840408122619	-0.43185927996054574	7.882580232023335e-05	78	0.08053971345110585	7693.499	8672.287
CPTAC_LSCC_protein	protein	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	Q4_vs_Q1	78	20	20	-0.62	0.0008357168217272526	-0.43185927996054574	7.882580232023335e-05	78	0.08053971345110585	7003.826999999999	9192.6595
