contrast	human_APM_gene	measured_gene	log2FC_KO_vs_control	PValue	FDR	direction
GSE50927_VILI_low	PSMB8	PSMB8	-0.05767	0.7984	1	DOWN
GSE50927_VILI_low	PSMB9	PSMB9	-0.05588	0.8474	1	DOWN
GSE50927_VILI_low	PSMB10	PSMB10	0.06449	0.8008	1	UP
GSE50927_VILI_low	ERAP1	ERAP1	-0.2006	0.2956	1	DOWN
GSE50927_VILI_low	ERAP2	ERAP2				NA
GSE50927_VILI_low	CALR	CALR	0.3527	0.04515	0.8862	UP
GSE50927_VILI_low	CANX	CANX	0.05165	0.7722	1	UP
GSE50927_VILI_low	PDIA3	PDIA3	0.06349	0.7158	1	UP
GSE50927_VILI_high	HLA-A	H2-K1	0.08005	0.7264	1	UP
GSE50927_VILI_high	HLA-B	H2-D1	0.2613	0.1972	0.9948	UP
GSE50927_VILI_high	HLA-C	H2-Q7	0.1907	0.6248	1	UP
GSE50927_VILI_high	B2M	B2M	0.3147	0.1424	0.9047	UP
GSE50927_VILI_high	NLRC5	NLRC5	0.7264	0.04724	0.5844	UP
GSE50927_VILI_high	TAP1	TAP1	0.006283	0.9891	1	UP
GSE50927_VILI_high	TAP2	TAP2	-0.1057	0.6147	1	DOWN
GSE50927_VILI_high	TAPBP	TAPBP	0.2294	0.2449	1	UP
GSE50927_VILI_high	PSMB8	PSMB8	0.4422	0.06666	0.6776	UP
GSE50927_VILI_high	PSMB9	PSMB9	0.1357	0.6547	1	UP
GSE50927_VILI_high	PSMB10	PSMB10	0.3442	0.2092	1	UP
GSE50927_VILI_high	ERAP1	ERAP1	-0.07578	0.7189	1	DOWN
GSE50927_VILI_high	ERAP2	ERAP2				NA
GSE50927_VILI_high	CALR	CALR	0.2622	0.1705	0.9461	UP
GSE50927_VILI_high	CANX	CANX	-0.2277	0.2302	1	DOWN
GSE50927_VILI_high	PDIA3	PDIA3	-0.03987	0.8352	1	DOWN
GSE207704_MCF7	HLA-A					NA
GSE207704_MCF7	HLA-B					NA
GSE207704_MCF7	HLA-C	HLA-C	1.389			UP
GSE207704_MCF7	B2M					NA
GSE207704_MCF7	NLRC5					NA
GSE207704_MCF7	TAP1					NA
GSE207704_MCF7	TAP2					NA
GSE207704_MCF7	TAPBP					NA
GSE207704_MCF7	PSMB8					NA
GSE207704_MCF7	PSMB9					NA
GSE207704_MCF7	PSMB10	PSMB10	0.3672			UP
GSE207704_MCF7	ERAP1	ERAP1	-0.0152			DOWN
GSE207704_MCF7	ERAP2					NA
GSE207704_MCF7	CALR	CALR	-0.1195			DOWN
GSE207704_MCF7	CANX	CANX	-0.04779			DOWN
GSE207704_MCF7	PDIA3	PDIA3	-0.2041			DOWN
GSE207704_T47D	HLA-A					NA
GSE207704_T47D	HLA-B					NA
GSE207704_T47D	HLA-C	HLA-C	-0.5209			DOWN
GSE207704_T47D	B2M					NA
GSE207704_T47D	NLRC5					NA
GSE207704_T47D	TAP1					NA
GSE207704_T47D	TAP2					NA
GSE207704_T47D	TAPBP					NA
GSE207704_T47D	PSMB8					NA
GSE207704_T47D	PSMB9					NA
GSE207704_T47D	PSMB10	PSMB10	-0.04347			DOWN
GSE207704_T47D	ERAP1	ERAP1	-0.5186			DOWN
GSE207704_T47D	ERAP2					NA
GSE207704_T47D	CALR	CALR	-0.2054			DOWN
GSE207704_T47D	CANX	CANX	0.1588			UP
GSE207704_T47D	PDIA3	PDIA3	0.02794			UP
GSE22493_SKOV3	HLA-A	HLA-A	-0.7532			DOWN
GSE22493_SKOV3	HLA-B	HLA-B	-1.556			DOWN
GSE22493_SKOV3	HLA-C	HLA-C	-1.252			DOWN
GSE22493_SKOV3	B2M	B2M	-2.556			DOWN
GSE22493_SKOV3	NLRC5					NA
GSE22493_SKOV3	TAP1	TAP1	-0.903			DOWN
GSE22493_SKOV3	TAP2	TAP2	-0.5564			DOWN
GSE22493_SKOV3	TAPBP	TAPBP	-0.1583			DOWN
GSE22493_SKOV3	PSMB8	PSMB8	0.5894			UP
GSE22493_SKOV3	PSMB9	PSMB9	1.609			UP
GSE22493_SKOV3	PSMB10	PSMB10	-0.0893			DOWN
GSE22493_SKOV3	ERAP1					NA
GSE22493_SKOV3	ERAP2					NA
GSE22493_SKOV3	CALR	CALR	0.48			UP
GSE22493_SKOV3	CANX	CANX	-1.089			DOWN
GSE22493_SKOV3	PDIA3					NA
