cohort,feature,spearman_rho,spearman_p,n,partial_rho_ESTIMATE,partial_p_ESTIMATE,partial_n_ESTIMATE,partial_rho_ABSOLUTE,partial_p_ABSOLUTE,partial_n_ABSOLUTE,partial_rho_CPE,partial_p_CPE,partial_n_CPE
NSCLC_pooled,TJ_CLDN1,0.4364,0.0,1017,0.434,0.0,1012,0.4267,0.0,682,0.4388,0.0,1016
NSCLC_pooled,TJ_CLDN4,0.2514,0.0,1017,0.2609,0.0,1012,0.2718,0.0,682,0.2512,0.0,1016
NSCLC_pooled,TJ_CLDN7,0.1054,0.0008,1017,0.0939,0.0028,1012,0.1207,0.0016,682,0.0998,0.0015,1016
NSCLC_pooled,TJ_F11R,0.2961,0.0,1017,0.2687,0.0,1012,0.2713,0.0,682,0.2953,0.0,1016
NSCLC_pooled,TJ_PARD3,0.1642,0.0,1017,0.1276,0.0,1012,0.1307,0.0006,682,0.1541,0.0,1016
LUAD,Cytolytic_CYT,-0.1115,0.0113,515,-0.1566,0.0004,511,-0.1294,0.0151,353,-0.1284,0.0035,515
LUAD,CD8_Tcell,-0.1091,0.0133,515,-0.1416,0.0013,511,-0.1354,0.011,353,-0.1199,0.0065,515
LUAD,Cytotoxic_effector,-0.1152,0.0089,515,-0.1604,0.0003,511,-0.1217,0.0224,353,-0.1347,0.0022,515
LUAD,Exhaustion,-0.0474,0.2829,515,-0.0905,0.041,511,-0.0434,0.417,353,-0.0499,0.2585,515
LUAD,IFNgamma_6gene,-0.0203,0.6455,515,-0.0364,0.4114,511,0.0085,0.8739,353,-0.0086,0.8459,515
LUAD,Tcell_inflamed_GEP,-0.0224,0.6116,515,-0.0503,0.2571,511,-0.003,0.9548,353,-0.01,0.8219,515
LUAD,gene_CD8A,-0.096,0.0294,515,-0.1291,0.0035,511,-0.1252,0.0188,353,-0.1063,0.0159,515
LUAD,gene_GZMA,-0.1297,0.0032,515,-0.1739,0.0001,511,-0.115,0.0309,353,-0.1493,0.0007,515
LUAD,gene_GZMB,-0.1464,0.0009,515,-0.1734,0.0001,511,-0.1805,0.0007,353,-0.1659,0.0002,515
LUAD,gene_PRF1,-0.1008,0.0221,515,-0.1364,0.002,511,-0.1432,0.0071,353,-0.1096,0.0129,515
LUAD,gene_IFNG,-0.1068,0.0153,515,-0.1294,0.0034,511,-0.0977,0.067,353,-0.1133,0.0101,515
LUAD,gene_PDCD1,-0.0699,0.1132,515,-0.0976,0.0275,511,-0.0817,0.1261,353,-0.0728,0.0992,515
LUAD,gene_CTLA4,-0.0931,0.0347,515,-0.1344,0.0024,511,-0.1166,0.0287,353,-0.108,0.0143,515
LUAD,gene_LAG3,-0.1142,0.0095,515,-0.1339,0.0025,511,-0.1191,0.0254,353,-0.1226,0.0054,515
LUAD,gene_HAVCR2,0.0382,0.3873,515,0.0634,0.1526,511,0.1148,0.0313,353,0.0787,0.0748,515
LUAD,gene_TIGIT,-0.0319,0.4698,515,-0.0594,0.1803,511,-0.0383,0.474,353,-0.0243,0.583,515
LUAD,gene_CD274,0.041,0.3534,515,0.0425,0.3378,511,0.0528,0.3235,353,0.064,0.1472,515
LUAD,gene_GZMK,-0.0537,0.2238,515,-0.0852,0.0544,511,-0.0428,0.4237,353,-0.053,0.2306,515
LUAD,gene_CXCL9,-0.0534,0.2268,515,-0.0688,0.1208,511,-0.0364,0.4964,353,-0.0505,0.2529,515
LUAD,TJ_CLDN1,0.3736,0.0,515,0.391,0.0,511,0.4412,0.0,353,0.3821,0.0,515
LUAD,TJ_CLDN4,0.4598,0.0,515,0.4612,0.0,511,0.4337,0.0,353,0.4598,0.0,515
LUAD,TJ_CLDN7,0.0538,0.2227,515,0.0575,0.1947,511,0.0261,0.625,353,0.0496,0.2614,515
LUAD,TJ_F11R,0.182,0.0,515,0.1862,0.0,511,0.1589,0.0028,353,0.1837,0.0,515
LUAD,TJ_PARD3,-0.0199,0.6516,515,-0.0151,0.7331,511,-0.0501,0.349,353,-0.025,0.571,515
LUSC,Cytolytic_CYT,-0.1279,0.0041,502,-0.0641,0.1525,501,-0.1518,0.0059,329,-0.1501,0.0008,501
LUSC,CD8_Tcell,-0.2335,0.0,502,-0.2089,0.0,501,-0.2159,0.0001,329,-0.2621,0.0,501
LUSC,Cytotoxic_effector,-0.1477,0.0009,502,-0.0923,0.0392,501,-0.1774,0.0013,329,-0.1778,0.0001,501
LUSC,Exhaustion,-0.1268,0.0044,502,-0.055,0.2198,501,-0.1934,0.0004,329,-0.1717,0.0001,501
LUSC,IFNgamma_6gene,-0.1766,0.0001,502,-0.1356,0.0024,501,-0.2071,0.0002,329,-0.2057,0.0,501
LUSC,Tcell_inflamed_GEP,-0.1594,0.0003,502,-0.1163,0.0092,501,-0.2121,0.0001,329,-0.2066,0.0,501
LUSC,gene_CD8A,-0.199,0.0,502,-0.1655,0.0002,501,-0.2106,0.0001,329,-0.2314,0.0,501
LUSC,gene_GZMA,-0.1017,0.0227,502,-0.0342,0.4457,501,-0.1089,0.0488,329,-0.1157,0.0096,501
LUSC,gene_GZMB,-0.1402,0.0016,502,-0.0838,0.0612,501,-0.1695,0.0021,329,-0.1572,0.0004,501
LUSC,gene_PRF1,-0.1588,0.0004,502,-0.1087,0.015,501,-0.1964,0.0003,329,-0.1882,0.0,501
LUSC,gene_IFNG,-0.1738,0.0001,502,-0.1358,0.0023,501,-0.2033,0.0002,329,-0.1867,0.0,501
LUSC,gene_PDCD1,-0.1882,0.0,502,-0.1485,0.0009,501,-0.2333,0.0,329,-0.2225,0.0,501
LUSC,gene_CTLA4,-0.1667,0.0002,502,-0.1276,0.0043,501,-0.2534,0.0,329,-0.213,0.0,501
LUSC,gene_LAG3,-0.2135,0.0,502,-0.1783,0.0001,501,-0.2504,0.0,329,-0.2368,0.0,501
LUSC,gene_HAVCR2,-0.1278,0.0041,502,-0.0556,0.2148,501,-0.1466,0.0078,329,-0.1676,0.0002,501
LUSC,gene_TIGIT,-0.1629,0.0002,502,-0.1183,0.0081,501,-0.2367,0.0,329,-0.2039,0.0,501
LUSC,gene_CD274,-0.0959,0.0318,502,-0.061,0.1733,501,-0.1224,0.0266,329,-0.0981,0.0282,501
LUSC,gene_GZMK,-0.1612,0.0003,502,-0.1107,0.0132,501,-0.1982,0.0003,329,-0.2006,0.0,501
LUSC,gene_CXCL9,-0.2553,0.0,502,-0.2376,0.0,501,-0.2878,0.0,329,-0.2814,0.0,501
LUSC,TJ_CLDN1,0.424,0.0,502,0.4296,0.0,501,0.3922,0.0,329,0.4306,0.0,501
LUSC,TJ_CLDN4,0.41,0.0,502,0.4024,0.0,501,0.424,0.0,329,0.4064,0.0,501
LUSC,TJ_CLDN7,0.4014,0.0,502,0.3907,0.0,501,0.4233,0.0,329,0.4016,0.0,501
LUSC,TJ_F11R,0.2479,0.0,502,0.2176,0.0,501,0.2531,0.0,329,0.2539,0.0,501
LUSC,TJ_PARD3,0.1511,0.0007,502,0.1143,0.0105,501,0.1517,0.0059,329,0.1521,0.0006,501
