list,n_list,set,n_set,n_overlap,genes
down_DMS53,2701,HALLMARK_E2F_TARGETS,200,131,"ANP32E,ASF1B,ATAD2,AURKA,AURKB,BARD1,BIRC5,BRCA1,BUB1B,CBX5,CCNB2,CCNE1,CDC20,CDC25A,CDC25B,CDCA3,CDCA8,CDK1,CDKN2A,CDKN2C,CDKN3,CENPE,CENPM,CHEK1,CHEK2,CKS2,CSE1L,CTPS1,DCTPP1,DDX39A,DEK,DEPDC1,DIAPH3,DLGAP5,DNMT1,DONSON,DSCC1,DUT,E2F8,EED,ESPL1,EZH2,GINS3,GINS4,H2AX,H2AZ1,HELLS,HMGA1,HMGB2,HMGB3,HNRNPD,JPT1,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LIG1,LYAR,MAD2L1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MMS22L,MRE11,MSH2,MXD3,MYBL2,MYC,NASP,NCAPD2,NME1,NOP56,ORC6,PCNA,PLK1,PLK4,POLA2,POLD1,POLD3,POLE,POLE4,PPP1R8,PRKDC,PSMC3IP,PTTG1,RACGAP1,RAD21,RAD51AP1,RAN,RANBP1,RBBP7,RFC2,RFC3,RNASEH2A,RPA1,RPA3,RRM2,SHMT1,SLBP,SMC1A,SMC3,SMC4,SMC6,SPAG5,SPC24,SPC25,SSRP1,STAG1,STMN1,SUV39H1,SYNCRIP,TACC3,TCF19,TIMELESS,TK1,TMPO,TOP2A,TRA2B,TRIP13,UBE2S,UBE2T,WDR90,WEE1,XPO1,XRCC6"
down_DMS53,2701,HALLMARK_G2M_CHECKPOINT,200,115,"AURKA,AURKB,BARD1,BIRC5,BUB1,BUB3,CASP8AP2,CCNA2,CCNB2,CCNF,CDC20,CDC25A,CDC25B,CDC45,CDC6,CDC7,CDK1,CDKN2C,CDKN3,CENPA,CENPE,CENPF,CHAF1A,CHEK1,CKS2,DBF4,DDX39A,DR1,E2F1,E2F2,E2F3,E2F4,ESPL1,EXO1,EZH2,FANCC,FBXO5,FOXN3,H2AX,H2AZ1,H2AZ2,HMGA1,HMGB3,HMGN2,HNRNPD,INCENP,JPT1,KATNA1,KIF11,KIF15,KIF20B,KIF22,KIF23,KIF2C,KIF4A,KNL1,KPNA2,KPNB1,MAD2L1,MAP3K20,MCM2,MCM3,MCM5,MCM6,MKI67,MYBL2,MYC,NASP,NCL,NDC80,NEK2,NSD2,NUP98,NUSAP1,ODC1,ODF2,ORC6,PAFAH1B1,PBK,PLK1,PLK4,POLA2,POLE,POLQ,PRC1,PTTG1,RACGAP1,RAD21,RAD54L,RBL1,SLC12A2,SLC7A5,SMARCC1,SMC1A,SMC4,SNRPD1,STAG1,STIL,STMN1,SUV39H1,SYNCRIP,TACC3,TFDP1,TMPO,TNPO2,TOP2A,TPX2,TRA2B,TRAIP,TROAP,TTK,UBE2C,UBE2S,UCK2,XPO1"
down_DMS53,2701,CLDN4,1,1,CLDN4
down_DMS53,2701,TACSTD2,1,1,TACSTD2
direct_232,232,NHEJ_CORE,13,1,DCLRE1C
direct_232,232,STING_CORE,11,0,
direct_232,232,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,0,
direct_232,232,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,1,PTPN1
direct_232,232,HALLMARK_DNA_REPAIR,150,6,"DGUOK,FEN1,GTF2H1,NCBP2,POLD1,RPA3"
direct_232,232,HALLMARK_APICAL_JUNCTION,200,2,"CLDN4,SKAP2"
direct_232,232,HALLMARK_E2F_TARGETS,200,11,"ASF1B,ATAD2,AURKA,CBX5,CDC25B,CDCA3,KIF18B,POLD1,RACGAP1,RPA3,SYNCRIP"
direct_232,232,HALLMARK_G2M_CHECKPOINT,200,11,"AURKA,CDC25B,DBF4,DR1,INCENP,KPNB1,NSD2,RACGAP1,STIL,SYNCRIP,TPX2"
direct_232,232,CLDN4,1,1,CLDN4
direct_232,232,TACSTD2,1,0,
near_ge2,3288,NHEJ_CORE,13,5,"DCLRE1C,PNKP,POLM,PRKDC,XRCC4"
near_ge2,3288,STING_CORE,11,2,"STING1,TREX1"
near_ge2,3288,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,11,"CASP8,IRF1,LGALS3BP,MVB12A,PSMB8,PSMB9,PSME2,RNF31,TAP1,TENT5A,TRIM14"
near_ge2,3288,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,27,"BPGM,CASP8,CDKN1A,HLA-DMA,IRF1,LGALS3BP,MTHFD2,NAMPT,NFKBIA,PELI1,PSMB10,PSMB8,PSMB9,PSME2,PTPN1,PTPN6,RAPGEF6,RBCK1,RIPK1,RNF31,SOD2,SPPL2A,STAT3,TAP1,TRIM14,UPP1,ZNFX1"
near_ge2,3288,HALLMARK_DNA_REPAIR,150,48,"AAAS,ADRM1,APRT,COX17,DGUOK,ELL,ERCC1,ERCC5,FEN1,GMPR2,GPX4,GTF2A2,GTF2F1,GTF2H1,GTF2H3,GTF3C5,GUK1,LIG1,MPG,NCBP2,NELFE,NME1,NT5C3A,NUDT21,PCNA,POLD1,POLD4,POLR1C,POLR1D,POLR2H,RAD52,RALA,RPA3,RRM2B,SEC61A1,SF3A3,SUPT4H1,SUPT5H,TAF10,TAF12,TAF13,TAF6,TARBP2,TP53,TSG101,USP11,VPS28,XPC"
near_ge2,3288,HALLMARK_APICAL_JUNCTION,200,28,"ACTB,ACTG1,ADAM15,AKT2,ARPC2,CAP1,CLDN4,CLDN7,CRB3,GNAI2,GTF2F1,JUP,KCNH2,LIMA1,MDK,MYH9,MYL12B,PFN1,PIK3R3,PTK2,RASA1,RRAS,SHC1,SKAP2,SYMPK,THBS3,TIAL1,VASP"
near_ge2,3288,HALLMARK_E2F_TARGETS,200,62,"ASF1B,ATAD2,AURKA,BRCA1,BRCA2,CBX5,CDC25B,CDCA3,CDCA8,CDKN1A,CKS1B,CKS2,CTCF,CTPS1,DCLRE1B,DCTPP1,EIF2S1,GSPT1,HNRNPD,ING3,KIF18B,LIG1,LMNB1,MCM4,MCM7,MLH1,MRE11,MTHFD2,NASP,NBN,NCAPD2,NME1,NUDT21,NUP107,ORC2,ORC6,PA2G4,PAICS,PCNA,PHF5A,PNN,POLD1,PRIM2,PRKDC,RACGAP1,RAD1,RAD50,RPA3,SLBP,SMC6,SNRPB,SPAG5,SRSF2,SYNCRIP,TACC3,TBRG4,TIPIN,TP53,TRIP13,UBE2S,UBR7,WDR90"
near_ge2,3288,HALLMARK_G2M_CHECKPOINT,200,43,"AMD1,AURKA,BRCA2,CCNT1,CDC25B,CDC27,CKS1B,CKS2,CTCF,CUL3,DBF4,DR1,E2F4,G3BP1,GSPT1,H2BC12,HNRNPD,HNRNPU,HSPA8,INCENP,KIF23,KPNB1,LMNB1,MEIS1,MEIS2,NASP,NSD2,NUMA1,ORC6,PRIM2,PRPF4B,RACGAP1,SMAD3,SNRPD1,SRSF10,SRSF2,STIL,SYNCRIP,TACC3,TPX2,TRAIP,UBE2S,YTHDC1"
near_ge2,3288,CLDN4,1,1,CLDN4
near_ge2,3288,TACSTD2,1,1,TACSTD2
down_ge2,1121,NHEJ_CORE,13,3,"APTX,DCLRE1C,XRCC6"
down_ge2,1121,STING_CORE,11,2,"ENPP1,IKBKE"
down_ge2,1121,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,5,"CMTR1,HLA-C,IFITM2,SAMD9,TRIM25"
down_ge2,1121,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,10,"CASP3,CASP4,CMTR1,HLA-A,HLA-B,IFITM2,IFNAR2,PTPN1,TOR1B,TRIM25"
down_ge2,1121,HALLMARK_DNA_REPAIR,150,15,"CANT1,DCTN4,DGUOK,DUT,FEN1,GTF2H1,NCBP2,NME4,POLA1,POLA2,POLD1,POLR2D,POLR3C,RPA3,TYMS"
down_ge2,1121,HALLMARK_APICAL_JUNCTION,200,11,"AKT3,CDH8,CLDN4,EXOC4,MAP3K20,MPZL1,NFASC,PIK3CB,SKAP2,SYK,VCL"
down_ge2,1121,HALLMARK_E2F_TARGETS,200,49,"ASF1B,ATAD2,AURKA,AURKB,BIRC5,CBX5,CCNE1,CDC25A,CDC25B,CDCA3,CDKN2C,CENPE,CENPM,DEK,DEPDC1,DIAPH3,DSCC1,DUT,E2F8,EED,ESPL1,GINS3,KIF18B,KIF2C,KIF4A,MAD2L1,MCM2,MCM5,MCM6,MELK,MKI67,MMS22L,MSH2,MYBL2,PLK1,POLA2,POLD1,RACGAP1,RAD51AP1,RPA3,RRM2,SMC1A,SMC4,STAG1,SUV39H1,SYNCRIP,TMPO,TOP2A,XRCC6"
down_ge2,1121,HALLMARK_G2M_CHECKPOINT,200,63,"AURKA,AURKB,BIRC5,BUB1,BUB3,CASP8AP2,CCNA2,CCNF,CDC25A,CDC25B,CDC45,CDKN2C,CENPE,CENPF,CHAF1A,DBF4,DR1,E2F2,E2F3,ESPL1,EXO1,FANCC,FOXN3,GINS2,INCENP,KIF11,KIF20B,KIF2C,KIF4A,KNL1,KPNB1,MAD2L1,MAP3K20,MCM2,MCM5,MCM6,MKI67,MYBL2,NCL,NEK2,NSD2,NUP98,PAFAH1B1,PBK,PLK1,POLA2,RACGAP1,RAD54L,SLC12A2,SMARCC1,SMC1A,SMC4,STAG1,STIL,SUV39H1,SYNCRIP,TFDP1,TMPO,TOP2A,TPX2,TROAP,TTK,UCK2"
down_ge2,1121,CLDN4,1,1,CLDN4
down_ge2,1121,TACSTD2,1,0,
