dataset,set,n_in_set,n_present,n_detected,median_log2fc_detected,mean_log2fc_detected,frac_up_detected,median_log2fc_all,frac_up_all,mw_p,wilcoxon_p,call
HBDEC2_KD,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,97,97,-0.01144512852171431,-0.03847288137757215,0.4845360824742268,-0.01144512852171431,0.4845360824742268,0.0913317666436607,0.4750729372685296,NULL
HBDEC2_KD,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,198,198,-0.021562273712341984,-0.012638685116609472,0.45454545454545453,-0.021562273712341984,0.45454545454545453,0.0072525652176441335,0.37215032206271437,WEAK
HBDEC2_KD,HALLMARK_DNA_REPAIR,150,148,148,-0.0627005761130377,-0.053001875440359905,0.36486486486486486,-0.0627005761130377,0.36486486486486486,0.10494032468434353,0.0020040376756071347,NULL
HBDEC2_KD,HALLMARK_APICAL_JUNCTION,200,200,200,0.0012277468322849927,-0.003542684357410022,0.505,0.0012277468322849927,0.505,5.87415965971702e-05,0.7353728784020942,WEAK
HBDEC2_KD,HALLMARK_E2F_TARGETS,200,199,199,-0.08039383802801225,-0.10752871577424389,0.271356783919598,-0.08039383802801225,0.271356783919598,0.3218663068047062,6.604890470405207e-12,NULL
HBDEC2_KD,HALLMARK_G2M_CHECKPOINT,200,198,198,-0.06105742012633142,-0.07508561829059807,0.35353535353535354,-0.06105742012633142,0.35353535353535354,0.2836730910700058,2.2887560131699936e-06,NULL
JEG3_KO,NHEJ_CORE,13,13,12,0.006528811331365958,-0.01993918118345739,0.5,0.014112428208000294,0.5384615384615384,0.7118311517441709,0.9697265625,NULL
JEG3_KO,STING_CORE,11,11,4,0.10146626551742677,0.27987687953300866,0.5,-0.06850065866854349,0.36363636363636365,,,INSUFFICIENT
JEG3_KO,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,97,63,-0.1864760480792782,-0.2551744969587278,0.3333333333333333,-0.050189764619777755,0.36082474226804123,0.005212208243580794,0.0018395902522192773,WEAK
JEG3_KO,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,199,128,0.0035587846390251476,-0.04688641652200466,0.5,0.0,0.49748743718592964,0.4090486711867879,0.5115864981302327,NULL
JEG3_KO,HALLMARK_DNA_REPAIR,150,149,140,-0.027755854994792273,-0.025905552456309197,0.42142857142857143,-0.026160499713412465,0.4161073825503356,0.8204611817761869,0.07263708695349205,NULL
JEG3_KO,HALLMARK_APICAL_JUNCTION,200,200,140,-0.03033154532248039,-0.007015979315439829,0.4785714285714286,0.0,0.465,0.25964157174199665,0.7487170689058045,NULL
JEG3_KO,HALLMARK_E2F_TARGETS,200,199,197,-0.045453706078173006,-0.08336031574159652,0.43147208121827413,-0.045453706078173006,0.4321608040201005,0.3960590033622453,0.0035440074395321234,NULL
JEG3_KO,HALLMARK_G2M_CHECKPOINT,200,197,192,-0.056666023542935484,-0.05111729534353615,0.4010416666666667,-0.055815506216383426,0.4010152284263959,0.5145254086935093,0.005147303501354231,NULL
CRPC_shELF3,NHEJ_CORE,13,13,11,0.15159610065024598,0.27170570591551474,0.7272727272727273,0.13288700030726774,0.6923076923076923,0.25914352881698877,0.240234375,NULL
CRPC_shELF3,STING_CORE,11,10,7,-0.2224928041350278,-0.1031932142569196,0.42857142857142855,-0.13258897892088542,0.4,0.4345109525303099,,NULL
CRPC_shELF3,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,93,64,-0.2635784960499734,-0.2753549657962233,0.359375,-0.20553275920425218,0.3010752688172043,0.00019218193622173475,0.0037034251172850647,DOWN
CRPC_shELF3,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,168,120,-0.22222340598524615,-0.2862931974134054,0.38333333333333336,-0.15877313647667812,0.3392857142857143,1.9072218263754368e-07,9.032581529656583e-05,WEAK
CRPC_shELF3,HALLMARK_DNA_REPAIR,150,148,141,0.10165089150467033,0.13960426805159512,0.6028368794326241,0.07854812415745571,0.5878378378378378,0.05411425877478468,0.006254406180365645,NULL
CRPC_shELF3,HALLMARK_APICAL_JUNCTION,200,172,117,-0.037599897689888806,-0.11138108586232351,0.47863247863247865,-0.03902954616433697,0.45930232558139533,0.014516177910410093,0.13503641447526057,WEAK
CRPC_shELF3,HALLMARK_E2F_TARGETS,200,199,198,0.6064471918533956,0.581949545844445,0.8484848484848485,0.6113291022226939,0.8492462311557789,7.095935004404341e-43,1.3631593746764215e-26,UP
CRPC_shELF3,HALLMARK_G2M_CHECKPOINT,200,197,191,0.39658728503305696,0.4323511253896448,0.7958115183246073,0.3898809203319389,0.7918781725888325,6.856774737759589e-23,1.0219042103123135e-18,UP
synov_siELF3_basal,NHEJ_CORE,13,13,13,0.15639835935317725,0.0661337623665239,0.6153846153846154,0.15639835935317725,0.6153846153846154,0.7920088195280791,0.375732421875,NULL
synov_siELF3_basal,STING_CORE,11,11,10,-0.14492692754310937,-0.060697290248989136,0.2,-0.05997131401814748,0.2727272727272727,0.1697610503770396,0.375,NULL
synov_siELF3_basal,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,97,90,-0.054438955976905457,0.019743056481232334,0.4444444444444444,-0.03810131168228281,0.4742268041237113,0.16532724386223907,0.9791345242637014,NULL
synov_siELF3_basal,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,198,166,-0.01305221320820893,0.027730262470390666,0.4819277108433735,0.008851494387337178,0.5050505050505051,0.2036259350134979,0.5610597730144959,NULL
synov_siELF3_basal,HALLMARK_DNA_REPAIR,150,150,145,-0.08463524618172258,-0.036954127089343855,0.4,-0.08118652400452486,0.3933333333333333,0.00013130175606026678,0.031056001032605255,WEAK
synov_siELF3_basal,HALLMARK_APICAL_JUNCTION,200,200,145,0.15263140209085146,0.10214348191422443,0.6344827586206897,0.06293025088947943,0.615,0.018989715394386035,6.232982499578747e-05,WEAK
synov_siELF3_basal,HALLMARK_E2F_TARGETS,200,199,196,0.15788367459144237,0.1528938838567172,0.6785714285714286,0.1560631159748247,0.678391959798995,6.2003954326303e-05,1.1926382394874349e-08,WEAK
synov_siELF3_basal,HALLMARK_G2M_CHECKPOINT,200,198,190,0.17056092081334773,0.18864157420883523,0.6789473684210526,0.15844620234634338,0.6767676767676768,1.5744961390706514e-06,3.2209044230624517e-10,WEAK
synov_siELF3_TNF16,NHEJ_CORE,13,13,13,0.04091318263212973,0.017740653797336272,0.6153846153846154,0.04091318263212973,0.6153846153846154,0.7499065240951204,0.635498046875,NULL
synov_siELF3_TNF16,STING_CORE,11,11,10,-0.5056677994592883,-0.42972756162047976,0.2,-0.45445695968893496,0.18181818181818182,0.0034185257574013356,0.037109375,DOWN
synov_siELF3_TNF16,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,97,95,-0.6925233315211703,-0.7687355714440834,0.07368421052631578,-0.6645543796495328,0.09278350515463918,2.2450232850804025e-39,4.329459437184004e-16,DOWN
synov_siELF3_TNF16,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,198,173,-0.4163715780244366,-0.5003286876742542,0.1791907514450867,-0.3405665191264686,0.20202020202020202,2.0906006778196796e-36,2.3382849867729725e-17,DOWN
synov_siELF3_TNF16,HALLMARK_DNA_REPAIR,150,150,146,-0.012582471079965352,0.027532660889606445,0.4794520547945205,-0.012582471079965352,0.48,0.1669103618496921,0.7405417487573156,NULL
synov_siELF3_TNF16,HALLMARK_APICAL_JUNCTION,200,200,146,0.029135109806292636,0.03860998866178968,0.5273972602739726,0.0,0.485,0.6900256463646071,0.17238101921503823,NULL
synov_siELF3_TNF16,HALLMARK_E2F_TARGETS,200,199,196,0.28079987415469665,0.30187719724575857,0.7704081632653061,0.27988885348206605,0.7688442211055276,2.1914699396588825e-16,3.1949452193484476e-19,UP
synov_siELF3_TNF16,HALLMARK_G2M_CHECKPOINT,200,198,193,0.27610356681349546,0.33258104319012494,0.7772020725388601,0.24435536911013253,0.7727272727272727,1.1002799869081799e-16,1.978330604493105e-18,UP
synov_siELF3_TNF_IL17_16,NHEJ_CORE,13,13,13,0.4643079212096044,0.39568615612167296,0.8461538461538461,0.4643079212096044,0.8461538461538461,0.15958122222307347,0.00341796875,NULL
synov_siELF3_TNF_IL17_16,STING_CORE,11,11,11,-0.003587080852054688,0.05752835574691795,0.45454545454545453,-0.003587080852054688,0.45454545454545453,0.2979573531916244,0.8310546875,NULL
synov_siELF3_TNF_IL17_16,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,97,95,-0.26552435162385074,-0.3602597960368998,0.3473684210526316,-0.2559797012920768,0.36082474226804123,2.978274161146914e-17,4.096654395359965e-06,DOWN
synov_siELF3_TNF_IL17_16,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,198,175,-0.14951473808195015,-0.16440939604382915,0.4228571428571429,-0.0574461341863783,0.42424242424242425,4.823003569567735e-14,0.00543122518350268,WEAK
synov_siELF3_TNF_IL17_16,HALLMARK_DNA_REPAIR,150,150,148,0.23005349614307447,0.17390480091646923,0.6554054054054054,0.2185482093210913,0.66,0.45076854416568546,0.0006604591970912464,NULL
synov_siELF3_TNF_IL17_16,HALLMARK_APICAL_JUNCTION,200,200,146,0.22390879806260822,0.21537855092990696,0.6917808219178082,0.13945571720998182,0.605,0.9435286321764382,1.9980469258490558e-07,NULL
synov_siELF3_TNF_IL17_16,HALLMARK_E2F_TARGETS,200,199,198,0.5666926101055318,0.561807576658812,0.8434343434343434,0.56364387120407,0.8442211055276382,2.0178010379293216e-17,3.938964452987278e-25,UP
synov_siELF3_TNF_IL17_16,HALLMARK_G2M_CHECKPOINT,200,198,195,0.49185061946830544,0.5158863655287911,0.8256410256410256,0.488815746584521,0.8181818181818182,5.359309452333026e-13,5.570262704132634e-23,UP
mTEC_KO_TNFa_IFNg,NHEJ_CORE,13,13,13,-0.14357169502505318,-0.11234964435888785,0.38461538461538464,-0.14357169502505318,0.38461538461538464,0.350328932007416,0.21630859375,NULL
mTEC_KO_TNFa_IFNg,STING_CORE,11,10,9,-0.021647405386512553,-0.06868131521320842,0.4444444444444444,-0.03144902795158222,0.4,0.48558162379418024,0.734375,NULL
mTEC_KO_TNFa_IFNg,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,90,76,-0.13622490380918295,-0.12130041910582871,0.34210526315789475,-0.13284121840173496,0.3111111111111111,0.0022126888024882217,0.0007092232285626131,WEAK
mTEC_KO_TNFa_IFNg,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,185,138,-0.10196238696099225,-0.10009600691747035,0.42028985507246375,-0.05971002474601628,0.3783783783783784,0.01703823349596408,0.0042420025817135314,WEAK
mTEC_KO_TNFa_IFNg,HALLMARK_DNA_REPAIR,150,143,140,0.010693457118854166,-0.002194827898376658,0.5071428571428571,0.014466597172045681,0.5104895104895105,0.5066379994192385,0.9635002346730184,NULL
mTEC_KO_TNFa_IFNg,HALLMARK_APICAL_JUNCTION,200,193,155,0.08983019598955666,0.12214072855654025,0.6193548387096774,0.07132334617782554,0.5906735751295337,1.906615158936005e-05,0.0007733850753043874,WEAK
mTEC_KO_TNFa_IFNg,HALLMARK_E2F_TARGETS,200,193,192,-0.13039778580626393,-0.17069662919058748,0.34375,-0.13062507304578297,0.34196891191709844,6.249341241159128e-08,3.748025863787898e-09,WEAK
mTEC_KO_TNFa_IFNg,HALLMARK_G2M_CHECKPOINT,200,196,195,-0.1108933990430212,-0.16874379427136094,0.3641025641025641,-0.10825561508665138,0.3673469387755102,1.0224396340437623e-06,2.6018406418453874e-07,WEAK
