gene	layer	score	n_high	n_low	U	p	rank_biserial_high_vs_low	median_high	median_low	fdr
CLDN4	protein	CIBERSORT_Macrophage_M2	39	39	744.0	0.8729644921296094	0.021696252465483234	0.43353484	0.415428386	0.9699605468106771
CLDN4	protein	HALLMARK_TGF_BETA_SIGNALING	39	39	761.0	1.0	-0.0006574621959236637	9.1448	9.265	1.0
CLDN4	rna	CIBERSORT_T_cell_CD8+	54	54	1297.0	0.32404089837294237	0.11042524005486964	0.147740393	0.15497398	0.5257620341150719
CLDN4	rna	ESTIMATE_ImmuneScore	54	54	1307.0	0.3551006460398999	0.10356652949245537	7985.4305	8173.996	0.5257620341150719
CLDN4	rna	xCell_T_cell_CD8+	54	54	1106.0	0.03046535548042041	0.24142661179698222	0.003058004	0.01330116	0.3046535548042041
CLDN4	rna	xCell_immune_score	54	54	1268.0	0.24427212186665836	0.13031550068587106	0.1160163304	0.1450901	0.5257620341150719
CLDN4	rna	HALLMARK_INTERFERON_GAMMA_RESPONSE	54	54	1311.0	0.3680334238805504	0.10082304526748975	14.19745	14.492	0.5257620341150719
CLDN4	rna	HALLMARK_INFLAMMATORY_RESPONSE	54	54	1480.0	0.8949005629715845	-0.015089163237311354	5.33765	5.868550000000001	0.8949005629715845
CLDN4	rna	PROGENy_JAK-STAT	54	54	1332.0	0.4406301529547014	0.0864197530864198	-0.262512595	0.0018061449999999995	0.5507876911933768
CLDN4	rna	xCell_T_cell_regulatory_(Tregs)	54	54	1168.0	0.06331681874360466	0.19890260631001366	5.974205e-21	1.9770980000000003e-18	0.3165840937180233
CLDN4	rna	CIBERSORT_Macrophage_M2	54	54	1286.0	0.29198611131460517	0.11796982167352543	0.4162647295	0.457460149	0.5257620341150719
CLDN4	rna	HALLMARK_TGF_BETA_SIGNALING	54	54	1520.0	0.7055166226559996	-0.04252400548696844	9.150500000000001	9.219449999999998	0.7839073585066662
