gse	gsm	sample	arm	icb	sort	leftover	note	n_cells_raw	n_cells_used	genes_found	Tacstd2_in_matrix	Cldn4_in_matrix	n_epithelial	n_tnk	pct_Epcam	pct_Cd3e	status	mtx_shape	n_cells_dropped
GSE268525	GSM8293873	Flox_ICI	ICI	icb		False	LLC1-sgLkb1 lung met; Sfrp2-flox; ICI only	10842	10842	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	345	1433	2.0291459140380006	4.233536247924738	ok	32285x10842	0.0
GSE268525	GSM8293874	Flox_RI	RT_ICI	icb_combo		False	LLC1-sgLkb1 lung met; Sfrp2-flox; RT+ICI	13340	13340	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	173	946	0.6521739130434783	2.406296851574213	ok	32285x13340	0.0
GSE268525	GSM8293872	CKO_RI	Sfrp2cKO_RT_ICI	icb_combo		False	Sfrp2ΔCol1a2 + RT+ICI; not a no-ICI control	9300	9300	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	238	1335	1.3118279569892473	4.709677419354839	ok	32285x9300	0.0
GSE303943	GSM9139390	CMT167R_CON	solvent	no		False	Subcutaneous CMT167R (lung line, aPD-1-resistant); solvent	6688	6688	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	45	172	0.1644736842105263	1.1662679425837321	ok	32285x6688	0.0
GSE303943	GSM9139391	CMT167R_PKCi	PKCi	no		False	Subcutaneous CMT167R; PKC inhibitor, not ICB	7457	7457	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	94	280	0.1609226230387555	1.5824057932144295	ok	32285x7457	0.0
GSE133604	GSM3912860	KP_Ctrl_IgG	control	control		True	Leftover KP lung; IgG; features borrowed from GSE275877 mm10-3.0 (31053)	6074	6074	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	327	2861	3.6878498518274614	18.752057951926243	ok	31053x6074	0.0
GSE133604	GSM3912861	KP_Ctrl_aPD1	aPD1	icb		True	Leftover KP lung; anti-PD-1	6683	6683	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	351	3484	3.426604818195421	20.350142151728264	ok	31053x6683	0.0
GSE133604	GSM3912862	KP_Asf1aKO_IgG	Asf1aKO	control		True	Leftover KP Asf1a-KO; IgG	6362	6362	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	404	1844	2.8921722728701664	7.513360578434454	ok	31053x6362	0.0
GSE133604	GSM3912863	KP_Asf1aKO_aPD1	Asf1aKO_aPD1	icb		True	Leftover KP Asf1a-KO; anti-PD-1	6094	6094	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	361	2778	3.4952412208729897	13.505086970790941	ok	31053x6094	0.0
GSE129297	GSM3704194	SCLC_Ctrl	control	control		True	Leftover SCLC GEMM lung; control; unfiltered 10x, min UMI 500	737280	3606	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	1063	1289	22.490293954520244	17.11037160288408	ok	31053x737280	733674.0
GSE129297	GSM3704195	SCLC_aPD1	aPD1	icb		True	Leftover SCLC GEMM; anti-PD-1	737280	2808	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	868	956	23.575498575498578	16.31054131054131	ok	31053x737280	734472.0
GSE129297	GSM3704196	SCLC_YKL	YKL	no		True	Leftover SCLC; CDK7i YKL, not ICB	737280	4315	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	1001	1210	18.030127462340673	14.206257242178447	ok	31053x737280	732965.0
GSE129297	GSM3704197	SCLC_combo	YKL_aPD1	icb_combo		True	Leftover SCLC; YKL + anti-PD-1	737280	4183	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	918	1652	16.877838871623236	20.129093951709297	ok	31053x737280	733097.0
GSE232730	GSM7372335	KPL_CD45_Ctrl	control	control	cd45pos	True	Leftover KPL-3M subcutaneous; CD45+; no epithelial	10392	10392	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	2254	1.1836027713625865	8.881832178598922	ok	31053x10392	0.0
GSE232730	GSM7372336	KPL_CD45_aPD1	aPD1	icb	cd45pos	True	Leftover KPL-3M; CD45+; anti-PD-1	8959	8959	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	2551	1.004576403616475	14.744949213081817	ok	31053x8959	0.0
GSE222158	GSM6915764	CD45_Ctl	control	control	cd45pos	True	Leftover FVB lung cancer; CD45+ control	6068	6068	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	1305	1.7139090309822018	11.783124588002638	ok	31053x6068	0.0
GSE222158	GSM6915765	CD45_PD1	aPD1	icb	cd45pos	True	Leftover; CD45+ anti-PD-1	4667	4667	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	1319	1.3499035783158344	16.84165416755946	ok	31053x4667	0.0
