dataset	compartment	segment	gene	raw_count
GSE292098	CK	709-1 | R1_C4 | CK	TACSTD2	22.000000000000004
GSE292098	CK	709-1 | R1_C6 | CK	TACSTD2	443.0
GSE292098	CK	709-1 | R2_C1 | CK	TACSTD2	1300.9999999999995
GSE292098	CK	709-1 | R2_C2 | CK	TACSTD2	282.00000000000006
GSE292098	CK	709-1 | R2_C3 | CK	TACSTD2	119.99999999999997
GSE292098	CK	709-1 | R2_C4 | CK	TACSTD2	184.99999999999991
GSE292098	CK	709-1 | R2_C5 | CK	TACSTD2	104.99999999999997
GSE292098	CK	709-1 | R2_C6 | CK	TACSTD2	129.99999999999997
GSE292098	CK	709-1 | R2_C7 | CK	TACSTD2	2606.0000000000005
GSE292098	CK	709-1 | R2_C8 | CK	TACSTD2	1677.0000000000005
GSE292098	CK	709-1 | R3_C1 | CK	TACSTD2	152.0
GSE292098	CK	709-1 | R3_C3 | CK	TACSTD2	53.00000000000001
GSE292098	CK	709-1 | R3_C4 | CK	TACSTD2	110.99999999999997
GSE292098	CK	709-1 | R3_C5 | CK	TACSTD2	203.99999999999994
GSE292098	CK	709-1 | R3_C6 | CK	TACSTD2	106.99999999999996
GSE292098	CK	709-1 | R3_C7 | CK	TACSTD2	2.0
GSE292098	CK	709-1 | R3_C8 | CK	TACSTD2	1106.0000000000002
GSE292098	CK	709-1 | R4_C1 | CK	TACSTD2	267.00000000000006
GSE292098	CK	709-1 | R4_C2 | CK	TACSTD2	4.0
GSE292098	CK	709-1 | R4_C3 | CK	TACSTD2	531.0
GSE292098	CK	709-1 | R4_C4 | CK	TACSTD2	3625.9999999999995
GSE292098	CK	709-1 | R4_C5 | CK	TACSTD2	54.00000000000001
GSE292098	CK	709-1 | R4_C7 | CK	TACSTD2	601.0
GSE292098	CK	709-1 | R4_C8 | CK	TACSTD2	604.0000000000001
GSE292098	CK	709-1 | R5_C1 | CK	TACSTD2	232.99999999999991
GSE292098	CK	709-1 | R5_C2 | CK	TACSTD2	647.0000000000002
GSE292098	CK	709-1 | R5_C3 | CK	TACSTD2	42.00000000000001
GSE292098	CK	709-1 | R5_C4 | CK	TACSTD2	1982.9999999999998
GSE292098	CK	709-1 | R5_C5 | CK	TACSTD2	786.0
GSE292098	CK	709-1 | R5_C6 | CK	TACSTD2	144.99999999999997
GSE292098	CK	709-1 | R5_C7 | CK	TACSTD2	40.0
GSE292098	CK	709-1 | R5_C8 | CK	TACSTD2	716.9999999999999
GSE292098	CK	709-1 | R6_C1 | CK	TACSTD2	13.999999999999996
GSE292098	CK	709-1 | R6_C2 | CK	TACSTD2	190.0
GSE292098	CK	709-1 | R6_C3 | CK	TACSTD2	142.99999999999994
GSE292098	CK	709-1 | R6_C4 | CK	TACSTD2	263.99999999999994
GSE292098	CK	709-1 | R6_C5 | CK	TACSTD2	3796.9999999999986
GSE292098	CK	709-1 | R6_C6 | CK	TACSTD2	736.0000000000003
GSE292098	CK	709-1 | R6_C7 | CK	TACSTD2	231.99999999999997
GSE292098	CK	709-1 | R6_C8 | CK	TACSTD2	23.0
GSE292098	CK	709-1 | R7_C1 | CK	TACSTD2	61.00000000000001
GSE292098	CK	709-1 | R7_C2 | CK	TACSTD2	4372.999999999997
GSE292098	CK	709-1 | R7_C3 | CK	TACSTD2	13.0
GSE292098	CK	709-1 | R7_C4 | CK	TACSTD2	1778.0000000000002
GSE292098	CK	709-1 | R7_C5 | CK	TACSTD2	263.00000000000006
GSE292098	CK	709-1 | R7_C6 | CK	TACSTD2	358.9999999999999
GSE292098	CK	709-1 | R7_C7 | CK	TACSTD2	685.0000000000002
GSE292098	CK	709-1 | R7_C8 | CK	TACSTD2	83.00000000000003
GSE292098	CK	709-5 | R1_C5 | CK	TACSTD2	464.99999999999983
GSE292098	CK	709-5 | R1_C7 | CK	TACSTD2	447.00000000000017
GSE292098	CK	709-5 | R4_C1 | CK	TACSTD2	275.0000000000001
GSE292098	CK	709-5 | R5_C7 | CK	TACSTD2	419.99999999999994
GSE292098	CK	642-1 | S11-32143 | CK	CLDN4	425.00000000000017
GSE292098	CK	642-1 | S13-28478 | CK	CLDN4	341.00000000000006
GSE292098	CK	642-1 | S13-7196 | CK	CLDN4	6.0
GSE292098	CK	642-1 | S13-8074 | CK	CLDN4	174.0
GSE292098	CK	642-1 | S14-10489 | CK	CLDN4	945.0000000000003
GSE292098	CK	642-1 | S14-14165 | CK	CLDN4	1664.0000000000002
GSE292098	CK	642-1 | S14-25109 | CK	CLDN4	240.99999999999994
GSE292098	CK	642-1 | S14-7026-1 | CK	CLDN4	63.99999999999998
GSE292098	CK	642-1 | S14-7026-2 | CK	CLDN4	74.00000000000003
GSE292098	CK	642-1 | S15-15344 | CK	CLDN4	740.9999999999998
GSE292098	CK	642-1 | S15-15403 | CK	CLDN4	194.00000000000003
GSE292098	CK	642-1 | S16-26594 | CK	CLDN4	127.99999999999997
GSE292098	CK	642-1 | S17-16092 | CK	CLDN4	356.9999999999999
GSE292098	CK	642-1 | S17-18548 | CK	CLDN4	68.00000000000001
GSE292098	CK	642-1 | S17-28460 | CK	CLDN4	378.0000000000001
GSE292098	CK	642-1 | S17-9483 | CK	CLDN4	194.00000000000003
GSE292098	CK	642-1 | S18-565 | CK	CLDN4	239.00000000000009
GSE292098	CK	642-1 | S19-12863 | CK	CLDN4	624.0000000000001
GSE292098	CK	642-1 | S19-20906 | CK	CLDN4	621.9999999999999
GSE292098	CK	642-1 | S19-21466 | CK	CLDN4	9.000000000000002
GSE292098	CK	642-1 | S19-26268 | CK	CLDN4	151.0
GSE292098	CK	642-1 | S19-26656 | CK	CLDN4	78.0
GSE292098	CK	642-1 | S20-1194 | CK	CLDN4	74.99999999999997
GSE292098	CK	642-1 | S20-27058 | CK	CLDN4	126.99999999999999
GSE292098	CK	642-1 | S21-12496 | CK	CLDN4	117.00000000000003
GSE292098	CK	642-1 | SR21-4053 | CK	CLDN4	539.0000000000002
GSE292098	CK	709-1 | R1_C1 | CK	CLDN4	21.0
GSE292098	CK	709-1 | R1_C2 | CK	CLDN4	1290.0
GSE292098	CK	709-1 | R1_C3 | CK	CLDN4	297.00000000000006
GSE292098	CK	709-1 | R1_C4 | CK	CLDN4	22.000000000000004
GSE292098	CK	709-1 | R1_C6 | CK	CLDN4	384.0
GSE292098	CK	709-1 | R2_C1 | CK	CLDN4	324.99999999999994
GSE292098	CK	709-1 | R2_C2 | CK	CLDN4	130.99999999999994
GSE292098	CK	709-1 | R2_C3 | CK	CLDN4	183.00000000000009
GSE292098	CK	709-1 | R2_C4 | CK	CLDN4	283.0
GSE292098	CK	709-1 | R2_C5 | CK	CLDN4	151.0
GSE292098	CK	709-1 | R2_C6 | CK	CLDN4	235.0
GSE292098	CK	709-1 | R2_C7 | CK	CLDN4	1254.0000000000005
GSE292098	CK	709-1 | R2_C8 | CK	CLDN4	183.00000000000009
GSE292098	CK	709-1 | R3_C1 | CK	CLDN4	334.99999999999994
GSE292098	CK	709-1 | R3_C3 | CK	CLDN4	144.0
GSE292098	CK	709-1 | R3_C4 | CK	CLDN4	92.00000000000001
GSE292098	CK	709-1 | R3_C5 | CK	CLDN4	201.0
GSE292098	CK	709-1 | R3_C6 | CK	CLDN4	108.00000000000003
GSE292098	CK	709-1 | R3_C7 | CK	CLDN4	3.0000000000000004
GSE292098	CK	709-1 | R3_C8 | CK	CLDN4	1003.0000000000003
GSE292098	CK	709-1 | R4_C1 | CK	CLDN4	347.00000000000006
GSE292098	CK	709-1 | R4_C2 | CK	CLDN4	11.000000000000002
GSE292098	CK	709-1 | R4_C3 | CK	CLDN4	524.9999999999999
GSE292098	CK	709-1 | R4_C4 | CK	CLDN4	914.9999999999997
GSE292098	CK	709-1 | R4_C5 | CK	CLDN4	41.00000000000001
GSE292098	CK	709-1 | R4_C7 | CK	CLDN4	217.99999999999997
GSE292098	CK	709-1 | R4_C8 | CK	CLDN4	458.00000000000017
GSE292098	CK	709-1 | R5_C1 | CK	CLDN4	184.00000000000006
GSE292098	CK	709-1 | R5_C2 | CK	CLDN4	1309.9999999999998
GSE292098	CK	709-1 | R5_C3 | CK	CLDN4	37.99999999999999
GSE292098	CK	709-1 | R5_C4 | CK	CLDN4	485.00000000000006
GSE292098	CK	709-1 | R5_C5 | CK	CLDN4	677.0
GSE292098	CK	709-1 | R5_C6 | CK	CLDN4	267.00000000000006
GSE292098	CK	709-1 | R5_C7 | CK	CLDN4	48.99999999999999
GSE292098	CK	709-1 | R5_C8 | CK	CLDN4	477.00000000000017
GSE292098	CK	709-1 | R6_C1 | CK	CLDN4	10.000000000000002
GSE292098	CK	709-1 | R6_C2 | CK	CLDN4	230.00000000000006
GSE292098	CK	709-1 | R6_C3 | CK	CLDN4	137.00000000000003
GSE292098	CK	709-1 | R6_C4 | CK	CLDN4	61.00000000000001
GSE292098	CK	709-1 | R6_C5 | CK	CLDN4	2062.9999999999995
GSE292098	CK	709-1 | R6_C6 | CK	CLDN4	564.0000000000002
GSE292098	CK	709-1 | R6_C7 | CK	CLDN4	176.99999999999994
GSE292098	CK	709-1 | R6_C8 | CK	CLDN4	26.000000000000004
GSE292098	CK	709-1 | R7_C1 | CK	CLDN4	496.00000000000017
GSE292098	CK	709-1 | R7_C2 | CK	CLDN4	1277.9999999999998
GSE292098	CK	709-1 | R7_C3 | CK	CLDN4	36.99999999999999
GSE292098	CK	709-1 | R7_C4 | CK	CLDN4	1067.0000000000002
GSE292098	CK	709-1 | R7_C5 | CK	CLDN4	66.99999999999997
GSE292098	CK	709-1 | R7_C6 | CK	CLDN4	141.00000000000003
GSE292098	CK	709-1 | R7_C7 | CK	CLDN4	480.99999999999994
GSE292098	CK	709-1 | R7_C8 | CK	CLDN4	71.0
GSE292098	CK	709-5 | R1_C5 | CK	CLDN4	122.00000000000003
GSE292098	CK	709-5 | R1_C7 | CK	CLDN4	195.0
GSE292098	CK	709-5 | R4_C1 | CK	CLDN4	326.0
GSE292098	CK	709-5 | R5_C7 | CK	CLDN4	198.99999999999997
GSE292098	CD45	642-1 | S11-32143 | CD45	TACSTD2	11.000000000000002
GSE292098	CD45	642-1 | S13-28478 | CD45	TACSTD2	11.000000000000002
GSE292098	CD45	642-1 | S13-7196 | CD45	TACSTD2	2.0
GSE292098	CD45	642-1 | S14-10489 | CD45	TACSTD2	6.999999999999999
GSE292098	CD45	642-1 | S14-14165 | CD45	TACSTD2	23.0
GSE292098	CD45	642-1 | S14-1694 | CD45	TACSTD2	2.0
GSE292098	CD45	642-1 | S15-15403 | CD45	TACSTD2	4.999999999999999
GSE292098	CD45	642-1 | S16-26594 | CD45	TACSTD2	36.0
GSE292098	CD45	642-1 | S17-16092 | CD45	TACSTD2	1.0
GSE292098	CD45	642-1 | S17-18548 | CD45	TACSTD2	9.000000000000002
GSE292098	CD45	642-1 | S17-28460 | CD45	TACSTD2	13.999999999999996
GSE292098	CD45	642-1 | S17-9483 | CD45	TACSTD2	3.0000000000000004
GSE292098	CD45	642-1 | S18-565 | CD45	TACSTD2	17.0
GSE292098	CD45	642-1 | S19-12863 | CD45	TACSTD2	29.000000000000004
GSE292098	CD45	642-1 | S19-21466 | CD45	TACSTD2	11.000000000000002
GSE292098	CD45	642-1 | S19-26268 | CD45	TACSTD2	30.000000000000004
GSE292098	CD45	642-1 | S19-26656 | CD45	TACSTD2	3.0000000000000004
GSE292098	CD45	642-1 | S20-1194 | CD45	TACSTD2	4.0
GSE292098	CD45	642-1 | S20-27058 | CD45	TACSTD2	6.0
GSE292098	CD45	642-1 | S21-12496 | CD45	TACSTD2	7.999999999999998
GSE292098	CD45	642-1 | SR21-4053 | CD45	TACSTD2	40.0
GSE292098	CD45	709-1 | R1_C1 | CD45	TACSTD2	15.999999999999998
GSE292098	CD45	709-1 | R1_C2 | CD45	TACSTD2	9.000000000000002
GSE292098	CD45	709-1 | R1_C3 | CD45	TACSTD2	10.000000000000002
GSE292098	CD45	709-1 | R1_C6 | CD45	TACSTD2	1.0
GSE292098	CD45	709-1 | R2_C2 | CD45	TACSTD2	24.999999999999996
GSE292098	CD45	709-1 | R2_C5 | CD45	TACSTD2	10.000000000000002
GSE292098	CD45	709-1 | R2_C6 | CD45	TACSTD2	33.0
GSE292098	CD45	709-1 | R2_C7 | CD45	TACSTD2	19.999999999999996
GSE292098	CD45	709-1 | R2_C8 | CD45	TACSTD2	77.00000000000001
GSE292098	CD45	709-1 | R3_C1 | CD45	TACSTD2	6.999999999999999
GSE292098	CD45	709-1 | R3_C3 | CD45	TACSTD2	31.0
GSE292098	CD45	709-1 | R3_C4 | CD45	TACSTD2	15.0
GSE292098	CD45	709-1 | R3_C5 | CD45	TACSTD2	37.99999999999999
GSE292098	CD45	709-1 | R3_C6 | CD45	TACSTD2	9.000000000000002
GSE292098	CD45	709-1 | R3_C7 | CD45	TACSTD2	6.0
GSE292098	CD45	709-1 | R3_C8 | CD45	TACSTD2	15.0
GSE292098	CD45	709-1 | R4_C1 | CD45	TACSTD2	15.0
GSE292098	CD45	709-1 | R4_C2 | CD45	TACSTD2	4.0
GSE292098	CD45	709-1 | R4_C3 | CD45	TACSTD2	4.0
GSE292098	CD45	709-1 | R4_C4 | CD45	TACSTD2	62.00000000000001
GSE292098	CD45	709-1 | R4_C5 | CD45	TACSTD2	13.999999999999996
GSE292098	CD45	709-1 | R4_C6 | CD45	TACSTD2	33.0
GSE292098	CD45	709-1 | R4_C7 | CD45	TACSTD2	57.00000000000001
GSE292098	CD45	709-1 | R4_C8 | CD45	TACSTD2	2.0
GSE292098	CD45	709-1 | R5_C1 | CD45	TACSTD2	15.999999999999998
GSE292098	CD45	709-1 | R5_C2 | CD45	TACSTD2	27.999999999999996
GSE292098	CD45	709-1 | R5_C3 | CD45	TACSTD2	9.000000000000002
GSE292098	CD45	709-1 | R5_C4 | CD45	TACSTD2	4.0
GSE292098	CD45	709-1 | R5_C5 | CD45	TACSTD2	9.000000000000002
GSE292098	CD45	709-1 | R5_C6 | CD45	TACSTD2	1.0
GSE292098	CD45	709-1 | R5_C7 | CD45	TACSTD2	1.0
GSE292098	CD45	709-1 | R5_C8 | CD45	TACSTD2	12.0
GSE292098	CD45	709-1 | R6_C2 | CD45	TACSTD2	6.0
GSE292098	CD45	709-1 | R6_C3 | CD45	TACSTD2	1.0
GSE292098	CD45	709-1 | R6_C4 | CD45	TACSTD2	18.999999999999996
GSE292098	CD45	709-1 | R6_C5 | CD45	TACSTD2	40.0
GSE292098	CD45	709-1 | R6_C6 | CD45	TACSTD2	13.999999999999996
GSE292098	CD45	709-1 | R6_C7 | CD45	TACSTD2	29.000000000000004
GSE292098	CD45	709-1 | R7_C1 | CD45	TACSTD2	4.999999999999999
GSE292098	CD45	709-1 | R7_C2 | CD45	TACSTD2	13.999999999999996
GSE292098	CD45	709-1 | R7_C3 | CD45	TACSTD2	3.0000000000000004
GSE292098	CD45	709-1 | R7_C4 | CD45	TACSTD2	26.000000000000004
GSE292098	CD45	709-1 | R7_C5 | CD45	TACSTD2	4.0
GSE292098	CD45	709-1 | R7_C6 | CD45	TACSTD2	6.999999999999999
GSE292098	CD45	709-1 | R7_C7 | CD45	TACSTD2	4.0
GSE292098	CD45	709-1 | R7_C8 | CD45	TACSTD2	1.0
GSE292098	CD45	709-5 | R1_C7 | CD45	TACSTD2	9.000000000000002
GSE292098	CD45	709-5 | R4_C1 | CD45	TACSTD2	10.000000000000002
GSE292098	CD45	709-5 | R4_C2 | CD45	TACSTD2	23.0
GSE292098	CD45	709-5 | R5_C7 | CD45	TACSTD2	13.0
GSE292098	CD45	709-5 | R7_C3 | CD45	TACSTD2	7.999999999999998
GSE292098	CD45	642-1 | S11-32143 | CD45	CLDN4	13.0
GSE292098	CD45	642-1 | S13-28478 | CD45	CLDN4	6.999999999999999
GSE292098	CD45	642-1 | S13-7196 | CD45	CLDN4	6.0
GSE292098	CD45	642-1 | S14-10489 | CD45	CLDN4	15.0
GSE292098	CD45	642-1 | S14-14165 | CD45	CLDN4	15.999999999999998
GSE292098	CD45	642-1 | S14-1694 | CD45	CLDN4	1.0
GSE292098	CD45	642-1 | S15-15403 | CD45	CLDN4	4.999999999999999
GSE292098	CD45	642-1 | S16-26594 | CD45	CLDN4	13.0
GSE292098	CD45	642-1 | S17-16092 | CD45	CLDN4	4.0
GSE292098	CD45	642-1 | S17-18548 | CD45	CLDN4	6.0
GSE292098	CD45	642-1 | S17-28460 | CD45	CLDN4	4.999999999999999
GSE292098	CD45	642-1 | S17-9483 | CD45	CLDN4	13.999999999999996
GSE292098	CD45	642-1 | S18-565 | CD45	CLDN4	29.000000000000004
GSE292098	CD45	642-1 | S19-12863 | CD45	CLDN4	12.0
GSE292098	CD45	642-1 | S19-21466 | CD45	CLDN4	10.000000000000002
GSE292098	CD45	642-1 | S19-26268 | CD45	CLDN4	43.0
GSE292098	CD45	642-1 | S19-26656 | CD45	CLDN4	1.0
GSE292098	CD45	642-1 | S20-1194 | CD45	CLDN4	1.0
GSE292098	CD45	642-1 | S20-27058 | CD45	CLDN4	6.0
GSE292098	CD45	642-1 | S21-12496 | CD45	CLDN4	6.999999999999999
GSE292098	CD45	642-1 | SR21-4053 | CD45	CLDN4	37.99999999999999
GSE292098	CD45	709-1 | R1_C1 | CD45	CLDN4	6.0
GSE292098	CD45	709-1 | R1_C2 | CD45	CLDN4	11.000000000000002
GSE292098	CD45	709-1 | R1_C3 | CD45	CLDN4	2.0
GSE292098	CD45	709-1 | R1_C6 | CD45	CLDN4	2.0
GSE292098	CD45	709-1 | R2_C2 | CD45	CLDN4	24.000000000000004
GSE292098	CD45	709-1 | R2_C5 | CD45	CLDN4	13.0
GSE292098	CD45	709-1 | R2_C6 | CD45	CLDN4	66.99999999999997
GSE292098	CD45	709-1 | R2_C7 | CD45	CLDN4	10.000000000000002
GSE292098	CD45	709-1 | R2_C8 | CD45	CLDN4	22.000000000000004
GSE292098	CD45	709-1 | R3_C1 | CD45	CLDN4	12.0
GSE292098	CD45	709-1 | R3_C3 | CD45	CLDN4	53.00000000000001
GSE292098	CD45	709-1 | R3_C4 | CD45	CLDN4	17.999999999999996
GSE292098	CD45	709-1 | R3_C5 | CD45	CLDN4	61.00000000000001
GSE292098	CD45	709-1 | R3_C6 | CD45	CLDN4	11.000000000000002
GSE292098	CD45	709-1 | R3_C7 | CD45	CLDN4	3.0000000000000004
GSE292098	CD45	709-1 | R3_C8 | CD45	CLDN4	17.999999999999996
GSE292098	CD45	709-1 | R4_C1 | CD45	CLDN4	24.999999999999996
GSE292098	CD45	709-1 | R4_C2 | CD45	CLDN4	10.000000000000002
GSE292098	CD45	709-1 | R4_C3 | CD45	CLDN4	17.0
GSE292098	CD45	709-1 | R4_C4 | CD45	CLDN4	32.0
GSE292098	CD45	709-1 | R4_C5 | CD45	CLDN4	10.000000000000002
GSE292098	CD45	709-1 | R4_C6 | CD45	CLDN4	46.0
GSE292098	CD45	709-1 | R4_C7 | CD45	CLDN4	69.00000000000001
GSE292098	CD45	709-1 | R4_C8 | CD45	CLDN4	3.0000000000000004
GSE292098	CD45	709-1 | R5_C1 | CD45	CLDN4	23.0
GSE292098	CD45	709-1 | R5_C2 | CD45	CLDN4	27.999999999999996
GSE292098	CD45	709-1 | R5_C3 | CD45	CLDN4	6.0
GSE292098	CD45	709-1 | R5_C4 | CD45	CLDN4	1.0
GSE292098	CD45	709-1 | R5_C5 | CD45	CLDN4	6.999999999999999
GSE292098	CD45	709-1 | R5_C6 | CD45	CLDN4	4.0
GSE292098	CD45	709-1 | R5_C7 | CD45	CLDN4	1.0
GSE292098	CD45	709-1 | R5_C8 | CD45	CLDN4	10.000000000000002
GSE292098	CD45	709-1 | R6_C2 | CD45	CLDN4	4.999999999999999
GSE292098	CD45	709-1 | R6_C3 | CD45	CLDN4	1.0
GSE292098	CD45	709-1 | R6_C4 | CD45	CLDN4	10.000000000000002
GSE292098	CD45	709-1 | R6_C5 | CD45	CLDN4	24.999999999999996
GSE292098	CD45	709-1 | R6_C6 | CD45	CLDN4	12.0
GSE292098	CD45	709-1 | R6_C7 | CD45	CLDN4	31.0
GSE292098	CD45	709-1 | R7_C1 | CD45	CLDN4	10.000000000000002
GSE292098	CD45	709-1 | R7_C2 | CD45	CLDN4	1.0
GSE292098	CD45	709-1 | R7_C3 | CD45	CLDN4	3.0000000000000004
GSE292098	CD45	709-1 | R7_C4 | CD45	CLDN4	12.0
GSE292098	CD45	709-1 | R7_C5 | CD45	CLDN4	1.0
GSE292098	CD45	709-1 | R7_C6 | CD45	CLDN4	10.000000000000002
GSE292098	CD45	709-1 | R7_C7 | CD45	CLDN4	9.000000000000002
GSE292098	CD45	709-1 | R7_C8 | CD45	CLDN4	1.0
GSE292098	CD45	709-5 | R1_C7 | CD45	CLDN4	12.0
GSE292098	CD45	709-5 | R4_C1 | CD45	CLDN4	15.0
GSE292098	CD45	709-5 | R4_C2 | CD45	CLDN4	27.0
GSE292098	CD45	709-5 | R5_C7 | CD45	CLDN4	15.999999999999998
GSE292098	CD45	709-5 | R7_C3 | CD45	CLDN4	10.000000000000002
GSE292098	CD68	642-1 | S11-32143 | CD68	TACSTD2	3.0000000000000004
GSE292098	CD68	642-1 | S13-28478 | CD68	TACSTD2	29.000000000000004
GSE292098	CD68	642-1 | S13-7196 | CD68	TACSTD2	2.0
GSE292098	CD68	642-1 | S13-8074 | CD68	TACSTD2	2.0
GSE292098	CD68	642-1 | S14-10489 | CD68	TACSTD2	21.0
GSE292098	CD68	642-1 | S14-14165 | CD68	TACSTD2	15.0
GSE292098	CD68	642-1 | S14-1694 | CD68	TACSTD2	2.0
GSE292098	CD68	642-1 | S14-25109 | CD68	TACSTD2	7.999999999999998
GSE292098	CD68	642-1 | S15-15344 | CD68	TACSTD2	13.999999999999996
GSE292098	CD68	642-1 | S15-15403 | CD68	TACSTD2	7.999999999999998
GSE292098	CD68	642-1 | S16-26594 | CD68	TACSTD2	42.00000000000001
GSE292098	CD68	642-1 | S17-16092 | CD68	TACSTD2	13.0
GSE292098	CD68	642-1 | S17-18548 | CD68	TACSTD2	17.999999999999996
GSE292098	CD68	642-1 | S17-28460 | CD68	TACSTD2	27.0
GSE292098	CD68	642-1 | S17-9483 | CD68	TACSTD2	3.0000000000000004
GSE292098	CD68	642-1 | S18-565 | CD68	TACSTD2	6.999999999999999
GSE292098	CD68	642-1 | S19-12863 | CD68	TACSTD2	24.999999999999996
GSE292098	CD68	642-1 | S19-20906 | CD68	TACSTD2	10.000000000000002
GSE292098	CD68	642-1 | S19-21466 | CD68	TACSTD2	3.0000000000000004
GSE292098	CD68	642-1 | S19-26268 | CD68	TACSTD2	7.999999999999998
GSE292098	CD68	642-1 | S19-26656 | CD68	TACSTD2	1.0
GSE292098	CD68	642-1 | S20-1194 | CD68	TACSTD2	6.0
GSE292098	CD68	642-1 | S20-27058 | CD68	TACSTD2	30.000000000000004
GSE292098	CD68	642-1 | S21-12496 | CD68	TACSTD2	17.999999999999996
GSE292098	CD68	642-1 | SR21-4053 | CD68	TACSTD2	23.0
GSE292098	CD68	709-1 | R1_C1 | CD68	TACSTD2	9.000000000000002
GSE292098	CD68	709-1 | R1_C2 | CD68	TACSTD2	92.00000000000001
GSE292098	CD68	709-1 | R1_C3 | CD68	TACSTD2	24.999999999999996
GSE292098	CD68	709-1 | R1_C4 | CD68	TACSTD2	1.0
GSE292098	CD68	709-1 | R1_C6 | CD68	TACSTD2	32.0
GSE292098	CD68	709-1 | R2_C2 | CD68	TACSTD2	19.999999999999996
GSE292098	CD68	709-1 | R2_C3 | CD68	TACSTD2	6.0
GSE292098	CD68	709-1 | R2_C4 | CD68	TACSTD2	3.0000000000000004
GSE292098	CD68	709-1 | R2_C5 | CD68	TACSTD2	15.0
GSE292098	CD68	709-1 | R2_C6 | CD68	TACSTD2	46.99999999999999
GSE292098	CD68	709-1 | R2_C7 | CD68	TACSTD2	72.99999999999999
GSE292098	CD68	709-1 | R2_C8 | CD68	TACSTD2	341.9999999999999
GSE292098	CD68	709-1 | R3_C1 | CD68	TACSTD2	1.0
GSE292098	CD68	709-1 | R3_C3 | CD68	TACSTD2	15.999999999999998
GSE292098	CD68	709-1 | R3_C4 | CD68	TACSTD2	43.0
GSE292098	CD68	709-1 | R3_C5 | CD68	TACSTD2	56.00000000000002
GSE292098	CD68	709-1 | R3_C6 | CD68	TACSTD2	4.999999999999999
GSE292098	CD68	709-1 | R3_C7 | CD68	TACSTD2	6.0
GSE292098	CD68	709-1 | R3_C8 | CD68	TACSTD2	27.999999999999996
GSE292098	CD68	709-1 | R4_C1 | CD68	TACSTD2	6.0
GSE292098	CD68	709-1 | R4_C2 | CD68	TACSTD2	4.0
GSE292098	CD68	709-1 | R4_C3 | CD68	TACSTD2	11.000000000000002
GSE292098	CD68	709-1 | R4_C4 | CD68	TACSTD2	144.99999999999997
GSE292098	CD68	709-1 | R4_C5 | CD68	TACSTD2	17.0
GSE292098	CD68	709-1 | R4_C6 | CD68	TACSTD2	4.0
GSE292098	CD68	709-1 | R4_C7 | CD68	TACSTD2	22.000000000000004
GSE292098	CD68	709-1 | R4_C8 | CD68	TACSTD2	31.0
GSE292098	CD68	709-1 | R5_C1 | CD68	TACSTD2	4.0
GSE292098	CD68	709-1 | R5_C2 | CD68	TACSTD2	24.000000000000004
GSE292098	CD68	709-1 | R5_C3 | CD68	TACSTD2	27.0
GSE292098	CD68	709-1 | R5_C4 | CD68	TACSTD2	17.999999999999996
GSE292098	CD68	709-1 | R5_C5 | CD68	TACSTD2	31.0
