gene	logFC	AveExpr	t	P.Value	method	contrast	adj.P.Val
FABP4	-6.594304500450047	-0.5295118483412323	-21.119409465541295	4.2934787674684773e-54	limma	Tumor-NAT	8.221117364958912e-52
ADH4	-7.152578379837983	-0.7046521327014216	-21.113196750547072	4.479576514893532e-54	limma	Tumor-NAT	8.40240566293601e-52
ITIH5	-4.607758838883889	0.013503317535545005	-21.102375935794246	4.823223727519727e-54	limma	Tumor-NAT	8.866049855926762e-52
PDLIM2	-4.453442457245724	0.06986350710900484	-20.967918938445045	1.209766062007985e-53	limma	Tumor-NAT	2.1428076184907945e-51
HSPB6	-4.915561080108011	0.008131753554502512	-20.96760875242839	1.2123381151291624e-53	limma	Tumor-NAT	2.1428076184907945e-51
MYOZ1	-5.287285684068408	-0.05711872037914696	-20.956642026617878	1.3068846890970616e-53	limma	Tumor-NAT	2.2663353165077532e-51
CNRIP1	-4.042229576957697	0.1481824644549762	-20.732874547347805	6.067346140255869e-53	limma	Tumor-NAT	1.0326847847239203e-50
GPRC5A	-5.55185786678668	-0.2769928909952606	-20.71239308970796	6.984760544244025e-53	limma	Tumor-NAT	1.167216984766306e-50
PECAM1	-4.422179414941494	0.07470236966824634	-20.596324599946723	1.5527248947529256e-52	limma	Tumor-NAT	2.5484097335132393e-50
LIMCH1	-4.187853492349237	0.0496459715639808	-20.578076604829374	1.7607600107268795e-52	limma	Tumor-NAT	2.839148290980833e-50
EHD1	-4.048355688568856	0.12024123222748805	-20.565731736201613	1.917124987447958e-52	limma	Tumor-NAT	3.037982027523135e-50
EHD3	-5.332124761476148	-0.285011374407583	-20.412857541349005	5.506100139220176e-52	limma	Tumor-NAT	8.577384132130955e-50
BCAM	-4.695544815481548	-0.04997772511848367	-20.246317512982763	1.7429464997659672e-51	limma	Tumor-NAT	2.6699035465581676e-49
TNXB	-4.911888100810081	-0.004900947867298555	-20.2246753851752	2.0249521529190293e-51	limma	Tumor-NAT	3.051038563521114e-49
PTPRM	-4.0062719621962195	0.16463507109004752	-20.188765965186075	2.5973555807421212e-51	limma	Tumor-NAT	3.850370184290458e-49
ERG	-4.022998271827182	0.21494786729857798	-20.183142062410116	2.700657522542953e-51	limma	Tumor-NAT	3.939959252332108e-49
SPTAN1	-4.046785301530152	0.15294407582938385	-20.146018649572724	3.493942916548941e-51	limma	Tumor-NAT	4.951701373515247e-49
HBD	-6.118415625562559	-0.565748815165877	-20.145690406513985	3.501910448030585e-51	limma	Tumor-NAT	4.951701373515247e-49
OGN	-6.313470756075611	-0.4947402843601895	-20.14054154146765	3.6293003650690287e-51	limma	Tumor-NAT	5.008202359456993e-49
SELP	-4.561140531053107	0.008982938388625704	-20.139688520860012	3.650849288256104e-51	limma	Tumor-NAT	5.008202359456993e-49
OLFML3	-5.324585283528354	-0.16509668246445508	-20.105485958592222	4.629226328693904e-51	limma	Tumor-NAT	6.256943998092011e-49
VWF	-4.58933197119712	0.05251469194312825	-20.088087746659742	5.223746968972634e-51	limma	Tumor-NAT	6.958182375627172e-49
NOSTRIN	-5.119061521152117	-0.15107535545023673	-19.97121888485811	1.1771548193432328e-50	limma	Tumor-NAT	1.5456042777976646e-48
CA1	-6.578146165616561	-0.6124954976303318	-19.962788511235967	1.248278437733609e-50	limma	Tumor-NAT	1.61590522833938e-48
BGN	-4.447884095409541	-0.0026298578199053647	-19.923016262189126	1.646471355896127e-50	limma	Tumor-NAT	2.1017664211168477e-48
SFTPC	-6.179902520252028	-0.8873248815165874	-19.916105681473542	1.727644373960142e-50	limma	Tumor-NAT	2.147349700001096e-48
PODXL	-4.991188712871287	-0.03521279620853082	-19.91579396998354	1.7313988887533335e-50	limma	Tumor-NAT	2.147349700001096e-48
DES	-5.956386327632764	-0.3627033175355447	-19.91407335950431	1.7522709988040713e-50	limma	Tumor-NAT	2.147349700001096e-48
CLEC14A	-4.550334365436543	0.037596682464454925	-19.911847144615525	1.779651078786593e-50	limma	Tumor-NAT	2.1522069822536284e-48
AOC3	-4.5260799639964	-0.010045971563981152	-19.907112495849873	1.8393163494796696e-50	limma	Tumor-NAT	2.195474878969824e-48
CAVIN3	-4.828959810981098	-0.06790284360189568	-19.90094040731211	1.9201165880649753e-50	limma	Tumor-NAT	2.262537379603229e-48
SNCA	-5.614681962196219	-0.18527251184834084	-19.889400735858832	2.0808510361437798e-50	limma	Tumor-NAT	2.4208989712908204e-48
RRAS	-4.093575382538253	0.17115213270142196	-19.862353399987853	2.5124490704568963e-50	limma	Tumor-NAT	2.886489925821167e-48
COL6A5	-4.864171764176419	-0.2752914691943127	-19.83412260591437	3.058943275411607e-50	limma	Tumor-NAT	3.470956499297294e-48
SERPINC1	-4.54714802880288	0.17439146919431273	-19.773231701359478	4.677954615221227e-50	limma	Tumor-NAT	5.192066504595725e-48
RAMP2	-5.087967587758776	-0.24413554502369678	-19.772901937969966	4.688733759998315e-50	limma	Tumor-NAT	5.192066504595725e-48
FGF2	-4.8361148514851475	-0.014682464454976367	-19.714916512327594	7.029057432848155e-50	limma	Tumor-NAT	7.690960341108023e-48
HBZ	-6.324300684068406	-0.6522426540284358	-19.705746624307867	7.494092302161914e-50	limma	Tumor-NAT	8.103317923431783e-48
PLLP	-5.9844246174617455	-0.3625857819905214	-19.689329248435797	8.405042017339635e-50	limma	Tumor-NAT	8.982644323414951e-48
GIMAP8	-4.230920081008101	0.0752080568720379	-19.60738450021344	1.4907230252249302e-49	limma	Tumor-NAT	1.5748546350393486e-47
CLDN18	-7.48977213321332	-0.7398611374407583	-19.582739608856603	1.771334318108724e-49	limma	Tumor-NAT	1.8500379224701457e-47
FCN3	-4.491971827182718	-0.057841706161137575	-19.544985748753405	2.3072772034480728e-49	limma	Tumor-NAT	2.382717390661937e-47
PYGM	-4.503449477947793	0.05244597156398107	-19.538719401801437	2.4107949448579235e-49	limma	Tumor-NAT	2.461957370909908e-47
DMTN	-5.002035643564356	-0.2414606635071092	-19.516829916163797	2.810321135954926e-49	limma	Tumor-NAT	2.838424347314475e-47
SORBS3	-3.761479117911791	0.14987298578199065	-19.51052199467544	2.9373176953314312e-49	limma	Tumor-NAT	2.9344442323686067e-47
SOD3	-4.562815238523854	-0.016188151658767577	-19.506214979905263	3.027318914810789e-49	limma	Tumor-NAT	2.9918374350565553e-47
PALMD	-4.343980396039603	0.13692606635071106	-19.471196381999057	3.869536230636554e-49	limma	Tumor-NAT	3.7835007974234645e-47
CDH13	-4.467278415841584	-0.0295545023696682	-19.365753737327104	8.109054357431318e-49	limma	Tumor-NAT	7.845296694647498e-47
S100A10	-4.5988145634563455	-0.015597156398104385	-19.27951594070145	1.4863684281166223e-48	limma	Tumor-NAT	1.4230429398770704e-46
THBD	-4.664494446444644	-0.1506170616113743	-19.26492869615456	1.6469187074467882e-48	limma	Tumor-NAT	1.5604979216642711e-46
SPTA1	-5.817860972097211	-0.3970962085308055	-19.25293726454179	1.791834569574554e-48	limma	Tumor-NAT	1.6804848498938495e-46
GSTM5	-5.005154545454544	-0.16192227488151664	-19.238987106564192	1.9765790542765968e-48	limma	Tumor-NAT	1.8350240492784042e-46
ARHGEF26	-4.0461791269126905	-0.0006042654028435912	-19.22647663559848	2.1584382348244166e-48	limma	Tumor-NAT	1.9838205816271212e-46
FERMT2	-3.728992412241224	0.1560161137440758	-19.15948365093699	3.4590062472299925e-48	limma	Tumor-NAT	3.147695684979293e-46
CD109	-4.4110072547254715	0.059533649289099655	-19.151376616433197	3.6622629032875854e-48	limma	Tumor-NAT	3.2999861121682545e-46
PRKG2	-5.289469126912692	-0.01706492890995242	-19.128180820672462	4.3123860967628457e-48	limma	Tumor-NAT	3.848071904402652e-46
ANXA8L1	-5.834677200720073	-0.4780312796208532	-19.094548504536103	5.465852487404717e-48	limma	Tumor-NAT	4.8304471357439185e-46
GCOM1	-4.236841728172816	-0.11582559241706147	-19.045076683081312	7.747607675197275e-48	limma	Tumor-NAT	6.781739251689348e-46
AGRN	-4.170451471647165	0.02531563981042654	-19.036109044122384	8.25358597980405e-48	limma	Tumor-NAT	7.156481956639531e-46
TNS1	-4.0732520207020695	-0.038093838862559126	-18.992232728086346	1.1249172340780887e-47	limma	Tumor-NAT	9.662723643375434e-46
IL33	-5.531204401440142	-0.17257914691943124	-18.9579492145431	1.4330267909923373e-47	limma	Tumor-NAT	1.2195323366676455e-45
KANK4	-4.275493393339333	0.09086682464454962	-18.94478631124199	1.5726529878096373e-47	limma	Tumor-NAT	1.3260783129319612e-45
ANK1	-5.290343546354636	-0.24544454976303348	-18.88255617469975	2.4413477603635065e-47	limma	Tumor-NAT	2.0398570241364535e-45
PTPN21	-3.729092349234924	0.1416521327014218	-18.85163741001318	3.037988865553471e-47	limma	Tumor-NAT	2.515509519216392e-45
ADD2	-4.78588315031503	-0.05811611374407591	-18.813371238242485	3.982568365030376e-47	limma	Tumor-NAT	3.268195164553052e-45
DPT	-4.064358370837083	-0.02892417061611392	-18.800201151096452	4.371635418407115e-47	limma	Tumor-NAT	3.5557257637681236e-45
BPGM	-4.650420729072907	-0.02358104265402837	-18.74105882909688	6.645346793324855e-47	limma	Tumor-NAT	5.3576651208288375e-45
ARHGEF15	-3.8709864266426646	0.330362085308057	-18.710421216967134	8.25640415378343e-47	limma	Tumor-NAT	6.598661789341173e-45
SBSPON	-4.890617911791178	-0.2401478672985782	-18.658681499690097	1.1914723763463872e-46	limma	Tumor-NAT	9.44036431982728e-45
HBQ1	-5.460879585958596	-0.38545355450236946	-18.581927470931443	2.0539546532809124e-46	limma	Tumor-NAT	1.6134954887440056e-44
CAV2	-6.133817466246625	-0.5343168246445498	-18.577545946162566	2.1188446891286575e-46	limma	Tumor-NAT	1.6503645371001263e-44
EPB42	-5.303253906390639	-0.28769289099526085	-18.533948152331316	2.887710444825934e-46	limma	Tumor-NAT	2.2303316553273242e-44
TMOD2	-3.4929409540954093	0.3019582938388626	-18.482924651349432	4.149595929591235e-46	limma	Tumor-NAT	3.178244682406087e-44
PDE5A	-3.7885524122412235	0.14466587677725112	-18.461447446271904	4.83406942133482e-46	limma	Tumor-NAT	3.6718952108668043e-44
BCHE	-4.286317434743474	0.21992890995260664	-18.382673980480376	8.465811308160713e-46	limma	Tumor-NAT	6.377809158467633e-44
SLC9A3R2	-4.040969693969396	0.07101848341232232	-18.368310221336948	9.377111241023955e-46	limma	Tumor-NAT	7.006912960670826e-44
EHD4	-3.4789043204320427	0.24713933649289113	-18.366733574259854	9.482944487465672e-46	limma	Tumor-NAT	7.02885022454008e-44
GFOD1	-3.8756839963996397	0.12848341232227467	-18.33033976411696	1.2287972395073184e-45	limma	Tumor-NAT	9.035100342649411e-44
CAPZB	-4.204984590459047	0.1280507109004739	-18.327873030992937	1.250574982132733e-45	limma	Tumor-NAT	9.122249730779326e-44
SLCO2A1	-5.119556867686771	-0.24886824644549738	-18.318277054073725	1.3390351363168775e-45	limma	Tumor-NAT	9.683052954478157e-44
PLCXD3	-4.7792632538253805	0.058697393364928824	-18.317285415291327	1.3485265783627506e-45	limma	Tumor-NAT	9.683052954478157e-44
KIAA0408	-4.512403222322231	-0.10468720379146919	-18.29033220205026	1.6339970453226535e-45	limma	Tumor-NAT	1.164191228182985e-43
JCAD	-3.8464722097209725	0.16196824644549773	-18.188591743069516	3.375073822325246e-45	limma	Tumor-NAT	2.386177192383949e-43
RDX	-3.724285841584157	0.22724502369668248	-18.17765945562466	3.6488659466958374e-45	limma	Tumor-NAT	2.5600554897772094e-43
TNS2	-3.413509468946894	0.20941658767772528	-18.171314508974596	3.81786314531277e-45	limma	Tumor-NAT	2.658331830952248e-43
SPTBN1	-3.632360526552656	0.09160876777251188	-18.140294664751853	4.763983003180569e-45	limma	Tumor-NAT	3.2921629911453094e-43
MRAS	-3.472924032403241	0.2606312796208531	-18.118279599090886	5.5748182014632334e-45	limma	Tumor-NAT	3.823742842511088e-43
ALDH1A1	-4.092083438343835	0.12280616113744094	-18.097880576800065	6.449065178467593e-45	limma	Tumor-NAT	4.390619115207085e-43
CD93	-4.455852511251127	0.04727440758293835	-18.096585214470505	6.509007390199501e-45	limma	Tumor-NAT	4.398844626714971e-43
A2M	-4.47609691269127	0.08960758293838857	-18.094698811538226	6.597299271064351e-45	limma	Tumor-NAT	4.425969167908938e-43
LAMB2	-3.7141562916291635	0.20485355450236978	-18.09019624626418	6.81291863069547e-45	limma	Tumor-NAT	4.537502545994352e-43
SCN7A	-4.507559846984698	-0.051770142180094736	-18.07326143334306	7.689038144939196e-45	limma	Tumor-NAT	5.0841690352615935e-43
SLC4A1	-5.453541683168316	-0.44654691943127955	-18.05538253578682	8.736780096631333e-45	limma	Tumor-NAT	5.73569613343847e-43
PKLR	-4.84296685868587	-0.23341895734597165	-18.051345541312852	8.992493090072581e-45	limma	Tumor-NAT	5.861702410699085e-43
AHNAK	-3.60983889738974	0.1750855450236967	-18.044657638813703	9.432725163886982e-45	limma	Tumor-NAT	6.1053645761468486e-43
CYBRD1	-4.549635058505853	0.030991943127962343	-18.027003864353333	1.0701304610835458e-44	limma	Tumor-NAT	6.8780203271460626e-43
VEPH1	-4.144429927992799	-0.008159715639810284	-18.010659117297745	1.2027716695346613e-44	limma	Tumor-NAT	7.676857232425744e-43
ANXA3	-4.951277344734475	0.017721800947867367	-18.00771986183158	1.2283154430040892e-44	limma	Tumor-NAT	7.785825680448678e-43
ACE	-4.367010108010803	-0.0807056872037917	-18.006101325041417	1.242612702740959e-44	limma	Tumor-NAT	7.822502295131613e-43
CA3	-5.802965751575158	-0.36107251184834144	-17.92697429685706	2.188559456815728e-44	limma	Tumor-NAT	1.3683707460947863e-42
NDRG4	-4.381794257425742	-0.04107345971563987	-17.86025837237443	3.5285874160536836e-44	limma	Tumor-NAT	2.191300468983068e-42
SULT1A4	-4.572704770477047	-0.13526066350710897	-17.82641996750445	4.496528317148778e-44	limma	Tumor-NAT	2.7736638767056653e-42
APOA2	-5.475652727272726	-0.2043056872037913	-17.818496717190808	4.759197184285092e-44	limma	Tumor-NAT	2.916118754717619e-42
F9	-4.344078847884789	0.031311374407583026	-17.76253196792632	7.108108163794355e-44	limma	Tumor-NAT	4.326531267114829e-42
NID1	-3.7113010711071093	0.11550047393364928	-17.760537578202396	7.210488424278919e-44	limma	Tumor-NAT	4.359973625496549e-42
CLIC3	-4.444476336633663	-0.07595924170616128	-17.74358676408052	8.142471640511191e-44	limma	Tumor-NAT	4.891337048884859e-42
SERPIND1	-4.25005599459946	0.15650426540284362	-17.739592236540208	8.379117354308469e-44	limma	Tumor-NAT	5.000809584639554e-42
PRKG1	-3.7862841224122414	0.23556374407582947	-17.705006500942808	1.0738611709500473e-43	limma	Tumor-NAT	6.367650336904442e-42
ILK	-3.3020342664266433	0.3315791469194313	-17.678734106602217	1.2966602007542202e-43	limma	Tumor-NAT	7.639489682776948e-42
AKAP12	-4.049458568856885	0.1573236966824646	-17.677191040388404	1.3111002500790526e-43	limma	Tumor-NAT	7.675364585016925e-42
SUSD2	-4.715111683168318	-0.2088834123222746	-17.67582811578828	1.3239884268758995e-43	limma	Tumor-NAT	7.701757994567337e-42
TBX2	-3.919859360936094	0.08830805687203809	-17.638101490227214	1.7358214528670167e-43	limma	Tumor-NAT	1.0033921366855818e-41
NTN4	-4.415258766876686	-0.13109763033175353	-17.609625840868606	2.129690371006757e-43	limma	Tumor-NAT	1.2233740124951937e-41
PARVA	-3.720375391539155	0.23975592417061617	-17.605971502281765	2.186330586767361e-43	limma	Tumor-NAT	1.2481095914893676e-41
IGSF10	-4.0023376282628265	-0.04061682464454996	-17.588982248433496	2.470120774388907e-43	limma	Tumor-NAT	1.4014123479881755e-41
ADIPOQ	-4.288464869486949	-0.014688625592417058	-17.58571954017061	2.52870504020175e-43	limma	Tumor-NAT	1.425848345060999e-41
NES	-3.6079010171017107	0.21733838862559238	-17.55606998496807	3.1291358346973396e-43	limma	Tumor-NAT	1.7536516741892225e-41
GUCY1A2	-3.645062394239423	0.16708199052132688	-17.549068606387618	3.290619739501196e-43	limma	Tumor-NAT	1.8329749106518478e-41
MUSTN1	-5.806614788478848	-0.3315421800947867	-17.518123523235413	4.11041663052077e-43	limma	Tumor-NAT	2.2758336898262893e-41
ABI3BP	-4.141436705670567	0.01640023696682455	-17.512427241024284	4.282256733508617e-43	limma	Tumor-NAT	2.356779738783096e-41
ALB	-3.7836707920792074	0.3398909952606633	-17.50096502871193	4.650152387493916e-43	limma	Tumor-NAT	2.5440208686581294e-41
PRF1	-4.99628491449145	-0.308471563981043	-17.462420770427922	6.1357307510290386e-43	limma	Tumor-NAT	3.336893569982716e-41
GNAQ	-3.589568226822682	0.2374838862559241	-17.44974506857948	6.721584032649859e-43	limma	Tumor-NAT	3.634004637887344e-41
PPP1R14A	-4.006689189918991	0.06299478672985795	-17.420741383858136	8.281591965506579e-43	limma	Tumor-NAT	4.451234605553858e-41
TEK	-4.27792115211521	0.024307109004739397	-17.36576040253988	1.2303133829715807e-42	limma	Tumor-NAT	6.574308315634766e-41
SORBS1	-3.935324248424842	0.11863886255924161	-17.331874288605174	1.5704058787333792e-42	limma	Tumor-NAT	8.343121636669646e-41
LAMP3	-4.667967749774977	-0.19097630331753565	-17.29102186030127	2.1078892773675024e-42	limma	Tumor-NAT	1.1134258820853284e-40
KANK2	-3.7287621557155717	0.2237163507109006	-17.26874584656981	2.4750076287331523e-42	limma	Tumor-NAT	1.2998740066106517e-40
TJP1	-3.45657100360036	0.10171398104265413	-17.19309346250134	4.270723954961951e-42	limma	Tumor-NAT	2.230239992616778e-40
SULT1A2	-4.60792198019802	-0.19863222748815187	-17.181630255857375	4.6389219279723645e-42	limma	Tumor-NAT	2.408832284745424e-40
WWC2	-3.183496336633663	0.14812369668246456	-17.17629442961432	4.8209898350503634e-42	limma	Tumor-NAT	2.489309976064488e-40
MYZAP	-4.692949455445545	-0.3093068720379149	-17.169599049871806	5.0596049019396606e-42	limma	Tumor-NAT	2.597923388476392e-40
RSU1	-3.12723898289829	0.33195118483412317	-17.167394043660938	5.1407493751567356e-42	limma	Tumor-NAT	2.624923750392531e-40
PRELP	-4.23708910891089	-0.017219905213270117	-17.15072062645321	5.798033929342883e-42	limma	Tumor-NAT	2.9441839693143888e-40
AQP4	-4.848750567056706	-0.27267772511848337	-17.100400694943943	8.33747333191052e-42	limma	Tumor-NAT	4.210424032614812e-40
PTPRS	-3.22813303330333	0.1845018957345969	-17.071043690720195	1.0306341893940233e-41	limma	Tumor-NAT	5.176261658317197e-40
RGCC	-3.897791782178218	0.07239763033175359	-17.064706300614763	1.0789055100081165e-41	limma	Tumor-NAT	5.389250294828587e-40
PDE2A	-3.5640629882988293	0.23944976303317533	-17.033620749151638	1.3505438379514345e-41	limma	Tumor-NAT	6.709647791681964e-40
C2orf54	-4.095802556255625	0.12760094786729873	-17.00624664004078	1.6459390950753095e-41	limma	Tumor-NAT	8.133239904751167e-40
UACA	-3.552118595859585	0.21703412322274876	-16.999367089274205	1.729842479848523e-41	limma	Tumor-NAT	8.502129535982768e-40
LUM	-4.0005598109811	0.14456445497630327	-16.97489977787322	2.064491960855404e-41	limma	Tumor-NAT	1.0092949793735114e-39
PPBP	-5.27693809180918	-0.25005592417061623	-16.965907384535512	2.2031602995582465e-41	limma	Tumor-NAT	1.0713886938222138e-39
PPM1F	-3.012252655265527	0.2937748815165877	-16.93442757794686	2.766304328092625e-41	limma	Tumor-NAT	1.338163319973648e-39
CLIC2	-3.71839395139514	0.1723601895734597	-16.90492594395863	3.4242689313635394e-41	limma	Tumor-NAT	1.6477725522598057e-39
GRK5	-3.143886345634563	0.16501800947867318	-16.88678252304421	3.9045478150761256e-41	limma	Tumor-NAT	1.8690989046023267e-39
ARHGAP44	-3.6138191719171933	0.19701943127962085	-16.869391320554236	4.428117159522034e-41	limma	Tumor-NAT	2.1087473996459592e-39
CNN1	-4.264751305130513	-0.005469668246445496	-16.840569652894597	5.455118939402455e-41	limma	Tumor-NAT	2.5844328954663896e-39
STARD13	-2.963181296129612	0.261929383886256	-16.82337211958781	6.17826254798776e-41	limma	Tumor-NAT	2.9120210809515644e-39
PRDX2	-4.1088895949594955	0.017919905213270186	-16.821089658746303	6.281192753470884e-41	limma	Tumor-NAT	2.9454307447525964e-39
SERPING1	-3.7151598559855983	0.22807393364928916	-16.809304912347944	6.840599191259358e-41	limma	Tumor-NAT	3.191469399333237e-39
APOA1	-4.184822583258326	0.17232606635071082	-16.7754871936606	8.738575806611761e-41	limma	Tumor-NAT	4.056376274675186e-39
ABCA3	-4.412977803780377	-0.09287582938388626	-16.74593842291926	1.0824014110735946e-40	limma	Tumor-NAT	4.999171542300205e-39
CRTAC1	-3.7262888298829893	0.24589289099526063	-16.735054475670854	1.1711986239427852e-40	limma	Tumor-NAT	5.3822432763290695e-39
S100A3	-5.933757119711972	-0.8719853080568724	-16.70376299248186	1.4692481782244852e-40	limma	Tumor-NAT	6.718338311473256e-39
HSPA12A	-3.8675579297929796	0.15639004739336507	-16.690928608789793	1.6124587143578801e-40	limma	Tumor-NAT	7.336687150328354e-39
DMD	-3.675012952295228	0.12713033175355437	-16.669257491214672	1.886703818537437e-40	limma	Tumor-NAT	8.542214185309155e-39
TPSAB1	-5.929577965796579	-0.579718483412322	-16.65318326467939	2.119870454620108e-40	limma	Tumor-NAT	9.550847719810496e-39
