sample_id	group
C3L-00094_Tumor	Tumor
C3L-00144_Tumor	Tumor
C3N-00223_Tumor	Tumor
C3N-02380_Tumor	Tumor
C3L-01924_Tumor	Tumor
C3N-00433_Tumor	Tumor
C3L-01683_Tumor	Tumor
C3N-00293_Tumor	Tumor
C3L-00009_Tumor	Tumor
C3N-00546_Tumor	Tumor
C3N-01414_Tumor	Tumor
C3N-02087_Tumor	Tumor
C3L-00140_Tumor	Tumor
C3N-02529_Tumor	Tumor
C3L-00368_Tumor	Tumor
C3N-02067_Tumor	Tumor
C3N-02422_Tumor	Tumor
C3L-00080_Tumor	Tumor
C3N-00547_Tumor	Tumor
C3N-01023_Tumor	Tumor
C3N-01024_Tumor	Tumor
C3L-00973_Tumor	Tumor
C3L-02348_Tumor	Tumor
C3L-02508_Tumor	Tumor
C3N-00560_Tumor	Tumor
C3L-00604_Tumor	Tumor
C3N-00199_Tumor	Tumor
C3N-00579_Tumor	Tumor
C3N-02582_Tumor	Tumor
C3L-02350_Tumor	Tumor
C3N-00738_Tumor	Tumor
C3N-00959_Tumor	Tumor
C3N-02003_Tumor	Tumor
C3N-00175_Tumor	Tumor
C3N-01823_Tumor	Tumor
C3L-02549_Tumor	Tumor
C3L-02365_Tumor	Tumor
C3N-01799_NAT	NAT
C3L-01890_NAT	NAT
C3N-00572_NAT	NAT
C3N-02423_NAT	NAT
C3N-02729_NAT	NAT
C3L-00263_NAT	NAT
C3N-01410_NAT	NAT
C3N-00578_NAT	NAT
C3N-02587_NAT	NAT
C3L-00893_NAT	NAT
C3N-01488_NAT	NAT
C3N-01413_NAT	NAT
C3N-01030_NAT	NAT
C3N-02588_NAT	NAT
C3N-00552_NAT	NAT
C3L-01889_NAT	NAT
C3N-00169_NAT	NAT
C3L-00422_NAT	NAT
C3L-00083_NAT	NAT
C3N-00551_NAT	NAT
C3N-02089_NAT	NAT
C3L-01682_NAT	NAT
C3N-01016_NAT	NAT
C3N-00580_NAT	NAT
C3N-02000_NAT	NAT
C3N-01489_NAT	NAT
C3N-00737_NAT	NAT
C3N-01405_NAT	NAT
C3N-01416_NAT	NAT
C3N-02149_NAT	NAT
C3N-02424_NAT	NAT
C3L-00279_NAT	NAT
C3L-00095_NAT	NAT
C3N-02572_NAT	NAT
C3N-00559_NAT	NAT
C3L-02345_NAT	NAT
C3L-00093_NAT	NAT
C3L-00510_NAT	NAT
C3L-00913_NAT	NAT
C3L-00412_NAT	NAT
C3N-01415_NAT	NAT
C3N-00549_NAT	NAT
C3N-02433_NAT	NAT
C3N-01021_NAT	NAT
C3N-00203_NAT	NAT
C3L-01330_NAT	NAT
C3N-00574_NAT	NAT
C3N-01071_NAT	NAT
C3N-00550_NAT	NAT
C3N-00167_NAT	NAT
C3L-00001_NAT	NAT
C3L-01632_NAT	NAT
C3N-02155_NAT	NAT
C3N-00217_NAT	NAT
C3N-02002_NAT	NAT
C3N-02145_NAT	NAT
C3N-02586_NAT	NAT
C3L-02219_NAT	NAT
C3N-00180_NAT	NAT
C3N-00704_NAT	NAT
C3N-02158_NAT	NAT
C3N-02421_NAT	NAT
C3N-00556_NAT	NAT
C3N-01072_NAT	NAT
C3L-00094_NAT	NAT
C3L-00144_NAT	NAT
C3N-00223_NAT	NAT
C3L-01924_NAT	NAT
C3N-00433_NAT	NAT
C3L-01683_NAT	NAT
C3N-00293_NAT	NAT
C3N-02380_NAT	NAT
C3L-00009_NAT	NAT
C3N-00546_NAT	NAT
C3N-01414_NAT	NAT
C3N-02087_NAT	NAT
C3L-00140_NAT	NAT
C3N-02529_NAT	NAT
C3L-00368_NAT	NAT
C3N-02067_NAT	NAT
C3L-00080_NAT	NAT
C3N-00547_NAT	NAT
C3N-01023_NAT	NAT
C3N-01024_NAT	NAT
C3L-00973_NAT	NAT
C3L-02348_NAT	NAT
C3L-02508_NAT	NAT
C3N-00560_NAT	NAT
C3L-00604_NAT	NAT
C3N-00199_NAT	NAT
C3N-00579_NAT	NAT
C3N-02582_NAT	NAT
C3L-02350_NAT	NAT
C3N-00738_NAT	NAT
C3N-00959_NAT	NAT
C3N-02003_NAT	NAT
C3N-02379_NAT	NAT
C3N-00175_NAT	NAT
C3N-01823_NAT	NAT
C3L-02549_NAT	NAT
C3L-02365_NAT	NAT
