sample_id	protein	rna	gene	cohort
C3L-00095	-1.7115	6.0356	TACSTD2	LUAD
C3N-02572	-0.4182	6.9855	TACSTD2	LUAD
C3N-00559	1.2215	5.9962	TACSTD2	LUAD
11LU016	-1.3241	5.9212	TACSTD2	LUAD
C3L-02345	-1.4816	5.5002	TACSTD2	LUAD
C3L-00093	-0.0278	7.2544	TACSTD2	LUAD
C3L-00510	-2.6523	7.0612	TACSTD2	LUAD
C3L-00913	-0.9432	6.6062	TACSTD2	LUAD
11LU022	-1.3331	4.7402	TACSTD2	LUAD
C3L-00412	-1.1732	5.6341	TACSTD2	LUAD
C3N-01415	-0.2851	6.277	TACSTD2	LUAD
C3N-00549	-2.7027	1.2703	TACSTD2	LUAD
C3N-02433	-1.719	6.0445	TACSTD2	LUAD
C3N-01021	1.3539	6.2965	TACSTD2	LUAD
C3N-00203	0.3716	6.5849	TACSTD2	LUAD
C3L-01330	0.0962	6.2401	TACSTD2	LUAD
C3N-00574	0.4788	6.5462	TACSTD2	LUAD
11LU035	0.0462	7.0409	TACSTD2	LUAD
C3N-01071	3.2264	7.914	TACSTD2	LUAD
C3N-00550	-0.264	6.94	TACSTD2	LUAD
C3N-00167	-0.26	6.7278	TACSTD2	LUAD
C3L-00001	-2.8503	5.4554	TACSTD2	LUAD
C3N-01074	-0.4452	5.5816	TACSTD2	LUAD
C3L-01632	1.5649	6.1952	TACSTD2	LUAD
C3N-02155	-1.806	4.7299	TACSTD2	LUAD
C3N-00217	-0.397	5.4135	TACSTD2	LUAD
C3N-02002	-2.3183	5.8138	TACSTD2	LUAD
C3N-02145	0.0067	6.6525	TACSTD2	LUAD
C3N-02586	0.3182	5.8978	TACSTD2	LUAD
C3L-02219	-1.1938	6.5988	TACSTD2	LUAD
C3N-00180	-1.5798	3.7916	TACSTD2	LUAD
C3L-01862	2.8583	7.559	TACSTD2	LUAD
C3N-00704	0.8526	7.0627	TACSTD2	LUAD
C3N-02158	-0.5708	5.4827	TACSTD2	LUAD
C3N-02421	-0.7864	6.1924	TACSTD2	LUAD
C3N-00556	0.5008	6.2461	TACSTD2	LUAD
C3N-00294	-0.3812	6.7201	TACSTD2	LUAD
C3N-01072	-1.3125	6.1139	TACSTD2	LUAD
C3L-00094	-2.7672	4.1108	TACSTD2	LUAD
C3L-00144	-1.3216	6.6232	TACSTD2	LUAD
C3N-00223	3.6443	6.6239	TACSTD2	LUAD
C3N-02380	-1.3466	6.1265	TACSTD2	LUAD
C3L-01924	-0.6456	6.457	TACSTD2	LUAD
C3N-00433	-4.8068	4.3145	TACSTD2	LUAD
C3L-01683	-4.2371	4.7545	TACSTD2	LUAD
C3N-00293	1.1171	6.5396	TACSTD2	LUAD
C3L-00009	0.1212	6.6314	TACSTD2	LUAD
C3N-00546	-1.7491	5.5894	TACSTD2	LUAD
C3N-01414	0.3014	5.8747	TACSTD2	LUAD
C3N-02087	1.0259	6.9702	TACSTD2	LUAD
C3L-00140	0.1203	5.6889	TACSTD2	LUAD
C3N-02529	-2.0406	4.8992	TACSTD2	LUAD
C3L-00368	-0.2148	6.3754	TACSTD2	LUAD
C3N-02067	1.3664	6.5517	TACSTD2	LUAD
C3N-02422	4.2229	7.9426	TACSTD2	LUAD
C3L-00080	-0.0709	5.9134	TACSTD2	LUAD
C3N-00547	-2.1482	5.4556	TACSTD2	LUAD
C3N-01023	-2.6811	3.9028	TACSTD2	LUAD
C3N-01024	0.4337	6.9067	TACSTD2	LUAD
C3L-00973	1.4213	7.3072	TACSTD2	LUAD
C3L-02348	-2.1722	5.13	TACSTD2	LUAD
C3L-02508	1.2026	6.2477	TACSTD2	LUAD
C3N-00560	-0.2241	5.9212	TACSTD2	LUAD
C3L-00604	-1.6652	6.1929	TACSTD2	LUAD
C3N-00199	0.4025	6.7037	TACSTD2	LUAD
C3N-00579	-1.4818	6.3529	TACSTD2	LUAD
C3N-02582	-2.4523	6.6011	TACSTD2	LUAD
C3L-02350	-2.5029	5.8262	TACSTD2	LUAD
C3N-00738	-2.8479	3.9754	TACSTD2	LUAD
C3N-00959	0.9477	6.9398	TACSTD2	LUAD
C3N-02003	-2.3055	5.1443	TACSTD2	LUAD
C3N-00175	-0.5988	6.1306	TACSTD2	LUAD
C3N-01823	-2.1139	4.6072	TACSTD2	LUAD
C3L-02549	2.9593	7.2082	TACSTD2	LUAD
C3L-02365	1.1209	7.7413	TACSTD2	LUAD
C3L-02665	-1.8218	20.9376	TACSTD2	LSCC
C3L-01663	1.6183	21.7915	TACSTD2	LSCC
C3N-02575	1.5558	22.4121	TACSTD2	LSCC
C3L-02546	-0.419	21.2093	TACSTD2	LSCC
C3L-00965	-2.9952	18.0384	TACSTD2	LSCC
C3L-02963	0.4535	20.7093	TACSTD2	LSCC
C3N-04162	3.4328	22.4108	TACSTD2	LSCC
C3L-02646	-1.5196	20.0005	TACSTD2	LSCC
C3N-02285	4.9623	21.906	TACSTD2	LSCC
C3N-03875	4.8848	21.8157	TACSTD2	LSCC
C3N-03424	1.2874	20.7058	TACSTD2	LSCC
C3N-01017	0.3523	21.6766	TACSTD2	LSCC
C3L-00081	-0.5773	21.1088	TACSTD2	LSCC
C3L-02649	-4.2702	18.6177	TACSTD2	LSCC
C3L-01838	2.4573	22.2541	TACSTD2	LSCC
C3N-02252	1.4985	21.2206	TACSTD2	LSCC
C3L-03963	-7.1618	18.6011	TACSTD2	LSCC
C3N-03072	-3.1096	19.5972	TACSTD2	LSCC
C3L-02969	1.1342	21.219	TACSTD2	LSCC
C3N-03662	-3.6031	19.3314	TACSTD2	LSCC
C3N-03051	3.1511	21.634	TACSTD2	LSCC
C3N-02434	0.2047	21.2621	TACSTD2	LSCC
C3L-02127	0.0335	21.855	TACSTD2	LSCC
C3N-02339	-0.6249	21.2289	TACSTD2	LSCC
C3L-03961	-3.5377	19.6112	TACSTD2	LSCC
C3L-04391	-1.3205	20.3283	TACSTD2	LSCC
C3L-02619	0.7426	21.4444	TACSTD2	LSCC
C3N-02494	-1.2416	20.6558	TACSTD2	LSCC
C3N-03880	2.0346	21.5596	TACSTD2	LSCC
C3N-03092	-1.8498	20.2471	TACSTD2	LSCC
C3L-02669	-0.9733	21.3308	TACSTD2	LSCC
C3N-03877	-0.9736	20.1721	TACSTD2	LSCC
C3N-01846	-2.0013	20.3684	TACSTD2	LSCC
C3L-02964	2.1776	21.1451	TACSTD2	LSCC
C3N-00247	-4.214	20.0125	TACSTD2	LSCC
C3N-02288	-1.1784	21.0701	TACSTD2	LSCC
C3L-01606	2.4666	20.9153	TACSTD2	LSCC
C3L-02164	-5.6981	18.6634	TACSTD2	LSCC
C3N-02374	2.3554	22.2253	TACSTD2	LSCC
C3N-02675	1.2641	21.1624	TACSTD2	LSCC
C3N-02523	-0.275	19.8103	TACSTD2	LSCC
C3L-02130	0.6061	22.2507	TACSTD2	LSCC
C3N-02426	-0.0421	20.3961	TACSTD2	LSCC
C3N-02284	2.7655	22.2883	TACSTD2	LSCC
C3L-00923	0.4986	21.3425	TACSTD2	LSCC
C3N-03486	-0.6332	20.8048	TACSTD2	LSCC
C3N-04127	-0.2028	20.7364	TACSTD2	LSCC
C3L-02951	-1.7654	20.9026	TACSTD2	LSCC
C3L-02629	-4.0398	19.9704	TACSTD2	LSCC
C3L-04013	-1.9428	17.8817	TACSTD2	LSCC
C3N-00221	-1.1601	20.8222	TACSTD2	LSCC
C3L-00568	-0.9518	20.8761	TACSTD2	LSCC
C3N-04155	0.3409	21.1756	TACSTD2	LSCC
C3N-01025	0.4868	20.7347	TACSTD2	LSCC
C3L-02552	-1.0362	20.5429	TACSTD2	LSCC
C3N-02375	2.2224	22.7777	TACSTD2	LSCC
C3L-02660	-3.3071	19.4854	TACSTD2	LSCC
C3L-01884	4.0787	21.9346	TACSTD2	LSCC
C3N-02300	1.5176	21.2439	TACSTD2	LSCC
C3L-01285	-2.3484	18.3683	TACSTD2	LSCC
C3L-02627	4.9033	23.1718	TACSTD2	LSCC
C3L-00993	0.7372	21.6552	TACSTD2	LSCC
C3N-02425	3.2931	23.1602	TACSTD2	LSCC
C3L-02170	-1.3475	20.7082	TACSTD2	LSCC
C3N-00555	1.061	21.0301	TACSTD2	LSCC
C3N-01893	1.4463	22.0172	TACSTD2	LSCC
C3N-03093	-3.4581	19.6747	TACSTD2	LSCC
C3L-01455	1.7169	20.8714	TACSTD2	LSCC
C3N-03848	0.6194	21.531	TACSTD2	LSCC
C3L-02968	-1.377	20.4525	TACSTD2	LSCC
C3N-03204	3.7605	21.7573	TACSTD2	LSCC
C3L-00445	-1.6259	19.6767	TACSTD2	LSCC
C3N-02283	-2.6605	19.3739	TACSTD2	LSCC
C3N-02289	-2.2045	20.3702	TACSTD2	LSCC
C3L-03962	-1.2939	19.6517	TACSTD2	LSCC
C3L-03272	0.6492	22.7073	TACSTD2	LSCC
C3N-01411	0.1016	20.7015	TACSTD2	LSCC
C3L-00415	2.6753	22.0412	TACSTD2	LSCC
C3N-03882	3.2816	22.723	TACSTD2	LSCC
C3L-01000	-3.0184	19.2453	TACSTD2	LSCC
C3L-02650	2.273	21.8224	TACSTD2	LSCC
C3L-02358	1.0974	21.6976	TACSTD2	LSCC
C3L-02168	-2.1418	20.3083	TACSTD2	LSCC
C3L-02625	2.5335	21.2642	TACSTD2	LSCC
C3N-01028	-2.1809	20.4393	TACSTD2	LSCC
C3N-02435	0.3572	20.3121	TACSTD2	LSCC
C3N-03441	-5.158	19.0863	TACSTD2	LSCC
C3L-04071	-1.7831	19.9587	TACSTD2	LSCC
C3N-01020	-2.8153	17.7961	TACSTD2	LSCC
C3N-00497	-2.6989	18.6199	TACSTD2	LSCC
C3N-01194	2.4514	21.8805	TACSTD2	LSCC
C3L-02648	3.1427	21.9248	TACSTD2	LSCC
C3L-03678	0.5915	22.301	TACSTD2	LSCC
C3L-02891	-0.2367	20.4983	TACSTD2	LSCC
C3L-00927	2.645	22.3155	TACSTD2	LSCC
C3N-03886	-3.9106	15.9248	TACSTD2	LSCC
C3L-04014	-0.1115	20.1247	TACSTD2	LSCC
C3N-03076	-2.3864	19.3147	TACSTD2	LSCC
C3N-03425	-0.3586	20.62	TACSTD2	LSCC
C3L-02163	2.5469	22.2506	TACSTD2	LSCC
C3N-04124	-1.039	20.5011	TACSTD2	LSCC
C3L-00904	0.6494	22.18	TACSTD2	LSCC
C3N-00211	0.1876	21.4409	TACSTD2	LSCC
C3N-01892	-3.5507	19.6422	TACSTD2	LSCC
C3L-00603	-4.1678	17.252	TACSTD2	LSCC
C3L-03965	-1.9781	20.1364	TACSTD2	LSCC
C3N-03851	-4.0118	15.5505	TACSTD2	LSCC
C3L-02349	0.7777	22.4059	TACSTD2	LSCC
