contrast_id	sample	arm	isg_score
GSE84986_MCF7_53BP1_IR	53BP1Δ-1 IR replicate 1	KO	2.577893383032448
GSE84986_MCF7_53BP1_IR	53BP1Δ-1 IR replicate 2	KO	3.1025951255372166
GSE84986_MCF7_53BP1_IR	53BP1Δ-1 IR replicate 3	KO	3.2646184273085264
GSE84986_MCF7_53BP1_IR	53BP1Δ-2 IR replicate 1	KO	2.749878673898054
GSE84986_MCF7_53BP1_IR	53BP1Δ-2 IR replicate 2	KO	3.0772527368222042
GSE84986_MCF7_53BP1_IR	53BP1Δ-2 IR replicate 3	KO	3.159328326994245
GSE145148_MCF10A_XRCC4_vs_WT	MCF10A_WT_S1	CTRL	3.875538819247178
GSE145148_MCF10A_XRCC4_vs_WT	MCF10A_WT_S2	CTRL	4.17702579621487
GSE145148_MCF10A_XRCC4_vs_WT	MCF10A_XRCC4KO_S1	KO	2.3622012372343724
GSE145148_MCF10A_XRCC4_vs_WT	MCF10A_XRCC4KO_S2	KO	2.520279152421396
GSE145148_MCF10A_XRCC4_p53DKO_vs_p53KO	MCF10A_p53KO_S1	CTRL	4.909916542419833
GSE145148_MCF10A_XRCC4_p53DKO_vs_p53KO	MCF10A_p53KO_S2	CTRL	4.964037302750484
GSE145148_MCF10A_XRCC4_p53DKO_vs_p53KO	MCF10A_XRCC4p53DKO_S1	KO	3.2448668167515784
GSE145148_MCF10A_XRCC4_p53DKO_vs_p53KO	MCF10A_XRCC4p53DKO_S2	KO	3.1805840667173917
GSE280049_RPE1_53BP1	RPE-NC1	CTRL	5.371093894824931
GSE280049_RPE1_53BP1	RPE-NC2	CTRL	8.111536781887148
GSE280049_RPE1_53BP1	RPE-KO1	KO	6.519550918773242
GSE280049_RPE1_53BP1	RPE-KO2	KO	6.42821768956003
GSE237615_ID8_tumor_53BP1	ID8_Ctrl1	CTRL	2.4716584948012703
GSE237615_ID8_tumor_53BP1	ID8_Ctrl2	CTRL	2.5150012876496217
GSE237615_ID8_tumor_53BP1	ID8_Ctrl3	CTRL	2.5067993162271125
GSE237615_ID8_tumor_53BP1	ID8_53BP1_KO1	KO	3.7818918709478226
GSE237615_ID8_tumor_53BP1	ID8_53BP1_KO2	KO	3.617040017181866
GSE237615_ID8_tumor_53BP1	ID8_53BP1_KO3	KO	3.6968813003658063
GSE237615_KPC_tumor_53BP1	Ctrl_1	CTRL	3.668585445702803
GSE237615_KPC_tumor_53BP1	Ctrl_2	CTRL	4.124374757551154
GSE237615_KPC_tumor_53BP1	Ctrl_3	CTRL	4.6609464669476885
GSE237615_KPC_tumor_53BP1	Ctrl_4	CTRL	5.047992119308822
GSE237615_KPC_tumor_53BP1	Ctrl_5	CTRL	3.85292774196936
GSE237615_KPC_tumor_53BP1	53BP1_KO_1	KO	4.863218312963017
GSE237615_KPC_tumor_53BP1	53BP1_KO_2	KO	4.0235367712990735
GSE237615_KPC_tumor_53BP1	53BP1_KO_3	KO	4.623480335271577
GSE237615_KPC_tumor_53BP1	53BP1_KO_4	KO	4.889789468545209
GSE237615_KPC_tumor_53BP1	53BP1_KO_5	KO	4.828017617636203
