gene	status	n_rows	tismo_symbol	n_malformed_dropped	error
H4c3	ok	573	H4c3	0.0	
H4c4	ok	573	H4c4	0.0	
H4c6	ok	573	H4c6	0.0	
H4c8	ok	600	H4c8	0.0	
H4c9	ok	613	H4c9	0.0	
Helq	ok	604	Helq	0.0	
Helz2	ok	612	Helz2	0.0	
Herc2	ok	596	Herc2	0.0	
Herc6	ok	613	Herc6	0.0	
Hif1a	ok	599	Hif1a	0.0	
Hmces	ok	604	Hmces	0.0	
Hmga2	ok	613	Hmga2	0.0	
Hsf1	ok	612	Hsf1	0.0	
Icam1	ok	613	Icam1	0.0	
Ido1	ok	601	Ido1	0.0	
Iffo1	ok	613	Iffo1	0.0	
Ifi27	ok	611	Ifi27	0.0	
Ifi30	ok	611	Ifi30	0.0	
Ifi35	ok	612	Ifi35	0.0	
Ifi44	ok	613	Ifi44	0.0	
Ifi44l	ok	613	Ifi44l	0.0	
Ifih1	ok	613	Ifih1	0.0	
Ifit2	ok	605	Ifit2	0.0	
Ifit3	ok	605	Ifit3	0.0	
Ifitm1	ok	613	Ifitm1	0.0	
Ifitm2	ok	606	Ifitm2	0.0	
Ifitm3	ok	607	Ifitm3	0.0	
Ifnar2	ok	612	Ifnar2	0.0	
Il10ra	ok	613	Il10ra	0.0	
Il15	ok	613	Il15	0.0	
Il15ra	ok	613	Il15ra	0.0	
Il18bp	ok	613	Il18bp	0.0	
Il2rb	ok	613	Il2rb	0.0	
Il4ra	ok	613	Il4ra	0.0	
Il6	ok	581	Il6	0.0	
Il7	ok	611	Il7	0.0	
Irf1	ok	612	Irf1	0.0	
Irf2	ok	610	Irf2	0.0	
Irf4	ok	579	Irf4	0.0	
Irf5	ok	613	Irf5	0.0	
Irf7	ok	613	Irf7	0.0	
Irf8	ok	613	Irf8	0.0	
Irf9	ok	612	Irf9	0.0	
Isg15	ok	610	Isg15	0.0	
Isg20	ok	605	Isg20	0.0	
Isoc1	ok	612	Isoc1	0.0	
Itgb7	ok	613	Itgb7	0.0	
Jak2	ok	613	Jak2	0.0	
Kat5	ok	603	Kat5	0.0	
Kdm2a	ok	600	Kdm2a	0.0	
Kdm4d	ok	605	Kdm4d	0.0	
Kmt5b	ok	606	Kmt5b	0.0	
Kmt5c	ok	606	Kmt5c	0.0	
Lamp3	ok	580	Lamp3	0.0	
Lap3	ok	606	Lap3	0.0	
Lats2	ok	607	Lats2	0.0	
Lcp2	ok	613	Lcp2	0.0	
Lgals3bp	ok	612	Lgals3bp	0.0	
Lig1	ok	609	Lig1	0.0	
Lig3	ok	611	Lig3	0.0	
Lig4	ok	613	Lig4	0.0	
Lmna	ok	613	Lmna	0.0	
Lpar6	ok	613	Lpar6	0.0	
Ly6e	ok	612	Ly6e	0.0	
Lysmd2	ok	613	Lysmd2	0.0	
Mad2l2	ok	585	Mad2l2	0.0	
Marchf1	ok	612	Marchf1	0.0	
Mbtd1	ok	611	Mbtd1	0.0	
Mdc1	ok	606	Mdc1	0.0	
Mlh1	ok	612	Mlh1	0.0	
Mov10	ok	592	Mov10	0.0	
Mre11a	ok	602	Mre11a	0.0	
Mrnip	ok	612	Mrnip	0.0	
Mthfd2	ok	612	Mthfd2	0.0	
Mvb12a	ok	612	Mvb12a	0.0	
Mvp	ok	612	Mvp	0.0	
Mx2	fail	0			not in cache
Myd88	ok	611	Myd88	0.0	
Nampt	ok	605	Nampt	0.0	
Nbn	ok	597	Nbn	0.0	
Ncoa3	ok	612	Ncoa3	0.0	
Ncoa7	ok	598	Ncoa7	0.0	
Nfkb1	ok	595	Nfkb1	0.0	
Nfkbia	ok	605	Nfkbia	0.0	
Nhej1	ok	587	Nhej1	0.0	
Nlrc5	ok	613	Nlrc5	0.0	
Nmi	ok	612	Nmi	0.0	
Nod1	ok	613	Nod1	0.0	
Nsd2	ok	610	Nsd2	0.0	
Nub1	ok	606	Nub1	0.0	
Nudt16l1	ok	612	Nudt16l1	0.0	
Nup93	ok	599	Nup93	0.0	
Oas1a	ok	613	Oas1a	0.0	
Oas2	ok	613	Oas2	0.0	
Oas3	ok	613	Oas3	0.0	
Oasl1	ok	612	Oasl1	0.0	
Ogfr	ok	605	Ogfr	0.0	
P2ry14	ok	613	P2ry14	0.0	
Parp12	ok	612	Parp12	0.0	
Parp14	ok	613	Parp14	0.0	
Parp3	ok	611	Parp3	0.0	
Parp9	ok	612	Parp9	0.0	
Paxip1	ok	612	Paxip1	0.0	
Paxx	ok	611	Paxx	0.0	
Pde4b	ok	613	Pde4b	0.0	
Peli1	ok	612	Peli1	0.0	
Pfkp	ok	613	Pfkp	0.0	
Pias4	ok	611	Pias4	0.0	
Pim1	ok	612	Pim1	0.0	
Pla2g4a	ok	613	Pla2g4a	0.0	
Plk1	ok	592	Plk1	0.0	
Plscr1	ok	606	Plscr1	0.0	
Pml	ok	599	Pml	0.0	
Pnkp	ok	612	Pnkp	0.0	
Pnp	ok	611	Pnp	0.0	
Pnpt1	ok	601	Pnpt1	0.0	
Pola1	ok	604	Pola1	0.0	
Polb	ok	592	Polb	0.0	
Poll	ok	612	Poll	0.0	
Polm	ok	612	Polm	0.0	
Polq	ok	613	Polq	0.0	
Pot1b	ok	603	Pot1b	0.0	
Ppp1ca	ok	610	Ppp1ca	0.0	
Prkdc	ok	613	Prkdc	0.0	
Procr	ok	609	Procr	0.0	
Prpf19	ok	603	Prpf19	0.0	
Psma2	ok	610	Psma2	0.0	
Psma3	ok	604	Psma3	0.0	
Psmb10	ok	605	Psmb10	0.0	
Psmb2	ok	601	Psmb2	0.0	
Psmb8	ok	596	Psmb8	0.0	
Psmb9	ok	611	Psmb9	0.0	
Psmd14	ok	602	Psmd14	0.0	
Psme1	ok	612	Psme1	0.0	
Psme2	ok	606	Psme2	0.0	
Ptgs2	ok	613	Ptgs2	0.0	
Ptpn1	ok	610	Ptpn1	0.0	
Ptpn2	ok	612	Ptpn2	0.0	
Ptpn6	ok	606	Ptpn6	0.0	
Rad50	ok	604	Rad50	0.0	
Rapgef6	ok	611	Rapgef6	0.0	
Rbck1	ok	600	Rbck1	0.0	
Rhno1	ok	609	Rhno1	0.0	
Rif1	ok	606	Rif1	0.0	
Rigi	ok	594	Ddx58	0.0	
Ripk1	ok	612	Ripk1	0.0	
Ripk2	ok	612	Ripk2	0.0	
Rnf168	ok	604	Rnf168	0.0	
Rnf169	ok	598	Rnf169	0.0	
Rnf213	ok	613	Rnf213	0.0	
Rnf31	ok	612	Rnf31	0.0	
Rnf8	ok	600	Rnf8	0.0	
Rsad2	ok	613	Rsad2	0.0	
Rtp4	ok	612	Rtp4	0.0	
Samd9l	ok	613	Samd9l	0.0	
Samhd1	ok	612	Samhd1	0.0	
Sectm1a	ok	613	Sectm1a	0.0	
Sell	ok	609	Sell	0.0	
Selp	ok	612	Selp	0.0	
Serping1	ok	613	Serping1	0.0	
Setmar	ok	613	Setmar	0.0	
Shld1	ok	611	Shld1	0.0	
Shld2	ok	609	Shld2	0.0	
Shld3	ok	608	Shld3	0.0	
Slamf7	ok	613	Slamf7	0.0	
Slc25a28	ok	612	Slc25a28	0.0	
Smarcal1	ok	606	Smarcal1	0.0	
Smchd1	ok	596	Smchd1	0.0	
Socs1	ok	613	Socs1	0.0	
Socs3	ok	603	Socs3	0.0	
Sod2	ok	612	Sod2	0.0	
Sp110	ok	613	Sp110	0.0	
Sppl2a	ok	611	Sppl2a	0.0	
Sri	ok	612	Sri	0.0	
Sspn	ok	613	Sspn	0.0	
St3gal5	ok	613	St3gal5	0.0	
St8sia4	ok	612	St8sia4	0.0	
Stat1	ok	612	Stat1	0.0	
Stat2	ok	612	Stat2	0.0	
Stat3	ok	606	Stat3	0.0	
Stat4	ok	611	Stat4	0.0	
Tacstd2	ok	605	Tacstd2	0.0	
Tap1	ok	612	Tap1	0.0	
Tapbp	ok	603	Tapbp	0.0	
Tdp1	ok	602	Tdp1	0.0	
Tdp2	ok	612	Tdp2	0.0	
Tdrd7	ok	602	Tdrd7	0.0	
Tent5a	ok	604	Tent5a	0.0	
Tmem140	ok	607	Tmem140	0.0	
Tmt1b	fail	0			not in cache
Tnfaip2	ok	612	Tnfaip2	0.0	
Tnfaip3	ok	611	Tnfaip3	0.0	
Tnfaip6	ok	599	Tnfaip6	0.0	
Tnfsf10	ok	611	Tnfsf10	0.0	
Top2b	ok	595	Top2b	0.0	
Topbp1	ok	597	Topbp1	0.0	
Tor1b	ok	612	Tor1b	0.0	
Trafd1	ok	612	Trafd1	0.0	
Trim12c	ok	613	Trim12c	0.0	
Trim14	ok	613	Trim14	0.0	
Trim21	ok	613	Trim21	0.0	
Trim25	ok	611	Trim25	0.0	
Trim26	ok	612	Trim26	0.0	
Trp53bp1	ok	612	Trp53bp1	0.0	
Txnip	ok	602	Txnip	0.0	
Uba7	ok	612	Uba7	0.0	
Ube2l6	ok	612	Ube2l6	0.0	
Ube2n	ok	606	Ube2n	0.0	
Ube2v2	ok	612	Ube2v2	0.0	
Uimc1	ok	607	Uimc1	0.0	
Upp1	ok	613	Upp1	0.0	
Usp18	ok	613	Usp18	0.0	
Usp51	ok	595	Usp51	0.0	
Uvrag	ok	604	Uvrag	0.0	
Vamp5	ok	606	Vamp5	0.0	
Vamp8	ok	611	Vamp8	0.0	
Vcam1	ok	613	Vcam1	0.0	
Wars1	ok	604	Wars	0.0	
Was	ok	613	Was	0.0	
Wrap53	ok	603	Wrap53	0.0	
Xaf1	ok	600	Xaf1	0.0	
Xcl1	ok	613	Xcl1	0.0	
Xrcc1	ok	612	Xrcc1	0.0	
Xrcc4	ok	597	Xrcc4	0.0	
Xrcc5	ok	612	Xrcc5	0.0	
Xrcc6	ok	612	Xrcc6	0.0	
Zbp1	ok	613	Zbp1	0.0	
Zbtb7a	ok	600	Zbtb7a	0.0	
Znfx1	ok	594	Znfx1	0.0	
