score	tf	axis	kind	family	elf3_given	nes	n_targets	n_patients	delta_median_high_minus_low	direction	n_patients_delta_pos	n_patients_delta_neg	p_patient	n_samples	delta_median_samples	p_sample	n_patients_tLung	delta_median_tLung	direction_tLung	p_tLung	kd_like_expectation	vs_kd_like	vs_GSE207704	vs_GSE50927	fdr_patient
ATF4(+)|CLDN4out	ATF4	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.800868587621781	210	29	0.0036844576264287165	higher in CLDN4-high	20	9	0.03080105036497116	29	0.0036844611167907715	0.03080105036497116	10	0.001843184056447969	higher in CLDN4-high	1.0	unspecified	NA	NA	NA	0.05807281370895604
BACH1(+)	BACH1	other	cistarget_regulon	cistarget_as_returned	False	4.273558608899777	15	29	0.0011046477128392983	higher in CLDN4-high	18	11	0.14936558529734612	29	0.0011046472936868668	0.14936558529734612	10	0.0013683572030055444	higher in CLDN4-high	0.375	unspecified	NA	NA	NA	
BACH1(+)|CLDN4out	BACH1	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.273558608899777	15	29	0.0011046477128392983	higher in CLDN4-high	18	11	0.14936558529734612	29	0.0011046472936868668	0.14936558529734612	10	0.0013683572030055444	higher in CLDN4-high	0.375	unspecified	NA	NA	NA	0.22718631041024914
BARX2(+)	BARX2	other	cistarget_regulon	cistarget_as_returned	False	3.3807556918346053	18	29	0.00019259435115105868	higher in CLDN4-high	16	13	0.44202057644724846	29	0.00019259657710790634	0.44202057644724846	10	0.0004486548213910417	higher in CLDN4-high	0.322265625	unspecified	NA	NA	NA	
BARX2(+)|CLDN4out	BARX2	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.3807556918346053	18	29	0.00019259435115105868	higher in CLDN4-high	16	13	0.44202057644724846	29	0.00019259657710790634	0.44202057644724846	10	0.0004486548213910417	higher in CLDN4-high	0.322265625	unspecified	NA	NA	NA	0.5095906008723056
BCL11A(+)	BCL11A	other	cistarget_regulon	cistarget_as_returned	False	3.537368393839865	9	29	1.993558755232364e-05	higher in CLDN4-high	15	14	0.2941182516515255	29	1.993565820157528e-05	0.2941182516515255	10	5.5852736341142255e-05	higher in CLDN4-high	0.6953125	unspecified	NA	NA	NA	
BCLAF1(+)	BCLAF1	other	cistarget_regulon	cistarget_as_returned	False	3.303804551133852	10	29	0.0005414490744693329	higher in CLDN4-high	15	14	0.31448761001229286	29	0.0005414485931396484	0.31448761001229286	10	-0.0005267374596023208	higher in CLDN4-low	1.0	unspecified	NA	NA	NA	
BCLAF1(+)|CLDN4out	BCLAF1	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.303804551133852	10	29	0.0005414490744693329	higher in CLDN4-high	15	14	0.31448761001229286	29	0.0005414485931396484	0.31448761001229286	10	-0.0005267374596023208	higher in CLDN4-low	1.0	unspecified	NA	NA	NA	0.3898784754261987
BHLHE40(+)	BHLHE40	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	4.5554919867279	38	29	0.004758590198930247	higher in CLDN4-high	25	4	3.982335329055786e-06	29	0.004758588969707489	3.982335329055786e-06	10	0.0050258834908126215	higher in CLDN4-high	0.009765625	lower_in_high	OPPOSITE	SAME	OPPOSITE	
BHLHE40(+)|CLDN4out	BHLHE40	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	4.5554919867279	38	29	0.004758590198930247	higher in CLDN4-high	25	4	3.982335329055786e-06	29	0.004758588969707489	3.982335329055786e-06	10	0.0050258834908126215	higher in CLDN4-high	0.009765625	lower_in_high	OPPOSITE	SAME	OPPOSITE	2.4026756485303243e-05
CEBPA(+)	CEBPA	other	cistarget_regulon	cistarget_as_returned	False	4.907739976898572	44	29	0.0003396135867174896	higher in CLDN4-high	15	14	0.25600792095065117	29	0.00033961422741413116	0.25600792095065117	10	-0.010288687097234451	higher in CLDN4-low	0.00390625	unspecified	NA	NA	NA	
CEBPA(+)|CLDN4out	CEBPA	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.907739976898572	44	29	0.0003396135867174896	higher in CLDN4-high	15	14	0.25600792095065117	29	0.00033961422741413116	0.25600792095065117	10	-0.010288687097234451	higher in CLDN4-low	0.00390625	unspecified	NA	NA	NA	0.3407164242063813
CEBPB(+)	CEBPB	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	4.5753179183452	113	29	0.004799672082816009	higher in CLDN4-high	24	5	0.0001104697585105896	29	0.004799671471118927	0.0001104697585105896	10	0.004062881261771879	higher in CLDN4-high	0.009765625	lower_in_high	OPPOSITE	SAME	OPPOSITE	
CEBPB(+)|CLDN4out	CEBPB	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	4.5753179183452	113	29	0.004799672082816009	higher in CLDN4-high	24	5	0.0001104697585105896	29	0.004799671471118927	0.0001104697585105896	10	0.004062881261771879	higher in CLDN4-high	0.009765625	lower_in_high	OPPOSITE	SAME	OPPOSITE	0.000499875657260418
CEBPD(+)	CEBPD	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	3.5439633608809613	111	29	0.010691327906479212	higher in CLDN4-high	27	2	7.078051567077637e-08	29	0.010691329836845398	7.078051567077637e-08	10	0.011059604801641289	higher in CLDN4-high	0.001953125	lower_in_high	OPPOSITE	SAME	OPPOSITE	
CEBPD(+)|CLDN4out	CEBPD	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	3.5439633608809613	111	29	0.010691327906479212	higher in CLDN4-high	27	2	7.078051567077637e-08	29	0.010691329836845398	7.078051567077637e-08	10	0.011059604801641289	higher in CLDN4-high	0.001953125	lower_in_high	OPPOSITE	SAME	OPPOSITE	8.007045835256577e-07
CEBPG(+)	CEBPG	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	5.608513198694372	66	29	-8.193062692916225e-05	higher in CLDN4-low	13	16	0.9152156375348568	29	-8.193030953407288e-05	0.9152156375348568	10	-6.675239093104426e-05	higher in CLDN4-low	0.556640625	lower_in_high	SAME	OPPOSITE	SAME	
CEBPG(+)|CLDN4out	CEBPG	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	5.608513198694372	66	29	-8.193062692916225e-05	higher in CLDN4-low	13	16	0.9152156375348568	29	-8.193030953407288e-05	0.9152156375348568	10	-6.675239093104426e-05	higher in CLDN4-low	0.556640625	lower_in_high	SAME	OPPOSITE	SAME	0.9412160817830061
CHD1(+)	CHD1	other	cistarget_regulon	cistarget_as_returned	False	4.209423898580966	23	29	0.0006845039347958197	higher in CLDN4-high	16	13	0.16885415464639664	29	0.0006845039315521717	0.16885415464639664	10	0.001036178167580508	higher in CLDN4-high	0.130859375	unspecified	NA	NA	NA	
CHD1(+)|CLDN4out	CHD1	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.209423898580966	23	29	0.0006845039347958197	higher in CLDN4-high	16	13	0.16885415464639664	29	0.0006845039315521717	0.16885415464639664	10	0.001036178167580508	higher in CLDN4-high	0.130859375	unspecified	NA	NA	NA	0.24065040937793536
CHURC1(+)	CHURC1	other	cistarget_regulon	cistarget_as_returned	False	3.670092145567099	49	29	-0.0014451017876309785	higher in CLDN4-low	12	17	0.4946499206125736	29	-0.0014451071619987488	0.4946499206125736	10	-0.0008312124970311294	higher in CLDN4-low	0.921875	unspecified	NA	NA	NA	
CHURC1(+)|CLDN4out	CHURC1	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.670092145567099	49	29	-0.0014451017876309785	higher in CLDN4-low	12	17	0.4946499206125736	29	-0.0014451071619987488	0.4946499206125736	10	-0.0008312124970311294	higher in CLDN4-low	0.921875	unspecified	NA	NA	NA	0.5560971157197256
CLOCK(+)	CLOCK	other	cistarget_regulon	cistarget_as_returned	False	3.2409139984706146	21	29	-0.002045243234454614	higher in CLDN4-low	3	26	1.3820827007293701e-06	29	-0.002045243978500366	1.3820827007293701e-06	10	-0.001777741035596466	higher in CLDN4-low	0.009765625	unspecified	NA	NA	NA	
CLOCK(+)|CLDN4out	CLOCK	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.2409139984706146	21	29	-0.002045243234454614	higher in CLDN4-low	3	26	1.3820827007293701e-06	29	-0.002045243978500366	1.3820827007293701e-06	10	-0.001777741035596466	higher in CLDN4-low	0.009765625	unspecified	NA	NA	NA	1.0423207034667334e-05
CNOT3(+)	CNOT3	other	cistarget_regulon	cistarget_as_returned	False	4.2468592350494605	12	29	-0.0006386537571149258	higher in CLDN4-low	8	21	0.014758598059415817	29	-0.0006386535242199898	0.014758598059415817	10	-0.0007503146251025931	higher in CLDN4-low	0.375	unspecified	NA	NA	NA	
CNOT3(+)|CLDN4out	CNOT3	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.2468592350494605	12	29	-0.0006386537571149258	higher in CLDN4-low	8	21	0.014758598059415817	29	-0.0006386535242199898	0.014758598059415817	10	-0.0007503146251025931	higher in CLDN4-low	0.375	unspecified	NA	NA	NA	0.031427132338285445
CREB3(+)	CREB3	other	cistarget_regulon	cistarget_as_returned	False	4.449602730353654	48	29	-0.0018662566625999577	higher in CLDN4-low	9	20	0.025833535939455032	29	-0.0018662549555301666	0.025833535939455032	10	-0.0023996739175037446	higher in CLDN4-low	0.00390625	unspecified	NA	NA	NA	
CREB3(+)|CLDN4out	CREB3	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.449602730353654	48	29	-0.0018662566625999577	higher in CLDN4-low	9	20	0.025833535939455032	29	-0.0018662549555301666	0.025833535939455032	10	-0.0023996739175037446	higher in CLDN4-low	0.00390625	unspecified	NA	NA	NA	0.05027817209721894
CREB3L2(+)	CREB3L2	other	cistarget_regulon	cistarget_as_returned	False	3.216115157112508	11	29	0.0057172725166937735	higher in CLDN4-high	26	3	1.6652047634124756e-06	29	0.005717277526855469	1.6652047634124756e-06	10	0.006020537980418603	higher in CLDN4-high	0.01953125	unspecified	NA	NA	NA	
CREB3L2(+)|CLDN4out	CREB3L2	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.216115157112508	11	29	0.0057172725166937735	higher in CLDN4-high	26	3	1.6652047634124756e-06	29	0.005717277526855469	1.6652047634124756e-06	10	0.006020537980418603	higher in CLDN4-high	0.01953125	unspecified	NA	NA	NA	1.1592387006833003e-05
CREM(+)	CREM	other	cistarget_regulon	cistarget_as_returned	False	3.7901619765817065	12	29	0.0006838182014894164	higher in CLDN4-high	18	11	0.1556677184998989	29	0.0006838180124759674	0.1556677184998989	10	-5.663703258007059e-05	higher in CLDN4-low	0.625	unspecified	NA	NA	NA	
CREM(+)|CLDN4out	CREM	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.7901619765817065	12	29	0.0006838182014894164	higher in CLDN4-high	18	11	0.1556677184998989	29	0.0006838180124759674	0.1556677184998989	10	-5.663703258007059e-05	higher in CLDN4-low	0.625	unspecified	NA	NA	NA	0.2328583227147248
DBP(+)	DBP	other	cistarget_regulon	cistarget_as_returned	False	4.046699448564719	16	29	-0.0003335655804996285	higher in CLDN4-low	13	16	0.983013316988945	29	-0.000333564355969429	0.983013316988945	10	0.0032236840855711657	higher in CLDN4-high	0.064453125	unspecified	NA	NA	NA	
DBP(+)|CLDN4out	DBP	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.046699448564719	16	29	-0.0003335655804996285	higher in CLDN4-low	13	16	0.983013316988945	29	-0.000333564355969429	0.983013316988945	10	0.0032236840855711657	higher in CLDN4-high	0.064453125	unspecified	NA	NA	NA	0.983013316988945
DDIT3(+)	DDIT3	other	cistarget_regulon	cistarget_as_returned	False	7.335690109231553	27	29	0.006556581587388713	higher in CLDN4-high	21	8	0.0013987235724925995	29	0.0065565817058086395	0.0013987235724925995	10	0.005077835320443759	higher in CLDN4-high	0.10546875	unspecified	NA	NA	NA	
DDIT3(+)|CLDN4out	DDIT3	other	cistarget_regulon	cistarget_CLDN4_held_out	False	7.335690109231553	27	29	0.006556581587388713	higher in CLDN4-high	21	8	0.0013987235724925995	29	0.0065565817058086395	0.0013987235724925995	10	0.005077835320443759	higher in CLDN4-high	0.10546875	unspecified	NA	NA	NA	0.004150310928215746
DPF2(+)	DPF2	other	cistarget_regulon	cistarget_as_returned	False	3.597690926974809	17	29	-0.0004189516245115439	higher in CLDN4-low	13	16	0.966034073382616	29	-0.00041895173490047455	0.966034073382616	10	0.0005477021962551373	higher in CLDN4-high	0.431640625	unspecified	NA	NA	NA	
DPF2(+)|CLDN4out	DPF2	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.597690926974809	17	29	-0.0004189516245115439	higher in CLDN4-low	13	16	0.966034073382616	29	-0.00041895173490047455	0.966034073382616	10	0.0005477021962551373	higher in CLDN4-high	0.431640625	unspecified	NA	NA	NA	0.9714009293458528
E2F1(+)	E2F1	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	6.410543447353177	81	29	-0.005406943250548198	higher in CLDN4-low	5	24	2.1148473024368286e-05	29	-0.005406942218542099	2.1148473024368286e-05	10	-0.006099157580323561	higher in CLDN4-low	0.00390625	lower_in_high	SAME	OPPOSITE	SAME	
E2F1(+)|CLDN4out	E2F1	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	6.410543447353177	81	29	-0.005406943250548198	higher in CLDN4-low	5	24	2.1148473024368286e-05	29	-0.005406942218542099	2.1148473024368286e-05	10	-0.006099157580323561	higher in CLDN4-low	0.00390625	lower_in_high	SAME	OPPOSITE	SAME	0.00010936781764030457
E2F3(+)	E2F3	other	cistarget_regulon	cistarget_as_returned	False	3.709745027926176	13	29	-0.0003613035326946682	higher in CLDN4-low	10	19	0.346684567630291	29	-0.0003613024018704891	0.346684567630291	10	-3.027029633428588e-05	higher in CLDN4-low	1.0	unspecified	NA	NA	NA	
E2F3(+)|CLDN4out	E2F3	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.709745027926176	13	29	-0.0003613035326946682	higher in CLDN4-low	10	19	0.346684567630291	29	-0.0003613024018704891	0.346684567630291	10	-3.027029633428588e-05	higher in CLDN4-low	1.0	unspecified	NA	NA	NA	0.4211403136985414
E2F6(+)	E2F6	other	cistarget_regulon	cistarget_as_returned	False	4.5325438911255045	32	29	-0.0020286739602892803	higher in CLDN4-low	6	23	0.0001104697585105896	29	-0.0020286738872528076	0.0001104697585105896	10	-0.0025645611807846025	higher in CLDN4-low	0.048828125	unspecified	NA	NA	NA	
E2F6(+)|CLDN4out	E2F6	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.5325438911255045	32	29	-0.0020286739602892803	higher in CLDN4-low	6	23	0.0001104697585105896	29	-0.0020286738872528076	0.0001104697585105896	10	-0.0025645611807846025	higher in CLDN4-low	0.048828125	unspecified	NA	NA	NA	0.000499875657260418
E4F1(+)	E4F1	other	cistarget_regulon	cistarget_as_returned	False	3.460146980512685	7	29	-0.0004996607646634405	higher in CLDN4-low	7	22	0.004435725510120392	29	-0.000499660731293261	0.004435725510120392	10	-6.29558196676731e-05	higher in CLDN4-low	0.625	unspecified	NA	NA	NA	
EGR1(+)	EGR1	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	3.689286313076599	152	29	0.01741195772238041	higher in CLDN4-high	27	2	2.60770320892334e-08	29	0.01741194725036621	2.60770320892334e-08	10	0.017057170558946455	higher in CLDN4-high	0.00390625	lower_in_high	OPPOSITE	SAME	OPPOSITE	
EGR1(+)|CLDN4out	EGR1	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	3.689286313076599	152	29	0.01741195772238041	higher in CLDN4-high	27	2	2.60770320892334e-08	29	0.01741194725036621	2.60770320892334e-08	10	0.017057170558946455	higher in CLDN4-high	0.00390625	lower_in_high	OPPOSITE	SAME	OPPOSITE	3.371387720108032e-07
EHF(+)	EHF	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	3.944900787609764	46	29	0.01496124283574763	higher in CLDN4-high	25	4	3.3676624298095703e-06	29	0.01496124267578125	3.3676624298095703e-06	10	0.007927659794619131	higher in CLDN4-high	0.005859375	lower_in_high	OPPOSITE	SAME	OPPOSITE	
EHF(+)|CLDN4out	EHF	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	3.944900787609764	46	29	0.01496124283574763	higher in CLDN4-high	25	4	3.3676624298095703e-06	29	0.01496124267578125	3.3676624298095703e-06	10	0.007927659794619131	higher in CLDN4-high	0.005859375	lower_in_high	OPPOSITE	SAME	OPPOSITE	2.101885861363904e-05
ELF1(+)	ELF1	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	5.096119010127891	44	29	3.569244315241443e-05	higher in CLDN4-high	15	14	0.83135736733675	29	3.56920063495636e-05	0.83135736733675	10	-9.455580542320173e-05	higher in CLDN4-low	0.845703125	lower_in_high	OPPOSITE	SAME	OPPOSITE	
ELF1(+)|CLDN4out	ELF1	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	5.096119010127891	44	29	3.569244315241443e-05	higher in CLDN4-high	15	14	0.83135736733675	29	3.56920063495636e-05	0.83135736733675	10	-9.455580542320173e-05	higher in CLDN4-low	0.845703125	lower_in_high	OPPOSITE	SAME	OPPOSITE	0.8648027786663894
ELF2(+)	ELF2	other	cistarget_regulon	cistarget_as_returned	False	4.269076850568288	22	29	-0.0002667342674760537	higher in CLDN4-low	13	16	0.7332091443240643	29	-0.0002667335793375969	0.7332091443240643	10	0.00028436965968003936	higher in CLDN4-high	0.76953125	unspecified	NA	NA	NA	
ELF2(+)|CLDN4out	ELF2	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.269076850568288	22	29	-0.0002667342674760537	higher in CLDN4-low	13	16	0.7332091443240643	29	-0.0002667335793375969	0.7332091443240643	10	0.00028436965968003936	higher in CLDN4-high	0.76953125	unspecified	NA	NA	NA	0.7806520889567978
ELF3(+)	ELF3	TJ	cistarget_regulon	cistarget_as_returned	True	3.391848051654265	21	29	0.06082033495310346	higher in CLDN4-high	29	0	3.725290298461914e-09	29	0.06082034111022949	3.725290298461914e-09	10	0.052665909664211946	higher in CLDN4-high	0.001953125	higher_in_high	SAME	NA	NA	
ELF3(+)|CLDN4out	ELF3	TJ	cistarget_regulon	cistarget_CLDN4_held_out	True	3.391848051654265	21	29	0.06082033495310346	higher in CLDN4-high	29	0	3.725290298461914e-09	29	0.06082034111022949	3.725290298461914e-09	10	0.052665909664211946	higher in CLDN4-high	0.001953125	higher_in_high	SAME	NA	NA	9.632536343165807e-08
ELF5(+)	ELF5	other	cistarget_regulon	cistarget_as_returned	False	3.463187143202729	27	29	0.000883481521848169	higher in CLDN4-high	19	10	0.012109261006116867	29	0.000883481465280056	0.012109261006116867	10	0.00045296406674299496	higher in CLDN4-high	0.6953125	unspecified	NA	NA	NA	
ELF5(+)|CLDN4out	ELF5	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.463187143202729	27	29	0.000883481521848169	higher in CLDN4-high	19	10	0.012109261006116867	29	0.000883481465280056	0.012109261006116867	10	0.00045296406674299496	higher in CLDN4-high	0.6953125	unspecified	NA	NA	NA	0.026728978562282353
ELK1(+)	ELK1	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	5.886829216049351	41	29	-0.0015948758131557259	higher in CLDN4-low	3	26	8.83638858795166e-06	29	-0.0015948759391903877	8.83638858795166e-06	10	-0.0013081882842297873	higher in CLDN4-low	0.005859375	lower_in_high	SAME	OPPOSITE	SAME	
ELK1(+)|CLDN4out	ELK1	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	5.886829216049351	41	29	-0.0015948758131557259	higher in CLDN4-low	3	26	8.83638858795166e-06	29	-0.0015948759391903877	8.83638858795166e-06	10	-0.0013081882842297873	higher in CLDN4-low	0.005859375	lower_in_high	SAME	OPPOSITE	SAME	4.998082295060158e-05
ELK3(+)	ELK3	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	4.038670157585147	62	29	0.004996493507969477	higher in CLDN4-high	26	3	3.2782554626464844e-07	29	0.004996493458747864	3.2782554626464844e-07	10	0.010334914964343571	higher in CLDN4-high	0.00390625	lower_in_high	OPPOSITE	SAME	OPPOSITE	
ELK3(+)|CLDN4out	ELK3	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	4.038670157585147	62	29	0.004996493507969477	higher in CLDN4-high	26	3	3.2782554626464844e-07	29	0.004996493458747864	3.2782554626464844e-07	10	0.010334914964343571	higher in CLDN4-high	0.00390625	lower_in_high	OPPOSITE	SAME	OPPOSITE	3.2964679929945205e-06
ELK4(+)	ELK4	other	cistarget_regulon	cistarget_as_returned	False	3.980672982591794	39	29	0.0003033419926015083	higher in CLDN4-high	17	12	0.16216303035616875	29	0.0003033420071005821	0.16216303035616875	10	0.0005121840315245475	higher in CLDN4-high	0.193359375	unspecified	NA	NA	NA	
ELK4(+)|CLDN4out	ELK4	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.980672982591794	39	29	0.0003033419926015083	higher in CLDN4-high	17	12	0.16216303035616875	29	0.0003033420071005821	0.16216303035616875	10	0.0005121840315245475	higher in CLDN4-high	0.193359375	unspecified	NA	NA	NA	0.23670571366505277
EP300(+)	EP300	other	cistarget_regulon	cistarget_as_returned	False	4.094296230787438	35	29	-0.0003942632672815742	higher in CLDN4-low	13	16	0.38083895295858383	29	-0.0003942628391087055	0.38083895295858383	10	0.0006021661319122488	higher in CLDN4-high	1.0	unspecified	NA	NA	NA	
EP300(+)|CLDN4out	EP300	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.094296230787438	35	29	-0.0003942632672815742	higher in CLDN4-low	13	16	0.38083895295858383	29	-0.0003942628391087055	0.38083895295858383	10	0.0006021661319122488	higher in CLDN4-high	1.0	unspecified	NA	NA	NA	0.44760941873703686
EPAS1(+)	EPAS1	other	cistarget_regulon	cistarget_as_returned	False	3.320741283419536	4	29	-0.004277350665037396	higher in CLDN4-low	8	21	0.004106286913156509	29	-0.0042773522436618805	0.004106286913156509	10	-0.002024331151068855	higher in CLDN4-low	0.375	unspecified	NA	NA	NA	
ERF(+)	ERF	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	4.159677017022476	43	29	-0.00036031912092986465	higher in CLDN4-low	9	20	0.029064036905765533	29	-0.0003603193908929825	0.029064036905765533	10	-0.0003876674743563315	higher in CLDN4-low	0.275390625	lower_in_high	SAME	OPPOSITE	SAME	
ERF(+)|CLDN4out	ERF	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	4.159677017022476	43	29	-0.00036031912092986465	higher in CLDN4-low	9	20	0.029064036905765533	29	-0.0003603193908929825	0.029064036905765533	10	-0.0003876674743563315	higher in CLDN4-low	0.275390625	lower_in_high	SAME	OPPOSITE	SAME	0.05596373063769746
ETS1(+)	ETS1	other	cistarget_regulon	cistarget_as_returned	False	4.86365406559685	23	29	0.0013614174273708732	higher in CLDN4-high	21	8	0.0005505755543708801	29	0.0013614175841212273	0.0005505755543708801	10	0.0028693890472693447	higher in CLDN4-high	0.013671875	unspecified	NA	NA	NA	
ETS1(+)|CLDN4out	ETS1	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.86365406559685	23	29	0.0013614174273708732	higher in CLDN4-high	21	8	0.0005505755543708801	29	0.0013614175841212273	0.0005505755543708801	10	0.0028693890472693447	higher in CLDN4-high	0.013671875	unspecified	NA	NA	NA	0.0018118940971114418
ETS2(+)	ETS2	other	cistarget_regulon	cistarget_as_returned	False	3.299731373321633	29	29	0.0031868442768942934	higher in CLDN4-high	25	4	0.00026926398277282715	29	0.0031868424266576767	0.00026926398277282715	10	0.0006922613116093802	higher in CLDN4-high	0.6953125	unspecified	NA	NA	NA	
ETS2(+)|CLDN4out	ETS2	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.299731373321633	29	29	0.0031868442768942934	higher in CLDN4-high	25	4	0.00026926398277282715	29	0.0031868424266576767	0.00026926398277282715	10	0.0006922613116093802	higher in CLDN4-high	0.6953125	unspecified	NA	NA	NA	0.000994628181262892
ETV1(+)	ETV1	other	cistarget_regulon	cistarget_as_returned	False	4.11777050093161	33	29	0.0004604103143225624	higher in CLDN4-high	17	12	0.16885415464639664	29	0.0004604160785675049	0.16885415464639664	10	-0.001348398115905678	higher in CLDN4-low	0.193359375	unspecified	NA	NA	NA	
