cohort	outcome	mediator	path	rho	p	n	k	ci_low	ci_high	q
BLCA		CLDN7	a	0.3444294	1.1465695e-12	406	3	0.25533466	0.42772397	4.5862781e-12
BLCA	CD8_score	CLDN7	b	-0.017205099	0.73091214	406	4	-0.11481912	0.080738008	0.77741323
BLCA	CD3_score	CLDN7	b	-0.10093406	0.043115657	406	4	-0.1967985	-0.0031579993	0.068985051
BLCA		EPCAM	a	0.023338826	0.64040545	406	3	-0.074516748	0.12074922	0.64040545
BLCA	CD8_score	EPCAM	b	-0.096656334	0.052812	406	4	-0.19264239	0.001161892	0.060356572
BLCA	CD3_score	EPCAM	b	-0.20438523	3.6463668e-05	406	4	-0.29626993	-0.10875197	4.8618224e-05
PAAD		CLDN4	a	0.51498172	3.070348e-13	178	3	0.39696428	0.61624725	4.9125569e-13
PAAD	CD8_score	CLDN4	b	-0.21415016	0.0045472933	178	4	-0.35171469	-0.067531832	0.018189173
PAAD	CD3_score	CLDN4	b	-0.15237134	0.044732139	178	4	-0.29446614	-0.0036850355	0.099038015
PAAD		CLDN7	a	0.16708641	0.027100641	178	3	0.019219664	0.30780036	0.030972161
PAAD	CD8_score	CLDN7	b	-0.25737832	0.00060686471	178	4	-0.39117019	-0.11293269	0.0016183059
PAAD	CD3_score	CLDN7	b	-0.23850738	0.0015279723	178	4	-0.37400645	-0.093038814	0.0040745929
PAAD		EPCAM	a	0.26990834	0.00030356416	178	3	0.12663558	0.40214977	0.00040475222
PAAD	CD8_score	EPCAM	b	-0.288924	0.00011041408	178	4	-0.4196557	-0.14644901	0.00017666252
PAAD	CD3_score	EPCAM	b	-0.29999326	5.778303e-05	178	4	-0.4295905	-0.15828781	6.6037749e-05
