cohort	outcome	model	added	n	rho_before	rho_after	delta_rho	delta_lo	delta_hi	share	share_lo	share_hi	small_denominator
LUSC	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	501	-0.22131122	-0.23251774	-0.011206523	-0.050910347	0.024603336	-0.05063694	-0.27479623	0.11809515	False
LUSC	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	501	-0.22131122	-0.24712298	-0.025811761	-0.073010351	0.020245576	-0.11663105	-0.42031043	0.085979927	False
LUSC	CD3_score	keratin_CLDN4	CLDN4	501	-0.16247331	-0.16961504	-0.0071417332	-0.041393049	0.03119936	-0.043956347	-0.35047543	0.20797047	False
LUSC	CD3_score	keratin_CLDN7	CLDN7	501	-0.16247331	-0.15037878	0.012094529	-0.022211859	0.045106562	0.074440096	-0.17299703	0.33440596	False
LUSC	CD3_score	keratin_EPCAM	EPCAM	501	-0.16247331	-0.18883859	-0.02636528	-0.048311624	-0.0092906815	-0.16227453	-0.45778934	-0.04897295	False
LUSC	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	501	-0.16247331	-0.18160167	-0.019128357	-0.059737574	0.021172081	-0.1177323	-0.55021376	0.13648971	False
LUSC	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	501	-0.16247331	-0.19853394	-0.036060628	-0.082731085	0.012699088	-0.22194801	-0.81246432	0.07352419	False
BRCA	CD8_score	keratin_CLDN4	CLDN4	1095	-0.038874239	-0.052240397	-0.013366158	-0.03290831	0.0053747745	-0.34383073	-3.8614042	2.9198499	True
BRCA	CD8_score	keratin_CLDN7	CLDN7	1095	-0.038874239	-0.01506502	0.02380922	0.010597133	0.038076827	0.6124678	-4.0058754	5.9384196	True
BRCA	CD8_score	keratin_EPCAM	EPCAM	1095	-0.038874239	-0.017252945	0.021621295	0.0099548277	0.036042937	0.55618566	-3.6169025	5.3642952	True
BRCA	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	1095	-0.038874239	-0.0033420878	0.035532152	0.018977124	0.053017725	0.91402821	-6.4198915	8.9753572	True
BRCA	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	1095	-0.038874239	-0.03234596	0.0065282797	-0.016987961	0.03022405	0.16793331	-1.8705006	2.5357117	True
BRCA	CD3_score	keratin_CLDN4	CLDN4	1095	-0.050377841	-0.05338988	-0.003012039	-0.022429626	0.015853358	-0.059788965	-1.1482376	0.79969596	False
BRCA	CD3_score	keratin_CLDN7	CLDN7	1095	-0.050377841	-0.022643212	0.027734629	0.014183149	0.042878819	0.55053231	-2.4759859	3.1932122	False
BRCA	CD3_score	keratin_EPCAM	EPCAM	1095	-0.050377841	-0.021682641	0.0286952	0.015133351	0.044492059	0.56959965	-2.4766245	3.5211056	False
BRCA	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	1095	-0.050377841	-0.0064284187	0.043949422	0.026281135	0.062832334	0.87239591	-4.0054754	5.2066338	False
BRCA	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	1095	-0.050377841	-0.030900823	0.019477018	-0.0045113484	0.043741394	0.38661875	-1.3800507	2.2951102	False
CESC	CD8_score	keratin_CLDN4	CLDN4	304	0.11796544	0.14687517	0.028909737	-0.003905467	0.062134271	-0.24506955	-1.9852163	0.10113856	False
CESC	CD8_score	keratin_CLDN7	CLDN7	304	0.11796544	0.12152314	0.0035577063	-0.025037716	0.031030277	-0.030158887	-0.6201748	0.33200675	False
CESC	CD8_score	keratin_EPCAM	EPCAM	304	0.11796544	0.057290792	-0.060674646	-0.1052816	-0.023462378	0.51434256	0.12914464	3.2576117	False
CESC	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	304	0.11796544	0.05391076	-0.064054678	-0.11424298	-0.018766898	0.5429953	0.091394664	3.1984479	False
CESC	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	304	0.11796544	0.068520644	-0.049444794	-0.10866868	0.0087322865	0.41914644	-0.22880667	2.1620897	False
CESC	CD3_score	keratin_CLDN4	CLDN4	304	0.12191779	0.17020863	0.04829084	0.014822815	0.084585015	-0.39609346	-2.7261152	-0.056779524	False
CESC	CD3_score	keratin_CLDN7	CLDN7	304	0.12191779	0.1275268	0.005609009	-0.022615238	0.03172132	-0.046006485	-0.57557445	0.310839	False
CESC	CD3_score	keratin_EPCAM	EPCAM	304	0.12191779	0.014915637	-0.10700215	-0.1661669	-0.056166451	0.87765825	0.32085235	4.5718341	False
CESC	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	304	0.12191779	0.007784531	-0.11413326	-0.17510806	-0.056675302	0.93614934	0.3336479	4.8881941	False
CESC	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	304	0.12191779	0.030015865	-0.091901926	-0.16169356	-0.024767697	0.75380242	0.12143954	3.4626568	False
KIRC	CD8_score	keratin_CLDN4	CLDN4	533	-0.047197046	-0.035489013	0.011708032	-0.004834616	0.031900543	0.24806706	-1.6776511	2.2081619	True
KIRC	CD8_score	keratin_CLDN7	CLDN7	533	-0.047197046	-0.04444885	0.0027481954	-0.012708231	0.018480418	0.058228124	-1.1067389	1.1368089	True
KIRC	CD8_score	keratin_EPCAM	EPCAM	533	-0.047197046	0.026313869	0.073510914	0.042639854	0.11045358	1.5575321	-11.212738	13.636413	True
KIRC	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	533	-0.047197046	0.017226143	0.064423189	0.031061254	0.10372893	1.3649835	-9.8544142	12.092411	True
KIRC	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	533	-0.047197046	0.012772897	0.059969943	0.025088087	0.099860803	1.2706292	-8.832159	11.169228	True
KIRC	CD3_score	keratin_CLDN4	CLDN4	533	-0.014956468	0.00064622993	0.015602698	-0.0013399357	0.037487748	1.0432074	-4.6799356	4.9553024	True
KIRC	CD3_score	keratin_CLDN7	CLDN7	533	-0.014956468	-0.019452434	-0.0044959662	-0.021502645	0.011108587	-0.30060346	-1.8368552	1.9180001	True
KIRC	CD3_score	keratin_EPCAM	EPCAM	533	-0.014956468	0.056662574	0.071619042	0.040998778	0.10771035	4.7884996	-19.381522	21.191376	True
KIRC	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	533	-0.014956468	0.043791313	0.058747781	0.023899136	0.09731997	3.927918	-15.939316	17.858479	True
KIRC	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	533	-0.014956468	0.042646298	0.057602766	0.022471563	0.097788842	3.8513615	-15.680009	16.661003	True
STAD	CD8_score	keratin_CLDN4	CLDN4	412	-0.079432625	-0.042615534	0.036817091	0.015403632	0.065293351	0.46350087	-3.0545372	3.1970508	False
STAD	CD8_score	keratin_CLDN7	CLDN7	412	-0.079432625	-0.075065179	0.0043674455	-0.0095869704	0.018880247	0.054983019	-0.54200362	0.62962689	False
STAD	CD8_score	keratin_EPCAM	EPCAM	412	-0.079432625	-0.10890948	-0.029476858	-0.060187091	-0.0046820952	-0.37109259	-3.0698522	2.7806266	False
STAD	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	412	-0.079432625	-0.10700568	-0.02757305	-0.059617832	-0.00095608376	-0.34712501	-2.8924859	2.5280518	False
STAD	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	412	-0.079432625	-0.090342789	-0.010910164	-0.050909566	0.028627164	-0.13735117	-2.1290515	1.2394762	False
STAD	CD3_score	keratin_CLDN4	CLDN4	412	-0.13937088	-0.096277914	0.043092961	0.018837786	0.072963035	0.30919632	0.11974379	0.94828351	False
STAD	CD3_score	keratin_CLDN7	CLDN7	412	-0.13937088	-0.1351579	0.0042129723	-0.010802287	0.020488342	0.030228498	-0.084678506	0.21494551	False
STAD	CD3_score	keratin_EPCAM	EPCAM	412	-0.13937088	-0.17271568	-0.033344805	-0.063093714	-0.0077559312	-0.23925231	-0.90981097	-0.046535116	False
STAD	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	412	-0.13937088	-0.17013039	-0.030759513	-0.062531823	-0.002085278	-0.22070259	-0.87149489	-0.0072366031	False
STAD	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	412	-0.13937088	-0.14427005	-0.0048991787	-0.046500876	0.035970759	-0.035152098	-0.54285918	0.31212408	False
BLCA	CD8_score	keratin_CLDN4	CLDN4	406	-0.15790044	-0.099084969	0.058815468	0.0047301824	0.11796852	0.37248452	0.027045969	0.96679595	False
BLCA	CD8_score	keratin_CLDN7	CLDN7	406	-0.15790044	-0.14274077	0.015159668	-0.019248851	0.050029637	0.096007762	-0.14880681	0.38524003	False
BLCA	CD8_score	keratin_EPCAM	EPCAM	406	-0.15790044	-0.15639981	0.001500628	-0.0090811353	0.013617192	0.0095036344	-0.074394961	0.10898931	False
BLCA	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	406	-0.15790044	-0.15251852	0.0053819127	-0.031682212	0.042684138	0.034084217	-0.28708934	0.32517919	False
BLCA	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	406	-0.15790044	-0.11100023	0.04690021	-0.011304779	0.10785446	0.29702394	-0.097268244	0.82888864	False
BLCA	CD3_score	keratin_CLDN4	CLDN4	406	-0.1020702	-0.048618104	0.053452097	-0.0035513194	0.11122685	0.52367975	-0.45280177	2.5743755	False
BLCA	CD3_score	keratin_CLDN7	CLDN7	406	-0.1020702	-0.061761073	0.040309127	0.0034462671	0.075741516	0.39491573	-0.087227047	1.8740984	False
BLCA	CD3_score	keratin_EPCAM	EPCAM	406	-0.1020702	-0.099422175	0.0026480251	-0.018227765	0.024447325	0.025943175	-0.43233758	0.42201205	False
BLCA	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	406	-0.1020702	-0.081698858	0.020371342	-0.022259884	0.060147416	0.19958168	-0.81475479	1.064567	False
BLCA	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	406	-0.1020702	-0.062262372	0.039807829	-0.024798307	0.10502654	0.39000442	-0.8014297	2.0314246	False
PAAD	CD8_score	keratin_CLDN4	CLDN4	178	0.029180784	0.13721131	0.10803052	0.024615937	0.19134308	-3.7021118	-21.773991	22.373119	True
PAAD	CD8_score	keratin_CLDN7	CLDN7	178	0.029180784	0.074085863	0.044905078	0.0066001247	0.096772261	-1.5388578	-10.232522	8.6163848	True
PAAD	CD8_score	keratin_EPCAM	EPCAM	178	0.029180784	0.11014467	0.080963882	0.024785304	0.15005462	-2.7745616	-15.487298	14.902476	True
PAAD	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	178	0.029180784	0.11684472	0.087663939	0.026131165	0.1608769	-3.0041667	-18.254426	15.980171	True
PAAD	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	178	0.029180784	0.13745578	0.10827499	0.0053743111	0.21057322	-3.7104896	-23.597068	21.69547	True
PAAD	CD3_score	keratin_CLDN4	CLDN4	178	0.034795173	0.1089404	0.074145229	-0.004253536	0.15238217	-2.1309056	-14.032544	12.104869	True
PAAD	CD3_score	keratin_CLDN7	CLDN7	178	0.034795173	0.076160657	0.041365484	0.0045176198	0.089697416	-1.1888283	-7.406588	6.6261627	True
PAAD	CD3_score	keratin_EPCAM	EPCAM	178	0.034795173	0.1191676	0.084372425	0.02564439	0.15425294	-2.4248313	-16.338071	12.677547	True
PAAD	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	178	0.034795173	0.12436606	0.089570883	0.026145653	0.16301598	-2.574233	-16.381681	14.429665	True
PAAD	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	178	0.034795173	0.11167049	0.076875313	-0.01890765	0.17351932	-2.2093672	-15.506921	13.052663	True
