stem	label	response	Tacstd2	Cldn4	n_mice	n_R	n_NR	line	cancer	GSE_ID	Mouse_treatment
B16_GSE149825_birinapant_antiCTLA4&antiPD1	R	1.0	2.87369761434297	1.20306801734117	3	3	0	B16	Melanoma	GSE149825	antiPD1; antiCTLA4; birinapant
B16_GSE150401_MDK_knockdown_antiPD1	R	1.0	0.1621063958169895	0.0	4	4	0	B16	Melanoma	GSE150401	antiPD1
B16_GSE150401_antiPD1	NR	0.0	0.0	0.0	4	0	4	B16	Melanoma	GSE150401	antiPD1
B16_GSE151829_Aire_KO_antiCTLA4	R	1.0	0.730170707224903	0.067858791673807	6	6	0	B16	Melanoma	GSE151829	antiCTLA4
B16_GSE151829_antiCTLA4	R	1.0	0.321601607789782	0.0896624137967114	6	6	0	B16	Melanoma	GSE151829	antiCTLA4
B16_GSE152925_Man2a1_KO_antiPDL1	R	1.0	0.0	0.0	3	3	0	B16	Melanoma	GSE152925	antiPDL1
B16_GSE152925_antiPDL1	NR	0.0	0.0	0.0	6	0	6	B16	Melanoma	GSE152925	antiPDL1
B16_GSE152925_swainsonine_antiPDL1	R	1.0	0.0	0.0450009312387138	3	3	0	B16	Melanoma	GSE152925	antiPDL1; swainsonine
BNL-MEA_GSE148947_antiPD1	NR	0.0	0.0738270869335435	0.991084062016367	3	0	3	BNL-MEA	Liver	GSE148947	antiPD1
BNL-MEA_GSE148947_regorafenib_5_antiPD1	R	1.0	0.0604735557997394	0.813119939123847	3	3	0	BNL-MEA	Liver	GSE148947	antiPD1; regorafenib_5;
CT26_ERP114266_day14_antiCTLA4&antiPDL1	R	1.0	0.321343881739544	0.152264920111525	5	5	0	CT26	Colorectal	ERP114266	antiPDL1; antiCTL4;
CT26_ERP114266_day7_antiCTLA4&antiPDL1	R	1.0	0.357836766320015	0.165131133893957	5	5	0	CT26	Colorectal	ERP114266	antiPDL1; antiCTL4;
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1	R	1.0	0.443338881278346	0.188559601295096	5	5	0	CT26	Colorectal	GSE153239	antiGARP:TGFb FcD; antiPD1 FcS;
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1	R	1.0	0.21651768478215	0.771318410885129	5	5	0	CT26	Colorectal	GSE153239	antiGARP:TGFb WT; antiPD1 FcS;
CT26_GSE153239_FcS_antiPD1	NR	0.0	0.460429307496847	0.379810127166109	5	0	5	CT26	Colorectal	GSE153239	antiPD1_FcS
CT26_GSE153239_FcS_antiTGFb_antiPD1	R	1.0	0.276267275006927	0.15600421057879	5	5	0	CT26	Colorectal	GSE153239	antiTGFb; antiPD1 FcS;
D3UV2_GSE159344_antiPD1	R	1.0	0.33371567818056	0.0870459270131905	3	3	0	D3UV2	Melanoma	GSE159344	antiPD1
D4M.3A.3_GSE159344_antiPD1	NR	0.0	0.191002897726662	0.0	3	0	3	D4M.3A.3	Melanoma	GSE159344	antiPD1
E0771_GSE174053_high.fat.diet_antiPD1	NR	0.0	0.42800483053675253	0.672658719764025	8	0	8	E0771	Mammary	GSE174053	antiPD1; high.fat.diet;
EMT6_GSE107801_antiPDL1	R	1.0	0.1503856554008045	0.22548122532937198	10	10	0	EMT6	Mammary	GSE107801	antiPDL1;
EMT6_GSE107801_antiTGFb_trap_antiPDL1	R	1.0	0.30734664094950903	0.963871624881366	10	10	0	EMT6	Mammary	GSE107801	M7824 (anti_PDL1_TGFb_Trap)
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1	R	1.0	3.35069624041099	4.93435887217286	3	3	0	KPB25L	Mammary	GSE124821	antiPD1; antiCTLA4;
KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1	R	1.0	2.5102673166574148	4.52404342655611	6	6	0	KPB25L	Mammary	GSE124821	antiPD1; antiCTLA4;
KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1	R	1.0	2.016311709252115	6.02748638329944	4	4	0	KPB25L	Mammary	GSE124821	antiPD1; antiCTLA4;
KPB25L_GSE124821_day3_antiCTLA4&antiPD1	R	1.0	3.08136689931215	4.09155284944799	5	5	0	KPB25L	Mammary	GSE124821	antiPD1; antiCTLA4;
KPB25L_GSE124821_day7_antiCTLA4&antiPD1	R	1.0	2.9066161627199554	6.153254709008355	4	4	0	KPB25L	Mammary	GSE124821	antiPD1; antiCTLA4;
KPB25L_GSE124821_end_antiCTLA4&antiPD1	R	1.0	4.26169643735673	6.61265884722995	3	3	0	KPB25L	Mammary	GSE124821	antiPD1; antiCTLA4;
LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	R	1.0	0.29875589613712	0.138449148826943	7	7	0	LLC	Lung	GSE155972	antiPD1; antiCTL4;
LLC_GSE155972_antiCTLA4&antiPD1	NR	0.0	0.297849969636445	0.20070759537315302	6	0	6	LLC	Lung	GSE155972	antiPD1; antiCTL4;
MC38_GSE172162_antiPD1	R	1.0	0.03181089454898895	0.0	4	4	0	MC38	Colorectal	GSE172162	antiPD1
MC38_GSE172162_exercise_antiPD1	R	1.0	0.0	0.0	4	4	0	MC38	Colorectal	GSE172162	antiPD1; exercise
MC38_GSE93017_antiPDL1	R	1.0	0.14928913405771	0.0991324192003727	3	3	0	MC38	Colorectal	GSE93017	antiPDL1
T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1	R	1.0	0.34704131928100046	0.546173315237498	4	4	0	T11	Mammary	GSE124821	antiPD1; antiCTLA4;
T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1	R	1.0	0.36234716212489304	0.2064253732064587	4	4	0	T11	Mammary	GSE124821	antiPD1; antiCTLA4;
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1	R	1.0	0.28336965461585195	0.5215886282212195	4	4	0	T11	Mammary	GSE124821	antiPD1; antiCTLA4;
T11_GSE124821_UV_day3_antiCTLA4&antiPD1	R	1.0	0.319764739447131	0.40496087237685	3	3	0	T11	Mammary	GSE124821	antiPD1; antiCTLA4;
T11_GSE124821_UV_day7_antiCTLA4&antiPD1	R	1.0	0.4132111016896205	0.8339207701112805	4	4	0	T11	Mammary	GSE124821	antiPD1; antiCTLA4;
T11_GSE124821_UV_end_antiCTLA4&antiPD1	R	1.0	0.284587569053806	0.3415303869973	5	5	0	T11	Mammary	GSE124821	antiPD1; antiCTLA4;
T11_GSE124821_day3_antiCTLA4&antiPD1	NR	0.0	0.050555026006381856	0.06371769782288761	4	0	4	T11	Mammary	GSE124821	antiPD1; antiCTLA4;
T11_GSE124821_day7_antiCTLA4&antiPD1	NR	0.0	0.3215850312077385	0.802872662137829	4	0	4	T11	Mammary	GSE124821	antiPD1; antiCTLA4;
T11_GSE124821_end_antiCTLA4&antiPD1	NR	0.0	0.0429468514458314	0.040843346627065	5	0	5	T11	Mammary	GSE124821	antiPD1; antiCTLA4;
YTN16_GSE146027_anti_IL17_day10_antiPD1	R	1.0	1.47943191746601	1.30995992312823	4	4	0	YTN16	Gastric	GSE146027	antiPD1; antiIL17
YTN16_GSE146027_day10_antiPD1	NR	0.0	1.27678568719933	1.091529689442325	4	0	4	YTN16	Gastric	GSE146027	antiPD1
YTN16_GSE146027_day14_antiCTLA4	R	1.0	5.67901805345984	4.0777397372373	5	5	0	YTN16	Gastric	GSE146027	antiCTLA4
YTN16_GSE146027_day21_antiCTLA4	R	1.0	4.81342612913274	4.45032966097183	5	5	0	YTN16	Gastric	GSE146027	antiCTLA4
YTN16_GSE146027_day7_antiCTLA4	R	1.0	5.5158288078792	3.55899455449509	5	5	0	YTN16	Gastric	GSE146027	antiCTLA4
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1	NR	0.0	3.8890733874046	7.83853904395933	5	0	5	p53-2225L	Mammary	GSE124821	antiPD1; antiCTLA4;
p53-2225L_GSE124821_end_antiCTLA4&antiPD1	NR	0.0	3.49885884174825	7.24561790414055	3	0	3	p53-2225L	Mammary	GSE124821	antiPD1; antiCTLA4;
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1	NR	0.0	0.0	1.70730611724121	5	0	5	p53-2336R	Mammary	GSE124821	antiPD1; antiCTLA4;
p53-2336R_GSE124821_end_antiCTLA4&antiPD1	NR	0.0	0.785441743949315	5.70570022526118	5	0	5	p53-2336R	Mammary	GSE124821	antiPD1; antiCTLA4;
