ligand	n_patients	n_cohorts	median_delta	mean_delta	paired_p	frac_patients_expressed_high	paired_fdr
CA12	60	3	0.00013592647155746818	0.008976817266617825	0.7479774175834499	0.3333333333333333	0.8260933586064904
CADM1	60	3	0.007355485111474991	0.03674708815039291	0.006145502335756402	0.7	0.020745410427200284
CADM2	60	3	0.0	0.0039044926275285737	0.003991458705089236	0.08333333333333333	0.014195812954112014
CADM3	60	3	0.0	0.003162556889340825	0.021801738635254905	0.0	0.05921154015711275
CADM4	60	3	0.0174959609284997	0.031313987405155785	7.702159628366353e-08	0.5833333333333334	1.2110632573549726e-06
CALCA	50	2	0.0	0.0025616174819879235	0.7775646168566407	0.02	0.8462565729906062
CALCB	60	3	0.0	0.0001352618943201378	0.9687364427199858	0.016666666666666666	0.9860647777260503
CALM1	60	3	0.0638532042503357	0.08780419826507568	0.0016699490755827297	1.0	0.0069532722833496935
CALM2	60	3	0.08999311923980713	0.09806090792020163	0.0011094562101724168	1.0	0.004892251554081321
CALM3	60	3	0.006088614463806152	-0.02826336696743965	0.6012012645734974	1.0	0.7213207943427002
CALR	60	3	0.12700152397155762	0.16400584280490876	7.030074867900359e-05	1.0	0.00044215470879689097
CAMP	60	3	0.0	-0.0010914462574874051	0.3717929849795193	0.03333333333333333	0.5243140522155547
CCK	50	2	0.0	0.014876319255999988	0.5642097153338763	0.06	0.6979612938136462
CCL1	50	2	0.0	1.6182990220841022e-05	0.6858304344516057	0.0	0.7753712101889014
CCL11	60	3	0.0	-3.620231873355806e-05	1.0	0.0	1.0
CCL13	60	3	0.0	-0.0008647474109845159	0.7364328441559214	0.0	0.8156044937593383
CCL14	50	2	0.0	-0.0001315005691139959	0.7938390455415016	0.02	0.8584956193865108
CCL15	50	2	0.0	0.033666786846879404	0.0830917686723188	0.12	0.17208780513591154
CCL16	50	2	0.0	-3.2329472014680505e-06	0.7531523647659145	0.0	0.8302740552539372
CCL17	60	3	0.0	0.0003095075592379241	0.3141535102447033	0.0	0.4669779025815054
