CCLE,n_replicates,plex,TACSTD2,CLDN4,EPCAM,VIM,CDH1,CLDN4_peptides,CellLine,S1_Tissue,ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,Sex,PrimaryOrMetastasis
NCIH520_LUNG,1,TenPx10,-2.61515514580385,-1.89315199122283,1.12306115234028,-1.62493815170538,-1.08153449208915,2.0,NCI-H520,Lung,ACH-000395,NCI-H520,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Primary
NCIH2170_LUNG,1,TenPx12,-0.116836720531755,1.43351888686291,0.0402768693279025,-0.986555241822051,0.322162376913389,2.0,NCIH2170,Lung,ACH-000481,NCI-H2170,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Male,Primary
RERFLCSQ1_LUNG,1,TenPx16,-2.3115335708691,-1.47787413312702,-3.37560521687676,3.49799889324395,-1.69940510254009,2.0,RERF-LC-Sq1,Lung,ACH-000442,RERF-LC-Sq1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,Female,Primary
NCIH1650_LUNG,1,TenPx11,2.28243773514674,1.584797934609,-0.19132748431899,-1.36688581684659,1.53261411405184,1.0,NCI-H1650,Lung,ACH-000035,NCI-H1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,Male,Metastatic
NCIH2110_LUNG,1,TenPx10,1.38376982126725,-0.687148129330744,1.07633457401879,-1.90111594113778,1.18726615561554,2.0,NCI-H2110,Lung,ACH-000929,NCI-H2110,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,Unknown,Metastatic
NCIH2172_LUNG,1,TenPx21,-0.414957089414946,-2.02076147165257,-2.0384387522882,1.36494840273326,-1.38136653995853,1.0,NCI-H2172,Lung,ACH-000924,NCI-H2172,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,Female,Primary
NCIH226_LUNG,1,TenPx34,-1.10791952240559,-3.08535075601732,-0.940058815708248,-0.285419511072951,-1.11500701076316,1.0,NCI-H226,Lung,ACH-000367,NCI-H226,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO,Male,Metastatic
DMS114_LUNG,1,TenPx08,-1.32058734772584,-1.79906692198814,-1.57559490815122,0.869237581344378,-1.61826803428134,1.0,DMS 114,Lung,ACH-000530,DMS 114,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,Male,Primary
SW1271_LUNG,1,TenPx34,-1.2723361866078,-4.59299576257199,-2.46393756803384,1.47749438293038,-1.26579750178967,1.0,SW 1271,Lung,ACH-000890,SW 1271,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,Male,Primary
CORL47_LUNG,1,TenPx20,-1.83301114565456,-1.59425174221189,0.883781290359895,-1.67598889336907,-0.524594937397004,1.0,COR-L47,Lung,ACH-000695,COR-L47,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,Metastatic
CORL88_LUNG,1,TenPx21,-1.72973617467559,2.81733527015499,3.23860829686851,-1.86846240278353,0.73949489950925,1.0,COR-L88,Lung,ACH-000508,COR-L88,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,Metastatic
DMS273_LUNG,1,TenPx06,-1.24638140571614,-1.3415908617903,-1.6755890993057,-0.693322263775019,-1.47983371103711,3.0,DMS-273,Lung,ACH-000749,DMS 273,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Female,Metastatic
NCIH1048_LUNG,1,TenPx07,-1.13920343347137,-0.822462624743977,0.127434905615609,-0.346511736474147,-0.526702826712694,2.0,NCI-H1048,Lung,ACH-000866,NCI-H1048,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Female,Metastatic
NCIH146_LUNG,1,TenPx20,-2.08231363308606,-2.7852227248516,0.971200089612696,-1.26431594937795,-1.11157645899015,1.0,NCI-H146,Lung,ACH-000506,NCI-H146,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,Metastatic
SBC5_LUNG,1,TenPx13,-2.34135061053231,-2.4884112980203,-5.06569196084178,2.5764633516911,-3.59541886230434,5.0,SBC-5,Lung,ACH-000670,SBC-5,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,Metastatic
SHP77_LUNG,1,TenPx25,-1.71128617969788,0.832697129545896,0.489017061445359,-2.38649301487692,-1.89452542445132,1.0,SHP-77,Lung,ACH-000790,SHP-77,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,Male,Primary
