layer,analysis_id,family,cohort,partner,label,definition,adjustment,n,spearman_rho,spearman_p,pearson_r,pearson_p,ci95_lo,ci95_hi,resid_df,n_adjusters,unadjusted_spearman_same_n,null_p_same_size_from_parent,partial_status,eligible_for_max,is_layer_max,q_bh_within_eligible,n_equals_118,rounds_to_0.69,delta_vs_0.69
protein,partial::Oncotree_LUAD::VIM,partial_epithelial,Oncotree_LUAD,CLDN4,Oncotree LUAD | VIM,Epithelial-program partial. Not eligible for the maximum.,VIM,22,0.7536338894520499,7.989455047496126e-05,0.7932845666934566,1.0611960424713108e-05,,,19.0,1,0.7820440429136083,,ok,False,False,,False,False,0.06363388945204995
protein,partial::NSCLC_Primary::OncotreeSubtype,partial_histology,NSCLC_Primary,CLDN4,NSCLC Primary | OncotreeSubtype,Rank partial within NSCLC_Primary.,OncotreeSubtype,17,0.8456984993534001,7.127376261040661e-05,0.7955672685454248,0.00013421099838869916,0.5448949945902452,0.959666545561233,13.0,2,0.8210784313725491,,ok,True,True,9.868674822979377e-05,False,False,0.1556984993534002
protein,partial::NSCLC_Primary::EPCAM,partial_epithelial,NSCLC_Primary,CLDN4,NSCLC Primary | EPCAM,Epithelial-program partial. Not eligible for the maximum.,EPCAM,17,0.7138877836325128,0.0018958595762329628,0.7955672685454248,0.00013421099838869916,,,14.0,1,0.8210784313725491,,ok,False,False,,False,False,0.02388778363251287
protein,partial::NSCLC_Primary::CDH1,partial_epithelial,NSCLC_Primary,CLDN4,NSCLC Primary | CDH1,Epithelial-program partial. Not eligible for the maximum.,CDH1,17,0.610523223552342,0.012008564702352892,0.7955672685454248,0.00013421099838869916,,,14.0,1,0.8210784313725491,,ok,False,False,,False,False,-0.07947677644765794
protein,partial::NSCLC_Primary::VIM,partial_epithelial,NSCLC_Primary,CLDN4,NSCLC Primary | VIM,Epithelial-program partial. Not eligible for the maximum.,VIM,17,0.7539570687220049,0.0007416316090345069,0.7955672685454248,0.00013421099838869916,,,14.0,1,0.8210784313725491,,ok,False,False,,False,False,0.0639570687220049
protein,partial::S1_Lung_Primary::OncotreeSubtype,partial_histology,S1_Lung_Primary,CLDN4,S1 Lung Primary | OncotreeSubtype,Rank partial within S1_Lung_Primary.,OncotreeSubtype,20,0.7239588339600717,0.0006815994937176362,0.7338037507557921,0.0002309009519804639,0.3092251411730854,0.9254960550764834,16.0,2,0.7443609022556391,,ok,True,False,0.0007216935815833795,False,False,0.03395883396007171
protein,partial::S1_Lung_Primary::OncotreePrimaryDisease,partial_histology,S1_Lung_Primary,CLDN4,S1 Lung Primary | OncotreePrimaryDisease,Rank partial within S1_Lung_Primary.,OncotreePrimaryDisease,20,0.7277382625145423,0.00041284734175528075,0.7338037507557921,0.0002309009519804639,0.3834449519667633,0.9125197498221647,17.0,1,0.7443609022556391,,ok,True,False,0.00046445325947469085,False,False,0.037738262514542376
protein,partial::S1_Lung_Primary::EPCAM,partial_epithelial,S1_Lung_Primary,CLDN4,S1 Lung Primary | EPCAM,Epithelial-program partial. Not eligible for the maximum.,EPCAM,20,0.6071663441870584,0.005835091188810463,0.7338037507557921,0.0002309009519804639,,,17.0,1,0.7443609022556391,,ok,False,False,,False,False,-0.08283365581294155
protein,partial::S1_Lung_Primary::CDH1,partial_epithelial,S1_Lung_Primary,CLDN4,S1 Lung Primary | CDH1,Epithelial-program partial. Not eligible for the maximum.,CDH1,20,0.547692398612137,0.015206943099973285,0.7338037507557921,0.0002309009519804639,,,17.0,1,0.7443609022556391,,ok,False,False,,False,False,-0.14230760138786291
protein,partial::S1_Lung_Primary::VIM,partial_epithelial,S1_Lung_Primary,CLDN4,S1 Lung Primary | VIM,Epithelial-program partial. Not eligible for the maximum.,VIM,20,0.6642414437001074,0.001923318507452918,0.7338037507557921,0.0002309009519804639,,,17.0,1,0.7443609022556391,,ok,False,False,,False,False,-0.025758556299892543
