library	tissue	treatment	n_cells	program	gene	n_detected	pct_detected	mean_log1p_cp10k
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	STING	ZBP1	921	13.270893371757925	0.2118181586265564
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	ISG15	2393	34.481268011527376	0.6850111484527588
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFI6	1139	16.412103746397694	0.25602617859840393
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFI27	363	5.230547550432277	0.09026449173688889
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFI44	396	5.706051873198847	0.10778750479221344
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFI44L	667	9.610951008645534	0.20913979411125183
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFIT1	111	1.5994236311239192	0.03130928426980972
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFIT2	102	1.4697406340057637	0.027077626436948776
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFIT3	267	3.847262247838617	0.06928439438343048
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFIT5	350	5.043227665706052	0.09072574228048325
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFITM1	1900	27.37752161383285	0.5475358963012695
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFITM2	1807	26.037463976945247	0.5235263705253601
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFITM3	160	2.3054755043227666	0.031261883676052094
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	MX1	2280	32.85302593659942	0.6510553359985352
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	MX2	404	5.821325648414986	0.11833702027797699
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	OAS1	455	6.556195965417867	0.11309858411550522
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	OAS2	633	9.121037463976945	0.15706627070903778
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	OAS3	401	5.778097982708934	0.09650659561157227
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	OASL	363	5.230547550432277	0.09149739891290665
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	RSAD2	284	4.092219020172911	0.08204279839992523
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	USP18	179	2.5792507204610953	0.04094551503658295
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	BST2	1211	17.44956772334294	0.2795870900154114
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	XAF1	1158	16.685878962536023	0.3137478232383728
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	STAT1	2513	36.210374639769455	0.733282208442688
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	STAT2	727	10.475504322766572	0.176553875207901
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IRF7	442	6.368876080691642	0.102519690990448
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IRF9	1890	27.23342939481268	0.49592188000679016
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	DDX58	119	1.7146974063400575	0.029865508899092674
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	IFIH1	428	6.1671469740634	0.08956631273031235
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	SAMD9	621	8.948126801152737	0.15910881757736206
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	SAMD9L	572	8.24207492795389	0.13453342020511627
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	HERC5	851	12.262247838616714	0.21001194417476654
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	HERC6	265	3.818443804034582	0.06470188498497009
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	EPSTI1	1030	14.84149855907781	0.2769600450992584
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	CMPK2	387	5.576368876080692	0.09884928166866302
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	PARP9	1203	17.3342939481268	0.31974759697914124
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	DTX3L	691	9.956772334293948	0.17330394685268402
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	LY6E	3782	54.4956772334294	1.16737699508667
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	SP100	2904	41.84438040345822	0.8593987822532654
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	SP110	1840	26.512968299711815	0.5268537998199463
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	IFN	PLSCR1	387	5.576368876080692	0.08938190340995789
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	HLA-A	6370	91.78674351585015	2.852916955947876
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	HLA-B	6545	94.30835734870317	3.036059617996216
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	HLA-C	5941	85.60518731988472	2.364908456802368
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	HLA-E	5747	82.80979827089338	2.1962730884552
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	HLA-F	871	12.55043227665706	0.22834362089633942
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	B2M	6905	99.49567723342939	4.514173984527588
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	TAP1	1399	20.15850144092219	0.3503759205341339
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	TAP2	753	10.85014409221902	0.1714380383491516
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	TAPBP	3366	48.501440922190206	0.9941237568855286
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	PSMB8	2507	36.12391930835735	0.7015681862831116
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	PSMB9	2359	33.991354466858795	0.672626256942749
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	PSMB10	1366	19.68299711815562	0.34358924627304077
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	PSME1	3776	54.40922190201729	1.1808630228042603
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	PSME2	2588	37.29106628242075	0.7334736585617065
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	NLRC5	1086	15.648414985590778	0.29148951172828674
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	ERAP1	482	6.945244956772334	0.1096532791852951
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	ERAP2	756	10.893371757925072	0.1843727082014084
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	CALR	2155	31.051873198847264	0.5696725845336914
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	PDIA3	1938	27.925072046109513	0.47607240080833435
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	CANX	1740	25.072046109510087	0.4103972613811493
Tumor anti-LILRB2	tumor	anti-LILRB2	6940	APM	IRF1	3040	43.804034582132566	0.9245469570159912
Tumor isotype	tumor	isotype	4261	NHEJ	XRCC6	1161	27.24712508800751	0.4006645083427429
Tumor isotype	tumor	isotype	4261	NHEJ	XRCC5	1957	45.92818587186107	0.7991138100624084
Tumor isotype	tumor	isotype	4261	NHEJ	PRKDC	1146	26.895095048110772	0.41257521510124207
Tumor isotype	tumor	isotype	4261	NHEJ	XRCC4	205	4.8110772119220835	0.05583746358752251
Tumor isotype	tumor	isotype	4261	NHEJ	LIG4	117	2.7458343111945553	0.03240559622645378
Tumor isotype	tumor	isotype	4261	NHEJ	NHEJ1	89	2.0887115700539782	0.023872168734669685
Tumor isotype	tumor	isotype	4261	NHEJ	PAXX	514	12.062896033794884	0.16659656167030334
Tumor isotype	tumor	isotype	4261	NHEJ	DCLRE1C	393	9.223187045294532	0.1288757622241974
Tumor isotype	tumor	isotype	4261	STING	CGAS	392	9.199718375968082	0.11832907050848007
Tumor isotype	tumor	isotype	4261	STING	STING1	294	6.899788781976062	0.09915730357170105
Tumor isotype	tumor	isotype	4261	STING	TBK1	261	6.125322694203239	0.07934185862541199
Tumor isotype	tumor	isotype	4261	STING	IKBKE	186	4.365172494719549	0.06992791593074799
Tumor isotype	tumor	isotype	4261	STING	IRF3	599	14.057732926543064	0.1977134793996811
Tumor isotype	tumor	isotype	4261	STING	TREX1	0	0.0	0.0
Tumor isotype	tumor	isotype	4261	STING	ENPP1	36	0.8448720957521709	0.008952475152909756
Tumor isotype	tumor	isotype	4261	STING	IFI16	1318	30.931706172260032	0.5189954042434692
Tumor isotype	tumor	isotype	4261	STING	DDX41	286	6.712039427364469	0.07770919799804688
Tumor isotype	tumor	isotype	4261	STING	ZBP1	1383	32.45716967847923	0.5021880269050598
Tumor isotype	tumor	isotype	4261	IFN	ISG15	1906	44.731283736212156	0.8223698139190674
Tumor isotype	tumor	isotype	4261	IFN	IFI6	1212	28.44402722365642	0.42059963941574097
Tumor isotype	tumor	isotype	4261	IFN	IFI27	458	10.748650551513729	0.1578502655029297
Tumor isotype	tumor	isotype	4261	IFN	IFI44	162	3.8019244308847693	0.06657332926988602
Tumor isotype	tumor	isotype	4261	IFN	IFI44L	215	5.045763905186576	0.11207395792007446
Tumor isotype	tumor	isotype	4261	IFN	IFIT1	113	2.6519596338887585	0.03909589722752571
Tumor isotype	tumor	isotype	4261	IFN	IFIT2	34	0.7979347570992725	0.014583893120288849
Tumor isotype	tumor	isotype	4261	IFN	IFIT3	127	2.9805210044590473	0.05203985795378685
Tumor isotype	tumor	isotype	4261	IFN	IFIT5	215	5.045763905186576	0.07549839466810226
Tumor isotype	tumor	isotype	4261	IFN	IFITM1	936	21.966674489556443	0.3841325342655182
Tumor isotype	tumor	isotype	4261	IFN	IFITM2	730	17.13212860830791	0.36230137944221497
Tumor isotype	tumor	isotype	4261	IFN	IFITM3	124	2.9101149964796997	0.03622154891490936
Tumor isotype	tumor	isotype	4261	IFN	MX1	1775	41.65688805444731	0.7474455237388611
Tumor isotype	tumor	isotype	4261	IFN	MX2	194	4.552921849331143	0.09069273620843887
Tumor isotype	tumor	isotype	4261	IFN	OAS1	584	13.705702886646327	0.19198790192604065
Tumor isotype	tumor	isotype	4261	IFN	OAS2	780	18.30556207463037	0.2706368863582611
Tumor isotype	tumor	isotype	4261	IFN	OAS3	198	4.6467965266369395	0.06939832866191864
Tumor isotype	tumor	isotype	4261	IFN	OASL	146	3.4264257216615817	0.06269132345914841
Tumor isotype	tumor	isotype	4261	IFN	RSAD2	150	3.5203003989673785	0.07048884779214859
Tumor isotype	tumor	isotype	4261	IFN	USP18	203	4.764139873269185	0.06057365983724594
Tumor isotype	tumor	isotype	4261	IFN	BST2	1386	32.527575686458576	0.48988136649131775
Tumor isotype	tumor	isotype	4261	IFN	XAF1	744	17.460689978878197	0.29846444725990295
Tumor isotype	tumor	isotype	4261	IFN	STAT1	2293	53.81365876554799	1.060861587524414
Tumor isotype	tumor	isotype	4261	IFN	STAT2	748	17.554564656183995	0.24639341235160828
Tumor isotype	tumor	isotype	4261	IFN	IRF7	677	15.8882891340061	0.20734870433807373
Tumor isotype	tumor	isotype	4261	IFN	IRF9	993	23.304388641164046	0.3439711332321167
Tumor isotype	tumor	isotype	4261	IFN	DDX58	154	3.6141750762731752	0.05932175740599632
Tumor isotype	tumor	isotype	4261	IFN	IFIH1	431	10.1149964796996	0.13486918807029724
Tumor isotype	tumor	isotype	4261	IFN	SAMD9	462	10.842525228819525	0.1818348467350006
Tumor isotype	tumor	isotype	4261	IFN	SAMD9L	833	19.549401548932174	0.29371190071105957
Tumor isotype	tumor	isotype	4261	IFN	HERC5	396	9.293593053273879	0.13679663836956024
Tumor isotype	tumor	isotype	4261	IFN	HERC6	176	4.130485801455057	0.0669441893696785
Tumor isotype	tumor	isotype	4261	IFN	EPSTI1	679	15.935226472659	0.2593947947025299
Tumor isotype	tumor	isotype	4261	IFN	CMPK2	99	2.3233982633184698	0.03580284118652344
Tumor isotype	tumor	isotype	4261	IFN	PARP9	613	14.386294297113352	0.23189638555049896
Tumor isotype	tumor	isotype	4261	IFN	DTX3L	464	10.889462567472425	0.16685137152671814
Tumor isotype	tumor	isotype	4261	IFN	LY6E	2071	48.603614175076274	0.8647176027297974
Tumor isotype	tumor	isotype	4261	IFN	SP100	1538	36.09481342407885	0.6181779503822327
Tumor isotype	tumor	isotype	4261	IFN	SP110	927	21.7554564656184	0.3868541419506073
Tumor isotype	tumor	isotype	4261	IFN	PLSCR1	369	8.659938981459751	0.11957994103431702
Tumor isotype	tumor	isotype	4261	APM	HLA-A	3637	85.35555034029571	2.2706997394561768
Tumor isotype	tumor	isotype	4261	APM	HLA-B	3959	92.91246186341235	2.647207736968994
Tumor isotype	tumor	isotype	4261	APM	HLA-C	3733	87.60854259563483	2.2815933227539062
Tumor isotype	tumor	isotype	4261	APM	HLA-E	2928	68.71626378784323	1.4755220413208008
Tumor isotype	tumor	isotype	4261	APM	HLA-F	509	11.945552687162637	0.2251405119895935
Tumor isotype	tumor	isotype	4261	APM	B2M	4244	99.60103262145036	4.329572677612305
Tumor isotype	tumor	isotype	4261	APM	TAP1	896	21.027927716498475	0.3166199028491974
Tumor isotype	tumor	isotype	4261	APM	TAP2	475	11.147617930063365	0.14522142708301544
Tumor isotype	tumor	isotype	4261	APM	TAPBP	2006	47.07815066885708	0.8037738800048828
Tumor isotype	tumor	isotype	4261	APM	PSMB8	1586	37.22130955174842	0.6254127621650696
Tumor isotype	tumor	isotype	4261	APM	PSMB9	1564	36.70499882656653	0.6404078602790833
Tumor isotype	tumor	isotype	4261	APM	PSMB10	880	20.652429007275288	0.31162917613983154
Tumor isotype	tumor	isotype	4261	APM	PSME1	2212	51.91269655010561	0.9305126667022705
Tumor isotype	tumor	isotype	4261	APM	PSME2	2125	49.87092231870453	0.9014860391616821
Tumor isotype	tumor	isotype	4261	APM	NLRC5	418	9.80990377845576	0.16048860549926758
Tumor isotype	tumor	isotype	4261	APM	ERAP1	550	12.907768129547053	0.16367554664611816
Tumor isotype	tumor	isotype	4261	APM	ERAP2	324	7.603848861769539	0.11488727480173111
Tumor isotype	tumor	isotype	4261	APM	CALR	2521	59.16451537197841	1.266455888748169
Tumor isotype	tumor	isotype	4261	APM	PDIA3	1898	44.543534381600566	0.7029882669448853
Tumor isotype	tumor	isotype	4261	APM	CANX	2005	47.05468199953063	0.800884485244751
Tumor isotype	tumor	isotype	4261	APM	IRF1	1755	41.18751466791833	0.742657482624054
PB anti-LILRB2	PB	anti-LILRB2	1449	NHEJ	XRCC6	730	50.379572118702555	0.6424165368080139
PB anti-LILRB2	PB	anti-LILRB2	1449	NHEJ	XRCC5	870	60.041407867494826	0.8611243963241577
PB anti-LILRB2	PB	anti-LILRB2	1449	NHEJ	PRKDC	566	39.061421670117326	0.4886486530303955
PB anti-LILRB2	PB	anti-LILRB2	1449	NHEJ	XRCC4	96	6.625258799171843	0.06219412758946419
PB anti-LILRB2	PB	anti-LILRB2	1449	NHEJ	LIG4	80	5.521048999309869	0.05518228933215141
PB anti-LILRB2	PB	anti-LILRB2	1449	NHEJ	NHEJ1	57	3.9337474120082816	0.0320223867893219
PB anti-LILRB2	PB	anti-LILRB2	1449	NHEJ	PAXX	327	22.56728778467909	0.23127947747707367
PB anti-LILRB2	PB	anti-LILRB2	1449	NHEJ	DCLRE1C	327	22.56728778467909	0.23817557096481323
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	CGAS	281	19.392684610075914	0.19892126321792603
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	STING1	415	28.640441683919942	0.3191685080528259
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	TBK1	261	18.012422360248447	0.18081526458263397
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	IKBKE	304	20.9799861973775	0.20972202718257904
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	IRF3	448	30.917874396135264	0.34598857164382935
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	TREX1	0	0.0	0.0
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	ENPP1	4	0.27605244996549344	0.002663004444912076
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	IFI16	948	65.42443064182196	1.0820895433425903
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	DDX41	178	12.284334023464458	0.11445846408605576
PB anti-LILRB2	PB	anti-LILRB2	1449	STING	ZBP1	262	18.08143547273982	0.22616659104824066
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	ISG15	919	63.42305037957212	1.0083454847335815
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFI6	586	40.441683919944786	0.5647447109222412
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFI27	85	5.866114561766736	0.08320628851652145
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFI44	331	22.843340234644582	0.29204505681991577
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFI44L	439	30.296756383712903	0.47226017713546753
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFIT1	150	10.351966873706004	0.11418301612138748
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFIT2	101	6.970324361628709	0.08135968446731567
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFIT3	194	13.388543823326431	0.18331271409988403
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFIT5	336	23.18840579710145	0.2543998062610626
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFITM1	336	23.18840579710145	0.23969103395938873
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFITM2	908	62.663906142167015	0.9837157726287842
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFITM3	62	4.278812974465148	0.05827995017170906
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	MX1	878	60.59351276742581	0.9140388369560242
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	MX2	458	31.608005521048998	0.39727863669395447
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	OAS1	297	20.496894409937887	0.21811875700950623
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	OAS2	383	26.432022084196	0.2874021530151367
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	OAS3	296	20.427881297446515	0.21939300000667572
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	OASL	268	18.49551414768806	0.19716763496398926
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	RSAD2	272	18.771566597653553	0.23629240691661835
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	USP18	184	12.698412698412698	0.1327873319387436
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	BST2	556	38.37129054520359	0.46233561635017395
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	XAF1	666	45.962732919254655	0.5952873229980469
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	STAT1	867	59.8343685300207	0.9164087176322937
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	STAT2	372	25.672877846790893	0.30382099747657776
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IRF7	278	19.185645272601796	0.20778965950012207
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IRF9	903	62.31884057971014	0.8434566855430603
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	DDX58	95	6.556245686680469	0.0664646103978157
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	IFIH1	177	12.215320910973086	0.1237247884273529
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	SAMD9	517	35.67977915804003	0.423496276140213
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	SAMD9L	298	20.56590752242926	0.22181810438632965
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	HERC5	387	26.70807453416149	0.3352649509906769
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	HERC6	180	12.422360248447205	0.12110935896635056
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	EPSTI1	602	41.54589371980676	0.5226636528968811
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	CMPK2	375	25.87991718426501	0.29079005122184753
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	PARP9	762	52.587991718426494	0.6779029965400696
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	DTX3L	491	33.88543823326432	0.3836706876754761
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	LY6E	1178	81.29744651483783	1.6267294883728027
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	SP100	1153	79.57211870255348	1.3843764066696167
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	SP110	875	60.38647342995169	0.8564442992210388
PB anti-LILRB2	PB	anti-LILRB2	1449	IFN	PLSCR1	292	20.15182884748102	0.25195538997650146
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	HLA-A	1389	95.8592132505176	3.0972983837127686
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	HLA-B	1436	99.10282953761215	3.5774736404418945
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	HLA-C	1298	89.57902001380262	1.965768814086914
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	HLA-E	1385	95.58316080055211	2.6213865280151367
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	HLA-F	515	35.54175293305728	0.41593512892723083
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	B2M	1443	99.58592132505176	4.600300312042236
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	TAP1	708	48.86128364389234	0.6242892742156982
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	TAP2	477	32.91925465838509	0.36584439873695374
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	TAPBP	1147	79.15804002760525	1.38551664352417
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	PSMB8	884	61.00759144237406	0.9077930450439453
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	PSMB9	851	58.730158730158735	0.8147316575050354
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	PSMB10	655	45.20358868184955	0.5416931509971619
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	PSME1	1144	78.95100069013112	1.506683588027954
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	PSME2	887	61.214630779848164	0.9450321197509766
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	NLRC5	614	42.37405106970324	0.5116285085678101
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	ERAP1	279	19.25465838509317	0.19951190054416656
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	ERAP2	430	29.675638371290546	0.3473416864871979
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	CALR	692	47.757073844030366	0.647807240486145
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	PDIA3	773	53.347135955831604	0.6919682621955872
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	CANX	591	40.78674948240166	0.5071355104446411
PB anti-LILRB2	PB	anti-LILRB2	1449	APM	IRF1	956	65.97653554175294	1.055910587310791
PB isotype	PB	isotype	2916	NHEJ	XRCC6	1233	42.28395061728395	0.6213575005531311
PB isotype	PB	isotype	2916	NHEJ	XRCC5	1775	60.871056241426615	1.0270003080368042
PB isotype	PB	isotype	2916	NHEJ	PRKDC	1044	35.80246913580247	0.5374334454536438
PB isotype	PB	isotype	2916	NHEJ	XRCC4	183	6.275720164609054	0.07871270179748535
PB isotype	PB	isotype	2916	NHEJ	LIG4	179	6.138545953360768	0.07253331691026688
PB isotype	PB	isotype	2916	NHEJ	NHEJ1	115	3.943758573388203	0.046640560030937195
PB isotype	PB	isotype	2916	NHEJ	PAXX	552	18.930041152263374	0.2575179636478424
PB isotype	PB	isotype	2916	NHEJ	DCLRE1C	549	18.82716049382716	0.2551640570163727
PB isotype	PB	isotype	2916	STING	CGAS	511	17.52400548696845	0.23602549731731415
PB isotype	PB	isotype	2916	STING	STING1	724	24.828532235939644	0.3498329222202301
PB isotype	PB	isotype	2916	STING	TBK1	393	13.477366255144032	0.17366251349449158
PB isotype	PB	isotype	2916	STING	IKBKE	488	16.735253772290807	0.21647214889526367
PB isotype	PB	isotype	2916	STING	IRF3	816	27.983539094650205	0.39417073130607605
PB isotype	PB	isotype	2916	STING	TREX1	0	0.0	0.0
PB isotype	PB	isotype	2916	STING	ENPP1	1	0.034293552812071325	0.0004275461542420089
PB isotype	PB	isotype	2916	STING	IFI16	1898	65.08916323731138	1.1799571514129639
PB isotype	PB	isotype	2916	STING	DDX41	267	9.156378600823045	0.11028380692005157
PB isotype	PB	isotype	2916	STING	ZBP1	259	8.882030178326476	0.1309661865234375
PB isotype	PB	isotype	2916	IFN	ISG15	2111	72.39368998628258	1.486200213432312
PB isotype	PB	isotype	2916	IFN	IFI6	1034	35.459533607681756	0.5682424902915955
PB isotype	PB	isotype	2916	IFN	IFI27	56	1.9204389574759946	0.031025074422359467
PB isotype	PB	isotype	2916	IFN	IFI44	503	17.24965706447188	0.26132121682167053
PB isotype	PB	isotype	2916	IFN	IFI44L	737	25.274348422496573	0.45321595668792725
PB isotype	PB	isotype	2916	IFN	IFIT1	268	9.190672153635116	0.13985233008861542
PB isotype	PB	isotype	2916	IFN	IFIT2	120	4.11522633744856	0.05929768458008766
PB isotype	PB	isotype	2916	IFN	IFIT3	303	10.390946502057613	0.15915308892726898
PB isotype	PB	isotype	2916	IFN	IFIT5	507	17.386831275720166	0.2442885935306549
PB isotype	PB	isotype	2916	IFN	IFITM1	749	25.685871056241428	0.35596346855163574
PB isotype	PB	isotype	2916	IFN	IFITM2	1850	63.44307270233196	1.1715238094329834
