compartment	program	n_anti	n_iso	n_libraries_per_arm	mean_anti	mean_iso	median_anti	median_iso	delta_mean_anti_minus_iso	note
tumor_NK	IFN	253	70	1	0.2643994987010956	0.2804147005081177	0.24190707504749298	0.2741806209087372	-0.016015201807022095	one library per arm; cell-level contrast is not a replicate test
tumor_NK	APM	253	70	1	1.2317901849746704	1.1495853662490845	1.2370707988739014	1.1845465898513794	0.08220481872558594	one library per arm; cell-level contrast is not a replicate test
tumor_B	NHEJ	2173	2768	1	0.16267816722393036	0.22789156436920166	0.10244598239660263	0.20444273948669434	-0.0652133971452713	one library per arm; cell-level contrast is not a replicate test
tumor_B	STING	2173	2768	1	0.1408158838748932	0.1667267382144928	0.13481304049491882	0.1660485863685608	-0.02591085433959961	one library per arm; cell-level contrast is not a replicate test
tumor_B	IFN	2173	2768	1	0.2092137187719345	0.22826310992240906	0.17873355746269226	0.2158662974834442	-0.01904939115047455	one library per arm; cell-level contrast is not a replicate test
tumor_B	APM	2173	2768	1	0.9687102437019348	0.9841670393943787	0.9646069407463074	0.9838649034500122	-0.015456795692443848	one library per arm; cell-level contrast is not a replicate test
tumor_pDC	NHEJ	8	5	1	0.050023745745420456	0.25467342138290405	0.0	0.2165784239768982	-0.2046496719121933	one library per arm; cell-level contrast is not a replicate test
tumor_pDC	STING	8	5	1	0.011816146783530712	0.14949922263622284	0.0	0.19951410591602325	-0.13768307864665985	one library per arm; cell-level contrast is not a replicate test
tumor_pDC	IFN	8	5	1	0.14666466414928436	0.16666355729103088	0.15356415510177612	0.17326274514198303	-0.01999889314174652	one library per arm; cell-level contrast is not a replicate test
tumor_pDC	APM	8	5	1	0.9857199192047119	1.0359166860580444	0.8661890625953674	0.8764424920082092	-0.05019676685333252	one library per arm; cell-level contrast is not a replicate test
tumor_melanoma	NHEJ	153	157	1	0.4401278495788574	0.4559551775455475	0.44018733501434326	0.4703635573387146	-0.015827327966690063	one library per arm; cell-level contrast is not a replicate test
tumor_melanoma	STING	153	157	1	0.15806865692138672	0.14244714379310608	0.15301387012004852	0.13703863322734833	0.01562151312828064	one library per arm; cell-level contrast is not a replicate test
tumor_melanoma	IFN	153	157	1	0.1987815499305725	0.20614562928676605	0.18760241568088531	0.19088530540466309	-0.0073640793561935425	one library per arm; cell-level contrast is not a replicate test
tumor_melanoma	APM	153	157	1	0.7450647354125977	0.7642951607704163	0.71869957447052	0.770697832107544	-0.019230425357818604	one library per arm; cell-level contrast is not a replicate test
tumor_epithelial	NHEJ	7	2	1	0.06830774992704391	0.11062571406364441	0.0	0.11062571406364441	-0.042317964136600494	one library per arm; cell-level contrast is not a replicate test
tumor_epithelial	STING	7	2	1	0.08268480002880096	0.08850057423114777	0.0	0.08850057423114777	-0.005815774202346802	one library per arm; cell-level contrast is not a replicate test
tumor_epithelial	IFN	7	2	1	0.158925399184227	0.4229763150215149	0.16295459866523743	0.4229763150215149	-0.2640509009361267	one library per arm; cell-level contrast is not a replicate test
tumor_epithelial	APM	7	2	1	0.7117916345596313	1.0054898262023926	0.8942171931266785	1.0054898262023926	-0.29369819164276123	one library per arm; cell-level contrast is not a replicate test
tumor_other	NHEJ	385	79	1	0.17214588820934296	0.15161944925785065	0.0	0.0	0.02052643895149231	one library per arm; cell-level contrast is not a replicate test
tumor_other	STING	385	79	1	0.13439702987670898	0.13925473392009735	0.0	0.09264293313026428	-0.004857704043388367	one library per arm; cell-level contrast is not a replicate test
tumor_other	IFN	385	79	1	0.20389780402183533	0.27220168709754944	0.1821773797273636	0.25862640142440796	-0.06830388307571411	one library per arm; cell-level contrast is not a replicate test
tumor_other	APM	385	79	1	0.9878641366958618	0.8993867039680481	0.9987174272537231	0.9144744873046875	0.08847743272781372	one library per arm; cell-level contrast is not a replicate test
