unit,cut,cyto,radius_um,continuous,n_sec_usable,n_sec_neg,n_sec_pos,n_sec_zero,n_don_usable,n_don_neg,n_don_pos,n_don_zero,mean_high,mean_low,pooled_ratio,pooled_delta,median_section_ratio,effect_log_ratio,effect_abs_delta,eligible_exclusion,eligible_enrichment,sign_p_section,sign_p_donor,wilcoxon_p,n_fov,n_fov_neg,n_fov_pos,donor_deltas_json
donor,top30_vs_bottom,cd8,50,False,7,5,2,0,4,3,1,0,0.346047112247727,0.45348560572844526,0.7630829024702181,-0.10743849348071832,0.8760170637496744,0.2703886002969844,0.10743849348071832,False,False,0.36328125,0.5,0.078125,188,139,45,"[0.0001990666860640089, -0.18255661986225263, -0.18019552567160202, -0.20735788902711305]"
donor,top30_vs_bottom,cd8,80,False,7,4,3,0,4,3,1,0,1.0726492772762286,1.292869772187027,0.8296653695149265,-0.22022049491079868,0.9223796221929194,0.1867328287451949,0.22022049491079868,False,False,0.63671875,0.5,0.21875,188,136,51,"[0.022157671359939346, -0.4214386867022677, -0.4047956942760562, -0.36034341077481713]"
donor,top30_vs_bottom,cd8,100,False,7,4,3,0,4,3,1,0,1.8269580586250693,2.1021429161625633,0.8690931737220604,-0.27518485753749383,0.9497048806737146,0.14030493999131494,0.27518485753749383,False,False,0.63671875,0.5,0.21875,188,126,61,"[0.058894636645326626, -0.5794878994368271, -0.5710132513076094, -0.37298886251717356]"
donor,top30_vs_bottom,nk,10,False,7,7,0,0,4,4,0,0,0.0010224525998698568,0.003561585656058276,,-0.0025391330561884188,,,0.0025391330561884188,True,False,0.03515625,0.1875,0.015625,188,101,23,"[-0.0014389211671898077, -0.004057809697563791, -0.005085433765615343, -0.00025611473100658626]"
donor,top30_vs_bottom,nk,20,False,7,4,3,0,4,3,1,0,0.010992869086584662,0.01985691206136697,,-0.008864042974782313,,,0.008864042974782313,False,False,0.63671875,0.5,0.375,188,125,48,"[0.001989949579929271, -0.022409337443760113, -0.021406589596738187, -0.0017928850790055913]"
donor,top30_vs_bottom,nk,25,False,7,4,3,0,4,3,1,0,0.019621491637704595,0.03284176266513955,,-0.013220271027434961,0.37688344092064385,,0.013220271027434961,False,False,0.63671875,0.5,0.296875,188,132,45,"[0.003417324773974377, -0.03377511961598208, -0.0319140096397829, -0.0033296226422208017]"
donor,top30_vs_bottom,nk,40,False,7,4,3,0,4,3,1,0,0.0674792796376717,0.09041918924038798,0.7462937923306483,-0.022939909602716285,0.8523940353155987,0.29263593280696776,0.022939909602716285,False,False,0.63671875,0.5,0.46875,188,136,49,"[0.02409218700681938, -0.07943246475038623, -0.07155544993535239, -0.002435548803347197]"
donor,top30_vs_bottom,nk,50,False,7,3,4,0,4,2,2,0,0.1197898910756112,0.14766475049586064,0.8112287507570682,-0.02787485942024945,0.8774070464833819,0.20920520451851166,0.02787485942024945,False,False,0.63671875,0.8125,0.578125,188,134,53,"[0.04765091678083562, -0.11851852310688157, -0.10346707267788838, 0.0024273526073984447]"
donor,top30_vs_bottom,nk,80,False,7,3,4,0,4,2,2,0,0.3991039388577589,0.42902420795760726,0.9302597183448332,-0.029920269099848216,1.015494975035207,0.07229146478516095,0.029920269099848216,False,False,0.63671875,0.8125,0.578125,188,129,59,"[0.18566420432309172, -0.26910963009742733, -0.23011986848792898, 0.0019046320145708756]"
donor,top30_vs_bottom,nk,100,False,7,3,4,0,4,2,2,0,0.6945958459917538,0.7116118394927875,0.9760880966888323,-0.017015993501033576,1.0555563999989344,0.0242024336416513,0.017015993501033576,False,False,0.63671875,0.8125,0.8125,188,121,67,"[0.3176245049778268, -0.3838332605627336, -0.3159423999923619, 0.011623451677113789]"
