	geo_accession	title	source_name_ch1	characteristics_ch1	description	data_processing	cldn4_mas5	cd8a_mas5	cd274_mas5	hlaa_mas5	hlab_mas5	hlac_mas5	mhci_meanz	epithelial_meanz
GSM102201	GSM102201	LS-48	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1226.9	420.8		9421.0	11364.0	11397.0	-2.1437002365044475	0.07438062496021647
GSM102202	GSM102202	LS-50	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	196.4	320.9		31791.9	19728.1	17691.3	-0.35346063487363616	-1.2661361017820438
GSM102203	GSM102203	LS-52	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1250.2	533.1		24633.0	27362.6	26719.1	-0.00930458932389245	1.8813635431495257
GSM102204	GSM102204	LS-54	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	442.6	547.9		16701.3	18421.7	17715.5	-1.191495966161132	-0.24740729288712626
GSM102205	GSM102205	LS-56	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1146.5	740.8		29710.2	30815.3	29176.8	0.5079615168362847	-0.9314518917326503
GSM102206	GSM102206	LS-58	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	2229.6	337.5		24810.0	26742.0	29733.6	0.1026661101147855	1.0495647881883878
GSM102207	GSM102207	LS-60	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	555.4	304.1		27394.5	32932.1	29022.6	0.47211665625188304	-0.40681147635434195
GSM102208	GSM102208	LS-62	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	685.9	227.8		17762.6	19398.4	19818.6	-1.004170482031219	-0.6622989867313375
GSM102209	GSM102209	LS-64	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	800.1	786.9		41483.7	46784.2	46030.5	2.528446223036003	0.16945158741398272
GSM102210	GSM102210	LS-66	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	392.8	678.7		28986.6	30470.6	29643.4	0.47564823601437184	-0.7907066938123354
GSM102211	GSM102211	LS-68	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	560.2	871.0		36650.2	40727.0	44805.4	1.9648800379311737	-0.8168246720216716
GSM102212	GSM102212	LS-70	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1077.9	559.8		20390.2	24645.0	19581.1	-0.6526781336661139	0.1924902580452573
GSM102213	GSM102213	LS-72	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	249.1	533.5		22077.3	18670.1	18427.9	-0.8713073499882338	-1.2283784850993122
GSM102214	GSM102214	LS-74	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1041.0	436.5		36152.9	32038.8	32450.1	1.0353452439319026	-0.7694535824318894
GSM102215	GSM102215	LS-78	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	306.8	499.4		13594.0	10012.4	9348.0	-2.0732298093457984	-0.026570429371951143
GSM102216	GSM102216	LS-80	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	847.0	457.0		33534.6	43884.0	42310.9	1.8317198193184012	0.937175557611687
GSM102217	GSM102217	LS-82	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	972.4	713.8		24418.6	30107.7	25325.7	0.037650129538979865	0.44907504465300147
GSM102218	GSM102218	LS-86	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	481.0	354.2		24671.1	29212.9	25694.4	0.028148102890521828	-0.23363339814145537
GSM102219	GSM102219	LS-88	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	664.4	504.6		35585.7	41517.7	33164.1	1.4437292953468956	-0.4523811284497732
GSM102220	GSM102220	LS-90	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	794.1	230.8		19527.7	22688.5	18724.9	-0.8182324878187207	0.4770783446721793
GSM102221	GSM102221	LS-92	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	789.5	545.2		26489.4	32903.8	32334.7	0.5661642718796631	-0.21857108437437323
GSM102222	GSM102222	LS-94	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	783.4	743.9		30516.3	34179.8	27305.9	0.6139651680691707	-0.39248721803023895
GSM102223	GSM102223	LS-96	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	2354.8	408.7		25760.3	29744.6	29123.6	0.2547502379633635	0.1479645380930637
GSM102224	GSM102224	LS-98	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	335.2	570.2		22738.4	19418.5	24399.3	-0.548445241508735	0.5937920793735344
GSM102225	GSM102225	LS-100	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	323.0	833.5		27702.4	36200.1	32832.7	0.7920719094753029	-0.5703892526280555
GSM102226	GSM102226	LS-102	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	470.7	1258.3		39963.7	40365.7	33229.1	1.624185776169595	0.37262386893427735
GSM102227	GSM102227	LS-104	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	878.3	584.4		29197.3	29844.0	24644.4	0.24500568430624114	0.7277158943226641
GSM102228	GSM102228	LS-106	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	886.9	635.3		23241.1	25741.9	27363.4	-0.12347019821760678	0.5205850571653162
GSM102229	GSM102229	LS-108	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	936.0	490.8		24643.8	24650.0	22129.8	-0.3223272564816569	-0.31409069265830253
GSM102230	GSM102230	LS-114	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1327.7	733.2		25014.6	37962.7	37946.3	0.9479090371493738	0.8848690306823248
GSM102231	GSM102231	LS-116	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	498.8	662.0		23383.1	31616.6	27964.1	0.16203134319825377	-0.42838911855686884
GSM102232	GSM102232	LS-118	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	308.8	496.9		23271.7	18759.4	19519.7	-0.7586189243038275	-0.48771557024463025
GSM102233	GSM102233	LS-120	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	705.0	657.8		22059.7	31855.4	30538.3	0.21416299170299483	0.012191303289669811
GSM102234	GSM102234	LS-122	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1297.3	324.2		25419.6	24174.9	27396.5	-0.07632801354559642	0.32145109774348163
GSM102235	GSM102235	LS-124	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	255.4	357.8		22848.4	24852.6	22685.4	-0.38291952609452107	-0.737237853873709
GSM102236	GSM102236	LS-126	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	438.5	764.9		23284.8	32515.5	26553.7	0.13497882356514154	-0.611540555674715
GSM102237	GSM102237	LS-128	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	263.1	930.7		32500.8	31971.5	32886.7	0.861716944387961	-0.9041720812769055
GSM102238	GSM102238	LS-130	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1551.1	924.0		26949.9	30372.7	29661.7	0.3665568547412093	0.21638220454179732
GSM102239	GSM102239	LS-132	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	515.3	558.6		26963.9	31886.5	28998.0	0.40380678529832964	0.13590469327496849
GSM102240	GSM102240	LS-134	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	874.3	736.9		25294.4	23600.4	21400.0	-0.3649936879751697	0.59864313809536
GSM102241	GSM102241	LS-136	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	147.4	1006.1		30426.3	29851.0	28535.1	0.4761404893083904	-1.0037399427413656
GSM102242	GSM102242	LS-138	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	393.9	315.5		34996.5	36475.2	31999.4	1.1465527920371088	-0.28849197462550413
GSM102243	GSM102243	LS-140	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	299.9	738.2		31755.3	37196.5	30452.8	0.9429571525563135	0.23267404967046468
