cohort	n_matrix	layer	gene	endpoint	endpoint_column	n_complete	n_q1	n_q4	median_q1	median_q4	delta_median	rank_biserial	rb_lo	rb_hi	p	hr	hr_lo	hr_hi	events_q1	events_q4
CPTAC-LUAD-protein	110	protein	CLDN4	ImmuneScore	ESTIMATE_ImmuneScore	79	20	20	8785.913	8179.4215	-606.4915000000001	-0.16000000000000003	-0.515	0.20500000000000007	3.942e-01					
CPTAC-LUAD-protein	110	protein	CLDN4	GEP18	GEP_Tcell_inflamed_RNA	79	20	20	0.2685925796537654	-0.021228118946898647	-0.289820698600664	-0.28500000000000003	-0.615	0.06000000000000005	1.264e-01					
CPTAC-LUAD-protein	110	protein	CLDN4	IFN	IFNG_6gene_RNA	79	20	20	0.1899754245808199	-0.03166750676159175	-0.22164293134241164	-0.245	-0.5900000000000001	0.10499999999999998	1.895e-01					
CPTAC-LUAD-protein	110	protein	CLDN4	OS	OS_days+OS_event	75	19	19							4.120e-01	1.8532066548520878	0.4243777394958909	8.09273104114199	4.0	4.0
CPTAC-LUAD-protein	110	protein	TACSTD2	CD8A	CD8_Tcell_RNA	110	28	28	0.5280832081261603	-0.0932090409686021	-0.6212922490947623	-0.2551020408163265	-0.5637755102040816	0.0535714285714286	1.030e-01					
CPTAC-LUAD-protein	110	protein	TACSTD2	ImmuneScore	ESTIMATE_ImmuneScore	110	28	28	8948.58	7855.419	-1093.161	-0.22959183673469385	-0.5153698979591838	0.08169642857142831	1.425e-01					
CPTAC-LUAD-protein	110	protein	TACSTD2	GEP18	GEP_Tcell_inflamed_RNA	110	28	28	0.11873293045006955	-0.30098510571400744	-0.419718036164077	-0.25255102040816324	-0.5535714285714286	0.04349489795918289	1.065e-01					
CPTAC-LUAD-protein	110	protein	TACSTD2	IFN	IFNG_6gene_RNA	110	28	28	0.17470891846937936	-0.21947326640203735	-0.3941821848714167	-0.23979591836734693	-0.5255739795918367	0.061288265306122164	1.255e-01					
CPTAC-LUAD-protein	110	protein	TACSTD2	OS	OS_days+OS_event	105	27	26	1703.0						7.945e-01	0.8652754573647206	0.29122464561693073	2.5708731331157626	7.0	6.0
CPTAC-LSCC-protein	108	protein	CLDN4	CD8A	CD8A_RNA	78	20	20	8.74735	7.5985499999999995	-1.1488000000000014	-0.5800000000000001	-0.85	-0.275	1.782e-03					
CPTAC-LSCC-protein	108	protein	CLDN4	ImmuneScore	ImmuneScore	78	20	20	9192.6595	7003.826999999999	-2188.8325000000004	-0.62	-0.86	-0.30487500000000073	8.357e-04					
CPTAC-LSCC-protein	108	protein	CLDN4	GEP18	GEP18_RNA	78	20	20	0.296332992518033	-0.4887329100348353	-0.7850659025528683	-0.6699999999999999	-0.905	-0.38	3.048e-04					
CPTAC-LSCC-protein	108	protein	CLDN4	IFN	HALLMARK_INTERFERON_GAMMA_RESPONSE	78	20	20	15.84505	12.30155	-3.5435	-0.5700000000000001	-0.825	-0.26	2.139e-03					
CPTAC-LSCC-protein	108	protein	CLDN4	OS	OS_days+OS_event	66	17	17		1729.0					6.809e-01	0.7597559292427174	0.20510476777360018	2.8143132813793246	5.0	4.0
CPTAC-LSCC-protein	108	protein	TACSTD2	CD8A	CD8A_RNA	108	27	27	8.3921	7.9724	-0.41969999999999885	-0.13031550068587106	-0.4430727023319616	0.17146776406035658	4.162e-01					
CPTAC-LSCC-protein	108	protein	TACSTD2	ImmuneScore	ImmuneScore	108	27	27	7528.236	7808.358	280.1220000000003	-0.009602194787380003	-0.3278463648834019	0.3141289437585735	9.586e-01					
CPTAC-LSCC-protein	108	protein	TACSTD2	GEP18	GEP18_RNA	108	27	27	-0.1749887649195241	-0.1986061330869792	-0.023617368167455105	0.004115226337448652	-0.3196159122085048	0.33058984910836764	9.862e-01					
CPTAC-LSCC-protein	108	protein	TACSTD2	IFN	HALLMARK_INTERFERON_GAMMA_RESPONSE	108	27	27	11.7033	14.2893	2.5860000000000003	0.22359396433470513	-0.10013717421124824	0.5308641975308641	1.611e-01					
CPTAC-LSCC-protein	108	protein	TACSTD2	OS	OS_days+OS_event	94	24	24							7.790e-01	0.8188385905074731	0.2027056344116979	3.307735570598288	4.0	4.0
GSE68465	443	RNA	CLDN4	CD8A	CD8A	443	111	111	483.804	383.982	-99.82199999999995	-0.3036279522766009	-0.44874604334063795	-0.16094067040012994	9.306e-05					
GSE68465	443	RNA	CLDN4	ImmuneScore	ESTIMATE_ImmuneScore	443	111	111	2746.83552525088	2119.543862960033	-627.291662290847	-0.3537862186510835	-0.49306468630792954	-0.21645564483402324	5.269e-06					
GSE68465	443	RNA	CLDN4	GEP18	GEP18	443	111	111	0.2298195777208862	-0.287525844340697	-0.5173454220615832	-0.3307361415469524	-0.46839542244947646	-0.18399074750426103	2.072e-05					
GSE68465	443	RNA	TACSTD2	CD8A	CD8A	443	111	111	422.812	341.484	-81.32800000000003	-0.2443795146497849	-0.38789059329599873	-0.08659605551497451	1.660e-03					
GSE68465	443	RNA	TACSTD2	ImmuneScore	ESTIMATE_ImmuneScore	443	111	111	2085.9361351249245	2080.9381236838017	-4.998011441122799	-0.0286502718935151	-0.18401103806509211	0.12654816979141303	7.130e-01					
GSE68465	443	RNA	TACSTD2	GEP18	GEP18	443	111	111	-0.0677542223629277	-0.2680366347925674	-0.20028241242963968	-0.1499066634201769	-0.3016800584368152	0.002714877039201075	5.374e-02					
GSE31210	226	RNA	CLDN4	CD8A	CD8A	226	57	57	582.04771	313.8255	-268.2222100000001	-0.4829178208679594	-0.650984918436442	-0.29824561403508776	8.869e-06					
GSE31210	226	RNA	CLDN4	ImmuneScore	ESTIMATE_ImmuneScore	226	57	57	5757.93238381954	4959.402107372722	-798.5302764468179	-0.5284702985534011	-0.6897506925207757	-0.3505540166204987	1.159e-06					
GSE31210	226	RNA	CLDN4	GEP18	GEP18	226	57	57	0.130664139228955	-0.2896377733933476	-0.42030191262230265	-0.4145891043397969	-0.5925207756232687	-0.22249923053247167	1.367e-04					
GSE31210	226	RNA	TACSTD2	CD8A	CD8A	226	57	57	563.398	291.57766	-271.82034000000004	-0.4349030470914127	-0.6128039396737457	-0.23421052631578954	6.307e-05					
GSE31210	226	RNA	TACSTD2	ImmuneScore	ESTIMATE_ImmuneScore	226	57	57	5569.477045245693	4833.550918130532	-735.9261271151609	-0.420129270544783	-0.6060941828254848	-0.2175746383502618	1.111e-04					
GSE31210	226	RNA	TACSTD2	GEP18	GEP18	226	57	57	0.0810855667859272	-0.330728963251975	-0.4118145300379022	-0.3610341643582641	-0.5457371498922745	-0.172668513388735	8.971e-04					
OncoSG	169	RNA	TACSTD2	CD8A	CD8	169	43	42	0.2588	-0.7582	-1.017	-0.47840531561461797	-0.6777962347729789	-0.2580287929125138	1.489e-04					
OncoSG	169	RNA	TACSTD2	ImmuneScore	immune_tcell_effector	169	43	42	0.2362	-0.4749	-0.7111	-0.5027685492801772	-0.70874861572536	-0.2901439645625692	6.714e-05					
OncoSG	169	RNA	TACSTD2	GEP18	GEP18	169	43	42	0.273341	-0.4788705	-0.7522115	-0.5526024363233666	-0.7353266888150609	-0.34883720930232553	1.177e-05					
OncoSG	169	RNA	TACSTD2	IFN	IMSIG_INTERFERON	169	43	42	0.097396	0.09638749999999999	-0.0010085000000000094	-0.16943521594684385	-0.42303433001107416	0.08859357696567005	1.801e-01					
