cohort	n_matrix	layer	gene	endpoint	endpoint_column	n_complete	n_q1	n_q4	median_q1	median_q4	delta_median	rank_biserial	rb_lo	rb_hi	p	hr	hr_lo	hr_hi	events_q1	events_q4
TCGA-LUAD	502	RNA	TACSTD2	CD8A	CD8A	502	126	126	4.00234	3.71537	-0.286964	-0.140464	-0.275397	0.00340766	0.0540581					
TCGA-LUAD	502	RNA	TACSTD2	ImmuneScore	ESTIMATE_Immune_score	502	126	126	892.16	851.26	-40.9	-0.0194004	-0.165791	0.131403	0.790764					
TCGA-LUAD	502	RNA	TACSTD2	GEP18	GEP18	502	126	126	5.04897	4.92863	-0.120337	0.0165029	-0.123457	0.160254	0.82154					
TCGA-LUAD	502	RNA	TACSTD2	IFN	Wolf_IFNgamma	444	111	111	0.1893	0.2011	0.0118	0.0766983	-0.0736446	0.225183	0.323932					
TCGA-LUSC	502	RNA	CLDN4	CD8A	CD8	502	126	126	7.7281	7.47255	-0.25555	-0.0817586	-0.22728	0.0613851	0.262327					
TCGA-LUSC	502	RNA	CLDN4	ImmuneScore	ESTIMATE_ImmuneScore	501	126	125	377.37	350.33	-27.04	-0.0488889	-0.187511	0.0948794	0.50377					
TCGA-LUSC	502	RNA	CLDN4	GEP18	GEP18	502	126	126	0.0859153	-0.0865392	-0.172455	-0.095742	-0.241525	0.0588372	0.189262					
TCGA-LUSC	502	RNA	TACSTD2	CD8A	CD8	502	126	126	8.12635	7.3606	-0.76575	-0.294029	-0.419262	-0.156066	5.49836e-05					
TCGA-LUSC	502	RNA	TACSTD2	ImmuneScore	ESTIMATE_ImmuneScore	501	126	125	502.61	379.82	-122.79	-0.0712381	-0.214737	0.0786032	0.32976					
TCGA-LUSC	502	RNA	TACSTD2	GEP18	GEP18	502	126	126	0.19624	-0.110489	-0.306729	-0.219955	-0.358277	-0.0741969	0.00255264					
CPTAC-LUAD-protein	110	protein	CLDN4	CD8A	CD8_Tcell_RNA	79	20	20	0.427728	-0.341817	-0.769545	-0.29	-0.645	0.085	0.119856					
CPTAC-LUAD-protein	110	protein	CLDN4	ImmuneScore	ESTIMATE_ImmuneScore	79	20	20	8785.91	8179.42	-606.492	-0.16	-0.515	0.205	0.394171					
CPTAC-LUAD-protein	110	protein	CLDN4	GEP18	GEP_Tcell_inflamed_RNA	79	20	20	0.268593	-0.0212281	-0.289821	-0.285	-0.615	0.06	0.126431					
CPTAC-LUAD-protein	110	protein	CLDN4	IFN	IFNG_6gene_RNA	79	20	20	0.189975	-0.0316675	-0.221643	-0.245	-0.59	0.105	0.189544					
CPTAC-LUAD-protein	110	protein	CLDN4	OS	OS_days+OS_event	75	19	19							0.412047	1.85321	0.424378	8.09273	4	4
CPTAC-LUAD-protein	110	protein	TACSTD2	CD8A	CD8_Tcell_RNA	110	28	28	0.528083	-0.093209	-0.621292	-0.255102	-0.563776	0.0535714	0.102998					
CPTAC-LUAD-protein	110	protein	TACSTD2	ImmuneScore	ESTIMATE_ImmuneScore	110	28	28	8948.58	7855.42	-1093.16	-0.229592	-0.51537	0.0816964	0.142479					
CPTAC-LUAD-protein	110	protein	TACSTD2	GEP18	GEP_Tcell_inflamed_RNA	110	28	28	0.118733	-0.300985	-0.419718	-0.252551	-0.553571	0.0434949	0.106505					
CPTAC-LUAD-protein	110	protein	TACSTD2	IFN	IFNG_6gene_RNA	110	28	28	0.174709	-0.219473	-0.394182	-0.239796	-0.525574	0.0612883	0.125481					
CPTAC-LUAD-protein	110	protein	TACSTD2	OS	OS_days+OS_event	105	27	26	1703						0.794511	0.865275	0.291225	2.57087	7	6
CPTAC-LSCC-protein	108	protein	CLDN4	CD8A	CD8A_RNA	78	20	20	8.74735	7.59855	-1.1488	-0.58	-0.85	-0.275	0.00178238					
CPTAC-LSCC-protein	108	protein	CLDN4	ImmuneScore	ImmuneScore	78	20	20	9192.66	7003.83	-2188.83	-0.62	-0.86	-0.304875	0.000835717					
CPTAC-LSCC-protein	108	protein	CLDN4	GEP18	GEP18_RNA	78	20	20	0.296333	-0.488733	-0.785066	-0.67	-0.905	-0.38	0.000304799					
CPTAC-LSCC-protein	108	protein	CLDN4	IFN	HALLMARK_INTERFERON_GAMMA_RESPONSE	78	20	20	15.8451	12.3016	-3.5435	-0.57	-0.825	-0.26	0.00213926					
CPTAC-LSCC-protein	108	protein	CLDN4	OS	OS_days+OS_event	66	17	17		1729					0.680887	0.759756	0.205105	2.81431	5	4
CPTAC-LSCC-protein	108	protein	TACSTD2	CD8A	CD8A_RNA	108	27	27	8.3921	7.9724	-0.4197	-0.130316	-0.443073	0.171468	0.416161					
CPTAC-LSCC-protein	108	protein	TACSTD2	ImmuneScore	ImmuneScore	108	27	27	7528.24	7808.36	280.122	-0.00960219	-0.327846	0.314129	0.958608					
CPTAC-LSCC-protein	108	protein	TACSTD2	GEP18	GEP18_RNA	108	27	27	-0.174989	-0.198606	-0.0236174	0.00411523	-0.319616	0.33059	0.986197					
CPTAC-LSCC-protein	108	protein	TACSTD2	IFN	HALLMARK_INTERFERON_GAMMA_RESPONSE	108	27	27	11.7033	14.2893	2.586	0.223594	-0.100137	0.530864	0.161125					
CPTAC-LSCC-protein	108	protein	TACSTD2	OS	OS_days+OS_event	94	24	24							0.779024	0.818839	0.202706	3.30774	4	4
GSE68465	443	RNA	CLDN4	CD8A	CD8A	443	111	111	483.804	383.982	-99.822	-0.303628	-0.448746	-0.160941	9.30555e-05					
GSE68465	443	RNA	CLDN4	ImmuneScore	ESTIMATE_ImmuneScore	443	111	111	2746.84	2119.54	-627.292	-0.353786	-0.493065	-0.216456	5.26894e-06					
GSE68465	443	RNA	CLDN4	GEP18	GEP18	443	111	111	0.22982	-0.287526	-0.517345	-0.330736	-0.468395	-0.183991	2.07165e-05					
GSE68465	443	RNA	TACSTD2	CD8A	CD8A	443	111	111	422.812	341.484	-81.328	-0.24438	-0.387891	-0.0865961	0.00165959					
GSE68465	443	RNA	TACSTD2	ImmuneScore	ESTIMATE_ImmuneScore	443	111	111	2085.94	2080.94	-4.99801	-0.0286503	-0.184011	0.126548	0.713012					
GSE68465	443	RNA	TACSTD2	GEP18	GEP18	443	111	111	-0.0677542	-0.268037	-0.200282	-0.149907	-0.30168	0.00271488	0.0537393					
GSE31210	226	RNA	CLDN4	CD8A	CD8A	226	57	57	582.048	313.825	-268.222	-0.482918	-0.650985	-0.298246	8.86853e-06					
GSE31210	226	RNA	CLDN4	ImmuneScore	ESTIMATE_ImmuneScore	226	57	57	5757.93	4959.4	-798.53	-0.52847	-0.689751	-0.350554	1.15948e-06					
GSE31210	226	RNA	CLDN4	GEP18	GEP18	226	57	57	0.130664	-0.289638	-0.420302	-0.414589	-0.592521	-0.222499	0.00013673					
GSE31210	226	RNA	TACSTD2	CD8A	CD8A	226	57	57	563.398	291.578	-271.82	-0.434903	-0.612804	-0.234211	6.3068e-05					
GSE31210	226	RNA	TACSTD2	ImmuneScore	ESTIMATE_ImmuneScore	226	57	57	5569.48	4833.55	-735.926	-0.420129	-0.606094	-0.217575	0.000111082					
GSE31210	226	RNA	TACSTD2	GEP18	GEP18	226	57	57	0.0810856	-0.330729	-0.411815	-0.361034	-0.545737	-0.172669	0.000897064					
OncoSG	169	RNA	TACSTD2	CD8A	CD8	169	43	42	0.2588	-0.7582	-1.017	-0.478405	-0.677796	-0.258029	0.00014894					
OncoSG	169	RNA	TACSTD2	ImmuneScore	immune_tcell_effector	169	43	42	0.2362	-0.4749	-0.7111	-0.502769	-0.708749	-0.290144	6.7138e-05					
OncoSG	169	RNA	TACSTD2	GEP18	GEP18	169	43	42	0.273341	-0.47887	-0.752212	-0.552602	-0.735327	-0.348837	1.17729e-05					
OncoSG	169	RNA	TACSTD2	IFN	IMSIG_INTERFERON	169	43	42	0.097396	0.0963875	-0.0010085	-0.169435	-0.423034	0.0885936	0.180097					
