accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url
HRA015866	PRJCA052201	RNA-seq analysis of gastric cancer cell lines following PTTG1 knockdown	Nanjing Medical University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015866
HRA008295	PRJCA029074	Cut-tag data for THP-1 cells treated with dexamethasone or resistin	the first affiliated hospitalof zheng zhou university	0	Open	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008295
HRA008272	PRJCA029070	Novel fusion genes investigation in childhood with acute lymphocytic leukemia	Children's Hospital of Chongqing Medical University	1	Controlled	0	2025-06-28	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008272
HRA008891	PRJCA004996	DDR genes germline mutations in ovarian cancer patients	The Affiliated Cancer Hospital of Zhengzhou University, Henan Cancer Hospital	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008891
HRA015320	PRJCA053116	Sialylation of vesicular integrin governs endocytic uptake of small extracellular vesicles and modulates the pro-metastatic functions of recipient cells	Fudan University	1	Controlled	0	2026-02-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015320
HRA020287	PRJCA071158	Cardiomyopathy_Variant_Detection	Zhongshan Hospital, Fudan University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020287
HRA020278	PRJCA071589	Genomic characterization of historical Jinlingnan individuals: insights into genetic continuity and trans-Eurasian signals in eastern China	Institute of Anthropology	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020278
HRA020274	PRJCA070084	Phenotypic Differences and Therapeutic Experience in Inflammatory Bowel Disease Caused by NLRP6 Mutation in Monozygotic Twins	Southwest Hospital, Army Medical University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020274
HRA020290	PRJCA071568	CUT&Tag-seq of primary human IECs	Nanjing Normal University	0	Open	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020290
HRA012807	PRJCA019546	Tertiary Lymphoid Structure Formation Impaired by Neutrophil Aging Compromises Neoadjuvant Chemotherapy Efficacy in EBV-Associated Gastric Cancer	Peking University Cancer Hospital & Institute	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012807
HRA016733	PRJCA057933	CPT1A-mediated IDO1 Succinylation Shapes EGFRvIII-driven Resistance to Tumor Electric Field Therapy in Glioblastoma	Shandong University	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016733
HRA008262	PRJCA029022	RCCpm Single-cell RNA-seq Atlas	Peking Union Medical College Hospital	1	Controlled	0	2026-08-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008262
HRA008277	PRJCA029059	PARS2 induced cardiomyopathy	West China Second University Hospital, Sichuan University	1	Controlled	0	2026-04-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008277
HRA002854	PRJCA011241	single-cell analysis of MAIT cell subsets in hepatocellular carcinoma patients	University of Science and Technology of China	1	Controlled	0	2024-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002854
HRA020224	PRJCA070925	Transcriptome profiling of patient-derived B7-H3 CAR-T cells from pancreatic ductal adenocarcinoma patients by bulk RNA sequencing	Fudan University Shanghai Cancer Center	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020224
HRA020250	PRJCA071049	eoadjuvant Pucotenlimab Plus Chemotherapy for Pediatric Intermediate to High Risk Rhabdomyosarcoma:tissue data:	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020250
HRA015298	PRJCA052116	Increased mitochondrial biogenesis by GPR56 contributes to venetoclax resistance in acute myeloid leukemia	The Seven Affiliated Hospital of Sun Yat-sen University	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015298
HRA020254	PRJCA070383	Characterization of Early- and Late-Onset Cervical Cancer	Jiangsu Cancer Hospital	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020254
HRA019839	PRJCA069694	Mechanistic Study of SCGB3A2 in a Cellular Model of Atopic Dermatitis	Affiliated Hospital of Hebei University of Engineering	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019839
HRA020216	PRJCA071211	Functional Resolution of OTOF VUS	Eye & ENT Hospital of Fudan University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020216
HRA020236	PRJCA070315	CCA_Variant_Detection	Zhongshan Hospital, Fudan University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020236
HRA020238	PRJCA070560	Fecal metagenomic profiling of hepatocellular carcinoma patients receiving lenvatinib plus anti-PD-1 therapy	Fujian Provincial Hospital, Fuzhou University Affiliated Provincial Hospital	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020238
HRA020206	PRJCA071143	Biomarker of lung cancer	Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020206
HRA013802	PRJCA048033	RNA-seq and TFAM ChIP-seq of Kasumi-1 and SKNO-1 cells expressing AE with DHX15 WT or R222G	Beijing Institute of Genomics, Chinese Academy of Sciences / China National Center for Bioinformation	0	Open	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013802
HRA019962	PRJCA070273	SeekGene Single-Cell CUT&Tag and Single-Cell Full-Length Transcriptome-seq Data of Human PBMCs	SeekGene	0	Open	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019962
HRA014554	PRJCA050670	Adapting Epigenetic Clocks for Cell-Free DNA High-Throughput Sequencing Data	Liangzhu Laboratory	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014554
HRA020197	PRJCA069664	GSA202608	Sun Yat-sen University	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020197
HRA020218	PRJCA071112	Sanger sequencing of ABLIM1 transcript variants in hCMEC/D3 human brain endothelial cells	First Hospital of Shanxi Medical University	0	Open	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020218
HRA020078	PRJCA070802	Transcriptome profiling of human stem cells from apical papilla and periodontal ligament stem cells during odontogenic/osteogenic differentiation	Sichuan University	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020078
HRA008241	PRJCA028961	Whole exome sequencing of Waardenburg Syndrome	Eye and ENT Hospital of Fudan University	1	Controlled	0	2025-06-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008241
HRA008258	PRJCA028970	Gut microbiota and drug exposure	School of Public Health, Fudan University	1	Controlled	0	2025-02-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008258
HRA008236	PRJCA027233	MicroRNAs derived from plasma exosomes serve as potential biomarkers for distinguishing between focal cortical dysplasia types Ia and IIb and predicting the efficacy of surgical intervention	Peking University First Hospital	1	Controlled	0	2024-08-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008236
HRA002832	PRJCA010670	scRNA-seq of cardia carcinoma	Nanjing Univerisy	1	Controlled	0	2025-12-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002832
HRA020184	PRJCA070911	SCAN-seq2 reveals mitochondrial metabolic alterations and proteostasis-related transcriptional signatures during human oocyte aging	The Seventh Medical Center of the Chinese People's Liberation Army General Hospital	1	Controlled	0	2026-08-07	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020184
HRA020188	PRJCA071159	Transcriptome of OPN5-overexpressing human scleral fibroblasts	Chongqing Medical University Affiliated Yongchuan Hospital	0	Open	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020188
HRA020179	PRJCA049149	HOXA11 associated  IL1beta signaling supports early inflammatory priming during endometrial receptivity	Renji Hospital, School of Medicine, Shanghai Jiao Tong University	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020179
HRA020195	PRJCA071195	Integrated preclinical development of a DHRS4 c.630del-derived neoantigen vaccine candidate	Harbin Medical University	0	Open	0	2026-08-07	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020195
HRA012709	PRJCA044183	Sequencing analysis of genes related to renal hypouricemia type 2	Changhai Hospital, Second Military Medical University	1	Controlled	0	2025-08-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012709
HRA008233	PRJCA028740	scRNA-seq analysis of the immune landscape in ESCC before and after neoadjuvant immunochemotherapy	The First Affiliated Hospital of Sun Yat-sen University	1	Controlled	0	2026-06-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008233
HRA008223	PRJCA028804	Single-Cell RNA-seq on cervical cancer	The Second Affiliated Hospital, Zhejiang University School of Medicine	1	Controlled	0	2026-06-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008223
HRA008228	PRJCA027862	The Role of myeloid cells in the pathogenesis of biliary atresia	Guangzhou Women and Children's Medical Center	1	Controlled	0	2026-03-31	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008228
HRA020158	PRJCA071025	Single-cell RNA sequencing of human macrophages from BALF	Shanghai Jiao Tong University School of Medicine	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020158
HRA020181	PRJCA070650	Non-supratentorial IDH-mutant astrocytomas: a Clinical, Pathological, and Molecular Study of 17 Cases	Xuanwu Hospital Capital Medical University	1	Controlled	0	2026-08-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020181
HRA020167	PRJCA065961	Camrelizumab plus Apatinib Combined with Stereotactic Body Radiotherapy for Advanced Non-clear-cell Renal Cell Carcinoma: A Phase II Clinical Study	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-08-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020167
HRA011701	PRJCA028868	Evaluation and exploration of the efficacy of neoadjuvant therapy for cervical cancer	Tianjin Medical University Cancer  Hospital, National Clinical Research Center for Cancer	1	Controlled	0	2025-06-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011701
HRA008332	PRJCA028874	RNAseq for human rotator cuff tendinopathy (20240806)	Zhejiang University	1	Controlled	0	2026-08-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008332
HRA008214	PRJCA028298	A patient with primary microcephaly and oocyte meiosis arrest	First Affiliated Hospital, Zhejiang University	1	Controlled	0	2024-11-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008214
HRA008217	PRJCA028875	Fertility of patients with CDC20 mutations	First Affiliated Hospital, Zhejiang University	1	Controlled	0	2024-11-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008217
HRA008218	PRJCA028670	The Single-cell sequencing of salivary carcinoma ex pleomorphic adenoma	Ninth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine	1	Controlled	0	2025-08-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008218
HRA020064	PRJCA070427	Time-of-day-dependent immune dynamics are associated with disease severity and therapeutic response in psoriasis	The First Affiliated Hospital of Chongqing Medical University	1	Controlled	0	2026-08-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020064
HRA020128	PRJCA070938	hASC_Magnetic actuation_RNAseq	Sichuan University	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020128
HRA020143	PRJCA070977	RNA-seq of MDA-MB-231 cells with XYLB overexpression and knockdown	Southern Medical University	0	Open	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020143
HRA020131	PRJCA070956	hASC_Magnetic actuation_exosomes small RNAseq	Sichuan University	1	Controlled	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020131
HRA019659	PRJCA068277	Single-Cell Transcriptomic Profiling Reveals the Immune Landscape of Immune Checkpoint Inhibitor-Associated Myocarditis	Zhongshan Hospital, Fudan University	1	Controlled	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019659
HRA020057	PRJCA070698	RNA sequencing of artesunate-treated human nasopharyngeal carcinoma 5-8F cells	The People’s Hospital of Guangxi Zhuang Autonomous Region	0	Open	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020057
HRA017874	PRJCA061829	WBGS of Gastric Cancer and Adjacent Tissues	Guangxi Medical University Cancer Hospital	1	Controlled	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017874
HRA017875	PRJCA061829	RNA-seq of patients with gastric cancer	Guangxi Medical University Cancer Hospital	1	Controlled	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017875
HRA017877	PRJCA061829	WGBS of plasma samples from patients with gastric cancer and healthy individuals	Guangxi Medical University Cancer Hospital	1	Controlled	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017877
HRA019740	PRJCA067981	Single-cell immune profiling of tuberculosis and control samples	The First People's Hospital of Kashi	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019740
HRA020106	PRJCA070837	Periodontal Pathogen Tannerella forsythia Promotes Liver Fibrosis via ICAM_1 Neutrophil_Dependent Hepatic Stellate Cell Activation	Department of Stomatology, The Fifth Affiliated Hospital of Sun Yat-Sen University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020106
HRA020107	PRJCA070333	Neoadjuvant Pucotenlimab Plus Chemotherapy for Pediatric Intermediate to High Risk Rhabdomyosarcoma: TCR data	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020107
HRA020108	PRJCA070338	Neoadjuvant Pucotenlimab Plus Chemotherapy for Pediatric Intermediate to High Risk Rhabdomyosarcoma: RNA-seq data	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020108
HRA019970	PRJCA070309	Comparison of gene expression profiles between parental and PARP1 knockout-HT29 cells	Shanghai Institute of Materia Medica, Chinese Academy of Sciences	1	Controlled	0	2026-07-28	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019970
HRA008199	PRJCA028438	Single-Cell RNA sequencing of Lung Nodules and Lung Cancer	Clinical Oncology Center	1	Controlled	0	2024-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008199
HRA008203	PRJCA028779	CD36-mediated ferroptosis destabilizes CD4+ T cell homeostasis in acute Stanford type-A aortic dissection	The Second Xiangya Hospital of Central South University	1	Controlled	0	2024-08-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008203
HRA015697	PRJCA054346	Ancient genomes of inland northern East Asia	Peking University	0	Open	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015697
HRA019926	PRJCA065764	Data from Pancreatic Cancer	Huzhou Central Hospital	1	Controlled	0	2026-08-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019926
HRA018929	PRJCA038410	Single-cell RNA sequencing data of lung adenocarcinoma	Institute of Zoology, Chinese Academy of Sciences	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018929
HRA018933	PRJCA038410	Spatial transcriptomic data (Stereo-seq) of lung adenocarcinoma, batch 2	Institute of Zoology, Chinese Academy of Sciences	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018933
HRA013635	PRJCA047431	Single-Cell Transcriptomic Profiling of Human Aortic Valves Unravels Cellular Heterogeneity and Disease Mechanisms in Calcific Aortic Valve Disease	West China Hospital, Sichuan University, Chengdu, China	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013635
HRA020094	PRJCA070259	Low-pass whole-genome sequencing and transcriptome profiling of clear cell renal cell carcinoma and adjacent normal kidney tissues	Fudan University. Peking Union Medical College	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020094
HRA019091	PRJCA038962	Spatiotemporal insight into human fetal ovary development	Shandong University	0	Open	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019091
HRA018807	PRJCA065536	Bulk RNA-seq of Microenvironmental Prostaglandin F2-alpha Antagonizes Tumoral FSP1 to Unleash Ferroptosis and Immunotherapy vulnerability	Xiangya Hospital, Central South University	0	Open	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018807
HRA020087	PRJCA070834	Transcriptomic profiling of U937-derived M0 macrophages in response to conditioned medium from Xihuang pill-treated U87 glioblastoma cells by RNA-seq	The First Affiliated Hospital of Ningbo University	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020087
HRA015862	PRJCA046447	Whole-genome sequencing in 10,934 Chinese individuals identifies novel common and rare variants associated with lung cancer	West China Hospital of Sichuan University	1	Controlled	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015862
HRA014464	PRJCA050304	POC1A promotes proliferation, metastasis and stemness of bladder cancer cells	Zhongnan hospital of Wuhan University	1	Controlled	0	2026-08-03	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014464
HRA019337	PRJCA067679	The landscape and plasticity of transposable element expression in an adult stem cell of high physiological and clinical significance	Shanghai University	1	Controlled	0	2026-08-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019337
HRA017018	PRJCA050267	Dual Transcriptional Drivers of Immune Suppression in SACC: NOTCH1 for Cellular and MYB for Humoral Immunity	Capital Medical University	1	Controlled	0	2026-08-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017018
HRA008101	PRJCA028332	Single cell transcriptome and spatial transcriptome of osteosarcoma	The First Affiliated Hospital of Guangxi Medical University	1	Controlled	0	2026-08-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008101
HRA009218	PRJCA032150	brain organoids of GATOR1-related epilepsy	Zhongshan Hospital, Fudan University	1	Controlled	0	2026-08-07	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009218
HRA008850	PRJCA030827	Single-cell sequencing data of the skin lesions from different body sites in patients with atopic dermatitis.	Fudan University, Huashan hospital	1	Controlled	0	2026-08-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008850
HRA008176	PRJCA028011	multi-omics technology revealed the gut microbiome  in ulcerative colitis	Chengdu University of Traditional Chinese Medicine	1	Controlled	0	2026-06-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008176
HRA008196	PRJCA028404	human DRG snRNA-seq	Shanghai Institute of Materia Medica, Chinese Academy of Sciences	1	Controlled	0	2026-01-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008196
HRA020046	PRJCA067864	An Integrated MYD88-ECOG-NLR Model Defines Genomic-Inflammatory Risk and Immunosuppressive Microenvironment in PD-1-Treated Primary CNS Lymphoma: A Multicenter Retrospective Study	First Affiliated Hospital of Fujian Medical University	1	Controlled	0	2026-08-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020046
HRA020034	PRJCA070485	A novel mutation of SLC12A3	Central South University	1	Controlled	0	2026-08-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA020034
HRA019228	PRJCA066815	Three-year adjuvant treatment of icotinib in stage II-IIIA EGFR-mutated lung adenocarcinoma (ICWIP): a randomized, double-blind, placebo-controlled phase 3 trial	Cancer Hospital Chinese Academy of Medical Sciences Peking Union Medical College	1	Controlled	0	2026-07-20	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019228
HRA016702	PRJCA056367	NECC Multi-omics Dataset	Fujian Maternity and Child Health Hospital	1	Controlled	0	2026-07-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016702
HRA000293	PRJCA003252	NSUN2-mediated RNA m5C hypermethylation promote the progression of esophageal-squamous cell carcinoma	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000293
HRA008174	PRJCA028766	AGO2 mediate immunotherapy failure via suppressing tumor interferon gamma response-dependent CD8+ T cell immunity.	Sun Yat-sen University Cancer Center	1	Controlled	0	2026-07-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008174
HRA019900	PRJCA069979	OEM interface scRNA-seq project	Shenzhen Maternity and Child Healthcare Hospital	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019900
HRA017319	PRJCA060147	CD3 and CD19 T Cell engager therapy for refractory systemic lupus erythematosus	Department of Rheumatology and Immunology, Union Hospital	1	Controlled	0	2026-07-31	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017319
