gse	n_samples	pdat	gds_type	is_array_type	lung_mention	ici_mention	response_mention	platforms	platform_titles	pubmed	found_by	title	summary
GSE190731	23	2022/02/23	Expression profiling by array	1	1	1	1	GPL570			array_ici_lung,broad_ici_lung	Expression data from durvalumab, oleclumab and combo-treated xenograft NSCLC tumors	Non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) mutations do not respond to anti-PD-1 (L1) as well as tumors without an EGFR mutation. We showed in a xenograft mouse model of EGFR-mutated NSCLC that, neither durvalumab nor oleclumab alone inhibited tumor growth compared to the isotype control. In contrast, the combination of both antibodies significantly inhibited tumor growth and increased gene expressions that corresponded to inflammation and T cell function in tumors treated. We used microarrays to study gene expressions that corresponded to enhanced immune response in antibody-treated mice.
GSE193707	4	2022/12/31	Expression profiling by array	1	1	1	1	GPL23159			array_ici_lung,broad_ici_lung	Genome-wide expression profiling of mediastinal lymph nodal metastasis of stage IIIA NSCLC patients before neoadjuvant chemotherapy	Non–small-cell lung cancer (NSCLC) is the leading cause of cancer deaths worldwide due to late diagnosis and lack of effective therapies to treat metastatic disease. About one third of NSCLC patients present at diagnosis with locally advanced cancer (stage IIIA) which metastasizes ipsilateral mediastinal or subcarinal lymph nodes (N2). Neoadjuvant chemotherapy (NACT) followed by surgery is the treatment of choice for resectable N2 disease. However, the majority of patients do not respond to NACT and show persistent lymph nodal metastases and an adverse outcome. Our scant knowledge of the molecular biology of lymph node metastases (LNmets) represents a major obstacle to develop more effective therapies. Here, we investigated gene expression profile (coding and non-coding) of LNmets collected by endobronchial ultrasound transbronchial needle aspiration (EBUS-TBNA) and mediastinoscopy, in two cohorts of stage IIIA patients before NACT (N=70). We discovered a microRNA expression signature in LNmets predictive of NACT response of N2 patients. Importantly, we unveiled a miR-455-5p/PD-L1 regulatory axis which drives chemotherapy resistance and impact T cell viability in NSCLC. Our data suggests the relevance of LNmets molecular profiling to predict response to NACT likewise presents strong evidences of a miRNA-based mechanism which functionally links chemotherapy response with PD-L1 regulation.
GSE193719	10	2022/12/31	Expression profiling by array	1	1	1	1	GPL23159			array_ici_lung,broad_ici_lung	Genome-wide expression profiling of NSCLC cancer cell lines upon miR-455-5p overexpression	Non–small-cell lung cancer (NSCLC) is the leading cause of cancer deaths worldwide due to late diagnosis and lack of effective therapies to treat metastatic disease. About one third of NSCLC patients present at diagnosis with locally advanced cancer (stage IIIA) which metastasizes ipsilateral mediastinal or subcarinal lymph nodes (N2). Neoadjuvant chemotherapy (NACT) followed by surgery is the treatment of choice for resectable N2 disease. However, the majority of patients do not respond to NACT and show persistent lymph nodal metastases and an adverse outcome. Our scant knowledge of the molecular biology of lymph node metastases (LNmets) represents a major obstacle to develop more effective therapies. Here, we investigated gene expression profile (coding and non-coding) of LNmets collected by endobronchial ultrasound transbronchial needle aspiration (EBUS-TBNA) and mediastinoscopy, in two cohorts of stage IIIA patients before NACT (N=70). We discovered a microRNA expression signature in LNmets predictive of NACT response of N2 patients. Importantly, we unveiled a miR-455-5p/PD-L1 regulatory axis which drives chemotherapy resistance and impact T cell viability in NSCLC. Our data suggests the relevance of LNmets molecular profiling to predict response to NACT likewise presents strong evidences of a miRNA-based mechanism which functionally links chemotherapy response with PD-L1 regulation.
GSE197236	6	2022/02/27	Expression profiling by array; Non-coding RNA profiling by array	1	1	1	1	GPL26963			array_ici_lung,broad_ici_lung	Identification of Key Gene and Functional Pathways in Radioresistance of non-small cell lung cancer	For better understanding of radiotherapy resistance and its potential mechanism, we established radioresistance cell lines of non-small cell lung cancer (NSCLC) followed by microarray analysis. 529 differentially expressed genes (DEGs) were then screened between radiation resistant cell lines compared with the sensitive cell lines. The biological functions and enrichment pathways of the above DEGs were identified using Kyoto Encyclopedia of Genes and Genomes (KEGG) and gene ontology (GO) enrichment analyses. Gene Set Enrichment Analysis (GSEA) revealed that the radiation resistance group had the most gene sets enriched in altered immune response, such as TNF signaling pathway, when compared to the radiation sensitive group. Protein-protein interaction (PPI) network was carried out from the STRING database. Following that, by means of Cytoscape software, five hub genes (CXCL10, IFIH1, DDX58, CXCL11, RSAD2) were identified, and qRT-PCR confirmed the expression of the above hub genes. ChIP-X Enrichment Analysis showed that STAT1 might be the transcription factor of the above hub genes. Our results suggested that although immune system activation occurs followed by radiation resistance, the unregulated expression of PD-L1 ultimately leads to the exhaustion of anti-tumor immunity, which may be the possible mechanisms of tumor resistance to radiotherapy.
GSE202417	28	2025/05/06	Expression profiling by array	1	1	1	1	GPL23126			array_ici_lung,array_response,broad_ici_lung	Potential of Bezafibrate for Combination with Nivolumab in Treatment of Advanced Non-Small Cell Lung Cancer	Background. Novel combination therapies with PD-1/PD-L1 inhibitors are needed to overcome resistance to these drugs. Bezafibrate, a ligand of PGC-1a/PPAR complexes, has shown a synergistic antitumor effect with PD-1 blockade in mice that is mediated by activation of mitochondria in T cells. We have therefore now performed a phase I trial of bezafibrate with nivolumab in previously treated patients with advanced non-small cell lung cancer. The primary end point was the percentage of patients who experience dose-limiting toxicity, and this combination regimen was found to be well tolerated. Preplanned comprehensive analysis of plasma metabolites and gene expression in peripheral cytotoxic T cells indicated that bezafibrate promoted T cell function through upregulation of mitochondrial metabolism including fatty acid oxidation and may thereby have prolonged the duration of response. This combination strategy targeting T cell metabolism thus has the potential to maintain antitumor activity of immune checkpoint inhibitors and warrants further validation.
GSE212622	12	2022/10/25	Expression profiling by array	1	1	1	1	GPL32631			array_ici_lung,broad_ici_lung,panel_ici_lung	Pulmonary parasite infection: do trypanosomes take your breath away?	Approximately 20% of sleeping sickness patients exhibit respiratory complications which are commonly attributed to secondary bacterial infections, with an unknown role of the parasite. Using a Glossina morsitans tsetse fly initiated Trypansoma brucei infection in mice we found that parasites rapidly and permanently colonize the lungs, representing one of the major target organs next to the adipose tissue. Trypanosomes were found by immunofluorescence staining and scanning electron microscopy to occupy the extravascular spaces surrounding the blood vessels of the alveoli and bronchi. Parasites were even found in the lung cartilage. Trypanosomes were often observed as nests of multiplying parasites exhibiting close interactions with collagen and highly active secretion of extracellular vesicles that are engaged in intercellular communication. The local immune response was analysed by flow cytometry after 10 and 21 days of infection and was characterized by a substantial increase of CD11b+ Ly6C+ monocytes, CD11b+ Ly6C+ F4/80+ macrophages and CD11b+ CD11c+ dendritic cells. CD11b+ Ly6G+ neutrophils only accumulated prominently at the late infection time point. Interestingly, parasite presence resulted in a significant reduction of B220+ IgM+ B cells, CD11b+ CD11clo/- SiglecF+ eosinophils and TcR-β- NK1.1+ natural killer cells. Digital transcriptomics revealed infection-induced upregulation of Il-10, IFN-ɣ- and IFN-α-responses, IL-2-, IL-6- and TNF-signalling, a Th1 pro-inflammator
GSE242860	0	2024/03/30	Expression profiling by array; Third-party reanalysis	1	1	1	1				array_ici_lung,broad_ici_lung	Soluble immune-checkpoint factors as a complementary biomarker for PD-1 blockade reflect exhaustion of antitumor immunity	BACKGROUND. Precise stratification of patients with non–small cell lung cancer (NSCLC) is needed for appropriate application of PD-1/PD-L1 blockade therapy. METHODS. We measured soluble (s) forms of the PD-L1, PD-1, and CTLA-4 in plasma of patients with advanced NSCLC before PD-1/PD-L1 blockade. Prospective biomarker finding trial (cohort A), 50 patients with pretreated NSCLC received nivolumab. In cohort B to E, retrospective observational study, soluble immune checkpoint molecules were evaluated for patients with advanced NSCLC treated with any PD-1/PD-L1 blockade (cohort B and C), cytotoxic chemotherapy (D) or targeted therapy (E). Blood samples were obtained from all patients and soluble immune checkpoint molecules were evaluated using a highly sensitive chemiluminescence-based assay. RESULTS. Nonresponsiveness to PD-1/PD-L1 blockade therapy was associated with higher concentrations of these soluble immune factors among patients with immune-reactive (hot) tumors. Such correlation was not observed in patients treated with cytotoxic chemotherapy or targeted therapies. Integrative analysis of tumor size, PD-L1 expression in tumor tissue (tPD-L1), and gene expression in tumor tissue and peripheral CD8+ T cells revealed that high concentrations of the three soluble immune factors were associated with hyper or terminal exhaustion of antitumor immunity. The combination of sPD-L1 and sCTLA-4 efficiently discriminated responsiveness among patients with immune-reactive tumors. CONC
GSE248249	42	2024/01/11	Expression profiling by array	1	1	1	1	GPL23126			array_ici_lung,broad_ici_lung	Clinical and molecular features of acquired resistance to immunotherapy in non-small cell lung cancer	Although immunotherapy with PD-(L)1 blockade is routine for lung cancer, little is known about acquired resistance. Among 1,201 patients with non-small cell lung cancer (NSCLC) treated with PD-(L)1 blockade, acquired resistance is common, occurring in >60% of initial responders. Acquired resistance shows differential expression of inflammation and interferon (IFN) signaling. Relapsed tumors can be separated by upregulated or stable expression of IFNγ response genes. Upregulation of IFNγ response genes is associated with putative routes of resistance characterized by signatures of persistent IFN signaling, immune dysfunction, and mutations in antigen presentation genes which can be recapitulated in multiple murine models of acquired resistance to PD-(L)1 blockade after in vitro IFNγ treatment. Acquired resistance to PD-(L)1 blockade in NSCLC is associated with an ongoing, but altered IFN response. The persistently inflamed, rather than excluded or deserted, tumor microenvironment of acquired resistance informs therapeutic strategies to effectively reprogram and reverse acquired resistance.
GSE248830	44	2023/12/03	Expression profiling by array	1	1	1	1	GPL32069			array_ici_lung,broad_ici_lung,panel_ici_lung	Unlocking Molecular mechanisms and identifying druggable targets in matched-paired brain metastasis of Breast and Lung cancers	Introduction: The incidence of brain metastases in cancer patients is increasing, with lung and breast cancer being the most common sources. Despite advancements in targeted therapies, the prognosis remains poor, highlighting the importance to investigate the underlying mechanisms in brain metastases. The aim of this study was to investigate the differences in the molecular mechanisms involved in brain metastasis of breast and lung cancers. In addition, we aimed to identify cancer lineage-specific druggable targets in the brain metastasis. Methods: To that aim, a cohort of 44 FFPE tissue samples, including 22 breast cancer and 22 lung adenocarcinoma (LUAD) and their matched-paired brain metastases were collected. Targeted gene expression profiles of primary tumors were compared to their matched-paired brain metastases samples using nCounter PanCancer IO 360™ Panel of NanoString technologies. Pathway analysis was performed using gene set analysis (GSA) and gene set enrichment analysis (GSEA). The validation was performed by using Immunohistochemistry (IHC) to confirm the expression of immune checkpoint inhibitors. Results: Our results revealed the significant upregulation of cancer-related genes in primary tumors compared to their matched-paired brain metastases (adj. p ≤ 0.05). We found that upregulated differentially expressed genes in breast cancer brain metastasis (BM-BC) and brain metastasis from lung adenocarcinoma (BM-LUAD) were associated with the metabolic stress path
GSE249262	76	2024/01/18	Expression profiling by array	1	1	1	1	GPL23159			array_ici_lung,broad_ici_lung	Circulating tumor cell analysis from stage III lung cancer patients	Imaging technologies only detect progression after it has occurred, which may be well after tumor growth or disease progression has begun. In this work, we determined whether circulating tumor cell (CTC) quantification, PD-L1 expression on CTCs, or CTC gene expression can be used as a blood-based biomarker to predict patient outcomes in stage III NSCLC. The primary endpoint was disease progression, either locoregional, distant, or death. We used immunoaffinity graphene oxide (GO) chip to isolated CTCs from stage III NSCLC patients, and extracted bulk RNA materials from isolated CTC samples and conducted microarray gene expression profiling.
GSE249568	94	2024/09/27	Expression profiling by array	1	1	1	1	GPL33991			array_ici_lung,broad_ici_lung	Gene expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)	Background: MET inhibitors have demonstrated efficacy in treating patients with non-small cell lung cancer (NSCLC) harboring METex14 skipping alterations. Advancements in spatial profiling technologies have unveiled the complex dynamics of the tumor microenvironment, a crucial factor in cancer progression and therapeutic response. Using spatial profiling, this study investigates the effects of the MET inhibitor tepotinib on the TME in a case of locally advanced NSCLC with a METex14 skipping alteration. Methods: A patient with resectable stage IIIB NSCLC, unresponsive to neoadjuvant platinum-based doublet chemotherapy, received tepotinib following detection of a METex14 skipping alteration. Paired pre- and post-treatment biopsies were subjected to GeoMx Digital Spatial Profiling using the Cancer Transcriptome Atlas and immune-related protein panels to evaluate shifts in the tumor immune microenvironment (TIME). Results: Tepotinib administration resulted in pathological downstaging to stage IA1, which allowed for a successful lobectomy and evidenced a significant pathological response. The TIME was transformed from an immunosuppressive to a more permissive state, with upregulation of antigen-presenting and pro-inflammatory immune cells. Moreover, a marked decrease in immune checkpoint molecules, including PD-L1, was noted. Spatial profiling identified discrete immune-enriched clusters, indicating the role of tepotinib in modulating immune cell trafficking and function. Conclusi
GSE305086	173	2026/08/03	Expression profiling by array	1	1	1	1	GPL570			array_ici_lung,array_response,broad_ici_lung	Blood gene expression under immunotherapy as potential biomarker for immune checkpoint blockade in non-small-cell lung cancer	Abstract Introduction: PD-(L)1 immunotherapy (IO) is a mainstay first-line (1L) treatment for advanced non-small-cell lung cancer without actionable alterations (aNSCLC), but reliable biomarkers are lacking. This study explored the potential utility of longitudinal blood gene expression profiling in this setting. Methods: 165 patients with aNSCLC and 1LIO as monotherapy (n=60), or combined with chemotherapy (CHTIO, n=71) were prospectively analyzed along with patients receiving 2LIO (n=34) and age-matched controls (n=21). PAXgene blood RNA was analyzed by quantitative PCR (qPCR) and Affymetrix U133 Plus 2.0 microarrays, including median fold changes [FC] and odds ratio (OR) between groups, with control of the false discovery rate (FDR). Progression-free survival (PFS) was verified through review of radiological images based on RECIST v1.1. Routine blood cell counts and PD L1 tumor proportion score (TPS) were available from the patients’ records. Results: Significantly higher neutrophil (FC 1.66, p<0.001) and lower lymphocyte counts (FC 0.65, p<0.001) in the blood of untreated patients vs. age-matched controls were significantly associated with shorter PFS (hazard ratio [HR] 1.94 for neutrophil/lymphocyte ratio [NLR] ≥5, p<0.001) and reduced expression of GATA3, FOXP3 and other T-cell specific genes (p<0.01). After 4 cycles of 1L treatment, blood neutrophil counts normalized (FC 0.59 vs. baseline, p<0.001), but lymphopenia persisted. Furthermore, IO monotherapy, but not CHTIO,
