gse	n_gsm_meta	platforms_meta	organisms	n_char_fields	response_keys	response_value_tokens	ici_tokens	has_response_annot	has_ici_annot	lung_sample_mention	cellline_mention	fetch_error	n_samples	pdat	gds_type	is_array_type	platforms	platform_titles	pubmed	title	priority
GSE136934	8	GPL13497	Homo sapiens	3				0	0	0	1	0	8	2019/12/17	Expression profiling by array	1	GPL13497			Effect of Pirfenidone on NSCLC [A549 1.5 mg/ml Pirf 24hrs]	1
GSE142620	36	GPL21290	Homo sapiens	4				0	0	1	1	0	36	2019/12/27	Expression profiling by high throughput sequencing	0	GPL21290			Chronic IL-1β-induced inflammation regulates epithelial-to-mesenchymal transition memory phenotypes via epigenetic modifications in non-small cell lung cancer	1
GSE150255	8	GPL20795	Homo sapiens	3				0	0	1	1	0	8	2023/05/01	Expression profiling by high throughput sequencing	0	GPL20795			IFN-γ induces ZEB1 expression through STAT1-dependent upregulation of JMJD3 to promote lung adenocarcinoma cell aggressiveness	1
GSE153051	2	GPL21185	Homo sapiens	2		PD		0	0	0	1	0	2	2020/06/24	Expression profiling by array	1	GPL21185			PD-L1 lncRNA splice promotes lung adenocarcinoma proliferation and metastasis via enhancing c-Myc activity	1
GSE178521	6	GPL24676	Homo sapiens	3				0	0	1	1	0	6	2022/02/08	Expression profiling by high throughput sequencing	0	GPL24676			PRMT5 inhibition increases PD-L1 expression and immunoresistance in lung cancer	1
GSE186815	6	GPL15207	Homo sapiens	2				0	0	0	1	0	6	2024/10/28	Expression profiling by array	1	GPL15207			The role of CMTM4 in hepatocellular carcinoma	1
GSE189804	9	GPL18573	Homo sapiens	4				0	0	1	1	0	9	2023/03/22	Expression profiling by high throughput sequencing	0	GPL18573			A549 NRF NT, mock and knockout RNAseq	1
GSE192790	6	GPL20795	Homo sapiens	2				0	0	1	1	0	6	2022/01/02	Expression profiling by high throughput sequencing	0	GPL20795			A subpopulation of cancer cells with high SIRPG expression promotes immune escape of non-small cell lung carcinoma through crosstalk with Hippo signaling	1
GSE210516	8	GPL24676	Homo sapiens	4		PD		0	0	1	1	0	8	2022/09/14	Expression profiling by high throughput sequencing	0	GPL24676			RNAseq in lung cancer pneumospheres treated with PD-L1s	1
GSE213590	6	GPL11154	Homo sapiens	3				0	0	1	1	0	6	2023/09/20	Expression profiling by high throughput sequencing	0	GPL11154			FOS deficiency activates NRF2 signaling and CAF-mediated metabolic symbiosis to induce ferroptosis resistance in lung cancer initiation and brain metastasis	1
GSE214992	50	GPL16791	Homo sapiens	5				0	0	1	1	0	50	2022/10/12	Expression profiling by high throughput sequencing	0	GPL16791			SERPINB9 is commonly amplified and high expression in cancer cells correlates with poor immune checkpoint blockade response	1
GSE217451	9	GPL18573	Homo sapiens	4				0	0	1	1	0	9	2023/08/30	Expression profiling by high throughput sequencing	0	GPL18573			Tumoral and stromal hMENA isoforms influence tertiary lymphoid structure localization and predict response to immunocheckpoint blockade in lung cancer patients	1
GSE218402	8	GPL23227	Homo sapiens	4				0	0	1	1	0	8	2023/04/04	Expression profiling by high throughput sequencing	0	GPL23227			Norepinephrine inhibits CD8+ T cell infiltration and function, inducing anti-PD-1 mAb resistance in lung adenocarcinoma	1
GSE224216	9	GPL24676	Homo sapiens	3				0	0	1	1	0	9	2023/08/30	Expression profiling by high throughput sequencing	0	GPL24676			hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [RNA-seq]	1
GSE224246	8	GPL18573	Homo sapiens	3				0	0	1	1	0	8	2023/08/30	Genome binding/occupancy profiling by high throughput sequencing	0	GPL18573			hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [ATAC-seq]	1
GSE233820	12	GPL20795	Homo sapiens	5				0	0	1	1	0	12	2025/02/04	Expression profiling by high throughput sequencing	0	GPL20795			PARP inhibitor radiosensitization enhances anti-PD-L1 immunotherapy through depression of chemokine translation in small cell lung cancer	1
GSE235500	34	GPL24676	Homo sapiens	3				0	0	1	1	0	34	2023/09/11	Expression profiling by high throughput sequencing	0	GPL24676			Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response [human]	1
GSE235603	86	GPL24247;GPL24676	Homo sapiens;Mus musculus	3				0	0	1	1	0	86	2023/09/11	Expression profiling by high throughput sequencing	0	GPL24676;GPL24247	 | 		Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response	1
GSE236719	9	GPL24247;GPL24676	Homo sapiens;Mus musculus	5				0	0	1	1	0	9	2024/06/21	Genome binding/occupancy profiling by high throughput sequencing	0	GPL24676;GPL24247	 | 		Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [ChIP-seq]	1
GSE236722	12	GPL24247;GPL24676	Homo sapiens;Mus musculus	5				0	0	1	1	0	12	2024/06/21	Methylation profiling by high throughput sequencing	0	GPL24676;GPL24247	 | 		Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [WGBS]	1
GSE237818	6	GPL24676	Homo sapiens	3				0	0	1	1	0	6	2024/07/31	Expression profiling by high throughput sequencing	0	GPL24676			Enhancing Tumor Targeting of Antitumor Drugs through Anlotinib-Mediated Modulation of Extracellular Matrix and RhoA/ROCK Signaling Pathway	1
GSE238003	6	GPL21626;GPL21697	Homo sapiens;Mus musculus	4				0	0	1	1	0	6	2023/07/25	Genome binding/occupancy profiling by high throughput sequencing	0	GPL21697;GPL21626	 | 		Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [CUT&Tag]	1
GSE238006	8	GPL18460;GPL18480	Homo sapiens;Mus musculus	4				0	0	1	1	0	8	2023/07/25	Expression profiling by high throughput sequencing	0	GPL18460;GPL18480	 | 		Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [RNA-seq]	1
GSE241977	6	GPL30173	Homo sapiens	6				0	0	1	1	0	6	2024/06/08	Expression profiling by high throughput sequencing	0	GPL30173			IFN -induced treatment of a Human Lung Adenocarcinoma Cell Line is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (a549 bulk RNA)	1
GSE241980	17	GPL30172;GPL30173	Homo sapiens;Mus musculus	6				0	0	1	1	0	17	2024/06/08	Expression profiling by high throughput sequencing	0	GPL30173;GPL30172	 | 		IFN -induced Immunosuppression in Lung Carcinoma is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control	1
GSE243934	23	GPL24676	Homo sapiens	3				0	0	1	1	0	23	2024/04/10	Expression profiling by high throughput sequencing	0	GPL24676			Effect of carboplatin-paclitaxel or -gemcitabine combinations on lung cancer cells spheroids	1
GSE244103	12	GPL24676	Homo sapiens	3				0	0	1	1	0	12	2024/02/01	Expression profiling by high throughput sequencing	0	GPL24676			Targeting DHX9 triggers interferon response and replication stress in Small Cell Lung Cancer [RNA-seq]	1
GSE244104	14	GPL24676	Homo sapiens	4				0	0	1	1	0	14	2024/02/01	Other	0	GPL24676			Targeting DHX9 triggers interferon response and replication stress in Small Cell Lung Cancer [RIP-seq I]	1
GSE244944	18	GPL18573	Homo sapiens	4				0	0	1	1	0	18	2025/06/02	Genome binding/occupancy profiling by high throughput sequencing	0	GPL18573			NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [CHIP-seq]	1
GSE244945	69	GPL24247;GPL24676	Homo sapiens;Mus musculus	3				0	0	1	1	0	69	2025/06/02	Expression profiling by high throughput sequencing	0	GPL24247;GPL24676	 | 		NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [RNA-seq]	1
GSE244946	3	GPL24676	Homo sapiens	4				0	0	1	1	0	3	2025/06/22	Expression profiling by high throughput sequencing	0	GPL24676			NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [scRNA-seq]	1
GSE247217	12	GPL24676	Homo sapiens	4				0	0	1	1	0	12	2024/02/01	Other	0	GPL24676			Targeting DHX9 triggers interferon response and replication stress in Small Cell Lung Cancer [RIP-Seq II]	1
GSE250254	8	GPL18573	Homo sapiens	5				0	0	1	1	0	8	2023/12/17	Expression profiling by high throughput sequencing	0	GPL18573			Single-cell immunophenotyping revealed the association of CD4+ central and CD4+ effector memory T cells linking exacerbating chronic obstructive pulmonary disease and NSCLC	1
GSE251639	4	GPL21185	Homo sapiens	2				0	0	0	1	0	4	2023/12/26	Expression profiling by array	1	GPL21185			Blockade of histamine receptor H1 augments immune checkpoint therapy by enhancing MHC-I expression in pancreatic cancer cells	1
GSE255330	65	GPL24247;GPL24676	Homo sapiens;Mus musculus	6				0	0	1	1	0	65	2025/07/07	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	0	GPL24247;GPL24676	 | 		Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumors [dataset 1]	1
GSE266364	33	GPL16791;GPL17021	Homo sapiens;Mus musculus	4				0	0	1	1	0	33	2024/10/30	Expression profiling by high throughput sequencing	0	GPL16791;GPL17021	 | 		Immunogenic cell death inducer cEmsy boosted cancer immunotherapy in lung adenocarcinoma	1
GSE269711	6	GPL28038	Homo sapiens	4				0	0	1	1	0	6	2024/10/31	Expression profiling by high throughput sequencing	0	GPL28038			Transcriptome changes associated with targeting mTORC2 in lung squamous cell carcinoma	1
GSE270148	85	GPL24247;GPL24676	Homo sapiens;Mus musculus	10				0	0	1	1	0	85	2025/07/07	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	0	GPL24247;GPL24676	 | 		Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours	1
GSE273406	6	GPL24676	Homo sapiens	5				0	0	1	1	0	6	2024/11/06	Expression profiling by high throughput sequencing	0	GPL24676			Uncovering the rewired IAP-JAK regulatory axis as an immune-dependent vulnerability of LKB1-mutant lung cancer	1
GSE273409	36	GPL20301	Homo sapiens	5				0	0	1	1	0	36	2025/08/27	Expression profiling by high throughput sequencing	0	GPL20301			DNAPKCs as a therapeutic target in small cell lung cancer	1
GSE276724	15	GPL25526	Homo sapiens;Mus musculus	6				0	0	1	1	0	15	2025/03/12	Expression profiling by high throughput sequencing	0	GPL25526			Denfivontinib activates effector T-cells through NLRP3-inflammasome, yielding potent anticancer effects by combination with pembrolizumab	1
GSE301076	12	GPL18460	Homo sapiens	4				0	0	1	1	0	12	2025/07/01	Expression profiling by high throughput sequencing	0	GPL18460			Targeting LINC01711 in FAP+ cancer-associated fibroblasts in lung adenocarcinoma	1
GSE302247	4	GPL28038	Homo sapiens	2				0	0	1	1	0	4	2025/11/18	Expression profiling by high throughput sequencing	0	GPL28038			Dipeptidyl peptidase 4 restoration facilitates anti-tumor immunity in KRAS–LKB1–mutant lung cancer	1
GSE313754	8	GPL24676	Homo sapiens	5				0	0	1	1	0	8	2025/12/20	Expression profiling by high throughput sequencing	0	GPL24676			Stromal MTHFD2 orchestrates a fibrotic–inflammatory niche driving tumor growth and immune evasion	1
GSE315010	44	GPL24247;GPL34281	Homo sapiens;Mus musculus	4				0	0	1	1	0	44	2025/12/29	Expression profiling by high throughput sequencing	0	GPL24247;GPL34281	 | 		Abrogation of Oncogenic RAS Signaling by a RAS(ON) Inhibitor Doublet Primes Immune-refractory KRASG12C-mutant NSCLC for Immune Checkpoint Blockade	1
GSE317309	64	GPL34284;GPL35012	Homo sapiens;Mus musculus	3				0	0	1	1	0	64	2026/05/01	Expression profiling by high throughput sequencing	0	GPL34284;GPL35012	 | 		Combination of a CCL21-gene modified dendritic cell vaccine and pembrolizumab induces immune responses in non-small cell lung cancer	1
