gse	n_gsm_meta	platforms_meta	organisms	n_char_fields	response_keys	response_value_tokens	ici_tokens	has_response_annot	has_ici_annot	lung_sample_mention	cellline_mention	fetch_error	n_samples	pdat	gds_type	is_array_type	platforms	platform_titles	pubmed	title	priority
GSE67501	11	GPL14951	Homo sapiens	5	response to anti-pd-1 (nivolumab) immunotherapy (complete response (cr) or partial response (pr) or stable disease (sd) or no response (nr));response to anti-pd-1 (nivolumab) immunotherapy (response or no-response)	CR;PD;PR;SD;complete response;partial response;stable disease	anti-pd-1;anti-pd1;immunotherapy;nivolumab	1	1	1	0	0	11	2016/08/04	Expression profiling by array	1	GPL14951			Expression data in human renal cell carcinoma samples from patients who did or did not respond to anti-PD-1 (Nivolumab) immunotherapy	12
GSE93157	65	GPL19965	Homo sapiens	15	best.resp;pfs;pfse;response	CR;PD;PR;SD	nivolumab;pembrolizumab	1	1	1	0	0	65	2017/05/15	Expression profiling by array	1	GPL19965			Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma	12
GSE135222	27	GPL16791	Homo sapiens	6	pfs.time;progression-free survival (pfs)	PD	anti-pd-1	1	1	1	0	0	27	2019/08/02	Expression profiling by high throughput sequencing	0	GPL16791			DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load [RNA-seq]	10
GSE140901	24	GPL19965	Homo sapiens	11	best_response;clinical_benefit_response;pfs_event;pfs_time	PD;PR;SD	immune checkpoint	1	1	0	0	0	24	2021/05/18	Expression profiling by array	1	GPL19965			Exploration of exhausted CD8 T cell markers to predict response to immune checkpoint inhibitor therapy for hepatocellular carcinoma	10
GSE161537	82	GPL18573	Homo sapiens	13	best response on immunotherapy (recist);pfs (month)	CR;PD;PR;SD	immunotherapy	1	1	1	0	0	82	2022/07/07	Expression profiling by high throughput sequencing	0	GPL18573			Immunologically hot phenotype is associated with response to second-line PD-1/PD-L1 inhibition in patients with advanced non-small cell lung cancer	10
GSE207422	39	GPL24676	Homo sapiens	9	pathologic_response	PD	anti-pd-1	1	1	1	0	0	39	2023/03/21	Expression profiling by high throughput sequencing	0	GPL24676			Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing	10
GSE207715	282	GPL21576;GPL25134	Homo sapiens	12	basal or best response;status at the best response (ed	PD;PR;SD	nivolumab	1	1	1	0	0	282	2024/07/28	Non-coding RNA profiling by array	0	GPL21576;GPL25134	 | 		Extracellular vesicles miR-574-5p and miR-181a-5p as prognostic markers in NSCLC patients treated with nivolumab	10
GSE261345	121	GPL30173	Homo sapiens	22	best recist response to treatment;date of disease progression or death;disease progression or death;disease progression or death of disease		durvalumab	1	1	1	0	0	121	2024/04/09	Other	0	GPL30173			Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [CANTABRICO_DSP cohort]	10
GSE261348	175	GPL30173	Homo sapiens	22	best recist response to treatment;date of disease progression or death;disease progression or death;disease progression or death of disease		atezolizumab	1	1	1	0	0	175	2024/04/09	Other	0	GPL30173			Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [IMfirst_DSP cohort]	10
GSE292299	18	GPL24676;GPL34281	Homo sapiens	5	treatment response	CR	nivolumab	1	1	1	0	0	18	2026/06/09	Other	0	GPL24676;GPL34281	 | 		Conserved principles of spatial biology define tumor heterogeneity and immunotherapy sensitivity	10
GSE310370	4	GPL21572	Homo sapiens	4	response	PD	nivolumab	1	1	1	0	0	4	2026/04/01	Non-coding RNA profiling by array	0	GPL21572			Expression data of microRNAs captured by OAA from plasma of NSCLC patients treated with nivolumab	10
GSE78220	28	GPL11154	Homo sapiens	17	anti-pd-1 response;overall survival (days)		anti-pd-1;pembrolizumab	1	1	1	0	0	28	2016/03/18	Expression profiling by high throughput sequencing	0	GPL11154			mRNA expressions in pre-treatment melanomas undergoing anti-PD-1 checkpoint inhibition therapy	10
GSE101929	66	GPL570	Homo sapiens	11	survival (days);survival (months);survival (years)			1	0	1	0	0	66	2017/07/28	Expression profiling by array	1	GPL570			Gene expression data from African Americans and European Americans with non-small cell lung cancer	8
GSE141479	74	GPL23126	Homo sapiens	5			nivolumab	0	1	1	0	0	74	2020/04/07	Expression profiling by array	1	GPL23126			Combination of host immune metabolic biomarkers for the PD-1 blockade cancer immunotherapy	8
GSE168204	27	GPL11154;GPL18573	Homo sapiens	7	response immune checkpoint blockade therapy		anti-pd1;anti-pdl1;immune checkpoint	1	1	0	0	0	27	2021/08/15	Expression profiling by high throughput sequencing	0	GPL18573;GPL11154	 | 		Pathway Signatures Derived from On-treatment Tumor Specimens Predict Response to Anti-PD1 Blockade in Metastatic Melanoma	8
GSE193707	4	GPL23159	Homo sapiens	5	response to neoadjuvant chemotherapy	resistant;sensitive		1	0	1	0	0	4	2022/12/31	Expression profiling by array	1	GPL23159			Genome-wide expression profiling of mediastinal lymph nodal metastasis of stage IIIA NSCLC patients before neoadjuvant chemotherapy	8
GSE248249	42	GPL23126	Homo sapiens	5			immunotherapy	0	1	1	0	0	42	2024/01/11	Expression profiling by array	1	GPL23126			Clinical and molecular features of acquired resistance to immunotherapy in non-small cell lung cancer	8
GSE190731	23	GPL570	Homo sapiens	3			durvalumab	0	1	1	1	0	23	2022/02/23	Expression profiling by array	1	GPL570			Expression data from durvalumab, oleclumab and combo-treated xenograft NSCLC tumors	7
GSE102286	179	GPL23871	Homo sapiens	9	survival (months)			1	0	1	0	0	179	2017/08/04	Non-coding RNA profiling by array	0	GPL23871			MicroRNA expression data from African Americans and European Americans with non-small cell lung cancer	6
GSE111414	20	GPL21290	Homo sapiens	9	response	PD;PR;nonresponder;partial response;progressive disease;responder		1	0	1	0	0	20	2021/03/01	Expression profiling by high throughput sequencing	0	GPL21290			KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer	6
GSE126044	16	GPL16791	Homo sapiens	4	patient response	non-responder;responder		1	0	1	0	0	16	2020/02/03	Expression profiling by high throughput sequencing	0	GPL16791			Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer	6
GSE136961	21	GPL24014	Homo sapiens	4	survival			1	0	1	0	0	21	2020/02/03	Expression profiling by high throughput sequencing	0	GPL24014			Immune gene signatures for predicting durable clinical benefit of anti-PD-1 immunotherapy in patients with non-small cell lung cancer	6
GSE150972	1	GPL20795	Homo sapiens	3		PD	anti-pd-1	0	1	1	0	0	1	2020/06/30	Expression profiling by high throughput sequencing	0	GPL20795			Identification of clonal neoantigens derived from driver mutations in an EGFR mutated lung cancer patient benefitting from anti-PD-1	6
GSE162520	92	GPL18573	Homo sapiens	11	pfs (event);pfs (month)			1	0	1	0	0	92	2022/07/07	Expression profiling by high throughput sequencing	0	GPL18573			Immunologically active phenotype is associated with response to PD-1/PD-L1 inhibitors in patients with advanced non-small cell lung cancer	6
GSE168707	6	GPL29837	Homo sapiens	3		resistant;sensitive		1	0	1	0	0	6	2021/03/12	Expression profiling by RT-PCR	0	GPL29837			RT-PCR profiling analysis of microRNA expression in cisplatin-resistant cancer	6
GSE173351	212	GPL24676	Homo sapiens	8	response status			1	0	1	0	0	212	2021/07/21	Other	0	GPL24676			Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade	6
GSE176021	110	GPL24676	Homo sapiens	3	response status			1	0	1	0	0	110	2021/07/21	Expression profiling by high throughput sequencing	0	GPL24676			Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade [single-cell RNA-seq]	6
GSE190266	70	GPL24676	Homo sapiens	4	pfs_evt (6 months);pfs_time (6 months)			1	0	1	0	0	70	2021/12/08	Expression profiling by high throughput sequencing	0	GPL24676			MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France4]	6
GSE202417	28	GPL23126	Homo sapiens	5			nivolumab	0	1	0	0	0	28	2025/05/06	Expression profiling by array	1	GPL23126			Potential of Bezafibrate for Combination with Nivolumab in Treatment of Advanced Non-Small Cell Lung Cancer	6
GSE205335	33	GPL16791;GPL24676	Homo sapiens	6	recist	PD;PR;SD		1	0	1	0	0	33	2024/11/05	Expression profiling by high throughput sequencing	0	GPL16791;GPL24676	 | 		Single-cell transcriptome profiles of tumor tissues from lung cancer patients receiving immune checkpoint inhibitors.	6
GSE218989	355	GPL24676	Homo sapiens	4	treatment outcome	PD;responder		1	0	1	0	0	355	2024/02/14	Expression profiling by high throughput sequencing	0	GPL24676			Systematic dissection of tumor-normal single-cell ecosystems across a thousand tumors of 30 cancer types	6
GSE233203	7	GPL20795	Homo sapiens	5	therapeutic response			1	0	1	0	0	7	2025/08/27	Expression profiling by high throughput sequencing	0	GPL20795			The single-cell level molecular characteristics according to combination immunotherapy response of non-small cell lung cancer patients.	6
GSE260770	50	GPL20301	Homo sapiens	4			sintilimab	0	1	1	0	0	50	2024/05/01	Expression profiling by high throughput sequencing	0	GPL20301			The activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients	6
GSE266219	79	GPL24676	Homo sapiens	6	response			1	0	1	0	0	79	2024/05/07	Expression profiling by high throughput sequencing	0	GPL24676			Clinical and Immunological Responses to Combined JAK Inhibition and PD-1 immunotherapy for Lung Cancer Patients	6
GSE271689	586	GPL24676	Homo sapiens	4			immunotherapy	0	1	1	0	0	586	2024/08/22	Expression profiling by high throughput sequencing	0	GPL24676			Enhancing Immunotherapy Outcomes: Spatial Multi-Omics Predictive Models for Non-Small Cell Lung Cancer	6
GSE283829	27	GPL24676	Homo sapiens	6		CR;PD;SD		1	0	1	0	0	27	2025/01/17	Expression profiling by high throughput sequencing	0	GPL24676			In situ detection of PD1–PD-L1 interactions as a functional predictor for response to immune checkpoint inhibition in NSCLC.	6
GSE291670	6	GPL24676	Homo sapiens	4			camrelizumab	0	1	1	0	0	6	2025/03/31	Expression profiling by high throughput sequencing	0	GPL24676			Neoadjuvant anlotinib combined with PD-1 blockade therapy remodeling the microenvironment in advanced non-small cell lung cancer	6
GSE292098	315	GPL24676	Homo sapiens	3			immunotherapy	0	1	1	0	0	315	2025/12/31	Other	0	GPL24676			Enhancing Immunotherapy Outcomes: Spatial Multi-Omics Predictive Models for Non-Small Cell Lung Cancer [GeoMx DSP]	6
GSE303680	10	GPL24676	Homo sapiens	4			pembrolizumab	0	1	1	0	0	10	2025/07/30	Expression profiling by high throughput sequencing	0	GPL24676			PD1-targeted cis-delivery of an IL-2 variant induces a multifaceted anti-tumoral T cell response in human lung cancer	6
GSE93647	2	GPL15207	Homo sapiens	2			nivolumab	0	1	0	0	0	2	2018/01/31	Expression profiling by array	1	GPL15207			Expression data from patients with HCC receiving Nivolumab	6
GSE99070	22	GPL10558	Homo sapiens	2			nivolumab;pembrolizumab	0	1	0	0	0	22	2018/04/05	Expression profiling by array	1	GPL10558			Comprehensive immunoproteogenomic analyses of malignant pleural mesothelioma	6
GSE223779	6	GPL29480	Homo sapiens	7		resistant;sensitive		1	0	1	1	0	6	2023/08/09	Expression profiling by high throughput sequencing	0	GPL29480			Single-cell transcriptomic analysis uncovers intratumoral heterogeneity and drug-tolerant persister in ALK-rearranged lung adenocarcinoma	5
GSE280232	42	GPL24676	Homo sapiens	5			ipilimumab;nivolumab	0	1	1	1	0	42	2024/10/24	Expression profiling by high throughput sequencing; Other	0	GPL24676			Divergent clinical and immunologic outcomes based on STK11 co-mutation status in resectable KRAS-mutant lung cancers following neoadjuvant immune checkpoint blockade	5
GSE133605	1	GPL24296	Homo sapiens	8		PD		0	0	1	0	0	1	2019/07/02	Expression profiling by array; Third-party reanalysis	1	GPL24296			Transcriptome of tumor biopsy sample of patient with non-small-cell lung adenocarcinoma, ALK rearrangement positive	4
GSE148944	67	GPL28285	Homo sapiens	2				0	0	1	0	0	67	2020/05/01	Expression profiling by array	1	GPL28285			Characterization of the immune profile of oral tongue squamous cell carcinomas with advancing disease	4
GSE154286	133	GPL28856	Homo sapiens	3				0	0	1	0	0	133	2020/07/14	Expression profiling by array	1	GPL28856			Chemotherapy negatively impacts the tumor immune microenvironment in NSCLC: An analysis of pre- and post-treatment biopsies in the multi-center SAKK19/09 study	4
GSE180347	144	GPL29738	Homo sapiens	5				0	0	1	0	0	144	2021/09/27	Expression profiling by array	1	GPL29738			Transcriptomic analysis of PD-L1 positive and negative hot lung adenocarcinomas identifies a different molecular immunogenic landscape	4
GSE195770	8	GPL20844	Homo sapiens	3				0	0	1	0	0	8	2023/01/01	Expression profiling by array	1	GPL20844			Idiopathic pulmonary fibrosis (IPF)	4
GSE212622	12	GPL32631	Mus musculus	4				0	0	1	0	0	12	2022/10/25	Expression profiling by array	1	GPL32631			Pulmonary parasite infection: do trypanosomes take your breath away?	4
GSE229353	7	GPL20795	Homo sapiens	4			anti-pd1	0	1	0	0	0	7	2023/05/16	Expression profiling by high throughput sequencing	0	GPL20795			PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells	4
GSE235048	15	GPL11154	Homo sapiens	2			atezolizumab;ipilimumab;nivolumab;pembrolizumab	0	1	0	0	0	15	2023/08/03	Expression profiling by high throughput sequencing	0	GPL11154			Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients	4
GSE243238	20	GPL18573	Homo sapiens	18	clinical benefit_(cb)			1	0	0	0	0	20	2023/10/20	Expression profiling by high throughput sequencing	0	GPL18573			Identification of tumor-intrinsic drivers of immune exclusion in acral melanoma	4
GSE248830	44	GPL32069	Homo sapiens	5		PR		0	0	1	0	0	44	2023/12/03	Expression profiling by array	1	GPL32069			Unlocking Molecular mechanisms and identifying druggable targets in matched-paired brain metastasis of Breast and Lung cancers	4
GSE249568	94	GPL33991	Homo sapiens	1				0	0	1	0	0	94	2024/09/27	Expression profiling by array	1	GPL33991			Gene expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)	4
GSE267168	107	GPL34463	Homo sapiens	7	best clinical response;outcome;outcome type;survival	PD;PR;SD		1	0	0	0	0	107	2026/02/23	Protein profiling by protein array	0	GPL34463			CSF1R inhibition plus chemotherapy induces systemic anti-tumor immune responses in triple negative breast cancer and sensitizes tumors to anti-PD-1 therapy by relieving resident memory T cell dysfunction [luminex]	4
GSE295969	18	GPL18573	Homo sapiens	6	ici response	PD		1	0	0	0	0	18	2025/05/31	Expression profiling by high throughput sequencing	0	GPL18573			Blood immunomap for prediction of responses to anti-PD-1 immunotherapy in metastatic non-small cell lung cancer	4
GSE306542	2	GPL24676	Homo sapiens	38	response (patient_1);response (patient_2);response (patient_3);response (patient_4);response (patient_5);response (patient_6)	PD;PR;non-responder;responder		1	0	0	0	0	2	2026/04/02	Expression profiling by high throughput sequencing	0	GPL24676			Circulating cell populations as response predictors and targets to improve immunotherapy in metastatic lung cancer	4
GSE65041	11	GPL14951	Homo sapiens	3		PD		0	0	1	0	0	11	2015/05/01	Expression profiling by array	1	GPL14951			Expression data in PD-L1 positive and PD-L1 negative human melanoma samples	4
GSE84797	29	GPL19965	Homo sapiens	4				0	0	1	0	0	29	2016/10/11	Expression profiling by array	1	GPL19965			Multi-parametric profiling of non-small cell lung cancers reveals distinct immunophenotypes [Nanostring]	4
GSE91061	109	GPL9052	Homo sapiens	3	response	PD;SD		1	0	0	0	0	109	2018/01/23	Expression profiling by high throughput sequencing	0	GPL9052			Molecular portraits of tumor mutational and micro-environmental sculpting by immune checkpoint blockade therapy	4
GSE99995	12	GPL21185	Homo sapiens	6		PD		0	0	1	0	0	12	2020/01/01	Expression profiling by array	1	GPL21185			Whole-transcriptome analysis of tumor tissues of lung adenocarcinoma reveals molecular changes under the influence of IFN-γ	4
GSE136644	603	GPL6480	Homo sapiens	2				0	0	1	1	0	603	2020/04/13	Expression profiling by array	1	GPL6480			POL and Z1031 Gene Expression_Final	3
GSE193719	10	GPL23159	Homo sapiens	2				0	0	1	1	0	10	2022/12/31	Expression profiling by array	1	GPL23159			Genome-wide expression profiling of NSCLC cancer cell lines upon miR-455-5p overexpression	3
GSE197236	6	GPL26963	Homo sapiens	1				0	0	1	1	0	6	2022/02/27	Expression profiling by array; Non-coding RNA profiling by array	1	GPL26963			Identification of Key Gene and Functional Pathways in Radioresistance of non-small cell lung cancer	3
GSE224099	12	GPL24676	Homo sapiens	5			immune checkpoint	0	1	0	1	0	12	2023/07/17	Expression profiling by high throughput sequencing	0	GPL24676			A Population of Tumor-Infiltrating CD4+ T-cells Co-expressing CD38 and CD39 is Associated with Checkpoint Inhibitor Resistance	3
GSE249262	76	GPL23159	Homo sapiens	5				0	0	1	1	0	76	2024/01/18	Expression profiling by array	1	GPL23159			Circulating tumor cell analysis from stage III lung cancer patients	3
GSE293914	1	GPL34281	Homo sapiens	5			anti-pd-1	0	1	0	1	0	1	2026/08/12	Expression profiling by high throughput sequencing	0	GPL34281			CCL20 Released by Drug-Tolerant Persisters Impairs Immunotherapy in EGFR-Mutated Lung Adenocarcinoma	3
GSE333664	12	GPL27956	Homo sapiens	5				0	0	1	1	0	12	2026/06/08	Expression profiling by array	1	GPL27956			EHMT1/2 knockout induces a broad interferon signature	3
GSE66843	265	GPL10558;GPL17230;GPL18573;GPL19886;GPL20084;GPL21697;GPL21805	Homo sapiens;Orthohepacivirus hominis;Rattus norvegicus	16	objective response	PD		1	0	0	1	0	265	2021/06/28	Expression profiling by array; Expression profiling by high throughput sequencing	0	GPL21697;GPL19886;GPL17230;GPL10558;GPL20084;GPL18573;GPL21805	 |  |  |  |  |  | 		A cell-based model unravels drivers for hepatocarcinogenesis and targets for clinical chemoprevention	3
GSE10198	6	GPL1708	Homo sapiens	0				0	0	0	0	0	6	2008/02/01	Expression profiling by array	1	GPL1708			Mycobacterium tuberculosis targets DC-SIGN for immunosuppression through the PD-1/PD-Ligand pathway	2
GSE115246	81	GPL21145	Homo sapiens	3				0	0	1	0	0	81	2021/06/01	Methylation profiling by genome tiling array	0	GPL21145			Epigenetic prediction of response to anti-PD-1 treatment in non-small-cell lung cancer: a multicenter, retrospective analysis	2
GSE119144	60	GPL23976	Homo sapiens	1				0	0	1	0	0	60	2019/07/31	Methylation profiling by array	0	GPL23976			DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load	2
GSE120545	4	GPL23159	Homo sapiens	1				0	0	0	0	0	4	2018/09/28	Expression profiling by array	1	GPL23159			Expression date from endothelial cells stimulated with anti-HLA class I and anti-A antibody	2
GSE128222	2	GPL21185	Homo sapiens	1				0	0	0	0	0	2	2025/01/01	Expression profiling by array	1	GPL21185			Tumor regression of recurrent chemo-resistant placental site trophoblastic tumor after anti-PD-1 immune checkpoint inhibitor therapy	2
GSE128990	96	GPL23249	Homo sapiens	5				0	0	0	0	0	96	2021/08/27	Expression profiling by array	1	GPL23249			Immune subtype of ovarian clear cell carcinoma	2
GSE131933	8	GPL24676	Homo sapiens	3				0	0	1	0	0	8	2021/09/01	Expression profiling by high throughput sequencing	0	GPL24676			Effects of durvalumab alone or combined with tremelimumab on preexisting cells in the tumor microenvironment	2
GSE134921	21	GPL21185	Homo sapiens	3				0	0	0	0	0	21	2019/07/27	Expression profiling by array	1	GPL21185			Gene Expression Profiles Associated with A Simple and Reliable Myeloid Signature for HCC	2
GSE144945	10	GPL16791	Homo sapiens	2				0	0	1	0	0	10	2021/08/24	Expression profiling by high throughput sequencing	0	GPL16791			Dysregulation of TFH-B-TRM lymphocyte cooperation is associated with unfavorable anti-PD-1 responses in EGFR-mutant lung cancer	2
GSE145896	8	GPL18573	Homo sapiens	2				0	0	1	0	0	8	2020/05/01	Expression profiling by high throughput sequencing	0	GPL18573			PD-1 blockade-unresponsive human tumor-infiltrating CD8+ T cells are marked by loss of CD28 expression and rescued by IL-15	2
GSE146100	3	GPL24676	Homo sapiens	4				0	0	1	0	0	3	2021/04/28	Expression profiling by high throughput sequencing	0	GPL24676			Distinct Immune-microenvironment Construction Diversely Responded to Induction Immunotherapy among Multiple Primary Lung Adenocarcinoma	2
GSE146163	23	GPL10558	Homo sapiens	2				0	0	0	0	0	23	2021/06/28	Expression profiling by array	1	GPL10558			Integrated transcriptional and phenotypic analysis of peripheral blood to capture the immunomodulating properties of pazopanib in rena; cell carcinoma patients	2
GSE150956	404	GPL15520;GPL16791;GPL21697	Homo sapiens	1				0	0	1	0	0	404	2020/07/15	Non-coding RNA profiling by high throughput sequencing	0	GPL16791;GPL15520;GPL21697	 |  | 		Integrated Assessment of Circulating Cell-Free MicroRNA Signatures in Plasma of Patients with Melanoma Brain Metastasis	2
GSE152590	8	GPL22790	Homo sapiens	3				0	0	1	0	0	8	2021/11/17	Expression profiling by high throughput sequencing	0	GPL22790			RNA seq data of CD8+ T cells in peripheral blood lymphocytes from melanoma and lung cancer patients	2
GSE159785	363	GPL29263	Homo sapiens	17				0	0	1	0	0	363	2020/11/01	Other	0	GPL29263			Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [GeoMx human protein]	2
GSE165745	24	GPL29668	Homo sapiens	5				0	0	1	0	0	24	2021/01/29	Other	0	GPL29668			Nanostring Wnt Pathway Panel of Metastatic Melanoma Patients Prior to Anti-PD-1 Treatment	2
GSE173896	16	GPL20795	Homo sapiens	3				0	0	1	0	0	16	2021/06/29	Expression profiling by high throughput sequencing	0	GPL20795			Single-cell Transcriptome Analysis Reveals an Anomalous Epithelial Variation and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease	2
GSE174570	114	GPL13667	Homo sapiens	2				0	0	0	0	0	114	2022/06/15	Expression profiling by array	1	GPL13667			Cabozantinib enhances anti-PD1 efficacy and elicits a neutrophil-based immune response in murine models: implications for human HCC	2
GSE179994	47	GPL24676	Homo sapiens	4				0	0	1	0	0	47	2021/10/06	Expression profiling by high throughput sequencing	0	GPL24676			Temporal single cell tracing reveals clonal revival and expansion of precursor exhausted T cells during anti-PD-1 therapy in lung cancer	2
GSE181820	22	GPL16791	Homo sapiens	2				0	0	1	0	0	22	2021/09/17	Expression profiling by high throughput sequencing	0	GPL16791			Highly Immunogenic Cancer Cells Require Activation of the WNT Pathway for Immunological Escape	2
GSE182328	44	GPL18573	Homo sapiens	3				0	0	1	0	0	44	2021/08/20	Expression profiling by high throughput sequencing	0	GPL18573			Intestinal Akkermansia muciniphila predicts clinical response to PD1 blockade in advanced non-small cell lung cancer patients [RNA-seq].	2
GSE185206	108	GPL20301;GPL24676	Homo sapiens	6				0	0	1	0	0	108	2023/02/13	Expression profiling by high throughput sequencing; Other	0	GPL20301;GPL24676	 | 		Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade	2
GSE186446	32	GPL20301	Homo sapiens	3				0	0	1	0	0	32	2023/02/14	Expression profiling by high throughput sequencing	0	GPL20301			Systematic lineage tracing reveals clonal progenitors and long-term persistence of1 tumor-specific T cells during immune checkpoint blockade	2
GSE190265	34	GPL18573	Homo sapiens	2				0	0	1	0	0	34	2021/12/08	Expression profiling by high throughput sequencing	0	GPL18573			MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France3]	2
GSE194070	16	GPL18573	Homo sapiens	4				0	0	1	0	0	16	2024/08/15	Expression profiling by high throughput sequencing	0	GPL18573			Tumor-intrinsic CD74 expression mediates immune evasion in lung cancer with COPD	2
GSE216297	286	GPL20301	Homo sapiens	3				0	0	1	0	0	286	2023/07/10	Expression profiling by high throughput sequencing	0	GPL20301			Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer	2
GSE225620	43	GPL24676	Homo sapiens	5				0	0	1	0	0	43	2024/07/05	Expression profiling by high throughput sequencing	0	GPL24676			Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer	2
GSE227427	22	GPL32069	Homo sapiens	7		PR		0	0	1	0	0	22	2024/02/27	Other	0	GPL32069			Tumor lineage-specific immune response in brain metastatic disease: opportunities for targeted immunotherapy regimen?	2
GSE228419	14	GPL21290	Homo sapiens	3		PD		0	0	1	0	0	14	2023/04/02	Expression profiling by high throughput sequencing	0	GPL21290			Characteristics and anatomic location of PD-1+TCF1+ stem-like CD8 T cells in chronic viral infection and cancer	2
GSE242860	0			0				0	0	0	0	1	0	2024/03/30	Expression profiling by array; Third-party reanalysis	1				Soluble immune-checkpoint factors as a complementary biomarker for PD-1 blockade reflect exhaustion of antitumor immunity	2
GSE245916	24	GPL16791;GPL18694	Homo sapiens;Rattus norvegicus	3				0	0	1	0	0	24	2024/03/18	Expression profiling by high throughput sequencing	0	GPL18694;GPL16791	 | 		Species-specific responses during Seoul orthohantavirus infection in human and rat lung microvascular endothelial cells	2
GSE248378	29	GPL24676	Homo sapiens	3				0	0	1	0	0	29	2023/11/26	Expression profiling by high throughput sequencing	0	GPL24676			Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial	2
GSE250262	51	GPL27956	Homo sapiens	7				0	0	1	0	0	51	2023/12/18	Other	0	GPL27956			Association of tumor burden with the efficacy of PD-(L)1 inhibitors for treatment-naive advanced non-small-cell lung cancer	2
GSE250509	94	GPL34024	Homo sapiens	6				0	0	1	0	0	94	2024/09/27	Other	0	GPL34024			Protein expression from paired biopsies from a patient with METex14 skiping non-small cell lung cancer before and after treatment with neoadjuvant tepotinib (42 days)	2
