sample	lineage	response	is_post	n
BD_immune09	Fibroblast	NMPR	True	20
BD_immune09	Mast	NMPR	True	14
BD_immune09	Myeloid	NMPR	True	908
BD_immune09	NK	NMPR	True	203
BD_immune09	Neutrophil	NMPR	True	55
BD_immune09	Plasma	NMPR	True	156
BD_immune09	T	NMPR	True	3080
BD_immune09	Unassigned	NMPR	True	4
BD_immune10	B	NMPR	True	68
BD_immune10	Endothelial	NMPR	True	7
BD_immune10	Epithelial	NMPR	True	208
BD_immune10	Fibroblast	NMPR	True	75
BD_immune10	Mast	NMPR	True	29
BD_immune10	Myeloid	NMPR	True	1261
BD_immune10	NK	NMPR	True	534
BD_immune10	Neutrophil	NMPR	True	443
BD_immune10	Plasma	NMPR	True	403
BD_immune10	T	NMPR	True	3546
BD_immune10	Unassigned	NMPR	True	69
BD_immune11	B	MPR	True	249
BD_immune11	Endothelial	MPR	True	18
BD_immune11	Epithelial	MPR	True	439
BD_immune11	Fibroblast	MPR	True	2
BD_immune11	Mast	MPR	True	34
BD_immune11	Myeloid	MPR	True	979
BD_immune11	NK	MPR	True	307
BD_immune11	Neutrophil	MPR	True	322
BD_immune11	Plasma	MPR	True	24
BD_immune11	T	MPR	True	1383
BD_immune11	Unassigned	MPR	True	2
BD_immune12	B	NMPR	True	1221
BD_immune12	Endothelial	NMPR	True	2
BD_immune12	Epithelial	NMPR	True	482
BD_immune12	Fibroblast	NMPR	True	3
BD_immune12	Mast	NMPR	True	73
BD_immune12	Myeloid	NMPR	True	785
BD_immune12	NK	NMPR	True	102
BD_immune12	Neutrophil	NMPR	True	2021
BD_immune12	Plasma	NMPR	True	258
BD_immune12	T	NMPR	True	1284
BD_immune12	Unassigned	NMPR	True	2
BD_immune13	B	NMPR	True	117
BD_immune13	Endothelial	NMPR	True	5
BD_immune13	Epithelial	NMPR	True	35
BD_immune13	Fibroblast	NMPR	True	12
BD_immune13	Mast	NMPR	True	13
BD_immune13	Myeloid	NMPR	True	3522
BD_immune13	NK	NMPR	True	76
BD_immune13	Neutrophil	NMPR	True	1625
BD_immune13	Plasma	NMPR	True	70
BD_immune13	T	NMPR	True	1271
BD_immune13	Unassigned	NMPR	True	7
BD_immune14	B	MPR	True	1684
BD_immune14	Endothelial	MPR	True	36
BD_immune14	Epithelial	MPR	True	186
BD_immune14	Fibroblast	MPR	True	17
BD_immune14	Mast	MPR	True	59
BD_immune14	Myeloid	MPR	True	400
BD_immune14	NK	MPR	True	227
BD_immune14	Neutrophil	MPR	True	184
BD_immune14	Plasma	MPR	True	105
BD_immune14	T	MPR	True	2636
BD_immune14	Unassigned	MPR	True	12
BD_immune15	B	NMPR	True	366
BD_immune15	Endothelial	NMPR	True	22
BD_immune15	Epithelial	NMPR	True	545
BD_immune15	Fibroblast	NMPR	True	11
BD_immune15	Mast	NMPR	True	54
BD_immune15	Myeloid	NMPR	True	3897
BD_immune15	NK	NMPR	True	454
BD_immune15	Neutrophil	NMPR	True	1613
BD_immune15	Plasma	NMPR	True	38
BD_immune15	T	NMPR	True	1071
BD_immune15	Unassigned	NMPR	True	15
