definition	histology	min_mal	min_tnk	x	y	n	rho	p	worst_loo_donor	worst_loo_rho	worst_loo_p	t13_in_set	rho_without_t13	p_without_t13	stable_inverse	fragile_to_t13
author_tumor	luad_incl_mucinous	100	10	cldn4_pct1	tnk_frac	9	-0.5333333333333333	0.13922686754397814	T24	-0.3333333333333334	0.4197530864197532	False			False	False
author_tumor	luad_incl_mucinous	100	10	cldn4_mean	cd8_frac	9	-0.26666666666666666	0.48792227483870076	T16	0.0	1.0	False			False	False
author_tumor	luad_incl_mucinous	100	20	cldn4_mean	tnk_frac	9	-0.39999999999999997	0.286105101908313	T16	-0.19047619047619052	0.6514014957024814	False			False	False
author_tumor	luad_incl_mucinous	100	20	cldn4_pct0	tnk_frac	9	-0.6166666666666666	0.07692880993776312	T09	-0.4523809523809524	0.2604047674368853	False			False	False
author_tumor	luad_incl_mucinous	100	20	cldn4_pct1	tnk_frac	9	-0.5333333333333333	0.13922686754397814	T24	-0.3333333333333334	0.4197530864197532	False			False	False
author_tumor	luad_incl_mucinous	100	20	cldn4_mean	cd8_frac	9	-0.26666666666666666	0.48792227483870076	T16	0.0	1.0	False			False	False
author_tumor	luad_incl_mucinous	100	30	cldn4_mean	tnk_frac	9	-0.39999999999999997	0.286105101908313	T16	-0.19047619047619052	0.6514014957024814	False			False	False
author_tumor	luad_incl_mucinous	100	30	cldn4_pct0	tnk_frac	9	-0.6166666666666666	0.07692880993776312	T09	-0.4523809523809524	0.2604047674368853	False			False	False
author_tumor	luad_incl_mucinous	100	30	cldn4_pct1	tnk_frac	9	-0.5333333333333333	0.13922686754397814	T24	-0.3333333333333334	0.4197530864197532	False			False	False
author_tumor	luad_incl_mucinous	100	30	cldn4_mean	cd8_frac	9	-0.26666666666666666	0.48792227483870076	T16	0.0	1.0	False			False	False
author_tumor	luad_incl_mucinous	100	50	cldn4_mean	tnk_frac	9	-0.39999999999999997	0.286105101908313	T16	-0.19047619047619052	0.6514014957024814	False			False	False
author_tumor	luad_incl_mucinous	100	50	cldn4_pct0	tnk_frac	9	-0.6166666666666666	0.07692880993776312	T09	-0.4523809523809524	0.2604047674368853	False			False	False
author_tumor	luad_incl_mucinous	100	50	cldn4_pct1	tnk_frac	9	-0.5333333333333333	0.13922686754397814	T24	-0.3333333333333334	0.4197530864197532	False			False	False
author_tumor	luad_incl_mucinous	100	50	cldn4_mean	cd8_frac	9	-0.26666666666666666	0.48792227483870076	T16	0.0	1.0	False			False	False
author_tumor	luad_incl_mucinous	100	100	cldn4_mean	tnk_frac	9	-0.39999999999999997	0.286105101908313	T16	-0.19047619047619052	0.6514014957024814	False			False	False
author_tumor	luad_incl_mucinous	100	100	cldn4_pct0	tnk_frac	9	-0.6166666666666666	0.07692880993776312	T09	-0.4523809523809524	0.2604047674368853	False			False	False
author_tumor	luad_incl_mucinous	100	100	cldn4_pct1	tnk_frac	9	-0.5333333333333333	0.13922686754397814	T24	-0.3333333333333334	0.4197530864197532	False			False	False
author_tumor	luad_incl_mucinous	100	100	cldn4_mean	cd8_frac	9	-0.26666666666666666	0.48792227483870076	T16	0.0	1.0	False			False	False
author_tumor	luad_incl_mucinous	200	1	cldn4_mean	tnk_frac	8	-0.28571428571428575	0.49272624501695717	T16	0.07142857142857144	0.879048193148154	False			False	False
author_tumor	luad_incl_mucinous	200	1	cldn4_pct0	tnk_frac	8	-0.4523809523809524	0.2604047674368853	T24	-0.1785714285714286	0.7016579425162727	False			False	False
author_tumor	luad_incl_mucinous	200	1	cldn4_pct1	tnk_frac	8	-0.4761904761904762	0.23293553465009798	T24	-0.21428571428571433	0.6445115810207203	False			False	False
author_tumor	luad_incl_mucinous	200	1	cldn4_mean	cd8_frac	8	-0.09523809523809526	0.8225054302036114	T33	-0.10714285714285716	0.8191508555699912	False			False	False
