query	accession	title	organism	release_date	gene_mentioned
CLDN4 knockout	E-GEOD-22510	Conditional Dmrt1 knockout gene expression		2010-06-30	False
CLDN4 knockout	E-MTAB-9262	RNA-seq of wild-type, Gal-1 knockout, Gal-3 knockout and Gal-1/Gal-3 double knockout mouse embryonic stem cells (mESC) deprived of LIF for 7 days		2023-05-27	False
CLDN4 knockout	E-GEOD-46320	Global Gene Expression Profiling in wildtype and PAI-1 Knockout Murine Heart and Kidney.		2014-04-23	False
CLDN4 knockout	E-GEOD-34905	Differential gene expression caused by Dicer knockout in small intestine		2012-01-07	False
CLDN4 knockout	E-GEOD-1129	Rb knockout retinal explant comparison		2010-06-09	False
CLDN4 knockout	E-GEOD-49581	RNA-Seq characterization of select lincRNA knockout mouse models		2013-11-30	False
CLDN4 knockout	E-GEOD-24683	Dicer knockout mouse subcutaneous preadipocytes		2012-03-30	False
CLDN4 knockout	E-GEOD-34215	Knockout of GPx4 gene in mouse keratinocyte		2012-12-06	False
CLDN4 knockout	E-GEOD-10162	Transcription profiling of mouse Clcn5 knockout in proximal tubules of the kidney		2008-06-11	False
CLDN4 knockout	E-GEOD-58261	RNA sequencing (RNA-SEQ) of Dnmt1 and Dnmt3a conditional knockout mice		2014-07-31	False
CLDN4 knockout	E-GEOD-81577	Gene expression profiling of Eed knockout and Ezh2 knockout small intestinal crypts [ChIP-seq]		2016-07-01	False
CLDN4 knockout	E-GEOD-81576	Gene expression profiling of Eed knockout and Ezh2 knockout small intestinal crypts [RNA-seq]		2016-07-01	False
CLDN4 knockout	E-GEOD-6678	Transcription profiling of palmitoyl protein thioesterase-1 knockout mice		2008-06-15	False
CLDN4 knockout	E-GEOD-78205	Gene expression profiles in TICAM1 knockout and wild-type MEFs		2016-07-29	False
CLDN4 knockout	E-GEOD-7676	Transcription profiling of mouse protocadherin 12 knockout		2008-10-18	False
CLDN4 knockout	E-GEOD-81578	Gene expression profiling of Eed knockout and Ezh2 knockout small intestinal crypts		2016-07-01	False
CLDN4 knockout	E-MTAB-4412	Testing LPS induced gene expression in murine MEFs with different NFkB knockout		2016-06-27	False
CLDN4 knockout	E-GEOD-9809	Expression data from GNMT knockout mice		2008-12-01	False
CLDN4 knockout	E-GEOD-4950	Transcription profiling of mouse T-cells from wildtype and Gfi1 knockout mice		2009-08-07	False
CLDN4 knockout	E-GEOD-58863	Knockout PTTG1 HCT116 cells		2015-11-23	False
CLDN4 knockout	E-GEOD-4068	Transcription profiling of mouse ADNP knockout vs wild type		2008-06-12	False
CLDN4 knockout	E-GEOD-22117	Expression data from MRTFA-B double knockout brain		2010-06-16	False
CLDN4 knockout	E-MEXP-2096	Transcription profiling of mouse embryonic cells (E9.5) with homozygous knockout of Tbx1 compared to heterozygous Tbx1 knockout		2009-05-30	False
CLDN4 knockout	E-GEOD-16959	smRNAs in wildtype and RDR6-15 knockout Arabidopsis thaliana Col-0 leaf		2010-11-22	False
CLDN4 knockout	E-MTAB-10716	RNA-Seq of WT Flp-In T-REx 293, UPF3B knockout and UPF3A-UPF3B double knockout cell lines with additional siRNA-mediated control or UPF3B knockdowns		2022-04-25	False
CLDN4 knockout	E-MTAB-13685	A secondary, tailored CRISPR-Cas9 knockout library targeting the specified genes was identified through the TP53 knockout genome-wide screen		2025-12-13	False
claudin-4 siRNA	E-GEOD-38621	MCF7 Cells: Control siRNA -E2 vs. Control siRNA +E2, Control siRNA -E2 vs. PES1 siRNA -E2,Control siRNA -E2 vs. PES1 siRNA +E2		2012-06-09	False
claudin-4 siRNA	E-GEOD-60885	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity		2015-04-07	True
claudin-4 siRNA	E-MTAB-2684	RNA-seq of control siRNA, p150 siRNA and p60 siRNA transfected mES cells		2015-08-02	False
claudin-4 siRNA	E-GEOD-9361	siRNA knockdown in human HEK293 cells transfected with siRNA specific for StarPap or PIPKIalpha or control siRNA		2008-04-07	False
claudin-4 siRNA	E-GEOD-49693	Replication timing of siRNA control and siRNA PolQRKO cells		2014-06-19	False
claudin-4 siRNA	E-GEOD-67905	Expression data in HeLa cells treated with CENP-E siRNA or Eg5 siRNA in the presence of BubR1 siRNA		2015-06-25	False
claudin-4 siRNA	E-GEOD-34320	Analysis of 22G siRNA triggered siRNA amplification in Caenorhabditis elegans		2011-12-10	False
claudin-4 siRNA	E-GEOD-54146	human hTERT-RPE1 cell spheroid : Control siRNA transfected vs. YAP1 siRNA transfected		2015-02-01	False
claudin-4 siRNA	E-MTAB-5577	RNA-seq of HEK293T cells treated with control b-globin siRNA and Pat1b siRNA		2017-07-17	False
claudin-4 siRNA	E-GEOD-2222	Transcription profiling of human BT-20 cell line transfected with GFP siRNA or FoxM1 siRNA		2007-08-25	False
claudin-4 siRNA	E-GEOD-76704	Expression data from SHP specific siRNA or nonspecefic siRNA transfected rat astrocytes		2016-01-21	False
claudin-4 siRNA	E-GEOD-72485	Human pulmonary microvascular endothelial cells (HPMECs): Control siRNA vs HSP27 siRNA		2015-08-29	False
claudin-4 siRNA	E-GEOD-5481	BRAF siRNA NHGRI_Liang_BRAF		2013-07-07	False
claudin-4 siRNA	E-GEOD-15723	Gene profile in H1299 cells treated with PTD-DRBD GAPDH siRNA or treated with Lipofection GAPDH siRNA		2010-05-08	False
claudin-4 siRNA	E-GEOD-26888	Expression data from HeLa cells transiently transfected with control siRNA or SON siRNA		2011-04-01	False
claudin-4 siRNA	E-GEOD-50525	Expression data from control siRNA and M-NM-2-catenin siRNA transfected cultured mouse dermal cells		2013-09-03	False
claudin-4 siRNA	E-GEOD-6406	siRNA profiling of nu/nu after GFP targeted knockdown to examine off target effects of GFP siRNA		2008-06-14	False
claudin-4 siRNA	E-GEOD-52535	Determinants of heterochromatic siRNA biogenesis and function		2013-12-26	False
claudin-4 siRNA	E-MTAB-6675	Microarray analysis of human squamous cell lung cancer-H226 cells transfected with DDX56 siRNA and control siRNA		2019-07-01	False
claudin-4 siRNA	E-GEOD-35550	Analysis of 22G siRNA triggered siRNA amplification and 3' 2'-O-methylated small RNAs in Caenorhabditis elegans		2012-02-03	False
claudin-4 siRNA	E-GEOD-28230	Comparison of gene expression profiles of A549 cell treated with NRF2 siRNA and control siRNA		2011-04-01	False
claudin-4 siRNA	E-GEOD-10960	siRNA profiling of HeLa cells reveals strand-specific 5-O-methylation of siRNA duplexes controls guide strand selection and targeting specificity.		2008-06-11	False
claudin-4 siRNA	E-GEOD-43459	Gene expression profiling of lung cancer cells transfected with scrambled siRNA and siRNA targeting the ETS2 gene		2013-11-01	False
claudin-4 siRNA	E-MTAB-6676	miRNA microarray analysis of human squamous cell lung cancer cells-H226 transfected with DDX56 siRNA and control siRNA		2019-07-01	False
claudin-4 siRNA	E-GEOD-11132	22RV1 prostate cancer cell line transfected with SPINK1 siRNA vs control siRNA		2008-06-10	False
claudin-4 siRNA	E-MTAB-4299	Differential gene expression in Fosl1 siRNA vs Control siRNA treated murine pancreatic cancer cells		2016-12-23	False
claudin-4 siRNA	E-GEOD-8045	siRNA profiling of human A549 lung cancer cell line following siRNA mediated knock-down of ALDH1A1 and ALDH3A1		2008-11-13	False
claudin-4 siRNA	E-GEOD-41924	Global analysis of off-target genes by GAPDH siRNA		2013-10-03	False
claudin-4 siRNA	E-GEOD-29152	Lymph node stromal cells: Control siRNA treated vs. Eif4g3 siRNA treated		2011-08-31	False
claudin-4 siRNA	E-GEOD-66606	Gene expression profiling of Calu-6 lung cancer cells transfected with scrambled siRNA and LAPTM4B-specific siRNA		2016-08-01	False
claudin-4 siRNA	E-GEOD-52232	Effect of HDAC2 siRNA on HCC		2014-10-02	False
claudin-4 siRNA	E-GEOD-46054	Hela SPAG4 siRNA		2013-04-16	False
claudin-4 siRNA	E-GEOD-15481	siRNA of human MCF-7 cells		2009-12-19	False
claudin-4 siRNA	E-MTAB-15027	RNAseq of HUVECs transfected with siRNA targeting ABCB8 or a non-targeting control siRNA		2025-11-15	False
claudin-4 siRNA	E-GEOD-21216	Expression data from an ASCL1 siRNA experiment		2011-07-18	False
claudin-4 siRNA	E-GEOD-8871	siRNA profiling of human breast cancer cell lines: control vs. Fn14 or luciferase siRNA Treated		2008-06-16	False
claudin-4 siRNA	E-GEOD-35196	Transcriptional profiling comparing MiaPaCa2 pancreatic cancer cells transfected with S100PBP siRNA to MiaPaCa2 cells transfected with non-targeting control siRNA		2014-01-01	False
claudin-4 siRNA	E-GEOD-51486	Human K562 cells transfected with control or ETO2 siRNA		2014-10-01	False
claudin-4 siRNA	E-MTAB-12497	Nanopore RNA-seq of human osteosarcoma cell line U2OS treated with siRNA against MDC1, PLRG1, or control siRNA with or without pladienolide B		2023-01-11	False
claudin-4 siRNA	E-MEXP-3106	Transcription profiling by array of human osteosarcoma cell lines with FOXK2 depletion by siRNA Expression profiling of FOXK2 depletion by siRNA		2011-11-03	False
claudin-4 siRNA	E-MEXP-3712	Gene expression microarray analysis following siRNA knockdown of T-UC.300A		2012-10-14	False
claudin-4 siRNA	E-GEOD-7102	siRNA knockdown of Sp3 in human		2008-04-07	False
claudin-4 siRNA	E-GEOD-69083	Replication timing of control and siRNA PR-set7 cells		2016-07-01	False
claudin-4 siRNA	E-GEOD-15482	The effect of PPARa siRNA on endothelial cells treated with fenofibrate		2009-08-24	False
claudin-4 siRNA	E-MTAB-6394	mRNA-seq of human cells lines derived from Papillary thyroid carcinoma (TPC1) transfected with siRNA against BHLHE40 (DEC1) or with scramble control siRNA		2018-09-03	False
claudin-4 siRNA	E-GEOD-33820	Gene Expression Analyisis of T-ALL LOUCY cell lines treated with ETV6 siRNA vs. scramble control siRNA		2011-11-24	False
claudin-4 siRNA	E-MTAB-11296	Transcriptome analysis of human, IPSC-derived cardiomyocytes transfected with siRNA against frataxin vs cells transfect with control siRNA.		2022-11-02	False
claudin-4 siRNA	E-GEOD-62974	RNA sequencing (RNA-SEQ) of EPAS1 knockdown by siRNA in endothelial cells		2015-01-16	False
claudin-4 siRNA	E-MTAB-14313	Total RNA-seq upon degradation of OGT by siRNA		2024-08-31	False
claudin-4 siRNA	E-GEOD-11914	siRNA profiling of human LNCaP cells transfected with SOX4 cDNA, SOX4 siRNA or GFP cDNA		2008-11-14	False
TACSTD2 knockdown	E-GEOD-55261	3C-seq of HT29 cells with CCAT1-L knockdown or scramble knockdown		2014-02-22	False
TACSTD2 knockdown	E-MTAB-7199	RNAseq analysis of IKKbeta knockdown EDC4 knockdown irradiated and untreated		2018-10-29	False
TACSTD2 knockdown	E-MTAB-419	Knockdown of PAPGEF3-antisense transcript		2010-11-03	False
TACSTD2 knockdown	E-MTAB-1966	fly brm knockdown RNA-seq		2014-05-08	False
TACSTD2 knockdown	E-GEOD-26856	Gene expression profile of H1.5 knockdown and SIRT1 knockdown IMR90 cells versus control cells		2012-09-18	False
TACSTD2 knockdown	E-GEOD-34512	PBEF Knockdown in HMVEC-LBI		2013-01-01	False
TACSTD2 knockdown	E-MTAB-2207	setdb2 knockdown microarray		2014-06-20	False
TACSTD2 knockdown	E-GEOD-67594	EIF3B knockdown		2015-04-07	False
TACSTD2 knockdown	E-GEOD-52508	Knockdown of EI24 in ZR-75-1 cells		2013-11-20	False
TACSTD2 knockdown	E-MTAB-7791	mRNA-seq for HCT116 Parental and ARID1A knockdown cells, mRNA-seq for DLD1 Parental, ARID1A knockdown and ARID1A knockout cells, mRNA-seq for COLO320DM Parental and ARID1A knockdown and ARID1A knockout cells		2019-06-11	False
TACSTD2 knockdown	E-MTAB-10235	Ribo-seq of iPSC-derived neurons with TDP-43 knockdown		2022-02-28	False
TACSTD2 knockdown	E-GEOD-53240	Knockdown of BmSoxE gene in silkworm BmN4-SID1 cells		2014-06-28	False
TACSTD2 knockdown	E-GEOD-54625	Polysomes from DENR knockdown cells		2014-06-30	False
TACSTD2 knockdown	E-GEOD-22795	PRDM14 Knockdown in human embryonic stem cells		2010-10-20	False
TACSTD2 knockdown	E-GEOD-75060	Knockdown of Polyhomeotic in Drosophila Kc cells		2015-11-20	False
TACSTD2 knockdown	E-MTAB-16073	RNA-seq of HSPA8 knockdown in MDA-MB-468 cells		2025-11-13	False
TACSTD2 knockdown	E-MTAB-1967	fly brm knockdown MNase-seq		2014-05-08	False
TACSTD2 knockdown	E-GEOD-29778	HuR (ELAVL1) RIP-chip and knockdown exon array		2011-08-18	False
TACSTD2 knockdown	E-GEOD-66172	Effects of Firre knockdown on mouse gene expression		2015-03-05	False
TACSTD2 knockdown	E-GEOD-66719	SF3B1 Degron knockdown RNA-seq		2015-03-11	False
TACSTD2 knockdown	E-GEOD-46904	Gene expression profiles of EZH2 knockdown		2013-10-28	False
TACSTD2 knockdown	E-GEOD-38333	Genome-wide effects of Pbcas4 knockdown		2012-05-30	False
TACSTD2 knockdown	E-GEOD-37684	Expression analysis of genes responding to ARID1A knockdown		2012-05-01	False
TACSTD2 knockdown	E-GEOD-65233	The effect of THADA knockdown on Huh7 cells		2015-08-01	False
TACSTD2 knockdown	E-MTAB-6564	RNA-Seq of control, RNPS1 knockdown and rescue in HeLa cells		2018-11-01	False
TACSTD2 knockdown	E-GEOD-57740	Effect of CHADL knockdown in ATDC cells		2014-07-31	False
TACSTD2 knockdown	E-GEOD-63231	MCT4 knockdown in pancreatic cancer cells		2014-12-17	False
TACSTD2 knockdown	E-GEOD-68869	Knockdown of CUL3 and PTEN in A549 lung adenocarcinoma cells		2015-05-15	False
TACSTD2 knockdown	E-GEOD-7102	siRNA knockdown of Sp3 in human		2008-04-07	False
TACSTD2 knockdown	E-GEOD-38786	Id2a knockdown in zebrafish retina		2012-08-27	False
TACSTD2 knockdown	E-GEOD-21135	OCT4 Knockdown in human embryonic stem cells		2010-04-13	False
TACSTD2 knockdown	E-GEOD-43180	Effects of FSH knockdown on gene expression		2013-02-06	False
TACSTD2 knockdown	E-MTAB-15911	RNA-seq of SNRPB2 knockdown in MDA-MB-231 cells		2026-01-06	False
TACSTD2 knockdown	E-GEOD-66404	The effect of FOXO3 knockdown and PDHA1 knockdown on PDAC cell line Panc-1		2016-09-01	False
TACSTD2 knockdown	E-GEOD-2327	siRNA profiling of human HUVEC cells after WTAP knockdown		2008-06-12	False
TACSTD2 knockdown	E-MTAB-7393	mRNA-seq of HCT116 USP22 knockdown cells		2019-10-26	False
TACSTD2 knockdown	E-MTAB-8247	mRNA-seq of MCF10A USP22 knockdown cells		2019-12-06	False
TACSTD2 knockdown	E-GEOD-45953	PHF6 knockdown in rat cortical neurons		2013-08-01	False
TACSTD2 knockdown	E-GEOD-58797	H2A.Z knockdown RNAseq		2014-09-09	False
TACSTD2 knockdown	E-GEOD-54157	Expression changes induced by PTPN1 knockdown in KM-H2 cells		2014-01-17	False
TACSTD2 knockdown	E-MTAB-1833	Transcription profiling : Stable knockdown CUX1 knockdown in LOUCY cells lines		2013-11-05	False
TACSTD2 knockdown	E-GEOD-10241	A Global Genomic View of MIF Knockdown Cell		2009-11-02	False
TACSTD2 knockdown	E-GEOD-56102	siRNA-mediated knockdown of VAMP7 in NTERA2/D1 cells		2014-06-01	False
TACSTD2 knockdown	E-GEOD-28546	Molecular characterization of immortalization of human MSCs by a combination of p53 knockdown and TERT overexpression		2011-04-13	False
TACSTD2 knockdown	E-GEOD-26716	Analysis of gene expression in QKI knockdown CG-4 cells		2011-01-20	False
TACSTD2 knockdown	E-GEOD-24345	UC San Diego_Friedmann_Kang_Human fibroblast knockdown		2010-09-25	False
TACSTD2 knockdown	E-MTAB-6008	Transcriptome profiling of radiation-transformed breast cells after TRPS1 siRNA knockdown.		2017-10-01	False
TACSTD2 knockdown	E-GEOD-72367	ATAC-sequencing in control and Stag2 knockdown cells		2015-09-16	False
TACSTD2 knockdown	E-GEOD-13449	RNAi profiling of human MCF-7 cells depleted for NAMPT knockdown		2009-06-08	False
TACSTD2 knockdown	E-GEOD-38100	Examination of gene expression in wild type and USP49 knockdown cells [RNA-Seq]		2013-07-28	False
TACSTD2 knockout	E-MTAB-109	Transcription profiling of yeast transcription factor knockout compendium		2010-03-22	False
TACSTD2 knockout	E-GEOD-58373	Gene expression profile of Tfh cells and aged CD4 T cells from wild type, miR-155 knockout, miR-146a knockout and double knockout mice		2014-12-09	False
TACSTD2 knockout	E-MTAB-11124	Heart RNA-seq of control mice and mice with titin PEVK domain knockout, Rbm20 RNA recognition motif knockout, or double knockout		2023-11-30	False
TACSTD2 knockout	E-GEOD-69681	Gene expression analysis of rel knockout and dcpA knockout strains of Mycobacterium smegmatis MC2 155		2015-06-10	False
TACSTD2 knockout	E-GEOD-51217	TALEN-based knockout of mir-141 and mir-200c in SK-BR-3 cells		2013-09-27	False
TACSTD2 knockout	E-GEOD-42991	Gene expression profiles of Tet1 knockout (T1KO), Tet2 knockout (T2KO) and Tet1/Tet2 double knockout (DKO) mouse embryonic stem cells.		2013-02-01	False
TACSTD2 knockout	E-GEOD-52551	M. tuberculosis Rv3263 Knockout		2013-11-21	False
TACSTD2 knockout	E-GEOD-24816	Transcriptional changes in Sohlh1 knockout and Sohlh2 knockout mouse newborn ovaries		2010-10-22	False
TACSTD2 knockout	E-MTAB-13425	Comparative RNA-seq Analysis of Slc38a8 (SNAT8) knockout mouse: Evaluating the Impact of the gene knockout on biological pathways		2024-12-31	False
TACSTD2 knockout	E-GEOD-37076	Lamin and Lamin B receptor knockout		2013-01-28	False
TACSTD2 knockout	E-MTAB-2147	Transcription profiling of wild type, gis1 knockout, rph1 knockout, gis1rph1 double knockout, rph1-H235A mutant and gis1 knockout/rph1-H235A mutant yeast at different growth phases		2014-08-27	False
TACSTD2 knockout	E-GEOD-57043	Dicer knockout NSCLC RNAseq and miRseq		2014-04-25	False
TACSTD2 knockout	E-GEOD-66862	Eed conditional knockout in chondrocytes		2015-11-01	False
TACSTD2 knockout	E-GEOD-55394	mCasz1_conditional knockout		2015-05-15	False
TACSTD2 knockout	E-GEOD-39813	Gene expression changes in testes from Abcg8 knockout mice compared to wild-type mice or to Abcg8 knockout mice where plant sterol entry was blocked by ezetimibe		2012-08-01	False
TACSTD2 knockout	E-GEOD-72248	Expression data from the aortas of ApoE knockout, ApoE/Caspase-1 double knockout, and wild-type mice		2015-08-21	False
TACSTD2 knockout	E-GEOD-6310	Brain BRCA1 conditional knockout		2011-09-07	False
TACSTD2 knockout	E-GEOD-47349	Expression data of gene knockout Plasmodium falciparum clones		2013-05-25	False
TACSTD2 knockout	E-GEOD-10848	Transcription profiling of mouse caveolin-3 knockout hearts		2009-03-15	False
TACSTD2 knockout	E-GEOD-5841	Differential gene expression in mouse skNAC knockout heart at E11.5		2010-11-19	False
TACSTD2 knockout	E-GEOD-55080	Prdm16 Knockout Brown Adipose Tissue		2014-04-09	False
TACSTD2 knockout	E-GEOD-46646	IQGAP2 knockout model of hepatocellular carcinoma		2013-12-13	False
TACSTD2 knockout	E-MTAB-3662	Pilot KOMP knockout mouse strains		2015-12-28	False
TACSTD2 knockout	E-GEOD-22510	Conditional Dmrt1 knockout gene expression		2010-06-30	False
