Feature_name	baseMean	log2FC_KO_vs_WT	lfcSE	deseq2_stat	p_deseq2	q_deseq2_BH	n_KO	n_WT
MT-CO1	2383.79	-0.777725	0.169462	-4.58644	4.50872e-06	0.000719403	4	3
MAMDC4	5.67771	2.19596	0.418492	4.58599	4.51849e-06		4	3
SFT2D2	46.8552	-1.14723	0.250104	-4.58407	4.56002e-06	0.000719403	4	3
SELENOW	1600.34	0.592779	0.12912	4.57332	4.80049e-06	0.000747504	4	3
KMT5C	96.7888	0.939843	0.20343	4.5686	4.91002e-06	0.000754758	4	3
PLK2	365.414	1.39813	0.30304	4.52967	5.90752e-06	0.000896597	4	3
STAG2	320.306	-0.759633	0.16777	-4.52536	6.02925e-06	0.000903634	4	3
ACSM3	21.2172	-1.62711	0.354746	-4.51954	6.19746e-06	0.000917377	4	3
ABHD11	157.492	0.677739	0.148726	4.5043	6.65916e-06	0.0009737	4	3
NXF1	142.059	0.875563	0.193779	4.49821	6.85279e-06	0.000989939	4	3
FAM189B	103.637	-0.807156	0.179811	-4.48565	7.26927e-06	0.0010376	4	3
NFIA	1142.19	-0.883123	0.196236	-4.48043	7.44919e-06	0.00104147	4	3
PRRC2C	919.174	-0.487943	0.108902	-4.47838	7.52125e-06	0.00104147	4	3
ZBTB20	121.692	-1.1899	0.264168	-4.47737	7.55697e-06	0.00104147	4	3
ZNF692	61.3432	1.19402	0.263199	4.47265	7.7258e-06	0.00105264	4	3
APOD	97.6982	-1.84301	0.416298	-4.46415	8.03868e-06	0.00107473	4	3
SEC31B	9.4898	2.22023	0.408569	4.46339	8.06722e-06	0.00107473	4	3
CDK5RAP2	229.605	0.598808	0.134532	4.45973	8.2064e-06	0.00108126	4	3
SERINC3	428.458	-0.473438	0.106165	-4.45453	8.40791e-06	0.00109577	4	3
MT-ND5	6072.37	-0.816102	0.183178	-4.45142	8.53033e-06	0.00109977	4	3
YWHAB	1898.86	-0.44334	0.099657	-4.44161	8.92877e-06	0.00113889	4	3
MT-ND2	21160.2	-0.728387	0.164129	-4.43458	9.22539e-06	0.00116434	4	3
ING5	65.3879	1.01262	0.227187	4.42289	9.73894e-06	0.00121635	4	3
ISG15	201.183	1.44017	0.337342	4.41783	9.96962e-06	0.00123233	4	3
ATG16L2	38.5228	1.65633	0.358221	4.41307	1.01917e-05	0.00124693	4	3
STK36	76.4087	1.12917	0.251642	4.40896	1.03871e-05	0.00125099	4	3
ARHGEF16	32.7462	1.34726	0.295046	4.40789	1.04381e-05	0.00125099	4	3
ENDOG	147.076	1.0127	0.230694	4.40515	1.05712e-05	0.00125099	4	3
MT-ND4	26604.1	-0.737071	0.167499	-4.40185	1.07334e-05	0.00125099	4	3
NDUFS8	126.384	0.761542	0.173766	4.40158	1.07466e-05	0.00125099	4	3
KIAA1147	36.4129	-1.06281	0.24201	-4.39486	1.10843e-05	0.00127789	4	3
TNRC6B	270.678	-0.722928	0.164519	-4.38587	1.15524e-05	0.00131918	4	3
SERPINA5	17.943	-1.87922	0.41243	-4.36579	1.26667e-05	0.00143277	4	3
NRBP2	43.6845	1.3788	0.305819	4.36245	1.28615e-05	0.00144121	4	3
ANKRD49	141.197	0.749206	0.171675	4.34901	1.36752e-05	0.00151821	4	3
ATG4B	73.8838	0.820464	0.186783	4.34106	1.41797e-05	0.00155977	4	3
ARF3	525.013	-0.478739	0.110574	-4.32609	1.5178e-05	0.00165441	4	3
WDR3	86.4037	-0.801693	0.185148	-4.31916	1.56624e-05	0.00167672	4	3
CREB3	79.1537	0.952534	0.21959	4.31505	1.59569e-05	0.00168381	4	3
TWF1	293.227	-0.575915	0.13332	-4.31432	1.60095e-05	0.00168381	4	3
MT-ND3	5061.38	-0.860062	0.199457	-4.30771	1.64957e-05	0.00168768	4	3
SPG7	273.502	0.832901	0.192773	4.30619	1.66094e-05	0.00168768	4	3
MUS81	54.7393	0.976255	0.225821	4.29736	1.72843e-05	0.00173759	4	3
PCED1A	239.452	0.832817	0.192852	4.29566	1.74176e-05	0.00173759	4	3
CNOT7	242.293	-0.663016	0.154624	-4.29416	1.75353e-05	0.00173759	4	3
HSPA14	185.311	0.831187	0.193067	4.28089	1.8615e-05	0.00182946	4	3
SMARCC1	539.239	-0.571406	0.133656	-4.27183	1.93877e-05	0.0018899	4	3
FANCL	79.9178	0.887887	0.206056	4.25561	2.08483e-05	0.00200791	4	3
RPL29	128.353	-0.697139	0.163572	-4.25291	2.11006e-05	0.00200791	4	3
MT-ATP6	12765.7	-0.829063	0.194356	-4.25077	2.13034e-05	0.00201124	4	3
HIPK2	184.043	-0.734838	0.173105	-4.24768	2.16e-05	0.00202331	4	3
SEC61G	190.023	-0.551878	0.131121	-4.21623	2.48424e-05	0.00229123	4	3
TEX13C	4.50577	-2.10334	0.427105	-4.18609	2.838e-05		4	3
CSTF2T	81.7486	-0.812039	0.193205	-4.1828	2.87943e-05	0.00262593	4	3
HES4	37.6238	1.27111	0.30252	4.18189	2.89093e-05	0.00262593	4	3
TMEM184A	56.6821	1.04152	0.242772	4.16023	3.17927e-05	0.00286612	4	3
PLXNA3	25.4765	1.39253	0.318106	4.15786	3.2124e-05	0.00287438	4	3
RABL2B	215.972	1.03281	0.249	4.13716	3.51636e-05	0.00310008	4	3
ZNF799	23.8969	1.34914	0.315847	4.13323	3.57708e-05	0.00312026	4	3
FCHSD1	71.2268	1.17508	0.283856	4.13231	3.5913e-05	0.00312026	4	3
VAMP7	28.6043	-1.15283	0.27878	-4.1251	3.7058e-05	0.00319659	4	3
QARS	60.7016	-0.960045	0.232676	-4.12289	3.74143e-05	0.00320427	4	3
MON1B	175.948	-0.740836	0.179669	-4.11885	3.80763e-05	0.00323783	4	3
MT-ND6	359.646	0.663809	0.162006	4.09918	4.14622e-05	0.00347645	4	3
NAP1L1	1279.09	-0.515385	0.126086	-4.08018	4.50011e-05	0.00372127	4	3
PCNT	144.406	0.835972	0.204706	4.07998	4.50402e-05	0.00372127	4	3
TRIM66	57.9837	1.24513	0.300956	4.07767	4.54901e-05	0.00372127	4	3
ATP5I	379.564	0.500671	0.122808	4.07698	4.56236e-05	0.00372127	4	3
CRACR2B	214.128	1.0968	0.270424	4.07087	4.68374e-05	0.00379446	4	3
VPS37C	311.301	0.575416	0.140977	4.06484	4.80661e-05	0.00386438	4	3
RGS5__ENSG00000143248	43.7323	-1.75967	0.405302	-4.06349	4.83451e-05	0.00386438	4	3
EXTL3	62.8287	-0.876554	0.216269	-4.05763	4.95723e-05	0.00393624	4	3
TIA1	114.775	0.945648	0.232093	4.0552	5.00921e-05	0.00395135	4	3
NUP85	184.818	0.746142	0.183764	4.03919	5.3637e-05	0.00416446	4	3
AEBP2	67.2502	-0.913981	0.225663	-4.03832	5.38358e-05	0.00416446	4	3
TUBB6	151.621	0.791355	0.195977	4.03299	5.50728e-05	0.00420717	4	3
IMPDH2	158.405	-1.00684	0.248325	-4.03291	5.50897e-05	0.00420717	4	3
POLR3D	90.7101	-0.729985	0.181046	-4.02696	5.65037e-05	0.00428784	4	3
BLVRB	221.867	0.877748	0.215589	4.02491	5.69979e-05	0.00429815	4	3
ATF6	158.639	-0.606124	0.150898	-4.00836	6.1142e-05	0.00458183	4	3
KLK11	15.292	-1.7163	0.407474	-4.00193	6.28277e-05	0.00465111	4	3
NAXE	254.366	-0.527053	0.131382	-4.00188	6.28423e-05	0.00465111	4	3
RAB25	235.495	-0.560799	0.140447	-3.99287	6.52788e-05	0.0048018	4	3
LRSAM1	70.2709	0.877201	0.22006	3.97827	6.94198e-05	0.00506105	4	3
HOOK2	88.7127	0.754217	0.188773	3.97653	6.99295e-05	0.00506105	4	3
KLHDC3	67.2545	-0.912353	0.229238	-3.97605	7.00696e-05	0.00506105	4	3
ICA1	194.496	0.589976	0.147442	3.96525	7.33194e-05	0.00526407	4	3
ELOVL4	11.1084	-1.56198	0.387567	-3.96075	7.47152e-05	0.00533235	4	3
HACD2	239.991	-0.673243	0.169719	-3.95836	7.54658e-05	0.00535406	4	3
SLC12A7	67.3968	1.11536	0.280066	3.95302	7.71703e-05	0.00544278	4	3
PLPP5	210.842	0.718819	0.181073	3.94972	7.82415e-05	0.00548606	4	3
GDAP1	48.82	-0.922417	0.233643	-3.9415	8.09739e-05	0.00564463	4	3
S100A4	146.923	-1.19279	0.297118	-3.93836	8.20418e-05	0.00566928	4	3
ANKRD10	48.1472	1.12992	0.286041	3.93768	8.22732e-05	0.00566928	4	3
HNRNPH3	297.999	0.565929	0.144074	3.92528	8.66284e-05	0.00590625	4	3
STK25	153.881	0.665156	0.168876	3.92509	8.66973e-05	0.00590625	4	3
RMDN3	155.833	0.587203	0.148988	3.90956	9.24646e-05	0.00623228	4	3
ANKRD18A	52.9499	0.963833	0.24725	3.90941	9.25226e-05	0.00623228	4	3
FZD3	120.297	-0.67758	0.173659	-3.90166	9.55365e-05	0.00639934	4	3
FMO1	7.30298	-1.7229	0.413618	-3.89595	9.78134e-05	0.00651546	4	3
PRKAG1	897.862	-0.463836	0.119034	-3.89337	9.88593e-05	0.00652816	4	3
NRIP1	84.2791	-0.757275	0.194604	-3.89026	0.000100136	0.00656084	4	3
SLTM	673.163	0.412001	0.105897	3.88617	0.000101837	0.0065745	4	3
ORAOV1	42.0837	1.03092	0.261487	3.88609	0.000101872	0.0065745	4	3
RPS2	374.041	-0.95606	0.246401	-3.88457	0.000102511	0.0065745	4	3
ERGIC1	750.986	-0.715299	0.185022	-3.88161	0.000103768	0.00661795	4	3
TPT1	284.956	-0.694767	0.179629	-3.87948	0.000104681	0.00664085	4	3
GLMP	65.4261	-0.960545	0.245903	-3.87724	0.00010565	0.00666707	4	3
ZBTB8A	34.3009	1.07354	0.273659	3.87115	0.000108324	0.0067785	4	3
UHMK1	460.798	-0.591576	0.152946	-3.87065	0.000108546	0.0067785	4	3
NR1D1	55.4104	-1.35088	0.34775	-3.86833	0.000109581	0.00680768	4	3
AUP1	368.062	0.55042	0.141938	3.86674	0.000110299	0.00681207	4	3
IFI44	62.4819	1.37171	0.3694	3.86566	0.000110788	0.00681207	4	3
ARHGAP5	269.048	-0.593642	0.153452	-3.86411	0.000111493	0.00682041	4	3
ATPIF1	1599.75	0.662446	0.171723	3.85189	0.00011721	0.00709772	4	3
MAGEB2	4.88983	-1.85646	0.425526	-3.84591	0.000120104		4	3
RAB32	154.941	1.14808	0.296508	3.83641	0.000124844	0.007522	4	3
ZNF784	33.5887	0.994971	0.253555	3.83046	0.000127903	0.00757342	4	3
EMC10	242.268	0.473914	0.123859	3.83045	0.00012791	0.00757342	4	3
CCDC84	63.7072	0.8948	0.235233	3.82921	0.000128556	0.00757342	4	3
KIFC2	77.2096	1.31082	0.334367	3.82909	0.00012862	0.00757342	4	3
KIF3B	144.526	-0.732008	0.190707	-3.82864	0.000128855	0.00757342	4	3
TOMM40L	72.8434	-0.712605	0.186612	-3.82114	0.000132838	0.00771617	4	3
KPNA1	153.472	-0.698079	0.182772	-3.82005	0.000133425	0.00771617	4	3
BRD9	214.738	0.744609	0.195961	3.81994	0.000133483	0.00771617	4	3
EIF3G	64.7293	-0.81741	0.212733	-3.81925	0.000133858	0.00771617	4	3
SULT1A1	49.0519	0.875323	0.226488	3.81524	0.00013605	0.00780495	4	3
ARID2	196.215	-0.45923	0.120564	-3.81204	0.000137827	0.00786928	4	3
TSTD2	23.1852	1.15609	0.293877	3.80969	0.000139143	0.00790673	4	3
ATF4	921.019	0.794758	0.20814	3.80335	0.000142752	0.00807359	4	3
KIAA0907	123.492	0.756752	0.198143	3.79988	0.000144768	0.00814916	4	3
NDN	307.948	-1.02446	0.265449	-3.79711	0.000146391	0.00820199	4	3
C7orf73	83.7521	-0.702296	0.18572	-3.78612	0.000153018	0.00849281	4	3
ZNF148	354.52	-0.662686	0.174926	-3.78585	0.000153184	0.00849281	4	3
SUPT7L	51.3197	0.924995	0.243632	3.785	0.000153706	0.00849281	4	3
RABL2A	48.4757	1.07158	0.27492	3.77654	0.00015902	0.00870358	4	3
TAZ	43.3258	0.93969	0.241367	3.77548	0.000159699	0.00870358	4	3
ORMDL1	49.4347	0.961653	0.252089	3.77431	0.000160453	0.00870515	4	3
GALC	60.0214	-0.937178	0.248108	-3.76853	0.000164213	0.00886897	4	3
TNK2	125.966	0.854774	0.22552	3.76483	0.000166661	0.00896081	4	3
MED23	55.0226	1.31605	0.341785	3.76355	0.000167517	0.00896391	4	3
DDX31	44.9845	1.13787	0.30306	3.76251	0.000168213	0.00896391	4	3
APH1A	2458.18	-0.511143	0.136129	-3.75841	0.000170996	0.00907187	4	3
QPCT	9.80111	-1.48582	0.388088	-3.75625	0.000172479	0.00911025	4	3
CCDC28B	66.7176	-1.10348	0.288983	-3.7533	0.000174521	0.00917767	4	3
ZMIZ2	59.8618	0.86028	0.226417	3.74898	0.000177553	0.00929632	4	3
FAM171A1	8.9486	-1.59266	0.420486	-3.74351	0.00018147	0.0094601	4	3
IFRD2	49.6785	-0.889744	0.238706	-3.73718	0.000186093	0.00965912	4	3
DNAJC15	103.315	0.738979	0.199962	3.72829	0.000192785	0.00996333	4	3
UAP1L1	66.4764	0.918844	0.24148	3.72175	0.000197849	0.0101811	4	3
SLC27A3	34.8213	1.11011	0.294602	3.7187	0.000200249	0.0102606	4	3
ACOT9	60.433	0.977949	0.261844	3.71715	0.000201482	0.0102799	4	3
RABGAP1	314.074	0.536908	0.145024	3.70492	0.000211454	0.0107429	4	3
GATD1	89.121	0.758891	0.203295	3.70331	0.000212803	0.0107659	4	3
SLC39A8	33.2448	-1.43235	0.38079	-3.70012	0.0002155	0.0108565	4	3
PCMT1	170.726	0.820156	0.219701	3.6944	0.000220407	0.0110123	4	3
FNBP4	197.738	0.706618	0.19259	3.69303	0.000221597	0.0110123	4	3
COL9A2	14.15	1.46823	0.378491	3.69264	0.000221935	0.0110123	4	3
AHSA2	32.4175	1.28776	0.338152	3.69226	0.000222266	0.0110123	4	3
JMJD8	172.554	-0.588983	0.160003	-3.68669	0.000227185	0.0112097	4	3
RPS20	1547.05	-0.431192	0.11731	-3.68363	0.000229937	0.0112989	4	3
ZNF503	210.771	-0.990737	0.26772	-3.68064	0.00023265	0.0113856	4	3
ASH1L	288.469	-0.653181	0.177392	-3.67703	0.000235964	0.0113917	4	3
MRPL24	29.026	-1.06427	0.287485	-3.67693	0.000236054	0.0113917	4	3
ARL6IP5	147.165	-0.756283	0.205373	-3.6756	0.000237291	0.0113917	4	3
CACFD1	108.003	0.811327	0.217101	3.67553	0.000237359	0.0113917	4	3
NOP14	86.3052	0.799467	0.218978	3.67277	0.000239939	0.0114617	4	3
CDC42SE2	125.943	-0.599728	0.163422	-3.66942	0.000243099	0.0114847	4	3
CCNL1	216.448	0.88943	0.243947	3.66922	0.000243295	0.0114847	4	3
ARNT	49.4506	-0.817916	0.222939	-3.66306	0.000249218	0.0117181	4	3
TMEM268	214.353	0.670364	0.182625	3.65844	0.000253754	0.0118848	4	3
MZF1	73.1571	0.883466	0.242199	3.65428	0.000257901	0.012032	4	3
VPS28	965.759	0.537264	0.146261	3.64613	0.000266217	0.0122871	4	3
RFC4	313.629	0.774287	0.211828	3.64591	0.000266443	0.0122871	4	3
PARP6	27.0952	1.04831	0.28127	3.64248	0.000270027	0.0124047	4	3
PCBP2	1434.81	-0.398319	0.109493	-3.63965	0.000273004	0.0124936	4	3
OFD1	177.372	0.641535	0.176096	3.63256	0.000280622	0.0127126	4	3
PAQR6	58.5355	1.19316	0.320359	3.63229	0.000280918	0.0127126	4	3
C20orf96	47.4185	1.16423	0.318912	3.6316	0.000281666	0.0127126	4	3
TMBIM6	1249.74	-0.542528	0.149357	-3.63127	0.00028203	0.0127126	4	3
SLC20A1	86.6986	0.802177	0.221096	3.6262	0.000287621	0.012916	4	3
ACAT2	51.6924	0.875601	0.243573	3.62379	0.00029032	0.0129886	4	3
GRINA	814.51	0.563992	0.155225	3.6099	0.000306319	0.0136534	4	3
POLR1B	81.6867	-0.790563	0.217585	-3.60661	0.000310226	0.0137763	4	3
EIF2D	43.3304	1.02661	0.282854	3.60364	0.000313792	0.0138833	4	3
MT-CO3	26312.3	-0.669443	0.185804	-3.60107	0.000316911	0.0139697	4	3
SDHC	82.3651	-0.738853	0.205972	-3.59243	0.000327614	0.0143675	4	3
PABPC1	3268.75	-0.47785	0.133592	-3.59186	0.000328331	0.0143675	4	3
PCID2	218.316	0.634871	0.177096	3.58985	0.000330872	0.014426	4	3
HNRNPH1	283.009	0.640352	0.17862	3.58817	0.000333012	0.0144667	4	3
SELENOS	123.322	0.635824	0.176798	3.57996	0.000343647	0.0148748	4	3
DMXL2	73.8088	0.814204	0.224772	3.57746	0.000346955	0.014964	4	3
GNPAT	136.611	0.545027	0.15208	3.57343	0.00035234	0.0151418	4	3
MRPL9	74.2497	-0.840621	0.234361	-3.57196	0.000354313	0.0151722	4	3
ABCA7	16.9274	1.37671	0.388354	3.56876	0.000358678	0.0153044	4	3
FAM20C	61.5411	1.06729	0.300806	3.56493	0.000363958	0.0154747	4	3
TUBGCP2	45.3052	0.932836	0.261757	3.55917	0.000372027	0.0157609	4	3
IVNS1ABP	142.685	0.677013	0.191302	3.55826	0.000373319	0.0157609	4	3
IGDCC3	7.43866	1.68518	0.406379	3.55729	0.000374707	0.015764	4	3
EML2	473.601	0.672383	0.188187	3.55579	0.00037684	0.0157983	4	3
GOLGA2	658.44	0.601118	0.169281	3.54682	0.000389914	0.0162894	4	3
GRB14	18.966	-1.40075	0.387596	-3.54563	0.00039168	0.0163064	4	3
MBOAT2	134.052	0.808375	0.225969	3.54114	0.000398396	0.0165286	4	3
ACSL1	27.8217	-1.24798	0.352648	-3.53923	0.000401294	0.0165914	4	3
NEIL1	14.3366	1.40015	0.381237	3.53595	0.00040631	0.0166955	4	3
MLXIPL	90.3034	1.14054	0.310356	3.53539	0.000407177	0.0166955	4	3
TTC9	125.69	0.632481	0.175897	3.53486	0.000407988	0.0166955	4	3
LPIN3	34.3837	1.12624	0.314454	3.53213	0.000412228	0.0168116	4	3
LUC7L3	1078.72	0.516701	0.146883	3.52693	0.000420404	0.0170287	4	3
RPF2	129.939	-0.6505	0.183463	-3.52674	0.000420708	0.0170287	4	3
COG4	159.274	0.71738	0.204391	3.52602	0.000421858	0.0170287	4	3
KIAA0895L	24.6602	1.16933	0.333158	3.52516	0.000423232	0.0170287	4	3
SLC31A1	164.146	0.570509	0.16088	3.5217	0.000428788	0.0171945	4	3
KIF1C	502.68	0.603681	0.171235	3.51529	0.000439272	0.0175562	4	3
ZNF738	39.0401	0.996786	0.279203	3.51437	0.000440791	0.0175584	4	3
POLM	37.0326	1.10165	0.306503	3.50659	0.000453895	0.0179523	4	3
REXO5	68.1938	0.848754	0.23811	3.50579	0.000455251	0.0179523	4	3
TSPOAP1	19.2841	1.2568	0.333986	3.50338	0.0004594	0.0179523	4	3
BBX	427.335	-0.550729	0.156678	-3.50322	0.000459663	0.0179523	4	3
TNKS	46.9454	-0.820477	0.234379	-3.49351	0.000476711	0.0184976	4	3
TAOK1	280.247	-0.510859	0.146096	-3.48991	0.00048319	0.0186304	4	3
RNF187	734.738	0.528457	0.151107	3.48988	0.00048324	0.0186304	4	3
ZMAT3	123.021	-0.684501	0.195941	-3.48048	0.000500512	0.0192344	4	3
SF3B6	93.7586	-0.761313	0.217693	-3.47834	0.00050452	0.0193265	4	3
LRRC14	31.1464	1.12901	0.313553	3.47686	0.000507313	0.0193716	4	3
NRXN1	11.0774	-1.44293	0.416261	-3.47561	0.000509699	0.0194009	4	3
PIK3R1	244.292	-0.75868	0.218006	-3.4667	0.000526887	0.0199286	4	3
ACVR1C	51.6449	-1.33085	0.38343	-3.4636	0.000533005	0.0200966	4	3
ATP13A3	168.242	-0.70907	0.203445	-3.45962	0.000540947	0.0203321	4	3
PYROXD2	13.2999	1.35848	0.362138	3.45657	0.000547104	0.0204993	4	3
NELL2	66.5397	-1.26387	0.364894	-3.44937	0.000561898	0.0209654	4	3
GIPC1	192.744	0.638861	0.184324	3.44882	0.000563041	0.0209654	4	3
GRTP1	73.6371	0.732125	0.210383	3.44753	0.000565745	0.0209932	4	3
GRAMD1A	111.151	0.623848	0.179551	3.44619	0.000568554	0.0209932	4	3
MCUB	112.611	0.83254	0.239898	3.44578	0.000569411	0.0209932	4	3
ACCS	29.2589	1.14663	0.327857	3.44513	0.000570791	0.0209932	4	3
PTPRD	18.619	-1.31442	0.379604	-3.44208	0.00057725	0.0211658	4	3
RAB6A	442.414	0.53764	0.156171	3.44104	0.000579489	0.0211831	4	3
VRK3	38.9735	0.956415	0.275501	3.43985	0.000582027	0.0212113	4	3
RPS21	1205.26	-0.685261	0.198036	-3.4372	0.000587769	0.0213556	4	3
TAMM41	85.6652	0.788359	0.228419	3.42974	0.000604168	0.021883	4	3
RPL15	2261.03	-0.508881	0.14853	-3.42894	0.000605933	0.021883	4	3
ZNF251	25.8534	1.00601	0.281232	3.42735	0.000609503	0.021898	4	3
GPATCH4	263.141	-0.450837	0.131045	-3.42713	0.000610002	0.021898	4	3
NINL	34.3122	1.05876	0.304704	3.42408	0.00061688	0.0220693	4	3
ZNF83	22.1348	1.13866	0.324776	3.42339	0.000618456	0.0220693	4	3
TPCN2	105.275	0.730897	0.212664	3.42198	0.000621673	0.0221183	4	3
DNAJA4	156.459	0.907641	0.259687	3.42057	0.000624895	0.0221671	4	3
SH2B1	521.254	0.558251	0.162194	3.41748	0.000632037	0.0223543	4	3
RPL22	202.684	-0.569892	0.167625	-3.41564	0.000636322	0.0224397	4	3
AGAP6	16.4782	1.27611	0.369728	3.41471	0.000638511	0.0224509	4	3
TOMM22	331.898	-0.465878	0.136421	-3.41235	0.000644047	0.0225404	4	3
ZNF10	18.2793	1.17546	0.327726	3.41203	0.000644817	0.0225404	4	3
PRELID1	129.907	-0.648688	0.189893	-3.40871	0.000652714	0.0227501	4	3
NKX3-1	9.50114	-1.28382	0.373445	-3.40499	0.000661668	0.0229954	4	3
SETD2	116.442	-0.617517	0.181169	-3.39899	0.000676344	0.0234375	4	3
MLC1	12.8325	-1.19132	0.348524	-3.39358	0.000689856	0.0238368	4	3
RCCD1	70.4021	0.849813	0.246183	3.39167	0.000694678	0.0239345	4	3
GSN	101.497	0.70814	0.209594	3.38926	0.000700825	0.0240287	4	3
SNRNP70	78.5401	0.674681	0.198102	3.38754	0.000705235	0.0240422	4	3
