Marker.Symbol	contrast	logFC_meaning	n_per_group	logFC	logCPM	submitter_edgeR_PValue	submitter_edgeR_FDR
Ccl7	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.58746	4.63537	8.64468e-15	7.50531e-12
Gm7030	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.53757	2.9696	1.06129e-14	8.85976e-12
Fosl1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.14841	5.56048	1.37534e-14	1.10562e-11
Egr2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.59675	6.51239	3.03215e-14	2.35046e-11
Socs3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.17932	8.34077	4.04932e-14	3.0307e-11
H2-M2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.65442	3.07269	1.00252e-13	7.25323e-11
Zfp36	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.77612	9.76233	2.00268e-13	1.4022e-10
Pim1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.75624	6.28349	2.72802e-13	1.85036e-10
Serpine1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.64865	8.54973	3.46555e-13	2.27939e-10
Thbs1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.38772	11.8403	5.43898e-13	3.47215e-10
Btg2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.3627	9.58539	1.43396e-12	8.89257e-10
Ier5	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.46973	7.53889	1.53029e-12	9.22635e-10
Phlda1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.40982	7.7558	2.08899e-12	1.22545e-09
Per3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.61173	6.02099	3.86557e-12	2.20795e-09
Tmtc2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.57935	6.22593	4.22185e-12	2.34962e-09
Dusp5	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.07212	4.34399	7.04686e-12	3.8238e-09
Ccl4	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.75776	3.18433	8.58652e-12	4.54562e-09
Stbd1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.93933	5.14938	1.92308e-11	9.93819e-09
Sertad1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.43577	6.51162	2.14283e-11	1.08163e-08
Il1rn	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.95468	4.83187	2.52357e-11	1.24487e-08
Ltf	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.94952	4.67687	4.41366e-11	2.12885e-08
Alpl	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.90649	5.39958	4.6852e-11	2.2107e-08
Ch25h	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.14503	5.57372	5.20929e-11	2.40569e-08
Tnf	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.00522	4.4111	8.30872e-11	3.7571e-08
Alas2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.26109	5.04126	1.81969e-10	8.0605e-08
H2-Bl	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.18715	2.28796	2.25176e-10	9.77488e-08
Reg3g	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.86234	3.46895	2.52264e-10	1.0736e-07
Atf3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.34796	8.61648	3.20178e-10	1.33644e-07
Hpgd	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.40375	8.43509	3.75187e-10	1.5365e-07
Csrnp1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.35666	8.01884	3.8282e-10	1.53872e-07
Hmox1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.32959	6.78772	4.84639e-10	1.91256e-07
Areg	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.31044	6.83064	5.11064e-10	1.98083e-07
Has1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.06679	6.43871	5.81418e-10	2.21398e-07
Bdkrb2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.53515	4.21095	6.40616e-10	2.39734e-07
Angptl7	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-2.2796	4.1689	6.80449e-10	2.50324e-07
Hbegf	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.51645	7.78835	7.18448e-10	2.59899e-07
Osm	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.18046	3.75903	7.40762e-10	2.60194e-07
Il1b	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.72869	6.559	7.43239e-10	2.60194e-07
Kctd11	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.74429	5.41601	1.2089e-09	4.16493e-07
Zfp429	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-4.59163	1.62975	1.74265e-09	5.91004e-07
Plaur	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.33749	7.3913	2.35478e-09	7.86317e-07
Ppp1r15a	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.16809	8.04707	2.97469e-09	9.78267e-07
Ier3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.36764	8.14174	5.13735e-09	1.66427e-06
Marco	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.05006	3.50626	5.51764e-09	1.76118e-06
Fblim1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.31556	5.47367	7.28095e-09	2.29033e-06
Hbb-bs	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.60903	9.56076	1.05263e-08	3.26392e-06
Chia	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.2428	6.99661	1.13117e-08	3.45802e-06
H2-Q10	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.4006	5.49548	1.33381e-08	4.0209e-06
Bhlhe40	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.14087	8.25088	1.45018e-08	4.31181e-06
Tlr2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.19086	6.50088	1.76909e-08	5.18893e-06
Itpkc	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.43042	6.18529	2.0691e-08	5.98798e-06
Tnfaip2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.45895	6.44992	2.3062e-08	6.58634e-06
Lypd2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.52461	4.67414	3.71195e-08	1.03292e-05
Adm	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.44598	4.81462	4.25257e-08	1.16838e-05
Clec1a	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.19519	6.47837	4.61379e-08	1.25178e-05
Hspa1b	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.45772	5.2718	5.01304e-08	1.34331e-05
Id3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.33426	6.95842	5.81149e-08	1.53827e-05
Gem	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.71266	6.735	5.91013e-08	1.53891e-05
Cyr61	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.3091	10.0996	5.95571e-08	1.53891e-05
Cxcl3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.02417	2.15331	8.79687e-08	2.24631e-05
Nfkbiz	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.4837	6.8171	9.28767e-08	2.34406e-05
Osbpl3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.54527	4.7616	9.59845e-08	2.39465e-05
Adamts4	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.37319	4.30217	9.85772e-08	2.43138e-05
Chi3l3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.26517	7.47954	1.05518e-07	2.55598e-05
Spp1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.46691	5.29863	1.05984e-07	2.55598e-05
Ccdc85b	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.14203	6.5291	1.14175e-07	2.72327e-05
Cyp4a12b	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	6.87036	0.839198	1.42203e-07	3.35491e-05
Osgin1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.11323	6.70188	1.53326e-07	3.57843e-05
Nrn1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.94587	2.9873	1.72488e-07	3.98283e-05
Odc1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.06256	6.58467	1.7879e-07	4.08488e-05
Hspa1a	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.30938	5.25728	1.82368e-07	4.12323e-05
Gm4956	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.83628	4.88713	2.13112e-07	4.76865e-05
Hhip	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.11578	6.1246	2.39577e-07	5.30614e-05
Rapgef4	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.61811	5.15527	2.53929e-07	5.56721e-05
Hba-a2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.76702	10.2497	2.71057e-07	5.8833e-05
Marcksl1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.32849	5.30217	2.83983e-07	6.10283e-05
Cdkn1a	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.19795	8.09071	3.11154e-07	6.57972e-05
Bpifa1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.61485	6.68706	3.12237e-07	6.57972e-05
Mfsd2a	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.51063	4.99388	3.5522e-07	7.41351e-05
Ptges	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.25808	4.96514	5.45512e-07	0.000112765
Csf1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.53609	6.07372	6.39429e-07	0.000130932
Krtap17-1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.2437	5.11959	7.75038e-07	0.000157217
Dnajb1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.00069	6.82942	8.12613e-07	0.000163313
Il6	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	2.2372	5.21658	9.16083e-07	0.000182418
Sln	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.99518	3.79967	9.48249e-07	0.000187107
Cd83	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.10918	5.42091	1.04826e-06	0.000204804
Ccdc8	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.69723	3.20717	1.05681e-06	0.000204804
Plk3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.00283	6.6755	1.15368e-06	0.000221598
Scube1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.27885	4.81957	1.35912e-06	0.00025877
Mt2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.89552	7.63992	1.44625e-06	0.000272964
Plekho2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.19757	6.44353	1.48503e-06	0.000276641
Ptgfr	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.35842	4.28796	1.49123e-06	0.000276641
Pcdhb9	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.61807	3.35767	1.72059e-06	0.000316486
Rab3c	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.62879	3.83432	1.87203e-06	0.000341021
Tmem106b	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.04434	7.10193	1.8854e-06	0.000341021
Nr4a3	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.31499	6.24721	1.91732e-06	0.000343929
Rcan1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.18539	8.68993	2.0233e-06	0.000359965
Gbp4	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.20639	5.06646	2.09685e-06	0.000370018
Nrxn1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-2.33611	2.65211	2.13426e-06	0.000373582
Plat	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.30426	6.78076	2.47589e-06	0.000429913
Myc	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.10262	5.95505	2.67042e-06	0.000460012
Srxn1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.0529	8.13183	2.74751e-06	0.000469565
Fmo2	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-0.904706	9.8969	3.8798e-06	0.000657899
Cd14	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.66664	6.50856	3.92493e-06	0.000660392
Ccl22	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.99654	4.26637	4.07729e-06	0.00068075
Zc3h12a	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.1734	5.39627	4.1116e-06	0.000681239
Hlf	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.36992	5.26818	4.14574e-06	0.000681691
Midn	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.931507	7.8337	5.54688e-06	0.000905226
Itga2b	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.34199	3.96514	5.88003e-06	0.000952433
9330159F19Rik	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-1.80589	3.00478	6.11112e-06	0.000982533
Gm13157	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-2.11206	2.18433	6.39697e-06	0.00102093
Ly6e	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.994659	9.39005	6.54998e-06	0.00103772
Gdf15	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.22699	4.46264	6.66152e-06	0.00104774
3-Sep	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	-2.14265	2.62975	6.86209e-06	0.00107152
Ucp1	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	3.88536	1.05601	7.00768e-06	0.00108644
Slc25a25	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	0.892382	7.84072	7.30294e-06	0.00112419
Ppbp	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4 KO (high-injury) minus WT, both VILI	1 vs 1 (UNREPLICATED)	1.60277	3.03914	8.82001e-06	0.00134816
