Marker.Symbol	contrast	logFC_meaning	n_per_group	logFC	logCPM	submitter_edgeR_PValue	submitter_edgeR_FDR
Lars2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.53276	11.2405	6.78827e-26	1.05624e-22
H2-Ob	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-2.28778	4.50235	6.81287e-26	1.05624e-22
Rprl1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.77792	6.90383	4.72914e-24	6.84306e-21
Chi3l1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.55591	7.69337	2.57374e-23	3.49144e-20
Ttn	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-2.25629	5.90025	2.70467e-21	3.45323e-18
Cyp2a5	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.66445	7.23789	8.10224e-21	9.76995e-18
Cyp2a4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.45558	5.21757	9.92093e-21	1.1271e-17
Igj	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	2.2357	6.96488	1.03856e-20	1.1271e-17
Car3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.62988	4.98534	6.14779e-20	6.35418e-17
Dnah8	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.88139	4.22102	3.73934e-19	3.6892e-16
Btg2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.4033	8.3741	4.8743e-18	4.59985e-15
Fblim1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.33233	5.5617	8.00244e-18	7.23721e-15
Faim3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-2.107	3.53973	2.60769e-17	2.26399e-14
Esm1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.23463	5.60642	4.43375e-16	3.70133e-13
Cyr61	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.66347	8.1883	3.36829e-15	2.70773e-12
Pknox2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.14694	6.35234	5.02391e-15	3.89442e-12
Ryr2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.4294	4.84309	1.49777e-14	1.121e-11
Rad51ap1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	2.81368	2.03723	9.5464e-14	6.90682e-11
Glo1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.07771	5.8916	1.35457e-13	9.48415e-11
Grp	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-2.41761	2.37165	2.89767e-13	1.96544e-10
Irgc1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-7.65105	0.786683	4.15501e-13	2.73287e-10
Padi2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.97839	2.81134	7.87405e-13	5.02666e-10
Slc16a11	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.02053	5.88653	8.27598e-13	5.13229e-10
Mfap2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.31272	4.47367	9.117e-13	5.49679e-10
Ccdc17	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.09912	5.44045	1.04133e-12	6.10864e-10
Hsph1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.58086	6.5033	1.75381e-12	1.00175e-09
AI506816	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-4.44808	2.36333	1.81282e-12	1.0089e-09
Dbp	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.983095	7.39554	7.85463e-12	4.26212e-09
Malat1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.944913	12.109	8.26034e-12	4.37294e-09
Cd79a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.59726	4.40646	8.94089e-12	4.62053e-09
Kcnq1ot1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.05774	5.25176	1.02813e-11	5.12115e-09
Rps3a1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.18035	6.15511	1.03815e-11	5.12115e-09
Obscn	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.65805	3.81745	1.10911e-11	5.34962e-09
Rps2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.12826	6.51272	1.77403e-11	8.37072e-09
Fkbp4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.985453	7.40241	2.18734e-11	1.01013e-08
Cmya5	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.44502	4.10363	2.78768e-11	1.26055e-08
Sfta2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.05056	5.67606	3.90915e-11	1.7316e-08
Srsf5	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.9504	7.32691	4.22074e-11	1.83222e-08
Cirbp	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.12807	6.06505	6.06245e-11	2.58011e-08
Bdkrb2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.41875	3.8858	6.84545e-11	2.81278e-08
Myh6	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.3844	8.05959	6.86835e-11	2.81278e-08
Cyp26b1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.42007	6.34655	8.44135e-11	3.39296e-08
Rasl11a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.49337	3.53603	8.82041e-11	3.48085e-08
Tmem82	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	2.53605	1.81134	9.8756e-11	3.8177e-08
Rgs2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.1266	6.39631	1.00257e-10	3.8177e-08
Hspa1b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	2.08053	6.07591	1.14266e-10	4.2761e-08
Syt15	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.72966	3.28625	1.18569e-10	4.36193e-08
Bank1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.89331	3.16232	1.26146e-10	4.56334e-08
4833420G17Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.49511	4.96625	1.34576e-10	4.78849e-08
Actc1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.0774	6.23931	1.68425e-10	5.89623e-08
Cfd	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.34292	3.75525	2.31279e-10	7.9681e-08
Hspa1a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.91478	5.84757	4.38493e-10	1.48711e-07
D430041D05Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.94334	3.71006	5.05361e-10	1.68752e-07
Bhlhe41	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.12403	4.32958	5.80529e-10	1.90235e-07
Fabp4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.27586	4.13327	5.87228e-10	1.90235e-07
Ubxn10	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.966559	5.13816	6.05836e-10	1.93378e-07
Ccdc39	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.32337	4.7166	9.16533e-10	2.88309e-07
Gm12250	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	2.45816	4.65492	1.1751e-09	3.64365e-07
T2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.83147	2.50613	1.4935e-09	4.56569e-07
Fcer2a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.56799	3.10861	1.5916e-09	4.75148e-07
Gbp4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	2.38505	6.96831	1.59806e-09	4.75148e-07
Pmaip1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.10832	4.44243	1.93783e-09	5.68387e-07
Ms4a1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.78521	4.05798	2.83303e-09	8.19879e-07
Cx3cl1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.970256	6.70431	2.96492e-09	8.46758e-07
H2-Q2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.32851	4.84607	3.05936e-09	8.62382e-07
Marco	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.61818	4.2025	3.72765e-09	1.03729e-06
Tmtc2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.954794	6.12899	4.95505e-09	1.36139e-06
Slc6a2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.05384	5.47367	6.37834e-09	1.73052e-06
Egr3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.73737	3.53603	7.21199e-09	1.93255e-06
Cdkn1a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.920669	5.31564	7.41478e-09	1.95148e-06
Gbp11	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	2.44089	2.58691	7.46248e-09	1.95148e-06
Sec14l2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.933833	4.83108	8.85124e-09	2.2871e-06
C1qtnf3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.31841	1.83559	9.57338e-09	2.44459e-06
Cd79b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.21486	5.0333	1.00542e-08	2.53751e-06
Cntnap2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.97904	0.882898	1.02107e-08	2.54738e-06
Fam154b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.15949	4.31241	1.08682e-08	2.68061e-06
Cd19	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.85161	4.14302	1.11189e-08	2.71165e-06
Plin4	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.27355	4.06313	1.77836e-08	4.28881e-06
Cxcr5	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.54618	3.48712	2.76972e-08	6.60624e-06
Mir22hg	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.893556	4.91881	2.87931e-08	6.79298e-06
Dixdc1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.02744	5.68359	3.3353e-08	7.67675e-06
2610203C20Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.27292	3.68359	3.33715e-08	7.67675e-06
H2-M10.2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	4.7761	0.354967	3.38149e-08	7.67675e-06
Dnaja1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.888661	7.05959	3.39538e-08	7.67675e-06
Serpina3f	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	2.39765	3.20483	3.44467e-08	7.70788e-06
Gpcpd1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.862467	5.67354	3.64322e-08	8.01722e-06
H2-M3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.19063	4.23248	3.65678e-08	8.01722e-06
Rgs22	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.24557	4.23248	4.33562e-08	9.41047e-06
Sntn	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.23502	3.8887	4.3797e-08	9.41202e-06
Abca17	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.3133	3.29065	4.44713e-08	9.46323e-06
Fam47e	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.4011	2.9287	4.69787e-08	9.89974e-06
H2-T3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	3.00545	1.28625	5.259e-08	1.09756e-05
Dnajb1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.93642	6.59936	5.43964e-08	1.12445e-05
Acta2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.820346	7.22848	6.14181e-08	1.25762e-05
Hspa8	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.810394	10.7264	7.19749e-08	1.44635e-05
Myom1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.07777	3.9117	7.26338e-08	1.44635e-05
Cd37	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.09009	5.0241	7.47537e-08	1.47503e-05
Hrc	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.66985	2.74888	9.06437e-08	1.77245e-05
Tspan11	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.15088	5.38608	9.30604e-08	1.80346e-05
H2-Q1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.07055	6.46446	1.22767e-07	2.3581e-05
Dusp1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.0668	8.48915	1.31699e-07	2.50748e-05
Bcan	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.33416	4.17425	1.41181e-07	2.66463e-05
Zc3h6	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.10974	3.84159	1.61819e-07	3.02784e-05
Egr1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-2.14138	7.86828	1.76822e-07	3.28028e-05
Hspb7	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.20663	4.29502	1.89557e-07	3.48672e-05
Cnn1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.874626	5.72798	2.01702e-07	3.67895e-05
Gpr174	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.51574	2.46786	2.08865e-07	3.77784e-05
Ccdc176	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.06014	4.01085	2.16381e-07	3.88145e-05
Fhad1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.878348	4.80829	2.73093e-07	4.85858e-05
Cd22	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.0274	4.53603	3.44795e-07	6.08438e-05
Nr1d1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.722372	8.05363	3.69637e-07	6.47013e-05
Ccdc108	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.05529	6.29338	3.86554e-07	6.71213e-05
Gm13498	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.712073	6.02014	4.09739e-07	7.05824e-05
Colq	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.15278	4.34233	4.648e-07	7.94369e-05
Fosb	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.4423	4.29284	4.82866e-07	8.18797e-05
Nr4a1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-2.1605	7.55738	4.97493e-07	8.37061e-05
N4bp3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.744441	5.48041	5.02815e-07	8.39507e-05
Atp6v0e2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.817382	5.2983	5.08436e-07	8.4223e-05
Zfp366	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.812245	5.1527	5.12206e-07	8.4223e-05
E230008N13Rik	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.03981	4.00552	6.12235e-07	9.99141e-05
H2-Eb2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.98658	1.68359	6.65605e-07	0.000107813
Ldlrad3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.805389	5.63001	6.73712e-07	0.000108318
Serpinh1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.77726	8.01517	7.0909e-07	0.000112356
Sox7	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.817493	7.56011	7.1131e-07	0.000112356
Myl7	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.59668	5.54525	7.14357e-07	0.000112356
Igsf23	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.78161	1.8829	7.21364e-07	0.000112642
Tcap	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.31196	4.8858	8.27228e-07	0.000127941
Ifi47	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.02918	5.45716	8.3404e-07	0.000127941
Plcb1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.791426	5.66341	8.37022e-07	0.000127941
Fam214a	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.77839	5.10113	8.70446e-07	0.000132119
Chordc1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.748448	5.73041	8.92116e-07	0.000134468
Adamtsl2	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.869067	5.307	9.17849e-07	0.000137392
C1qa	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.780401	4.93713	9.36306e-07	0.000139195
Rtp3	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	1.01165	4.39018	9.60424e-07	0.000140959
Rab27b	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	0.820905	4.98534	9.6116e-07	0.000140959
Myh11	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.804517	7.69067	1.08557e-06	0.000158136
Ankrd12	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-0.725539	6.57391	1.18041e-06	0.00016992
Fras1	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.03405	3.90025	1.18212e-06	0.00016992
Haao	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.74928	1.85944	1.20405e-06	0.000171934
Anxa8	Cldn4KO_vs_WT_naive_lung	Cldn4 KO minus WT, no ventilator injury	1 vs 1 (UNREPLICATED)	-1.76699	2.9731	1.25002e-06	0.000176452
