gene	contrast	mean_KD	mean_CTRL	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
LOC645676	siRNA1_vs_negctrl	9.71753	9.5376	0.179923	0.885431	1.25293	0.302993	0.645807	0.145455	3	9
FAM118A	siRNA1_vs_negctrl	7.94258	7.98918	-0.0466022	-0.584307	-1.09259	0.303003	0.645807	0.727273	3	9
EXOC4	siRNA1_vs_negctrl	11.3311	11.2118	0.119267	0.810262	1.21083	0.30307	0.645825	0.281818	3	9
LOC374491	siRNA1_vs_negctrl	8.77273	8.57278	0.199954	0.919079	1.27108	0.303083	0.645825	0.281818	3	9
CSAG2	siRNA1_vs_negctrl	7.27491	7.1427	0.132214	1.06821	1.34807	0.303139	0.645865	0.1	3	9
PELI3	siRNA1_vs_negctrl	10.5909	10.6206	-0.0297322	-0.539398	-1.08651	0.303175	0.645865	0.853053	3	9
FLJ30672	siRNA1_vs_negctrl	8.40343	8.30961	0.0938189	0.559171	1.08603	0.303232	0.645898	0.281818	3	9
IDH3A	siRNA1_vs_negctrl	10.7995	10.9327	-0.13321	-0.784703	-1.196	0.303262	0.645898	0.281818	3	9
CCDC125	siRNA1_vs_negctrl	9.77052	9.89198	-0.121457	-0.955412	-1.29004	0.303315	0.645934	0.281818	3	9
DHX15	siRNA1_vs_negctrl	13.3007	13.4914	-0.190667	-0.882468	-1.25059	0.303357	0.645947	0.281818	3	9
ALOX15	siRNA1_vs_negctrl	7.01795	7.15065	-0.1327	-0.844302	-1.22931	0.303422	0.645961	0.372727	3	9
DSCAM	siRNA1_vs_negctrl	7.38386	7.15064	0.233219	1.08371	1.355	0.303435	0.645961	0.481818	3	9
LBX2	siRNA1_vs_negctrl	8.31943	8.11659	0.20284	1.09446	1.36013	0.303473	0.645965	0.0636364	3	9
CACNA1S	siRNA1_vs_negctrl	7.14299	7.23502	-0.0920322	-0.84278	-1.22823	0.303541	0.646033	0.281818	3	9
LOC137107	siRNA1_vs_negctrl	14.4537	14.3491	0.104639	0.646245	1.11841	0.303757	0.646415	0.481818	3	9
HGS	siRNA1_vs_negctrl	15.5339	15.3748	0.159106	0.93305	1.27706	0.303846	0.646529	0.354383	3	9
PRMT5	siRNA1_vs_negctrl	13.5994	13.53	0.0693967	0.769873	1.18613	0.304064	0.646855	0.145455	3	9
FAM105A	siRNA1_vs_negctrl	8.37869	8.72318	-0.34449	-1.05971	-1.34178	0.304071	0.646855	0.145455	3	9
ELK3	siRNA1_vs_negctrl	7.52831	7.68766	-0.159349	-0.849676	-1.23062	0.304313	0.647042	0.209091	3	9
CARD10	siRNA1_vs_negctrl	12.3963	12.566	-0.169718	-1.01956	-1.32113	0.304327	0.647042	0.281818	3	9
SFXN4	siRNA1_vs_negctrl	12.4627	12.5312	-0.0685156	-0.742819	-1.17031	0.304331	0.647042	0.209091	3	9
CRYM	siRNA1_vs_negctrl	9.51495	9.27758	0.237362	0.914496	1.26596	0.304415	0.647042	0.281818	3	9
ABCA5	siRNA1_vs_negctrl	8.91039	9.08439	-0.174002	-1.05032	-1.33635	0.304427	0.647042	0.281818	3	9
LENEP	siRNA1_vs_negctrl	6.71601	6.78055	-0.0645367	-0.775408	-1.18861	0.30443	0.647042	0.281818	3	9
FLNC	siRNA1_vs_negctrl	6.84217	6.74613	0.0960322	0.801647	1.20346	0.304431	0.647042	0.281818	3	9
RALA	siRNA1_vs_negctrl	12.1334	12.2372	-0.103848	-0.788349	-1.19584	0.304487	0.647042	0.6	3	9
KIFC2	siRNA1_vs_negctrl	8.67167	8.89265	-0.220979	-1.06902	-1.34538	0.304512	0.647042	0.145455	3	9
AIM1	siRNA1_vs_negctrl	8.29249	7.87619	0.416303	1.04598	1.33398	0.30452	0.647042	0.372727	3	9
LOC220729	siRNA1_vs_negctrl	12.8991	13.0988	-0.199699	-0.959117	-1.28929	0.304626	0.647191	0.209091	3	9
GRIPAP1	siRNA1_vs_negctrl	11.7946	11.6677	0.126947	0.966648	1.29292	0.304781	0.647443	0.145455	3	9
FER1L4	siRNA1_vs_negctrl	8.80127	8.64877	0.1525	0.960889	1.28981	0.304829	0.647469	0.209091	3	9
FAM19A2	siRNA1_vs_negctrl	6.75901	6.65142	0.107591	1.02019	1.32012	0.304945	0.647559	0.281818	3	9
PABPC1	siRNA1_vs_negctrl	16.6318	16.5357	0.0961744	0.716246	1.15415	0.304997	0.647559	0.372727	3	9
MRPL14	siRNA1_vs_negctrl	14.8418	14.7747	0.0671578	0.929761	1.27292	0.30503	0.647559	0.145455	3	9
ZSCAN18	siRNA1_vs_negctrl	6.43025	6.35149	0.0787578	0.969196	1.2937	0.305048	0.647559	0.1	3	9
ANXA2P3	siRNA1_vs_negctrl	13.2432	13.419	-0.175792	-0.929949	-1.27291	0.305083	0.647559	0.281818	3	9
MRGPRX4	siRNA1_vs_negctrl	7.24693	7.46913	-0.222199	-0.966577	-1.29225	0.305088	0.647559	0.209091	3	9
MINK1	siRNA1_vs_negctrl	9.57875	9.93933	-0.360582	-0.980087	-1.29913	0.30516	0.647585	0.281818	3	9
TMEM147	siRNA1_vs_negctrl	14.9777	15.0871	-0.109369	-0.911086	-1.26251	0.305227	0.647585	0.281818	3	9
ZNF490	siRNA1_vs_negctrl	8.21446	8.38886	-0.174402	-0.939827	-1.27786	0.305237	0.647585	0.209091	3	9
NDRG1	siRNA1_vs_negctrl	13.9451	13.5084	0.43672	1.01423	1.31645	0.305245	0.647585	0.281818	3	9
CNOT10	siRNA1_vs_negctrl	12.189	12.2733	-0.08434	-0.954299	-1.28521	0.30538	0.647764	0.209091	3	9
GLUD1	siRNA1_vs_negctrl	12.1206	11.9893	0.131337	0.907997	1.2605	0.305401	0.647764	0.209091	3	9
N4BP3	siRNA1_vs_negctrl	8.22497	8.37063	-0.145664	-0.737257	-1.1652	0.305438	0.647765	0.281818	3	9
C1orf27	siRNA1_vs_negctrl	10.9722	10.813	0.159132	0.912548	1.26274	0.305507	0.647835	0.281818	3	9
PIGO	siRNA1_vs_negctrl	10.9901	11.1337	-0.143581	-0.77152	-1.18411	0.305709	0.64806	0.281818	3	9
LNX2	siRNA1_vs_negctrl	10.7584	10.8304	-0.0719767	-0.69776	-1.14248	0.305774	0.64806	0.281818	3	9
ORAI2	siRNA1_vs_negctrl	13.3767	13.2528	0.12394	0.804794	1.20277	0.30578	0.64806	0.372727	3	9
CHRDL2	siRNA1_vs_negctrl	7.10087	7.34905	-0.248177	-1.07824	-1.34694	0.305816	0.64806	0.209091	3	9
LOC645638	siRNA1_vs_negctrl	6.27573	6.23223	0.0434956	0.825185	1.21406	0.30586	0.64806	0.1	3	9
ZMYND10	siRNA1_vs_negctrl	7.02326	7.13385	-0.110593	-0.648913	-1.11605	0.305862	0.64806	0.481818	3	9
ERMP1	siRNA1_vs_negctrl	9.34502	9.51619	-0.171167	-0.921314	-1.26673	0.305866	0.64806	0.372727	3	9
LOC727842	siRNA1_vs_negctrl	10.9645	11.049	-0.0844244	-0.688838	-1.13733	0.305906	0.648063	0.281818	3	9
DOC2B	siRNA1_vs_negctrl	6.98212	7.05243	-0.0703144	-0.862758	-1.23471	0.305975	0.648063	0.372727	3	9
AR	siRNA1_vs_negctrl	6.58344	6.6472	-0.0637589	-0.761052	-1.17771	0.305976	0.648063	0.209091	3	9
PRKCB	siRNA1_vs_negctrl	6.76769	6.68712	0.0805733	0.894145	1.25179	0.306017	0.648074	0.209091	3	9
HIST1H2AG	siRNA1_vs_negctrl	13.1539	13.203	-0.0491822	-0.765708	-1.18017	0.306072	0.648115	0.372727	3	9
