contrast	accession	target_gene	query_symbol	log2FC	p	q	symbol_used	present
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	STAT1	0.74428	0.0136364	0.147563	STAT1	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	STAT2	0.71135	0.00105434	0.0309294	STAT2	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	IRF7	0.340368	0.31209	0.679615	IRF7	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	IFIT1	0.908431	0.0149016	0.156044	IFIT1	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	IFIT3	0.962022	0.00486312	0.080036	IFIT3	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	MX1	0.933901	0.00776689	0.105514	MX1	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	OAS1	0.856968	0.00508785	0.0818764	OAS1	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	B2M	0.538925	0.0486175	0.299704	B2M	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	HLA-A	0.628421	0.0705568	0.355452	HLA-A	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	TAP1	0.260317	0.343672	0.704189	TAP1	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	PSMB9	0.162048	0.548656	0.822149	PSMB9	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	NLRC5	0.442799	0.138581		NLRC5	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	CXCL9				CXCL9	False
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	CXCL10	-0.136493	0.792198	0.932193	CXCL10	True
GSE289287_T47D_TACSTD2KO_xg	GSE289287	TACSTD2	CD274				CD274	False
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	TACSTD2	-3.16182	2.1472e-12	3.85337e-08	TACSTD2	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	CLDN4	-0.00814611	0.968065	0.989066	CLDN4	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	ISG15	0.351257	0.127094	0.424397	ISG15	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	STAT1	0.434507	0.000257636	0.0166541	STAT1	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	STAT2	0.00587278	0.940368	0.979446	STAT2	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	IRF7	0.755149	0.0315036	0.218964	IRF7	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	IFIT1	-0.138903	0.28761	0.610244	IFIT1	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	IFIT3	0.144812	0.160228	0.470999	IFIT3	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	MX1	0.266653	0.0997514	0.379886	MX1	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	OAS1	0.349569	0.000433128	0.0217534	OAS1	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	B2M	-0.183064	0.268664	0.593627	B2M	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	HLA-A	-0.114073	0.122189	0.416631	HLA-A	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	TAP1	0.139271	0.0495787	0.272965	TAP1	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	PSMB9	-0.0768272	0.696727	0.872231	PSMB9	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	NLRC5				NLRC5	False
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	CXCL9	-0.017165	0.691477	0.869775	CXCL9	True
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	CXCL10				CXCL10	False
GSE15212_SW480_TACSTD2_siRNA	GSE15212	TACSTD2	CD274	-0.0482111	0.75264	0.901298	CD274	True
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	TACSTD2	-0.815725			TACSTD2	True
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	CLDN4	-0.894218			CLDN4	True
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	ISG15	-0.900264			ISG15	True
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	STAT1	0.0254743			STAT1	True
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	STAT2	-0.1328			STAT2	True
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	IRF7				IRF7	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	IFIT1	-0.56038			IFIT1	True
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	IFIT3				IFIT3	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	MX1				MX1	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	OAS1	-0.84268			OAS1	True
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	B2M				B2M	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	HLA-A				HLA-A	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	TAP1				TAP1	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	PSMB9				PSMB9	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	NLRC5				NLRC5	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	CXCL9				CXCL9	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	CXCL10				CXCL10	False
GSE207704_T47D_MCF7_CLDN4KO	GSE207704	CLDN4	CD274				CD274	False
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	TACSTD2	-0.144934	0.485961	1	Tacstd2	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	CLDN4	-6.0613	1.7663e-29	4.0673e-26	Cldn4	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	ISG15	1.07537	3.92718e-05	0.00309557	Isg15	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	STAT1	0.390851	0.0262322	0.290792	Stat1	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	STAT2	0.44588	0.00283261	0.0713245	Stat2	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	IRF7	0.227317	0.32911	0.983132	Irf7	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	IFIT1	0.575777	0.000719541	0.0282417	Ifit1	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	IFIT3	-0.206966	0.315638	0.967197	Ifit3	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	MX1	0.626673	0.11907	0.648233	Mx1	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	OAS1				Oas1	False
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	B2M	0.655249	0.000930043	0.0335883	B2m	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	HLA-A	-0.0709181	0.724031	1	H2-K1	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	TAP1	0.183633	0.441394	1	Tap1	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	PSMB9	0.901806	0.00109423	0.0373433	Psmb9	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	NLRC5	0.747975	0.00417312	0.0926152	Nlrc5	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	CXCL9	2.8833	0.0022829	0.0623275	Cxcl9	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	CXCL10	2.5429	0.00425701	0.0939009	Cxcl10	True
GSE50927_lung_Cldn4KO_naive	GSE50927	CLDN4	CD274	0.141226	0.456147	1	Cd274	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	TACSTD2				TACSTD2	False
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	CLDN4	-1.22505			CLDN4	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	ISG15				ISG15	False
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	STAT1	0.22275	0.51919	0.999418	STAT1	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	STAT2	-0.474217	0.155661	0.999418	STAT2	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	IRF7	0.272867	0.32422	0.999418	IRF7	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	IFIT1	-2.0257	0.0553919	0.999418	IFIT1	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	IFIT3				IFIT3	False
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	MX1	0.3584			MX1	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	OAS1	0.227467	0.669701	0.999418	OAS1	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	B2M	-1.1704	0.564288	0.999418	B2M	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	HLA-A				HLA-A	False
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	TAP1	-0.340317	0.82486	0.999418	TAP1	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	PSMB9	1.89987	0.0914433	0.999418	PSMB9	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	NLRC5				NLRC5	False
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	CXCL9				CXCL9	False
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	CXCL10	3.0254			CXCL10	True
GSE22493_SKOV3_CLDN4_siRNA	GSE22493	CLDN4	CD274				CD274	False
