gene	contrast	mean_KO	mean_WT	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
Mall	Trop2_KO_vs_WT	5.825	6.99477	-1.16977	-2.63692	-4.16934	0.00318466	0.712889	0.00793651	5	5
Fam174b	Trop2_KO_vs_WT	3.92243	4.64783	-0.725396	-2.64596	-4.18364	0.00319304	0.712889	0.00793651	5	5
Klhl23	Trop2_KO_vs_WT	5.25474	6.52499	-1.27024	-2.67244	-4.22549	0.00320564	0.712889	0.015873	5	5
Gm17322	Trop2_KO_vs_WT	5.08991	1.29557	3.79434	2.7878	4.4079	0.003253	0.712889	0.00793651	5	5
Abcb10	Trop2_KO_vs_WT	7.6021	8.18692	-0.584826	-2.63701	-4.16948	0.0032849	0.712889	0.00793651	5	5
Mpzl3	Trop2_KO_vs_WT	7.83617	8.61276	-0.776588	-2.61871	-4.14054	0.00333753	0.712889	0.00793651	5	5
Taf1b	Trop2_KO_vs_WT	8.21505	7.59208	0.622969	2.81408	4.44946	0.00346075	0.712889	0.00793651	5	5
Gm12577	Trop2_KO_vs_WT	4.10435	3.10627	0.998079	2.83271	4.4789	0.00347273	0.712889	0.00793651	5	5
Acsl5	Trop2_KO_vs_WT	10.4277	10.9142	-0.486436	-2.85024	-4.50663	0.00349292	0.712889	0.00793651	5	5
Sema7a	Trop2_KO_vs_WT	10.3449	8.99602	1.34886	2.60388	4.11709	0.00350408	0.712889	0.015873	5	5
Mbip	Trop2_KO_vs_WT	8.47686	7.74352	0.733342	2.59432	4.10198	0.00350503	0.712889	0.00793651	5	5
Pde8b	Trop2_KO_vs_WT	5.85049	5.41275	0.437735	2.58531	4.08774	0.00362044	0.712889	0.015873	5	5
1110002E22Rik	Trop2_KO_vs_WT	5.41934	7.38742	-1.96807	-2.68303	-4.24224	0.00367042	0.712889	0.00793651	5	5
Jag2	Trop2_KO_vs_WT	6.38713	7.53808	-1.15095	-2.56853	-4.0612	0.00369769	0.712889	0.015873	5	5
Hk3	Trop2_KO_vs_WT	8.41486	7.37045	1.04441	2.60453	4.11812	0.00380757	0.712889	0.00793651	5	5
Dhx32	Trop2_KO_vs_WT	8.81544	9.28637	-0.470929	-2.77492	-4.38753	0.00383418	0.712889	0.00793651	5	5
Dph7	Trop2_KO_vs_WT	7.54658	7.08005	0.466533	2.70417	4.27567	0.00383912	0.712889	0.015873	5	5
Ttc5	Trop2_KO_vs_WT	8.99652	8.36153	0.634997	2.74232	4.33599	0.00384749	0.712889	0.00793651	5	5
Gpr31b	Trop2_KO_vs_WT	4.62303	3.09304	1.52998	2.62814	4.15545	0.00386562	0.712889	0.015873	5	5
Zfp882	Trop2_KO_vs_WT	6.00244	5.1894	0.813034	2.53976	4.01571	0.00388208	0.712889	0.00793651	5	5
Or2y7	Trop2_KO_vs_WT	5.09995	7.05402	-1.95407	-2.53274	-4.00461	0.00394692	0.712889	0.00793651	5	5
Slamf6	Trop2_KO_vs_WT	6.81126	6.04479	0.766468	2.76196	4.36704	0.00404749	0.712889	0.00793651	5	5
Gm44771	Trop2_KO_vs_WT	4.07531	3.41498	0.660332	3.12001	4.93316	0.00408198	0.712889	0.00793651	5	5
Fgfbp1	Trop2_KO_vs_WT	6.61332	8.09469	-1.48136	-2.96697	-4.6912	0.00410346	0.712889	0.00793651	5	5
Elovl6	Trop2_KO_vs_WT	9.80896	10.7059	-0.896916	-2.51146	-3.97096	0.00413033	0.712889	0.00793651	5	5
Fgf11	Trop2_KO_vs_WT	5.58195	6.3635	-0.781554	-3.13729	-4.96049	0.00425752	0.712889	0.00793651	5	5
Ctla4	Trop2_KO_vs_WT	4.53331	3.91233	0.620976	2.48774	3.93346	0.00434133	0.712889	0.00793651	5	5
Acadm	Trop2_KO_vs_WT	9.14164	9.403	-0.261362	-2.52161	-3.98701	0.00438338	0.712889	0.00793651	5	5
Gm15542	Trop2_KO_vs_WT	5.00802	4.32863	0.679394	2.66189	4.20882	0.00446089	0.712889	0.00793651	5	5
Lpar6	Trop2_KO_vs_WT	9.25507	8.50197	0.753099	2.64766	4.18631	0.0044927	0.712889	0.00793651	5	5
