GeneSymbol	contrast	logFC_meaning	n_per_group	logFC	logCPM	submitter_edgeR_PValue	submitter_edgeR_FDR
Errfi1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.02528	9.24707	4.58654e-46	4.97755e-43
Rcan1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.16816	7.24642	7.16482e-46	7.40536e-43
Lbh	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.01953	7.97585	2.92213e-44	2.88295e-41
Thbs1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.84632	10.087	5.74777e-43	5.42415e-40
Tsix	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-4.15759	4.67663	1.30016e-42	1.17583e-39
Nfil3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.32129	4.61571	1.04997e-39	9.11582e-37
Atf3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.07848	6.9321	1.21459e-39	1.01395e-36
Slc7a11	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.47695	4.92375	4.27022e-39	3.43278e-36
Krt8	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.75504	7.56619	1.60177e-38	1.24166e-35
Slc7a5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.27868	5.72977	1.94869e-38	1.45849e-35
Plk3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.21123	5.4158	3.83108e-38	2.77179e-35
Mt2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.26231	5.57599	2.52216e-37	1.76592e-34
Ctgf	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.67683	9.30091	3.74021e-37	2.53691e-34
Tnfsf10	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.81036	7.26931	3.24623e-35	2.13514e-32
Arid5a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.10945	6.3044	7.52835e-35	4.78542e-32
Tnfrsf12a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.44296	5.84139	7.71665e-35	4.78542e-32
Dbp	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.66553	7.21634	4.76384e-34	2.8722e-31
Serpine1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.72324	6.87355	1.13197e-33	6.64041e-31
Gja5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.79683	6.44723	2.64357e-33	1.50997e-30
Epha2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.6129	7.33552	3.95285e-32	2.19991e-29
Nuak1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.12694	5.45498	2.35468e-31	1.27771e-28
Adamts15	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.7013	6.34459	1.07794e-30	5.70651e-28
Klf2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.41516	7.12942	2.69124e-30	1.39079e-27
Mir22hg	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.69063	6.38301	3.67748e-30	1.85627e-27
Trp53inp1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.57468	8.21215	5.90496e-30	2.91289e-27
Sgk1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.50183	8.03132	1.5473e-29	7.46315e-27
Mt1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.4725	6.39648	2.70344e-29	1.27561e-26
Krt18	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.54341	7.92142	6.29001e-29	2.90478e-26
Ptp4a1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.70758	5.68544	9.41844e-29	4.2589e-26
Fosb	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.69702	5.93025	1.00118e-28	4.43482e-26
Tcf21	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.15538	6.48619	3.3022e-28	1.43349e-25
Nr1d1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.46104	7.84778	5.92792e-28	2.52285e-25
Nr2f2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.76232	6.57954	1.50841e-27	6.29617e-25
Slc38a4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.77627	5.36598	3.98641e-27	1.63255e-24
Ubc	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.38791	10.8823	1.38203e-26	5.50509e-24
Trib1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.71656	7.22316	1.39498e-26	5.50509e-24
Hspb8	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.56317	6.28134	1.46665e-26	5.68458e-24
Myc	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.05397	4.68764	3.74488e-26	1.42601e-23
Has1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.44826	4.28859	7.68648e-26	2.87647e-23
Prss22	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	5.8864	2.99103	1.12983e-25	4.15643e-23
Sox18	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.22847	6.3938	2.20589e-25	7.97981e-23
Krtap17-1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.37265	3.63403	2.88519e-25	1.02661e-22
Adamtsl2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.67889	5.8927	5.85453e-25	2.04956e-22
Meox2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.66006	3.93302	1.53834e-24	5.29994e-22
Fam46b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.23423	4.89934	1.77923e-24	6.0341e-22
Ccl3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.86305	2.95505	2.47587e-24	8.26749e-22
Sgms2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.72167	5.12982	3.72919e-24	1.2264e-21
Apold1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.48717	5.03132	4.00432e-24	1.29722e-21
Map3k6	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.84121	5.69638	4.13012e-24	1.3183e-21
Gadd45a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.81973	4.99635	8.26336e-24	2.59936e-21
Il6	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	4.65179	2.94774	1.20854e-23	3.74735e-21
Csrnp1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.78837	6.55751	1.64286e-23	4.98706e-21
Foxj1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.68284	5.83448	1.65431e-23	4.98706e-21
Gadd45g	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.37703	5.28279	3.53986e-23	1.0525e-20
Egr2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.82271	4.93302	3.70986e-23	1.08814e-20
Slc7a1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.48167	6.05701	4.00099e-23	1.15789e-20
Gclc	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.9519	7.15383	5.13818e-23	1.46742e-20
Dusp8	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.68629	5.40251	1.5725e-22	4.43261e-20
Gdf15	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.67688	2.99812	2.44274e-22	6.7974e-20
Ngp	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	4.1363	2.95505	3.17312e-22	8.71804e-20
Rarg	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.52651	6.29939	3.64551e-22	9.89072e-20
Sesn2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.66828	5.11686	5.36944e-22	1.43881e-19
Tspan11	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.64242	5.75301	2.12492e-21	5.62456e-19
Dio2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.56267	3.99812	2.55272e-21	6.67553e-19
Pi15	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.72088	5.5056	2.58901e-21	6.68982e-19
Hk2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.16607	5.92468	2.72152e-21	6.94947e-19
Il1r2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	5.8864	2.99103	1.02453e-20	2.58576e-18
Cxcl2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	5.09722	2.25643	1.10755e-20	2.76315e-18
Smim3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.53927	5.27552	1.8287e-20	4.51044e-18
Phlda1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.61801	6.31082	2.75756e-20	6.72504e-18
Kcne4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.89572	4.37009	6.99681e-20	1.6874e-17
Ifrd1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.23413	6.95732	1.11771e-19	2.66592e-17
Arc	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.47317	2.81755	1.46626e-19	3.45925e-17
Txnrd1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.29538	7.6134	1.93199e-19	4.50901e-17
Adrb3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.88592	3.04679	2.39474e-19	5.52956e-17
Bcl2l1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.35431	7.89887	3.87261e-19	8.84789e-17
Rgcc	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.36531	7.36427	6.43142e-19	1.4541e-16
Angptl4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.62645	5.24008	8.83384e-19	1.97669e-16
Hoxa5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.51234	5.15542	9.83794e-19	2.1789e-16
Ccl7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	4.56	2.13305	1.17072e-18	2.56671e-16
Ccl2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.81669	2.37009	2.8872e-18	6.26668e-16
Hilpda	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.34135	6.17588	5.76529e-18	1.23897e-15
Rasgef1b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.25914	6.19297	9.6561e-18	2.05476e-15
Socs3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.54116	6.3158	9.86565e-18	2.07897e-15
Tacstd2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.2535	6.74355	2.68746e-17	5.60878e-15
G0s2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.3805	5.56887	3.75149e-17	7.75487e-15
Myct1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.2405	6.10459	4.80368e-17	9.83621e-15
Cxcl1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.20897	3.07389	6.87965e-17	1.39554e-14
Esm1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.68044	5.51181	8.44154e-17	1.69651e-14
Nt5c2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.23719	5.62947	1.01e-16	2.01121e-14
Edn1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.81968	5.24605	1.38574e-16	2.73432e-14
Fam84b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.11385	7.64987	1.41451e-16	2.76594e-14
Dll4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.28665	6.81604	1.60127e-16	3.10317e-14
Ccr2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.88632	4.84139	1.89392e-16	3.63784e-14
Efna1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.26347	6.3803	1.94569e-16	3.7045e-14
Cebpd	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.2905	7.13224	2.11584e-16	3.99342e-14
Ppp1r10	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.29873	6.31721	3.34153e-16	6.2524e-14
Col4a1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.06636	9.71962	3.79052e-16	7.0319e-14
Tnfaip3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.29784	6.06547	4.2653e-16	7.84563e-14
Chi3l3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.20463	7.45594	4.3405e-16	7.91685e-14
Tuft1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.40275	5.19297	4.43535e-16	8.02244e-14
Lrat	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.23101	6.7769	5.07649e-16	9.10621e-14
H2-Q7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.311	6.16253	5.14372e-16	9.15118e-14
Angptl7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.50672	4.22354	5.36863e-16	9.47366e-14
Ccrn4l	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.48864	5.11033	6.59425e-16	1.15426e-13
Sox2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.17368	3.55931	6.79083e-16	1.17916e-13
Aplnr	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.41871	6.88984	7.21949e-16	1.24364e-13
Kcnk1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.63294	5.40117	9.16793e-16	1.56685e-13
Rgs3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.16287	6.45498	1.22017e-15	2.06904e-13
Hr	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.64412	4.7372	1.24159e-15	2.08904e-13
Gbp2b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.28129	5.44593	1.4583e-15	2.43479e-13
Alpl	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.06211	3.59716	2.12164e-15	3.51528e-13
Dixdc1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.17348	5.65997	2.73379e-15	4.49522e-13
Zbtb21	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.29225	5.76448	3.46431e-15	5.65359e-13
Hif3a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.86889	4.12659	3.61202e-15	5.85066e-13
Arhgef15	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.05698	7.33657	4.58613e-15	7.37348e-13
Adm	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.43086	3.30297	4.944e-15	7.89041e-13
Bmf	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.1566	5.91347	6.37415e-15	1.00986e-12
Arg2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.3423	3.77278	6.66277e-15	1.04794e-12
Ptpn22	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	1.67249	4.18678	7.31727e-15	1.1426e-12
Trem1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.73644	3.40251	1.19506e-14	1.85278e-12
Mmp8	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	3.58584	4.14906	1.59464e-14	2.45473e-12
