accession	entrytype	taxon	n_samples	gds_type	gpl	pdat	title	summary	suppfile	gene_mentioned	matched_queries
GSE109810	GSE	Mus musculus	12		18480	2023/06/30	RNA-seq analyses of mouse embryonic fibloblasts (MEFs) reprogrammed into induced pulmonary epithelial cell-like cells	RNA-seq analyses of MEFs obtained from GFP/SP-C transgenic mice on CBA/Ca x C57BL/6 mixed background were transduced sets of 3 or 4 combination factors (Nkx2-1/Foxa1/Gata, Nkx2-1/Foxa2/Gata, Nkx2-1/Foxa1/Foxa2/Gata6) into induced pulmonary epithelial cell-like cells 14 days after the transduction. Abstract is as follows: pneumocyte differentiation has been achieved previously using embryonic stem cells or induced pluripotent stem cells. However, direct reprograming of somatic cells into pulmonary epithelial cells has not been achieved. Here, we report that a combination of three or four transcription factors (i.e., Nkx2-1, Gata6, and [Foxa1 and/or Foxa2]) directly reprogrammed mouse tail-tip fibroblast or embryonic fibroblast into differentiated induced pulmonary epithelial cell-like cells (iPUL cells). iPUL cells had a global gene expression profile similar to various kinds of pulmonary epithelial cells. Some iPUL cells showed lamellar body-like structures and expressed SP-C, consistent with the features of alveolar epithelial type II cells. Interestingly, intratracheal administration of iPUL cells rescued influenza virus-induced acute lung injury in mice. These findings demonstrate that functional pulmonary epithelial cell-like cells can be directly reprogrammed from differentiated somatic cells by defined factors. Reprograming of fibroblasts might provide a source of pulmonary epithelial cells for regenerative medicine. Publicly available raw RNA-seq data (GSE80101) representing whole mouse lung (SRR3353494, SRR3353497, SRR3353498) and alveolar type II cells (SRR3353495, SRR3353500, SRR3353510, SRR3353512) sorted in the basis of EpCAM+ and dTomato+ from SpcCreERT2;RosatdTomato mice were also simultaneously processed with our data.	TXT	False	Tacstd2 AND lung AND mouse
GSE109913	GSE	Mus musculus	12		21103	2018/02/01	Gene expression profiling on alveolar epithelial cells from mice intratracheally instilled with or without bleomycin or LPS.	We applied next-generation sequencing to investigate the gene expression profiles in mouse alveolar epithelial cells (AECs). We identified a number of differentially regulated genes in the AECs of mice with bleomycin induced pulmonary fibrosis and LPS induced acute lung injury.	XLS	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE110533	GSE	Mus musculus	6		18635	2019/01/30	Transcriptomic analysis of active form of Srebf1-overexpressed fibroblasts in bleomycin-induced lung fibrosis	Pulmonary fibrosis (PF) is an intractable disorder with a poor prognosis. Although lung fibroblasts play central roles in PF, their key regulatory molecules remain unclear. We performed transcriptome analysis of lung fibroblasts from bleomycin- and silica-treated murine lungs and identified 55 hub transcription factors highly connected to gene modules differentially expressed in PF. To elucidate whether fibroblast-specific intervention against the hub transcription factor Srebf1 modulates pathogenic activation of lung fibroblasts in vivo, we intratracheally-transferred active form of Srebf1-overexpressed fibroblasts into bleomycin-treated lungs and performed global transcriptome analysis.	TXT	False	TACSTD2 AND doxycycline
GSE110711	GSE	Mus musculus	27		18635	2019/01/30	Transcriptome network analysis reveals the LXR-Srebf1 axis as protective hub of fibroblast activation in murine pulmonary fibrosis	This SuperSeries is composed of the SubSeries listed below.	TXT	False	TACSTD2 AND doxycycline
GSE111850	GSE	Homo sapiens	60		16791	2019/04/23	Genome-wide maps of chromatin state in in vivo- and in vitro-derived chondrocytes	Here we assess chormtin modifications in chondrocytes across different stages of human ontogeny and in chondroyctes derived during from human pluripotent stem cells. These data demonstrate that at early stages of development or differentiation, genes associated with non-chondrogenic fates have more activating histone marks which are lost with increased developmental age or differentiation time.	BROADPEAK	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE113909	GSE	Homo sapiens	54		9052	2019/08/20	Myoepithelial cell perturbations in BRCA mutation carriers and in DCIS (ductal carcinoma in situ)	We describe the gene expression profiles and enhancer landscape of normal myoepithelial cells and perturbations of these in BRCA1 and BRCA2 mutation carriers and in DCIS. We identified a myoepithelial transcription regulatory network orchestrated by p63 and TCF7 and defined the genomic targets of these transcription factors by ChIP-seq. While the majority of myoepithelial cells co-express p63 and TCF7 in normal breast of healthy women, the frequency of these cells is significantly lower in BRCA1 mutation carriers and in DCIS. Downregulation of p63 in MCF10DCIS cells leads to loss of myoepithelial cells and invasive tumors, whereas overexpression of TCF7 enhances tumor growth. Our findings suggest that loss of normal myoepithelial cell function facilitates in situ to invasive carcinoma transition and it may also enhance tumor initiation in BRCA mutation carriers.	BED, NARROWPEAK, TSV	False	TACSTD2 AND doxycycline
GSE114326	GSE	Homo sapiens	11		16791	2019/12/03	Transcriptome profiling of CXCR2+ neuroendocrine (NE) tumor cells purified from patients' fresh prostate adenocarcinoma	The development of therapy resistance is inevitable in prostate cancer (PCa) despite maximal inhibition of androgen receptor (AR) signaling. Here, we for the first time purified a rare AR-negative NE-cell subset from primary fresh human PCa tissue based on cell-surface receptor CXCR2 and showed that they possess gene signatures of lethal cancer through transcriptional profiling. Functional studies demonstrate CXCR2 to be a driver of NE cells’ key phenotypes, including loss of AR expression, lineage plasticity, and resistance to hormonal-therapy. Furthermore, CXCR2-driven NE cells are critical for the tumor microenvironment by providing a survival niche for the bulk AR+ luminal cells. Importantly, inhibition of CXCR2 by a chemical inhibitor or genetic manipulation dramatically inhibits aggressive PCa cells in-vitro and in-vivo, demonstrating a central role of NE cells in human PCa. Therefore, we firmly established that targeting NE cells through CXCR2 represents a novel, AR-independent therapeutic strategy that will eliminate all tumor cells (NE and luminal), achieving superior therapeutic efficacy.	XLSX	False	TROP2[Title]
GSE114607	GSE	Homo sapiens	30		16791	2018/10/23	Human Organ-Specific Endothelial Cell Heterogeneity	The endothelium first forms in the blood islands in the extra-embryonic yolk sac and then throughout the embryo to establish circulatory networks that further acquire organ-specific properties during development to support diverse organ functions. Here, we investigated the properties of endothelial cells (ECs), isolated from four human major organsthe heart, lung, liver, and kidneys in individual fetal tissues at three months' gestation, at gene expression, and at cellular function levels. We showed that organ-specific ECs have distinct expression patterns of gene clusters, which support their specific organ development and functions. These ECs displayed distinct barrier properties, angiogenic potential, and metabolic rate and support specific organ functions. Our findings showed the link between human EC heterogeneity and organ development and can be exploited therapeutically to contribute in organ regeneration, disease modeling, as well as guiding differentiation of tissue-specific ECs from human pluripotent stem cells.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE115834	GSE	Mus musculus	1		19057	2021/06/14	Single Cell Analysis of Mouse Lung Epcam+CD31/34/45- Epithelial Cells	Epithelial cell homeostasis and renewal in the lung requires the supportive signals from surrounding mesenchymal cells. Single cell RNA-seq analysis was used to examine the gene expression levels of several receptors on the Sftpc+ alveolar type II stem cells. Single cell RNA-seq revealed Ghr, Cxcr2, Cxcr4, and Igf1r expressing cells were all Sftpc+ cells in the normal mouse lung.	CSV	False	Tacstd2 AND lung AND mouse
GSE116309	GSE	Mus musculus	20		6246	2019/01/10	Analysis of gene expression dynamics during iPS cell derivation from mouse embryonic fibroblasts using reprogramming systems with different Klf4 stoichiometry	The forced expression of Yamanaka factors (Oct3/4, Sox2, Klf4, and c-Myc) reprograms cells into induced pluripotent stem cells (iPSCs) through a series of sequential cell fate conversions. The order and robustness of gene expression changes are highly depended on the Yamanaka factor stoichiometry. We specifically focused on two different reprogramming paths induced by high- and low-Klf4 stoichiometry, which were accomplished by introducing OK+9MS or OKMS polycistronic cassettes, respectively, into mouse embryonic fibroblasts. By comparing these reprograming intermediates with embryonic stem cells (ESCs) and primary keratinocytes, we identified high-Klf4 specific, transiently up-regulated epithelial genes. We found that expression of these epithelial genes was enriched in a TROP2-positive cell population. Moreover, we identified a set of transcription factors which are candidates for the regulation of transiently expressed epithelial genes, and revealed their connection to high-Klf4-specific reprogramming hallmarks.	CEL	True	TROP2[Title]
GSE120395	GSE	Mus musculus	12		17021	2019/09/24	Regulatory T cell depletion promotes oncogenic Kras driven pancreatic tumorigenesis.	Regulatory T cells (Treg) are common in the tumor microenvironment in both human pancreatic cancer and in genetically engineered mouse models of the disease. Previous studies in orthotopic syngeneic models of pancreatic cancer -recapitulated in our own data- indicated that Treg depletion results CD8+ T cell-mediated tumor regression. In human patients and in mouse models, regulatory T cells accumulate during the onset of Pancreatic Intraepithelial Neoplasia (PanIN), the earliest steps of carcinogenesis. We thus generated a genetic model to investigate the role of regulatory T cells during the onset of pancreatic carcinogenesis. Unexpectedly, depletion of Tregs during early stages of carcinogenesis led to accelerated tumor progression.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE121999	GSE	Homo sapiens	12		16791	2019/06/25	Genome-wide expression analysis of EPCAM+ epithelial cells from 3-dimensional lung organoids harboring Hermansky-Pudlak Syndrome-associated mutations	Introduction of Hermansky-Pudlak Syndrome-associated mutations with CRISPR/Cas9 genome editing, allows for disease modeling in 3D cultures of hPSC-derived lung organoids.	TXT	False	TACSTD2 AND lung AND (knockdown OR knockout OR shRNA OR siRNA OR CRISPR)
GSE125113	GSE	Homo sapiens	8		570	2019/01/16	Epithelial mesenchymal transition using doxycycline-inducible Snail, Zeb1, TGFbeta or Vector in H358 NSCLC cell line	Epithelial – mesenchymal transition (EMT) is an important contributor to the invasion and metastasis of epithelial-derived cancers. While considerable effort has focused in the regulators involved in the transition process, we have focused on consequences of EMT to prosurvival signaling. Changes in distinct metastable and ‘epigentically-fixed’ EMT states were measured by correlation of protein, phosphoprotein, phosphopeptide and RNA transcript abundance. The assembly of 1167 modulated components into functional systems or machines simplified biological understanding and increased prediction confidence highlighting four functional groups: cell adhesion and migration, metabolism, transcription nodes and proliferation/survival networks. A coordinate metabolic reduction in a cluster of 17 free-radical stress pathway components was observed and correlated with reduced glycolytic and increased oxidative phosphorylation enzyme capacity, consistent with reduced cell cycling and reduced need for macromolecular biosynthesis in the mesenchymal state. An attenuation of EGFR autophosphorylation and a switch from autocrine to paracrine-competent EGFR signaling was implicated in the enablement of tumor cell chemotaxis. A similar attenuation of IGF1R, MET and RON signaling with EMT was observed. In contrast, EMT increased prosurvival autocrine IL11/IL6-JAK2-STAT signaling, autocrine fibronectin-integrin activation, autocrine Axl/Tyro3/PDGFR/FGFR RTK signaling and autocrine TGF-R signaling. A relatively uniform loss of polarity and cell-cell junction linkages to actin cytoskeleton and intermediate filaments was measured at a systems level. A more heterogeneous gain of ECM remodeling and associated with invasion and migration was observed. Correlation to stem cell, EMT, invasion and metastasis datasets revealed the greatest similarity with normal and cancerous breast stem cell populations, CD49fhi/EpCAM-/lo and CD44hi/CD24lo respectively. Thomson, S., Petti, F., Sujka-Kwok, I., Mercado, P., Bean, J., Monaghan, M., Seymour, S.L., Argast, G., Epstein, D. and Haley, J.D. (2011). ‘A systems view of epithelial - mesenchymal transition signaling states’ Clin. Exp. Metastasis 28, 137-55.	CEL, CHP	False	TACSTD2 AND doxycycline
GSE126374	GSE	Mus musculus	8		13112	2022/02/01	Single cell sequencing of Tri-PyMT cells	To study the contribution of epithelial-to-mesenchymal transition (EMT) in tumor metastasis, we established an EMT lineage tracing model in a multiple-transgenic mouse (MMTV-PyMT/Fsp1-Cre/Rosa26mT/mG, Tri-PyMT). In this model, breast tumor cells that underwent EMT would irreversibly switch their expression of the fluorescent marker from RFP+ to GFP+ due to the mesenchymal specific Cre expression. Surprisingly, we found that metastatic tumor cells did not convert from RFP+ to GFP+. Lung metastases were predominantly composed of RFP+ tumor cells persistently exhibiting epithelial phenotypes. These findings challenge the concept that EMT is required for metastasis, and have attracted vigorous discussion about its true contributions to metastasis. One of the major concerns with the EMT lineage tracing model is that expression of GFP only indicates the complete EMT transition. The partial-EMT programming, a novel concept describing tumor cells exhibiting both epithelial and mesenchymal features, could possibly fail to launch the Fsp1-Cre-mediated fluorescent marker switch. To address this concern, we evaluated the EMT status of Tri-PyMT cells on the single cell level by performing single cell RNA-sequencing (scRNA-seq). We found that the expression of epithelial markers (i.e. Epcam and Krt18) and mesenchymal markers (i.e. Vim and S110a4) were largely confined to RFP+ and GFP+ subpopulations, respectively. Based on the differentially expressed EMT related genes, we observed an EMT spectrum in which the low EMT score end was enriched with RFP+ cells, whereas the high EMT score end was enriched with GFP+ cells. Indeed, the fluorescent marker switch in Tri-PyMT cells predicted their EMT status with high specificity and sensitivity. Tri-PyMT cells which were derived from the primary breast tumor of triple transgenic mouse (MMTV-PyMT:Fsp1-cre:Rosa26mT/mG) were sorted into RFP+ or GFP+ populations by FACS and subjected for Drop-seq analysis.	TXT	False	Tacstd2 AND lung AND mouse
GSE126681	GSE	Mus musculus	30		21493	2020/08/31	Pleiotrophic roles of VEGF during neonatal thymic development	In this report, we show that VEGF-blockade in neonates induces rapid changes in all three stromal compartments of the thymus, and that these changes recapitulate the maturation of these cell types seen during the transition from the neonatal to the young adult thymus. These changes in the microenvironment occur prior to the loss of thymocytes, and include not only a loss of cTECs relative to mTECs but also depletion of CD146+CD140aneg cells, a novel population of pericytes we have identified in the neonatal thymus. Importantly, we show that based on receptor expression and receptor blockade, VEGF drives the fetal/neonatal phenotype of the thymus through distinct VEGFR2- and NRP1-dependent pathways in thymic endothelial and mesenchymal cells respectively. In addition, receptor signaling induces changes in critical pathways affecting the function of all three compartments, with consequences on thymopoieisis.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE126817	GSE	Mus musculus	18		17021	2022/01/31	The long non-coding RNA Falcor regulates Foxa2 expression to maintain lung epithelial homeostasis and promote regeneration (RNA-Seq)	EpCAM+ lung epithelial cells were isolated by magnetic bead sorting from either wild-type animals 10-12 weeks of age, or with the genotypes Falcor-/-, Foxa2+/-, or Double-Het (Falcor+/-;Foxa2+/-) animals	CSV	False	Tacstd2 AND lung AND mouse
GSE127556	GSE	Mus musculus	133		23479;17021	2020/02/05	Smarcad1 coordinates innate immunity-linked gene expression in the intestinal epithelium	This SuperSeries is composed of the SubSeries listed below.		False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE128707	GSE	Mus musculus	7		21103	2019/03/23	Regulatory T cell depletion causes compensatory immune suppression and accelerated pancreatic carcinogenesis.	Regulatory T cells (Treg) are common in the tumor microenvironment in both human pancreatic cancer and in genetically engineered mouse models of the disease. Previous studies in orthotopic syngeneic models of pancreatic cancer -recapitulated in our own data- indicated that Treg depletion results CD8+ T cell-mediated tumor regression. In human patients and in mouse models, regulatory T cells accumulate during the onset of Pancreatic Intraepithelial Neoplasia (PanIN), the earliest steps of carcinogenesis. We thus generated a genetic model to investigate the role of regulatory T cells during the onset of pancreatic carcinogenesis. Unexpectedly, depletion of Tregs during early stages of carcinogenesis led to accelerated tumor progression.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE128724	GSE	Mus musculus	14		21493	2019/08/01	Gene expression profiling of Trop2+ and Trop2- luminal epithelial cells and stromal cells from young adult and old mouse prostates	We set out to determine if distinct prostate luminal epithelial cell-types exhibited age-related differences in their gene expression profiles. We used fluorescence activated cell sorting to isolate Trop2+ and Trop2- luminal cells and EpCAM- CD49f- stromal cells from dissociated preparations of prostate tissue taken from young adult (3 months) and old (24 months of age) mice. RNA was extracted from sorted cells to evaluate differences in gene expression.	TXT, XLSX	True	TROP2[Title]
GSE129401	GSE	Mus musculus	93		19057	2025/03/31	Single cell RNA-seq analysis of Tbx4+ and Tbx4- mouse lung mesenchymal cells	Purpose: The goals of this study are to analyze Tbx4 lineage+ and Tbx4 lineage- cells sorted from Tbx4cre;RosaTm mouse lung. Methods: Tbx4 lineage+ and Tbx4 lineage- cells within epcam+ CD31- CD45- 7AAD- cells were sorted from Tbx4cre;RosaTm mouse lung, and run on the C1 chip (Fluidigm). Cell capture, lysis, reverse transcription and cDNA amplification was performed on the C1 IFC for mRNA-seq on Fluidigm C1 Single-Cell Auto Prep System following the manufacturer’s protocol. Results: C1 single cell RNA-seq platform captured and sequenced 54 Tbx4 lineage+ cells and 39 Tbx4 lineage - cells. Conclusions: Our study analyzed transcriptomes of Tbx4 lineage+ and Tbx4 lineage- lung mesenchymal cells. This study provides a framework for the application of transcriptome profiling towards characterization of differentiated genes Tbx4 lineage+ and Tbx4 lineage - cells.	XLS	False	Tacstd2 AND lung AND mouse
GSE129738	GSE	Mus musculus	18		13112	2019/04/13	A subset of type I conventional dendritic cells control cutaneous bacterial infections through VEGFa-mediated recruitment of neutrophils [bulk RNA-seq]	Skin conventional dendritic cells (cDC) exist as two distinct subsets, cDC1 and cDC2, which maintain the balance of immunity to pathogens and tolerance to self and microbiota. Here we examined the roles of dermal cDC1 and cDC2 during bacterial infection, notably Propionibacterium acnes (P. acnes). cDC1, but not cDC2, regulated the magnitude of the immune response to P. acnes in the murine dermis by controlling neutrophil recruitment to the inflamed site and survival and function therein. Single-cell mRNA sequencing revealed that this regulation relied on secretion of the cytokine VEGFα by a minor subset of activated EpCAM+CD59+Ly6D+ cDC1. Neutrophil recruitment by dermal cDC1 was also observed during S. aureus, BCG or E. coli infection, as well as in a model of bacterial insult in human skin. Thus, skin cDC1 are essential regulators of the innate response in cutaneous immunity, with roles beyond classical antigen presentation.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE133603	GSE	Homo sapiens; Mus musculus	15		18573;19057	2021/08/11	Aberrant type 1 immunity drives mucosal fungal infection susceptibility	The objective of this study was to understand the impact of autoimmune regulator (AIRE) on immunity against oral Candida albicans infection. Previous work indicated that autoantibodies against IL-17 and IL-22 may contribute to host susceptibility; however, there is not a 100% correlation between autoantibodies and mucosal candidiasis in autoimmune polyendocrinopathy candidiasis ectodermal dystrophy (APECED) patients, indicating that other pathways may be affected. Using a mouse model that very closely mimics what is seen in APECED patients, oral epithelial cells were sorted and RNA extracted from them to perform RNA-seq analysis to determine what other pathways may be involved. These data show that the type II interferon pathway is highly upregulated in Aire-deficient mice, while the IL-17R pathway is intact.	TXT	False	TACSTD2 AND interferon
