gene_short_name	note	MCF7_KO	MCF7_WT	T47D_KO	T47D_WT	log2FC_T47D_KO_vs_WT	log2FC_MCF7_KO_vs_WT	log2FC_mean_bothlines	same_direction_both_lines
SRMS	group-mean FPKM only; no per-replicate data in GEO	2.08263	5.32983	0	2.24646	-2.45757	-1.17461	-1.81609	True
MAGED1	group-mean FPKM only; no per-replicate data in GEO	10.8836	19.337	0.10913	3.81831	-2.82564	-0.801237	-1.81344	True
SCNN1A	group-mean FPKM only; no per-replicate data in GEO	0.638333	0.834742	0.947637	13.9556	-3.31986	-0.229638	-1.77475	True
TNFAIP2	group-mean FPKM only; no per-replicate data in GEO	0.606005	4.48773	0.14568	1.15189	-1.35523	-2.17303	-1.76413	True
C1orf64	group-mean FPKM only; no per-replicate data in GEO	0	0.285049	0	2.95965	-2.79063	-0.650855	-1.72074	True
LOC100233156	group-mean FPKM only; no per-replicate data in GEO	0.881177	3.2093	0	1.52247	-2.01612	-1.42525	-1.72068	True
MACC1	group-mean FPKM only; no per-replicate data in GEO	0.82889	0.88726	0.252667	7.2131	-3.35723	-0.0620165	-1.70962	True
LOC101927973	group-mean FPKM only; no per-replicate data in GEO	0	0	0.216061	7.12566	-3.41271	0	-1.70635	False
AMER2	group-mean FPKM only; no per-replicate data in GEO	0	5.84981	7.75336	6.06341	0.330536	-3.66671	-1.66809	False
LINC00442	group-mean FPKM only; no per-replicate data in GEO	3.29337	30.2335	20.317	25.2765	-0.308294	-3.01826	-1.66328	True
HOPX	group-mean FPKM only; no per-replicate data in GEO	0.117706	3.2647	0.0954859	0.456736	-0.684054	-2.60754	-1.6458	True
PGC	group-mean FPKM only; no per-replicate data in GEO	0	0.218407	0.256863	4.63543	-2.76238	-0.522873	-1.64263	True
PIP5K1B	group-mean FPKM only; no per-replicate data in GEO	0.43656	1.85512	0.787827	4.38078	-1.92217	-1.33036	-1.62627	True
PSCA	group-mean FPKM only; no per-replicate data in GEO	3.00051	15.9073	26.8491	54.8395	-1.01682	-2.2287	-1.62276	True
FBP1	group-mean FPKM only; no per-replicate data in GEO	78.4699	148.931	5.56677	29.9022	-2.32518	-0.920105	-1.62264	True
DKK1	group-mean FPKM only; no per-replicate data in GEO	1.75064	6.80321	7.58645	22.9168	-1.53397	-1.6982	-1.61608	True
LDLRAD4	group-mean FPKM only; no per-replicate data in GEO	3.43909	19.502	30.8569	56.1097	-0.852266	-2.34421	-1.59824	True
PARVB	group-mean FPKM only; no per-replicate data in GEO	0.845254	0.459046	0.116364	7.38389	-3.67705	0.488207	-1.59442	False
CA2	group-mean FPKM only; no per-replicate data in GEO	4.74298	16.0548	1.23237	4.48173	-1.5239	-1.65879	-1.59135	True
GDPD3	group-mean FPKM only; no per-replicate data in GEO	8.69043	40.901	24.1754	48.7931	-0.998312	-2.17146	-1.58489	True
ZNF22	group-mean FPKM only; no per-replicate data in GEO	6.02904	5.48806	0	4.16147	-3.22078	0.124782	-1.548	False
TLE4	group-mean FPKM only; no per-replicate data in GEO	0.367134	6.47543	0.351586	0.403319	-0.0850833	-3.00796	-1.54652	True
CMAHP	group-mean FPKM only; no per-replicate data in GEO	0.788847	2.03079	1.8518	9.60696	-2.10351	-0.973507	-1.53851	True
PCDH10	group-mean FPKM only; no per-replicate data in GEO	0	2.92065	113.18	135.815	-0.261966	-2.77427	-1.51812	True
ISL1	group-mean FPKM only; no per-replicate data in GEO	0.315486	1.78732	3.18534	10.1668	-1.53326	-1.48793	-1.51059	True
PKHD1L1	group-mean FPKM only; no per-replicate data in GEO	0.0555386	0.113415	2.30045	19.7532	-2.85442	-0.142976	-1.4987	True
MATN3	group-mean FPKM only; no per-replicate data in GEO	0.375098	3.13492	1.20256	2.71228	-0.915892	-2.05441	-1.48515	True
TFPI	group-mean FPKM only; no per-replicate data in GEO	10.4885	82.3717	9.34414	9.63292	-0.0417129	-2.91489	-1.4783	True
KRT80	group-mean FPKM only; no per-replicate data in GEO	2.3451	9.80426	1.76557	4.33516	-1.09369	-1.85669	-1.47519	True
PYCARD	group-mean FPKM only; no per-replicate data in GEO	0.0943693	3.86243	0.0925443	0.118148	-0.0610293	-2.8757	-1.46836	True
CACNG4	group-mean FPKM only; no per-replicate data in GEO	3.89086	16.653	6.12158	12.2151	-0.941295	-1.96589	-1.45359	True
TMEM45B	group-mean FPKM only; no per-replicate data in GEO	1.53316	4.25248	3.58517	12.5832	-1.67925	-1.22496	-1.4521	True
TRIM4	group-mean FPKM only; no per-replicate data in GEO	3.48224	4.28508	0	2.60958	-2.63672	-0.264963	-1.45084	True
GCSAM	group-mean FPKM only; no per-replicate data in GEO	1.83399	4.78516	1.18772	5.03472	-1.71343	-1.17915	-1.44629	True
PP14571	group-mean FPKM only; no per-replicate data in GEO	0.0693514	0.582157	3.36864	14.2978	-1.93548	-0.926519	-1.431	True
DDC	group-mean FPKM only; no per-replicate data in GEO	0.491278	7.21457	0.0385806	0	0.107234	-2.96022	-1.42649	False
GACAT2	group-mean FPKM only; no per-replicate data in GEO	3.56141	9.71812	1.08124	4.02205	-1.51592	-1.33108	-1.4235	True
FAM19A5	group-mean FPKM only; no per-replicate data in GEO	0	3.81234	4.08938	3.29018	0.276033	-3.10847	-1.41622	False
TARP	group-mean FPKM only; no per-replicate data in GEO	48.5228	46.6155	0.590177	7.5593	-2.88609	0.0572511	-1.41442	False
DICER1-AS1	group-mean FPKM only; no per-replicate data in GEO	0.232992	0.76733	0	1.52193	-2.01573	-0.789923	-1.40283	True
SNORA14A	group-mean FPKM only; no per-replicate data in GEO	5.41717	7.78843	0.540621	4.59618	-2.29197	-0.486192	-1.38908	True
LINC01340	group-mean FPKM only; no per-replicate data in GEO	0.408327	0.443451	0.492903	6.02692	-2.71668	-0.0547358	-1.38571	True
IGFL1	group-mean FPKM only; no per-replicate data in GEO	0.0569785	2.41928	0	0.142868	-0.362594	-2.38992	-1.37626	True
DLK1	group-mean FPKM only; no per-replicate data in GEO	0.564655	5.47128	0.116451	0.214795	-0.213543	-2.48765	-1.3506	True
FAM25A	group-mean FPKM only; no per-replicate data in GEO	5.34373	5.14289	1.40942	12.3161	-2.74675	0.0504553	-1.34815	False
KIFC3	group-mean FPKM only; no per-replicate data in GEO	0.56163	4.8772	5.00698	6.39709	-0.324726	-2.34057	-1.33265	True
LRP2	group-mean FPKM only; no per-replicate data in GEO	2.03355	13.7729	0.338289	0.435581	-0.158415	-2.49405	-1.32623	True
LIPH	group-mean FPKM only; no per-replicate data in GEO	1.16131	3.57203	4.23255	11.5868	-1.35274	-1.29343	-1.32308	True
LINC01553	group-mean FPKM only; no per-replicate data in GEO	0	0	0	2.59654	-2.63066	0	-1.31533	False
VTN	group-mean FPKM only; no per-replicate data in GEO	0.456805	3.72478	0.275711	0.585596	-0.484896	-2.14258	-1.31374	True
LINC00052	group-mean FPKM only; no per-replicate data in GEO	0.872792	2.64031	2.50107	7.57536	-1.42805	-1.19379	-1.31092	True
ERP27	group-mean FPKM only; no per-replicate data in GEO	0.112186	1.62557	0.719334	1.62322	-0.800161	-1.79581	-1.29798	True
LGALS1	group-mean FPKM only; no per-replicate data in GEO	16.2322	69.0765	11.8697	17.4264	-0.535275	-2.05597	-1.29562	True
UGT2B17	group-mean FPKM only; no per-replicate data in GEO	1.22426	0.692066	0.392085	7.22237	-3.11379	0.532513	-1.29064	False
GRHL3	group-mean FPKM only; no per-replicate data in GEO	0.717528	3.34414	0.572862	1.52259	-0.914739	-1.65871	-1.28672	True
MGP	group-mean FPKM only; no per-replicate data in GEO	6.74204	13.9627	7.29696	22.3751	-1.55279	-0.997869	-1.27533	True
SRC	group-mean FPKM only; no per-replicate data in GEO	1.16233	3.63925	0.237694	1.23292	-1.23211	-1.31616	-1.27414	True
MZB1	group-mean FPKM only; no per-replicate data in GEO	0.531574	2.73032	1.43062	3.09472	-0.896815	-1.64683	-1.27182	True
S100A14	group-mean FPKM only; no per-replicate data in GEO	178.971	205.461	22.4524	114.103	-2.31993	-0.19862	-1.25927	True
TGFB3	group-mean FPKM only; no per-replicate data in GEO	1.46609	5.17606	1.39651	3.25236	-0.984451	-1.52956	-1.25701	True
GALNT12	group-mean FPKM only; no per-replicate data in GEO	1.5298	3.61631	1.844	6.06316	-1.48542	-1.02001	-1.25272	True
CMYA5	group-mean FPKM only; no per-replicate data in GEO	5.85973	10.9875	4.72803	15.7863	-1.63932	-0.853027	-1.24617	True
TFR2	group-mean FPKM only; no per-replicate data in GEO	4.54645	9.02823	1.50204	5.37015	-1.55193	-0.916939	-1.23443	True
PLIN1	group-mean FPKM only; no per-replicate data in GEO	0.615333	0.501741	0	2.5653	-2.61603	0.154965	-1.23053	False
ATP13A4	group-mean FPKM only; no per-replicate data in GEO	0	0	0.176117	3.18471	-2.44621	0	-1.2231	False
CECR5-AS1	group-mean FPKM only; no per-replicate data in GEO	0.421215	0.924547	1.31832	5.7449	-1.78007	-0.628893	-1.20448	True
GNRH1	group-mean FPKM only; no per-replicate data in GEO	0.389588	1.94054	3.7011	7.61839	-0.950427	-1.45599	-1.20321	True
MEG3	group-mean FPKM only; no per-replicate data in GEO	0.0792013	3.52758	0.291602	0.0991573	0.40184	-2.79778	-1.19797	False
ASCL1	group-mean FPKM only; no per-replicate data in GEO	0.580564	0.315251	0	2.97853	-2.79848	0.406468	-1.196	False
LOC100128770	group-mean FPKM only; no per-replicate data in GEO	2.0542	3.12762	1.00713	5.00775	-1.86966	-0.506152	-1.18791	True
INPP5J	group-mean FPKM only; no per-replicate data in GEO	0.631224	4.08043	3.30491	4.35621	-0.351968	-2.0176	-1.18478	True
LUZP2	group-mean FPKM only; no per-replicate data in GEO	2.01784	10.6891	1.63322	1.97778	-0.216015	-2.15184	-1.18393	True
ASTL	group-mean FPKM only; no per-replicate data in GEO	0.0428404	1.93134	0.0775709	0.165136	-0.203651	-2.16315	-1.1834	True
HLA-DRB6	group-mean FPKM only; no per-replicate data in GEO	0.161838	2.20771	0.16946	0.343608	-0.333575	-2.03252	-1.18305	True
TNS3	group-mean FPKM only; no per-replicate data in GEO	4.77429	19.225	12.0319	16.7114	-0.457759	-1.90298	-1.18037	True
CCSER1	group-mean FPKM only; no per-replicate data in GEO	0.585365	6.62439	18.0913	14.0241	0.356179	-2.71459	-1.1792	False
MUCL1	group-mean FPKM only; no per-replicate data in GEO	2.61737	6.87906	0.238747	1.0768	-1.09385	-1.24311	-1.16848	True
ARHGEF9	group-mean FPKM only; no per-replicate data in GEO	4.24738	3.87127	0.256801	3.64803	-2.45444	0.119079	-1.16768	False
RNY1	group-mean FPKM only; no per-replicate data in GEO	156.753	386.38	312.195	623.42	-0.996605	-1.2988	-1.1477	True
TDH	group-mean FPKM only; no per-replicate data in GEO	2.89422	9.07065	2.58342	4.82713	-0.788827	-1.49554	-1.14218	True
LINC01213	group-mean FPKM only; no per-replicate data in GEO	2.89101	2.7293	1.64358	10.3804	-2.34364	0.0704936	-1.13657	False
ADGRF4	group-mean FPKM only; no per-replicate data in GEO	0.696216	4.00966	0.223031	0.423133	-0.352481	-1.91454	-1.13351	True
ID4	group-mean FPKM only; no per-replicate data in GEO	0.594054	1.38397	3.01785	9.30819	-1.47929	-0.784092	-1.13169	True
EFEMP1	group-mean FPKM only; no per-replicate data in GEO	4.78596	26.0324	27.8612	26.4746	0.072317	-2.32752	-1.1276	False
PTPN21	group-mean FPKM only; no per-replicate data in GEO	2.86229	10.3082	6.65097	10.0892	-0.566383	-1.68461	-1.1255	True
SBNO2	group-mean FPKM only; no per-replicate data in GEO	0.885552	1.4943	0.513277	2.8228	-1.71337	-0.525422	-1.1194	True
IL1R1	group-mean FPKM only; no per-replicate data in GEO	0.464935	3.69491	7.18145	7.74352	-0.101882	-2.12014	-1.11101	True
ARHGAP19,SLIT1	group-mean FPKM only; no per-replicate data in GEO	17.3754	17.3327	6.46773	32.084	-2.2254	0.00345037	-1.11098	False
KLK12	group-mean FPKM only; no per-replicate data in GEO	0.179498	0	0.377994	5.06527	-2.66417	0.442541	-1.11081	False
UGT1A6	group-mean FPKM only; no per-replicate data in GEO	0.135347	1.54926	0.854393	1.45398	-0.528769	-1.68949	-1.10913	True
MIR4756	group-mean FPKM only; no per-replicate data in GEO	3.18809	3.48317	0.513726	3.85954	-2.10451	-0.111043	-1.10778	True
CACNA2D4	group-mean FPKM only; no per-replicate data in GEO	0.783147	1.9732	0.676112	2.33354	-1.26858	-0.946692	-1.10764	True
CHRD	group-mean FPKM only; no per-replicate data in GEO	0.89415	5.47222	0.295311	0.353387	-0.101681	-2.09888	-1.10028	True
MTRF1L	group-mean FPKM only; no per-replicate data in GEO	1.00498	3.84388	1.89636	3.24601	-0.64451	-1.52924	-1.08688	True
CACNA1H	group-mean FPKM only; no per-replicate data in GEO	11.1383	7.192	0.182727	4.1187	-2.75811	0.59745	-1.08033	False
HUNK	group-mean FPKM only; no per-replicate data in GEO	0.971579	6.46707	4.97095	4.66184	0.0839059	-2.24319	-1.07964	False
BCAM	group-mean FPKM only; no per-replicate data in GEO	4.46986	13.1261	15.3552	25.2952	-0.702147	-1.4551	-1.07862	True
CSTA	group-mean FPKM only; no per-replicate data in GEO	70.5867	209.46	89.705	135.556	-0.592921	-1.56246	-1.07769	True
APOBEC3B	group-mean FPKM only; no per-replicate data in GEO	2.1554	6.25279	1.09309	2.26886	-0.797464	-1.34655	-1.07201	True
PCDH9	group-mean FPKM only; no per-replicate data in GEO	19.1411	7.46704	0.158347	6.65955	-3.44295	1.30176	-1.07059	False
PLCB4	group-mean FPKM only; no per-replicate data in GEO	4.28369	8.29534	8.2791	20.3951	-1.25102	-0.878615	-1.06482	True
TRIM6-TRIM34	group-mean FPKM only; no per-replicate data in GEO	0.542894	1.0061	0.922762	3.81004	-1.59901	-0.530225	-1.06462	True
SLC37A2	group-mean FPKM only; no per-replicate data in GEO	0.0901889	0.319064	0.400759	2.3375	-1.65541	-0.472799	-1.0641	True
GPC5	group-mean FPKM only; no per-replicate data in GEO	0.174702	10.881	5.78003	1.12133	1.95359	-4.07623	-1.06132	False
SEPP1	group-mean FPKM only; no per-replicate data in GEO	4.00756	32.396	27.4793	16.1519	0.748673	-2.86749	-1.05941	False
B4GALNT3	group-mean FPKM only; no per-replicate data in GEO	0.268645	1.73446	0.221079	0.569905	-0.569253	-1.53954	-1.0544	True
PMS2P3	group-mean FPKM only; no per-replicate data in GEO	8.63507	10.1438	0.263033	2.29161	-1.87128	-0.220526	-1.0459	True
MATR3	group-mean FPKM only; no per-replicate data in GEO	0.397858	2.50611	1.53668	2.09305	-0.348431	-1.74334	-1.04588	True
C2CD4C	group-mean FPKM only; no per-replicate data in GEO	0.452926	2.28153	0.372732	0.76963	-0.540798	-1.54544	-1.04312	True
ATP6V0A4	group-mean FPKM only; no per-replicate data in GEO	3.4701	7.98133	6.67446	13.741	-0.989108	-1.09512	-1.04211	True
PLCL1	group-mean FPKM only; no per-replicate data in GEO	0.271841	0.412609	0.879024	4.38513	-1.82475	-0.241693	-1.03322	True
FAM228B	group-mean FPKM only; no per-replicate data in GEO	1.3007	4.42142	8.22449	12.8244	-0.610928	-1.45052	-1.03072	True
MEGF6	group-mean FPKM only; no per-replicate data in GEO	4.24245	5.51058	2.51374	9.34749	-1.7082	-0.341872	-1.02504	True
MESP1	group-mean FPKM only; no per-replicate data in GEO	2.94791	4.19568	1.0335	4.13058	-1.59436	-0.445612	-1.01999	True
RNY4	group-mean FPKM only; no per-replicate data in GEO	25.0862	32.9699	22.4438	71.0795	-1.64144	-0.387498	-1.01447	True
S100P	group-mean FPKM only; no per-replicate data in GEO	10.2846	9.91156	6.72175	29.7106	-2.06463	0.0507864	-1.00692	False
UFSP1	group-mean FPKM only; no per-replicate data in GEO	6.22064	7.6019	1.12357	4.89465	-1.73236	-0.269662	-1.00101	True
TPO	group-mean FPKM only; no per-replicate data in GEO	0.613598	1.71014	2.74939	6.05531	-1.0125	-0.988909	-1.0007	True
SEMA3B-AS1	group-mean FPKM only; no per-replicate data in GEO	2.80797	5.19244	1.63764	4.45956	-1.21419	-0.783101	-0.998647	True
SMIM2-AS1	group-mean FPKM only; no per-replicate data in GEO	1.50609	3.85256	0.305444	0.974915	-0.872776	-1.11748	-0.995127	True
CDR1	group-mean FPKM only; no per-replicate data in GEO	0.200451	3.45625	0.323554	0.0776035	0.511784	-2.49778	-0.992997	False
LINC00472	group-mean FPKM only; no per-replicate data in GEO	4.35684	7.62015	7.26647	17.8345	-1.23923	-0.741488	-0.990359	True
SHC2	group-mean FPKM only; no per-replicate data in GEO	0.491713	3.40752	0	0	0	-1.97826	-0.989129	False
CLIP4	group-mean FPKM only; no per-replicate data in GEO	0.126919	3.10677	1.45132	0.835309	0.547277	-2.52436	-0.98854	False
ZNF583	group-mean FPKM only; no per-replicate data in GEO	0.136746	1.06654	0.781845	1.52908	-0.662604	-1.29879	-0.980698	True
BIVM	group-mean FPKM only; no per-replicate data in GEO	1.08322	1.69691	0.755105	3.01262	-1.48474	-0.472614	-0.978677	True
LOC101927415	group-mean FPKM only; no per-replicate data in GEO	1.91179	2.53014	1.07016	4.34992	-1.62705	-0.32928	-0.978165	True
PRRT4	group-mean FPKM only; no per-replicate data in GEO	0.588994	2.62303	0.604714	0.99298	-0.434522	-1.51995	-0.977236	True
CAPN5	group-mean FPKM only; no per-replicate data in GEO	0.56768	3.62042	0.355209	0.356341	-0.00190836	-1.94831	-0.97511	True
FSTL4	group-mean FPKM only; no per-replicate data in GEO	2.64983	3.42754	0.239864	1.78211	-1.62504	-0.318352	-0.971694	True
AQP3	group-mean FPKM only; no per-replicate data in GEO	5.41528	7.17992	17.4074	52.0077	-1.55197	-0.376645	-0.964309	True
CALML5	group-mean FPKM only; no per-replicate data in GEO	10.9037	9.37686	2.71336	13.5815	-2.13165	0.207378	-0.962134	False
NOXO1	group-mean FPKM only; no per-replicate data in GEO	3.46268	6.61285	1.42924	3.57653	-1.07931	-0.843951	-0.96163	True
HPS1	group-mean FPKM only; no per-replicate data in GEO	10.7801	12.5794	0.441922	2.55435	-1.69719	-0.213517	-0.955351	True
RBM4	group-mean FPKM only; no per-replicate data in GEO	1.17335	3.06599	1.15595	2.42132	-0.818961	-1.09156	-0.955262	True
FUT11	group-mean FPKM only; no per-replicate data in GEO	0.232419	0.665666	0.405513	1.63554	-1.23779	-0.670413	-0.954104	True
IL17REL	group-mean FPKM only; no per-replicate data in GEO	3.82245	3.81322	5.21153	20.9141	-1.90661	0.00308397	-0.951764	False
MICALCL	group-mean FPKM only; no per-replicate data in GEO	1.32633	4.67083	0.849782	1.27756	-0.397172	-1.50145	-0.94931	True
LRFN5	group-mean FPKM only; no per-replicate data in GEO	0.642161	1.79818	14.5398	27.2897	-0.885765	-1.00873	-0.947245	True
NXNL2	group-mean FPKM only; no per-replicate data in GEO	1.12672	1.3503	0.507713	2.79037	-1.70717	-0.185793	-0.946479	True
CLPSL1	group-mean FPKM only; no per-replicate data in GEO	2.01108	5.05006	1.79511	3.35521	-0.748246	-1.1442	-0.946221	True
FAM129A	group-mean FPKM only; no per-replicate data in GEO	1.09119	3.2285	0.22522	0.645776	-0.659834	-1.22849	-0.944162	True
CYP4B1	group-mean FPKM only; no per-replicate data in GEO	1.10244	8.70159	5.1418	3.11728	0.64125	-2.52161	-0.940181	False
INHBB	group-mean FPKM only; no per-replicate data in GEO	13.3642	23.3045	15.6747	34.0291	-1.09407	-0.77987	-0.936972	True
LOC154761	group-mean FPKM only; no per-replicate data in GEO	4.5959	14.8138	10.6106	13.0133	-0.282443	-1.58742	-0.934933	True
ANXA3	group-mean FPKM only; no per-replicate data in GEO	2.70395	9.37023	22.6682	26.9354	-0.243893	-1.62323	-0.933562	True
RGS5	group-mean FPKM only; no per-replicate data in GEO	1.35086	3.41967	3.42726	6.25581	-0.782606	-1.08254	-0.932571	True
TUSC1	group-mean FPKM only; no per-replicate data in GEO	3.2087	5.22777	3.26469	8.35891	-1.2346	-0.62706	-0.930829	True
LOC401320	group-mean FPKM only; no per-replicate data in GEO	2.12236	4.16732	4.30893	9.31316	-1.029	-0.831729	-0.930365	True
TSPAN1	group-mean FPKM only; no per-replicate data in GEO	4.56886	16.1521	37.5639	41.4257	-0.139411	-1.71597	-0.927691	True
OTOGL	group-mean FPKM only; no per-replicate data in GEO	0.478758	2.22784	2.9736	4.00884	-0.376325	-1.47873	-0.92753	True
C3orf52	group-mean FPKM only; no per-replicate data in GEO	3.79908	9.64888	4.20742	6.70734	-0.61453	-1.23922	-0.926875	True
ARHGDIB	group-mean FPKM only; no per-replicate data in GEO	0.336831	2.14221	2.94132	3.43688	-0.194091	-1.65874	-0.926414	True
GABRA1	group-mean FPKM only; no per-replicate data in GEO	0.00727255	0.177385	10.0134	27.8171	-1.42944	-0.417215	-0.92333	True
TM4SF18	group-mean FPKM only; no per-replicate data in GEO	1.76358	3.85748	0.343392	1.06951	-0.896039	-0.944888	-0.920463	True
RNF224	group-mean FPKM only; no per-replicate data in GEO	0.427016	2.12204	1.25485	1.72257	-0.340881	-1.50002	-0.920452	True
MCTS2P	group-mean FPKM only; no per-replicate data in GEO	15.729	16.8779	0.922301	4.24967	-1.7396	-0.0986796	-0.91914	True
BCO1	group-mean FPKM only; no per-replicate data in GEO	0.776248	1.63951	0.617876	1.88231	-1.0916	-0.745372	-0.918486	True
PAQR5	group-mean FPKM only; no per-replicate data in GEO	1.31001	3.26294	0.948942	1.97681	-0.773483	-1.05586	-0.914673	True
NAALADL2	group-mean FPKM only; no per-replicate data in GEO	4.66192	9.40907	5.93735	11.3675	-0.882477	-0.940842	-0.91166	True
PAX8	group-mean FPKM only; no per-replicate data in GEO	0.869354	2.4317	0.770671	1.6002	-0.724936	-1.09824	-0.911589	True
EMX1	group-mean FPKM only; no per-replicate data in GEO	0.489328	3.21463	1.4957	1.38018	0.0860241	-1.9087	-0.911337	False
IFI6	group-mean FPKM only; no per-replicate data in GEO	23.3648	32.5125	30.5673	78.8604	-1.35302	-0.468128	-0.910575	True
PTGER4	group-mean FPKM only; no per-replicate data in GEO	4.64659	5.96998	4.38409	13.1517	-1.48292	-0.330144	-0.906532	True
PMP22	group-mean FPKM only; no per-replicate data in GEO	19.5823	47.299	60.0468	88.1527	-0.550114	-1.25106	-0.900585	True
ISG15	group-mean FPKM only; no per-replicate data in GEO	43.1148	40.0522	13.1474	50.6308	-1.90557	0.105038	-0.900264	False
PLXNA4	group-mean FPKM only; no per-replicate data in GEO	4.76232	24.6202	4.02511	2.791	0.459427	-2.25508	-0.897825	False
SLC26A2	group-mean FPKM only; no per-replicate data in GEO	16.1178	23.3884	4.99632	12.7455	-1.26896	-0.523581	-0.896273	True
IFI35	group-mean FPKM only; no per-replicate data in GEO	0.507106	0.462029	0.424033	2.8439	-1.85552	0.0660632	-0.894726	False
CLDN4	group-mean FPKM only; no per-replicate data in GEO	50.8495	85.8545	20.4365	42.5059	-1.03851	-0.749921	-0.894218	True
ZNF812	group-mean FPKM only; no per-replicate data in GEO	0.0164134	0	0.712146	3.78919	-1.82314	0.0465983	-0.888272	False
PKP1	group-mean FPKM only; no per-replicate data in GEO	10.9386	9.78009	0.982728	5.11606	-1.9213	0.154058	-0.883623	False
KYNU	group-mean FPKM only; no per-replicate data in GEO	105.275	290.775	120.021	147.529	-0.296595	-1.46138	-0.878989	True
LFNG	group-mean FPKM only; no per-replicate data in GEO	5.0222	6.03897	2.57844	8.27993	-1.51201	-0.24382	-0.877915	True
TMEM120A	group-mean FPKM only; no per-replicate data in GEO	12.7486	14.8953	3.92912	12.2566	-1.52615	-0.21665	-0.871401	True
