contrast	set_name	n_genes_measured	median_stat_in_set	median_stat_background	mannwhitney_p	auc	q_BH	inference_unit
Cldn4KO_VILIhigh_vs_WT_VILI	CHEMOKINE_T_RECRUITMENT	11	1.94132	0	1.4803e-06	0.917012	2.36849e-05	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	EMT_CORE	20	0.139719	0	0.0534433	0.624103	0.0777358	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	EPITHELIAL_IDENTITY	16	0.312735	0	0.00175721	0.724736	0.00401648	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	NFKB_INFLAMMATORY	19	0.701513	0	3.48081e-06	0.805907	2.78465e-05	genes (NOT biological replicates; n=1 per group)
Cldn4KO_VILIhigh_vs_WT_VILI	TARGET_GENES	6	0.235245	0	0.487521	0.581426	0.557167	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	TIGHT_JUNCTION_CORE	34	-0.004237	0	0.250691	0.556681	0.286504	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	CLAUDIN_FAMILY	20	0.128579	0	0.164047	0.589503	0.218729	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	DESMOSOME_ADHERENS	16	0	0	0.569117	0.540938	0.569117	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	IFN_ALPHA_TYPE1	32	-0.333558	0	1.5818e-06	0.255837	1.26544e-05	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	IFN_GAMMA_TYPE2	31	-0.557208	0	0.000870257	0.327957	0.00464137	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	ANTIGEN_PRESENTATION_MHC1	17	-0.524876	0	0.00166642	0.280685	0.0066657	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	T_CELL_CYTOTOXICITY	24	-0.149081	0	0.116416	0.407812	0.186265	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	T_CELL_INFILTRATION_BROAD	23	-0.108739	0	0.0820306	0.395694	0.164061	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	ICI_CHECKPOINT_GENES	17	0.618646	0	0.179131	0.593714	0.220469	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	TIS_18GENE_AYERS	20	-0.424354	0	0.0683541	0.382772	0.156238	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	IFNG_6GENE_AYERS	6	-0.880615	0	0.097952	0.305737	0.174137	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	CHEMOKINE_T_RECRUITMENT	11	0.315805	0	0.378263	0.576399	0.403481	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	EMT_CORE	20	0.195211	0	0.155379	0.591381	0.218729	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	EPITHELIAL_IDENTITY	16	0.311898	0	0.00242583	0.718037	0.00776265	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	NFKB_INFLAMMATORY	19	1.02283	0	1.19009e-07	0.849395	1.90415e-06	genes (NOT biological replicates; n=1 per group)
WT_VILI_vs_WT_naive	TARGET_GENES	6	0.619358	0	0.015353	0.784543	0.0409412	genes (NOT biological replicates; n=1 per group)
