contrast	set_name	n_genes_measured	inference_unit	median_log2FC_in_set	median_log2FC_background	competitive_mannwhitney_p	selfcontained_wilcoxon_p	frac_genes_up	competitive_q_BH	selfcontained_q_BH
MCF7_CLDN4KO_vs_WT	ANTIGEN_PRESENTATION_MHC1	7	genes (NOT biological replicates)	-0.0477293	0.0246959	0.741023	0.8125	0.285714	0.815125	0.89375
MCF7_CLDN4KO_vs_WT	T_CELL_CYTOTOXICITY	2	genes (NOT biological replicates)							
MCF7_CLDN4KO_vs_WT	T_CELL_INFILTRATION_BROAD	2	genes (NOT biological replicates)							
MCF7_CLDN4KO_vs_WT	ICI_CHECKPOINT_GENES	2	genes (NOT biological replicates)							
MCF7_CLDN4KO_vs_WT	TIS_18GENE_AYERS	5	genes (NOT biological replicates)	-0.0531648	0.0246826	0.916644	1	0.4	0.916644	1
MCF7_CLDN4KO_vs_WT	IFNG_6GENE_AYERS	1	genes (NOT biological replicates)							
MCF7_CLDN4KO_vs_WT	CHEMOKINE_T_RECRUITMENT	1	genes (NOT biological replicates)							
MCF7_CLDN4KO_vs_WT	EMT_CORE	11	genes (NOT biological replicates)	-0.243797	0.0246959	0.109411	0.206055	0.363636	0.223864	0.397013
MCF7_CLDN4KO_vs_WT	EPITHELIAL_IDENTITY	14	genes (NOT biological replicates)	-0.0570836	0.0246813	0.142459	0.216553	0.5	0.223864	0.397013
MCF7_CLDN4KO_vs_WT	NFKB_INFLAMMATORY	8	genes (NOT biological replicates)	-0.223516	0.024736	0.0378121	0.195312	0.125	0.138645	0.397013
MCF7_CLDN4KO_vs_WT	TARGET_GENES	5	genes (NOT biological replicates)	0.0558718	0.0246546	0.25983	0.8125	0.6	0.357267	0.89375
mean_of_both_lines	TIGHT_JUNCTION_CORE	19	genes (NOT biological replicates)	-0.141649	0.0109659	0.0038905	0.0204124	0.210526	0.0213977	0.171875
mean_of_both_lines	CLAUDIN_FAMILY	7	genes (NOT biological replicates)	-0.554113	0.0108158	0.00163011	0.046875	0.142857	0.0179312	0.171875
mean_of_both_lines	DESMOSOME_ADHERENS	12	genes (NOT biological replicates)	0.031657	0.0107858	0.502746	0.62207	0.5	0.691275	0.6875
mean_of_both_lines	IFN_ALPHA_TYPE1	22	genes (NOT biological replicates)	-0.213482	0.0108231	0.00713534	0.0390735	0.363636	0.0261629	0.171875
mean_of_both_lines	IFN_GAMMA_TYPE2	11	genes (NOT biological replicates)	-0.0382149	0.0107933	0.195105	0.320312	0.454545	0.306594	0.503348
mean_of_both_lines	ANTIGEN_PRESENTATION_MHC1	7	genes (NOT biological replicates)	0.0554949	0.0107798	0.992003	0.9375	0.571429	0.992003	0.9375
mean_of_both_lines	T_CELL_CYTOTOXICITY	2	genes (NOT biological replicates)							
mean_of_both_lines	T_CELL_INFILTRATION_BROAD	2	genes (NOT biological replicates)							
mean_of_both_lines	ICI_CHECKPOINT_GENES	2	genes (NOT biological replicates)							
mean_of_both_lines	TIS_18GENE_AYERS	5	genes (NOT biological replicates)	0.0273182	0.0107631	0.634858	0.625	0.8	0.698344	0.6875
mean_of_both_lines	IFNG_6GENE_AYERS	1	genes (NOT biological replicates)							
mean_of_both_lines	CHEMOKINE_T_RECRUITMENT	1	genes (NOT biological replicates)							
mean_of_both_lines	EMT_CORE	11	genes (NOT biological replicates)	-0.0537751	0.0108046	0.625961	0.577148	0.363636	0.698344	0.6875
mean_of_both_lines	EPITHELIAL_IDENTITY	14	genes (NOT biological replicates)	-0.0894897	0.0108231	0.0890656	0.135254	0.285714	0.171405	0.371948
mean_of_both_lines	NFKB_INFLAMMATORY	8	genes (NOT biological replicates)	-0.112196	0.0108084	0.0934935	0.25	0.25	0.171405	0.458333
mean_of_both_lines	TARGET_GENES	5	genes (NOT biological replicates)	-0.308583	0.0108046	0.0497435	0.1875	0.2	0.136795	0.4125
