gene	contrast	mean_log2ratio_KD_over_control	n_arrays_with_value	t_stat_vs_zero	p_onesample_t	q_onesample_BH	n_biological_replicates	caveat	log2ratio_GSM558700	log2ratio_GSM558701	log2ratio_GSM558702
XRCC1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.6868	3	33.1811	0.000907043	0.776409	3	reference arm is CLDN4-overexpressing, not parental	0.6871	0.6508	0.7225
SPANXE	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.646	3	33.1737	0.000907444	0.776409	3	reference arm is CLDN4-overexpressing, not parental	1.5509	1.7181	1.669
C2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.15367	3	-31.7768	0.00098886	0.793189	3	reference arm is CLDN4-overexpressing, not parental	-1.2262	-1.1203	-1.1145
HMG1L10	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.507933	3	-28.1632	0.00125839	0.950012	3	reference arm is CLDN4-overexpressing, not parental	-0.5353	-0.5146	-0.4739
ZNF10	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.80935	3	26.1057	0.00146412	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.85965	0.8156	0.7528
FLJ20516	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.14697	3	25.2017	0.00157079	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.0566	1.1827	1.2016
TESTI2001959	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.8257	3	24.9365	0.00160429	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.8319	0.7655	0.8797
PPP3CA	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.36588	3	22.5631	0.00195852	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.42235	1.2449	1.4304
EIF2B1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.4291	3	19.7133	0.00256335	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.433	0.3896	0.4647
CD207	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.5499	3	-19.7097	0.00256429	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5778	-0.4941	-0.5778
FOXE1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.1132	3	19.6014	0.0025926	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.2265	1.0635	1.0496
FNBP4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.863933	3	-18.9992	0.00275884	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.9434	-0.8625	-0.7859
RARA	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.44657	3	18.9952	0.00276002	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.52925	1.29445	1.516
RPIB9	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.908878	3	18.9168	0.00278284	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.8798	1.00273	0.8441
COL3A1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.26987	3	18.8074	0.00281516	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.251	1.1635	1.3951
CSAD	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.11563	3	-18.4193	0.00293454	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.19645	-2.26145	-1.889
NOS2B	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.48747	3	-17.7276	0.00316688	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.2515	-2.737	-2.4739
IRAK4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.7242	3	17.3748	0.00329616	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.8074	0.6871	0.6781
XG	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.04897	3	-17.0885	0.00340696	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.2515	-2.0589	-1.8365
C8orf2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.9162	3	-16.7326	0.00355268	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.0589	-1.6897	-2
C22orf5	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.3508	3	-16.3706	0.00371064	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.2515	-1.2863	-1.5146
SLC1A7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.564289	3	-16.2558	0.00376293	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4993	-0.617933	-0.575633
MGC4734	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.47708	3	-16.1922	0.00379238	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.6258	-1.3112	-1.49425
SLC9A2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.13197	3	-16.1553	0.00380961	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2	-2.3959	-2
DNAJB4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.8407	3	15.9084	0.00392809	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.7398	0.8639	0.9184
C21orf13	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.46673	3	-15.5459	0.0041123	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.6439	-1.4344	-1.3219
LZTS1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.512433	3	-15.4568	0.00415952	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.449233	-0.5614	-0.526667
STAU2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.3437	3	-13.9377	0.00510832	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.19247	-1.5229	-1.31573
SYNAPSIN II	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.03393	3	-13.8125	0.00520065	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.9434	-1.8365	-2.3219
MAOA	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.0601	3	13.5965	0.00536589	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.07165	1.189	0.91965
GAS	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.42953	3	-13.4038	0.00551998	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.2176	-1.5564	-1.5146
KITLG	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.476167	3	13.1928	0.00569644	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.5467	0.4276	0.4542
ATXN2L	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.01814	3	13.1349	0.00574635	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.00063	0.8935	1.1603
MGC8974	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.08565	3	-13.0027	0.00586278	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.85985	-2.0012	-2.3959
KBTBD3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.5671	3	-12.7822	0.00606488	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.6897	-1.3219	-1.6897
AGTR1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.871683	3	-12.7095	0.00613384	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.8462	-0.7677	-1.00115
NDUFA2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.31443	3	12.5499	0.00628938	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.1177	1.4751	1.3505
LANCL2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.901533	3	-12.5137	0.0063255	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1	-0.9434	-0.7612
CLDN3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.8925	3	-12.432	0.00640804	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7859	-0.8625	-1.0291
RAB7L1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.873667	3	12.4161	0.00642435	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.9782	0.7398	0.903
PIGF	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.156117	3	12.3339	0.00650945	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.17715	0.1578	0.1334
KIAA1430	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.20183	3	-12.3334	0.00650991	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.0893	-1.3959	-1.1203
GRSF1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.340633	3	-12.3007	0.00654427	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3585	-0.3771	-0.2863
FLJ37673	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-3.23427	3	-12.1845	0.00666842	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.737	-3.6439	-3.3219
KIAA0363	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.67227	3	-11.9165	0.00696853	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.4739	-1.5995	-1.9434
RPS27	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.03182	3	11.839	0.00705919	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.85785	1.10935	1.12825
TCF7L2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.885683	3	11.755	0.00715932	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.89295	0.7517	1.0124
SPATA5L1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.29047	3	11.7088	0.00721528	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.3896	1.0704	1.4114
RUFY2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.95917	3	11.534	0.00743324	0.999418	3	reference arm is CLDN4-overexpressing, not parental	3.2296	3.2016	2.4463
C6orf198	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.902133	3	-11.4588	0.00752996	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.0589	-0.811	-0.8365
PWWP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.27173	3	-11.4301	0.00756743	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.3219	-1.4344	-1.0589
FLJ23259	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.28958	3	-10.6739	0.00866329	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.90295	-2.6439	-2.3219
HNRPU	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.109967	3	-10.6419	0.0087147	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1203	-0.1203	-0.0893
SVIL	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.37015	3	-10.5529	0.00886036	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.31735	-0.35655	-0.43655
GP9	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.8238	3	-10.4238	0.00907834	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.1203	-1.8365	-1.5146
BCL6	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.785228	3	10.4217	0.00908183	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.92085	0.660533	0.7743
C21orf6	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.33923	3	10.4182	0.00908793	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.384	1.0976	1.5361
MYO15A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.436933	3	-10.1673	0.00953541	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.517667	-0.4221	-0.371033
LYNX1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.5022	3	-10.1395	0.00958701	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.2863	-1.7859	-1.4344
MRPS21	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.648917	3	-10.1078	0.00964653	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.67925	-0.7418	-0.5257
TIA1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.10517	3	10.1051	0.00965158	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.8875	1.2327	1.1953
HP8 PEPTIDE	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.98207	3	10.0547	0.00974712	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.3561	1.6871	1.903
PREP	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.594567	3	-10.0321	0.00979051	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7131	-0.5353	-0.5353
ABHD9	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.61723	3	-9.89246	0.0100646	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.9434	-1.4344	-1.4739
SEMA4A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.4629	3	-9.87509	0.0100995	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.1844	-1.5146	-1.6897
SPRY3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.78715	3	9.87032	0.0101091	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.943	0.7386	0.67985
FLJ30679	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.60347	3	-9.79398	0.0102649	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.5995	-1.3219	-1.889
SH3BP5	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.408467	3	9.78029	0.0102932	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.39355	0.34475	0.4871
C10orf3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.735833	3	9.71679	0.0104261	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.7049	0.6229	0.8797
LRRK1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.41199	3	-9.70592	0.0104491	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.4912	-1.12993	-1.61485
ENTH	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.31067	3	-9.68072	0.0105027	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.2863	-1.5564	-1.0893
KRAS2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.693739	3	-9.62225	0.0106287	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.700433	-0.56565	-0.815133
SNAP23	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.892433	3	9.60241	0.0106719	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.8715	1.06285	0.74295
CDC16	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.05317	3	-9.49768	0.0109047	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.997667	-0.894967	-1.26687
CTSC	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.644711	3	9.48681	0.0109293	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.510333	0.694233	0.729567
RAPGEF6	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.930989	3	-9.47639	0.010953	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.734867	-1.0187	-1.0394
AKR1C3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.824033	3	9.46416	0.0109809	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.8953	0.926	0.6508
EXOSC6	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.317267	3	9.46402	0.0109812	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.263	0.3103	0.3785
SERTAD3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.643017	3	9.41456	0.0110949	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.7655	0.63415	0.5294
MGC20983	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.12518	3	9.392	0.0111474	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.9184	1.12375	1.3334
FIP1L1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.1803	3	9.3037	0.0113564	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.41543	0.980167	1.1453
COX7C	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.510533	3	9.23142	0.0115319	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.5753	0.5558	0.4005
EMID2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.751217	3	-9.22535	0.0115468	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7612	-0.60545	-0.887
HMOX1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.21833	3	-9.18685	0.0116421	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.152	-1.4739	-1.0291
RNF17	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.17677	3	9.18193	0.0116543	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.4311	1.022	1.0772
FBXO4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.710556	3	9.17735	0.0116658	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.852067	0.58535	0.69425
RPL37	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.530767	3	-9.11636	0.0118196	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5778	-0.415	-0.5995
CPVL	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.68273	3	-9.08516	0.0118995	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2	-1.3585	-1.6897
KCNQ1OT1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.20492	3	-9.05851	0.0119684	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.38567	-1.2836	-0.9455
SIAT8B	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.17977	3	-9.0528	0.0119832	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.0589	-2.6439	-1.8365
MGC13170	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.4345	3	8.99905	0.0121242	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.9373	2.4983	2.8679
VIM	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.528967	3	-8.97459	0.0121891	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5187	-0.6358	-0.4324
KCNH1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.8167	3	-8.88593	0.0124291	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1	-0.7131	-0.737
SLC5A11	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.9356	3	8.75615	0.0127931	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.774	0.8953	1.1375
DPYSL3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.42663	3	-8.74597	0.0128224	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.1844	-1.737	-1.3585
TPST2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.7988	3	-8.72734	0.0128761	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.98065	-0.72605	-0.6897
SLC30A4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.8957	3	8.69315	0.0129756	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.0704	0.7137	0.903
YME1L1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.887167	3	-8.69056	0.0129832	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7612	-1.0893	-0.811
ZCSL2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	4.0788	3	8.60029	0.0132518	0.999418	3	reference arm is CLDN4-overexpressing, not parental	4.5229	3.1309	4.5826
FLJ22649	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.718033	3	-8.57979	0.0133139	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5564	-0.7612	-0.8365
KAIA2250	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.617633	3	-8.57332	0.0133336	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7612	-0.5353	-0.5564
AKAP7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.931356	3	8.49811	0.0135659	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.1309	0.910133	0.753033
TESTI2026291	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.3437	3	8.49124	0.0135874	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.263	0.3785	0.3896
ZNF324	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.24842	3	-8.49102	0.0135881	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.9547	-1.4075	-1.38305
LOC51123	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.506217	3	-8.46419	0.0136726	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3957	-0.6011	-0.52185
CFTR	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.2125	3	-8.46404	0.0136731	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.4739	-1.6897	-2.4739
POLA2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.670967	3	-8.42736	0.0137899	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5353	-0.6666	-0.811
STX1A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.23427	3	-8.41719	0.0138225	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.3219	-1.737	-2.6439
EIF2S3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.26793	3	-8.3437	0.014062	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.4739	-0.9714	-1.3585
PNN	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.19613	3	8.32583	0.0141211	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.3103	1.3674	0.9107
MAG	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.31882	3	-8.26341	0.0143307	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.00435	-1.42865	-1.52345
KLHL7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.237258	3	8.24454	0.0143949	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.179725	0.26465	0.2674
MLC1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.2971	3	-8.15557	0.0147038	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3649	-0.2401	-0.2863
ARPC2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.965167	3	-8.14121	0.0147546	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.201	-0.8685	-0.826
GATA2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	2.10355	3	8.06773	0.0150185	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.6478	2.11195	2.5509
TFAP2A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.43045	3	-8.02756	0.0151658	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3308	-0.44595	-0.5146
MOSPD1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.12407	3	8.01662	0.0152063	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.8639	1.1635	1.3448
FLJ20184	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.92057	3	-8.00197	0.0152607	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.6439	-3.6439	-2.4739
C10orf117	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.633367	3	-7.94356	0.0154808	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4739	-0.7131	-0.7131
ProSAPiP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.13177	3	-7.90344	0.0156347	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.3219	-2.4739	-1.5995
C20orf29	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.12137	3	7.8177	0.0159713	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.3334	0.848	1.1827
MPG	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.362167	3	7.81609	0.0159777	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.433	0.275	0.3785
ZNF193	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.776433	3	-7.79467	0.0160635	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5778	-0.889	-0.8625
KIF25	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.4907	3	-7.75148	0.0162387	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.8112	-1.1463	-1.5146
