interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_q1_cohorts	n_q4_cohorts	median_prob_q1	median_prob_q4	delta_median	p	r_rb	sig_p05
LAMB1_CD44	outgoing	LAMININ	ECM-Receptor	LAMB1	CD44	LAMB1	CD44	other	12	6	18	4	4	0.02744157923563332	0.06943329833818723	0.041991719102553914	0.21288515406162467	0.38888888888888884	False
JAG2_NOTCH1	outgoing	NOTCH	Cell-Cell Contact	JAG2	NOTCH1	JAG2	NOTCH1	other	3	4	7	2	2	0.0010384614092268961	0.005660144650962345	0.004621683241735449	0.22857142857142856	0.6666666666666667	False
LAMB2_CD44	outgoing	LAMININ	ECM-Receptor	LAMB2	CD44	LAMB2	CD44	other	15	14	29	4	4	0.050408788813454855	0.1278509472258556	0.07744215841240075	0.23006229802639666	0.2666666666666666	False
TNFSF15_TNFRSF25	outgoing	VEGI	Secreted Signaling	TNFSF15	TNFRSF25	TNFSF15	TNFRSF25	other	4	7	11	3	4	0.00044032129353745457	0.002957726745325144	0.002517405451787689	0.2303030303030303	0.5	False
COL4A4_CD44	outgoing	COLLAGEN	ECM-Receptor	COL4A4	CD44	COL4A4	CD44	other	6	7	13	3	4	0.1125196596123077	0.028506283243030322	-0.08401337636927737	0.23426573426573427	-0.4285714285714286	False
LGALS9_HAVCR2	outgoing	GALECTIN	Secreted Signaling	LGALS9	HAVCR2	LGALS9	HAVCR2	inhibitory	9	5	14	3	3	0.018452953885079303	0.0012319597258875772	-0.017220994159191726	0.23976023976023977	-0.4222222222222223	False
LGALS9_CD45	outgoing	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	15	16	31	4	4	0.16871183685338148	0.442577833369587	0.2738659965162055	0.24357810494667897	0.25	False
SPP1_ITGA4_ITGB1	outgoing	SPP1	Secreted Signaling	SPP1	ITGA4_ITGB1	SPP1	ITGA4|ITGB1	other	12	6	18	4	3	0.18966410094365738	0.05176259300102967	-0.1379015079426277	0.24962292609351436	-0.36111111111111116	False
COL6A1_ITGA1_ITGB1	outgoing	COLLAGEN	ECM-Receptor	COL6A1	ITGA1_ITGB1	COL6A1	ITGB1|ITGA1	other	5	3	8	4	2	0.09105060244206266	0.020058695390812384	-0.07099190705125027	0.25	-0.6	False
COL1A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL1A1	CD44	COL1A1	CD44	other	15	19	34	4	4	0.15399053807698834	0.28718699478578	0.13319645670879168	0.2670417925498	0.22807017543859653	False
CXCL16_CXCR6	outgoing	CXCL	Secreted Signaling	CXCL16	CXCR6	CXCL16	CXCR6	recruit	11	10	21	4	3	0.0840602997827395	0.04188773449074364	-0.04217256529199586	0.2750629920777592	-0.2909090909090909	False
HLA-DMB_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMB	CD4	HLA-DMB	CD4	other	9	8	17	3	4	0.003402595254048112	0.022783717606835275	0.01938112235278716	0.2765939942410531	0.33333333333333326	False
LAMB3_CD44	outgoing	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	other	21	19	40	4	4	0.2695220979731877	0.41174125475585316	0.14221915678266545	0.27864928088769314	0.20300751879699241	False
SELL_PODXL	incoming	SELL	Cell-Cell Contact	SELL	PODXL	SELL	PODXL	other	3	8	11	3	3	0.0022801653640525414	0.017205022968376615	0.014924857604324073	0.2787878787878788	0.5	False
LPAR3_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	LPAR3	ADGRE5	LPAR3	ADGRE5	other	5	4	9	3	3	0.03968120443544409	0.014781310871944767	-0.024899893563499323	0.2857142857142857	-0.5	False
LGALS9_CD45	incoming	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	5	4	9	3	4	0.007779523103435913	0.0006750281998952198	-0.007104494903540693	0.2857142857142857	-0.5	False
CD6_ALCAM	incoming	CD6	Cell-Cell Contact	CD6	ALCAM	CD6	ALCAM	other	18	15	33	4	4	0.056195514678439064	0.16047001322018847	0.10427449854174942	0.2861639071174894	0.22222222222222232	False
CD99_CD99L2	incoming	CD99	Cell-Cell Contact	CD99	CD99L2	CD99	CD99L2	other	13	12	25	4	3	0.027795344647192164	0.043424040260039765	0.0156286956128476	0.2888443663464849	0.2564102564102564	False
CDH1_ITGAE_ITGB7	outgoing	CDH1	Cell-Cell Contact	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	14	12	26	3	3	0.06698560710435113	0.0846588179064265	0.017673210802075373	0.29169697358948865	0.25	False
THBS3_CD47	outgoing	THBS	ECM-Receptor	THBS3	CD47	THBS3	CD47	other	6	9	15	2	3	0.009075734873510216	0.02241369094953753	0.013337956076027313	0.3276723276723276	0.33333333333333326	False
COL4A2_CD44	outgoing	COLLAGEN	ECM-Receptor	COL4A2	CD44	COL4A2	CD44	other	6	4	10	4	3	0.02960209157355992	0.012679516372969907	-0.016922575200590012	0.35238095238095235	-0.41666666666666663	False
HLA-DMA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMA	CD4	HLA-DMA	CD4	other	11	9	20	3	4	0.0051045141367549235	0.06990164636580973	0.06479713222905481	0.3619347669211923	0.2525252525252526	False
IGFBP3_TMEM219	outgoing	IGFBP	Secreted Signaling	IGFBP3	TMEM219	IGFBP3	TMEM219	other	17	15	32	4	4	0.08277874627647225	0.06181849997053996	-0.02096024630593229	0.36477396646958693	-0.19215686274509802	False
LAMB3_ITGA1_ITGB1	outgoing	LAMININ	ECM-Receptor	LAMB3	ITGA1_ITGB1	LAMB3	ITGB1|ITGA1	other	8	4	12	4	2	0.21477553681363376	0.1332449823222077	-0.08153055449142607	0.3676767676767677	-0.375	False
PPIA_BSG	outgoing	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	23	21	44	4	4	0.6243318791699861	0.5838018359763801	-0.04053004319360598	0.3846361665965713	-0.15527950310559002	False
LAMB2_ITGA1_ITGB1	outgoing	LAMININ	ECM-Receptor	LAMB2	ITGA1_ITGB1	LAMB2	ITGB1|ITGA1	other	5	3	8	3	2	0.007056867674051033	0.03083333517261576	0.023776467498564727	0.39285714285714285	0.46666666666666656	False
AREG_EGFR	incoming	EGF	Secreted Signaling	AREG	EGFR	AREG	EGFR	other	12	15	27	3	4	0.0314966187444378	0.07885630552619893	0.04735968678176113	0.3931534376740029	0.19999999999999996	False
FN1_CD44	outgoing	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	other	14	15	29	4	4	0.09783570586587667	0.17643905338161264	0.07860334751573597	0.3947417052130072	0.19047619047619047	False
CD96_PVR	incoming	CD96	Cell-Cell Contact	CD96	PVR	CD96	PVR	other	11	14	25	4	4	0.021398488642262806	0.012468557688852447	-0.008929930953410358	0.39613407861584393	-0.20779220779220775	False
APP_CD74	incoming	APP	Cell-Cell Contact	APP	CD74	APP	CD74	other	4	3	7	2	1	0.2277554368067507	0.021427776982054007	-0.2063276598246967	0.4	-0.5	False
MDK_LRP1	incoming	MK	Secreted Signaling	MDK	LRP1	MDK	LRP1	other	3	4	7	2	2	0.01738342476458425	0.002090671409680586	-0.015292753354903665	0.4	-0.5	False
TNFSF14_TNFRSF14	outgoing	LIGHT	Secreted Signaling	TNFSF14	TNFRSF14	TNFSF14	TNFRSF14	other	3	3	6	2	2	0.0072954988870636665	0.004808729935200073	-0.0024867689518635935	0.4	-0.5555555555555556	False
PPIA_BSG	incoming	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	24	23	47	4	4	0.7447590305866294	0.7721288707701992	0.027369840183569805	0.4248397357489112	0.1376811594202898	False
CD96_NECTIN1	incoming	CD96	Cell-Cell Contact	CD96	NECTIN1	CD96	NECTIN1	other	8	12	20	3	3	0.1374381910110731	0.015907281247007903	-0.12153090976406519	0.42686353893784235	-0.22916666666666663	False
HLA-B_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8B	HLA-B	CD8B	other	18	11	29	4	3	0.5297470566344402	0.49658198142262017	-0.03316507521182005	0.4315356726629246	-0.18181818181818177	False
HLA-DQB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQB1	CD4	HLA-DQB1	CD4	other	11	9	20	3	4	0.012718791931967567	0.07658713169255466	0.06386833976058709	0.44741170200931857	0.21212121212121215	False
IFNG_IFNGR1_IFNGR2	incoming	IFN-II	Secreted Signaling	IFNG	IFNGR1_IFNGR2	IFNG	IFNGR1|IFNGR2	attack	15	13	28	4	4	0.059356761208669055	0.08819305176917538	0.02883629056050633	0.4610946780253201	0.1692307692307693	False
LAMA5_ITGA1_ITGB1	outgoing	LAMININ	ECM-Receptor	LAMA5	ITGA1_ITGB1	LAMA5	ITGB1|ITGA1	other	6	4	10	3	2	0.17457591885241575	0.08328295173189816	-0.09129296712051758	0.47619047619047616	-0.33333333333333337	False
COL4A5_CD44	outgoing	COLLAGEN	ECM-Receptor	COL4A5	CD44	COL4A5	CD44	other	4	4	8	2	2	0.02301694955868981	0.1511008190270694	0.12808386946837957	0.4857142857142857	0.375	False
GZMA_F2R	incoming	PARs	Secreted Signaling	GZMA	F2R	GZMA	F2R	other	4	4	8	2	3	0.029494184928213645	0.06715319578053836	0.03765901085232471	0.4857142857142857	0.375	False
FN1_ITGA4_ITGB1	outgoing	FN1	ECM-Receptor	FN1	ITGA4_ITGB1	FN1	ITGA4|ITGB1	other	13	11	24	4	4	0.019960034147072505	0.05983193071676774	0.03987189656969524	0.48690581626049245	0.1748251748251748	False
MIF_CD74_CXCR4	incoming	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	12	6	18	3	2	0.31331869638965637	0.2440288577635319	-0.06928983862612448	0.49364361129067014	-0.2222222222222222	False
HLA-DPA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPA1	CD4	HLA-DPA1	CD4	other	11	9	20	3	4	0.037812792338007196	0.1108699802677039	0.0730571879296967	0.4941245444092638	0.19191919191919182	False
HLA-DPB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPB1	CD4	HLA-DPB1	CD4	other	11	9	20	3	4	0.055150560085069765	0.11121819658417824	0.056067636499108474	0.4941245444092638	0.19191919191919182	False
SIRPG_CD47	incoming	SIRP	Cell-Cell Contact	SIRPG	CD47	SIRPG	CD47	other	15	11	26	4	4	0.17744314986219686	0.1230679487774102	-0.05437520108478666	0.4998669660380769	-0.1636363636363637	False
FN1_ITGA4_ITGB7	outgoing	FN1	ECM-Receptor	FN1	ITGA4_ITGB7	FN1	ITGA4|ITGB7	other	10	8	18	4	3	0.014072217415343456	0.029419129392166517	0.015346911976823061	0.5147858677270442	0.19999999999999996	False
SPP1_CD44	incoming	SPP1	Secreted Signaling	SPP1	CD44	SPP1	CD44	other	7	3	10	3	2	0.4987934399802741	0.14016664207783644	-0.3586267979024377	0.5166666666666666	-0.33333333333333337	False
AREG_EGFR_ERBB2	incoming	EGF	Secreted Signaling	AREG	EGFR_ERBB2	AREG	ERBB2|EGFR	other	12	14	26	3	4	0.02454470318590485	0.0545385903275698	0.02999388714166495	0.5202691166630409	0.15476190476190466	False
COL9A2_CD44	outgoing	COLLAGEN	ECM-Receptor	COL9A2	CD44	COL9A2	CD44	other	10	10	20	4	4	0.04914111710872165	0.07749264575477363	0.028351528646051984	0.5205228832757727	0.17999999999999994	False
PRNP_ADGRG6	incoming	ADGRG	Cell-Cell Contact	PRNP	ADGRG6	PRNP	ADGRG6	other	6	9	15	3	4	0.0013147400588464175	0.006623626971347609	0.0053088869125011914	0.5286713286713286	0.22222222222222232	False
HLA-E_KLRC1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRC1	HLA-E	KLRC1	inhibitory	7	5	12	4	3	0.21926531510681008	0.07624518239301853	-0.14302013271379155	0.5303030303030304	-0.2571428571428571	False
GDF15_TGFBR2	outgoing	GDF	Secreted Signaling	GDF15	TGFBR2	GDF15	TGFBR2	other	7	5	12	3	3	0.02463008794694981	0.1047696870201163	0.08013959907316649	0.5303030303030304	0.2571428571428571	False
TGM2_ADGRG1	outgoing	ADGRG	Cell-Cell Contact	TGM2	ADGRG1	TGM2	ADGRG1	other	7	6	13	3	4	0.06857337945518696	0.0425288231211072	-0.02604455633407976	0.5337995337995338	-0.23809523809523814	False
CD55_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	22	15	37	4	4	0.2125634627118374	0.3275063894552952	0.1149429267434578	0.546361666454563	0.1212121212121211	False
HLA-DRA_CD4	incoming	MHC-II	Cell-Cell Contact	HLA-DRA	CD4	HLA-DRA	CD4	other	5	3	8	2	2	0.019959934027340243	0.18084760056477056	0.1608876665374303	0.5714285714285714	0.33333333333333326	False
HLA-DPB1_CD4	incoming	MHC-II	Cell-Cell Contact	HLA-DPB1	CD4	HLA-DPB1	CD4	other	5	3	8	2	2	0.039840485113260896	0.17513105608888307	0.1352905709756222	0.5714285714285714	0.33333333333333326	False
HLA-DPA1_CD4	incoming	MHC-II	Cell-Cell Contact	HLA-DPA1	CD4	HLA-DPA1	CD4	other	5	3	8	2	2	0.0416858641189931	0.14695064974527358	0.10526478562628047	0.5714285714285714	0.33333333333333326	False
CLEC2D_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2D	KLRB1	CLEC2D	KLRB1	other	10	8	18	3	3	0.009717125937393177	0.0059160865251032015	-0.0038010394122899756	0.5726038667215138	-0.17500000000000004	False
NECTIN2_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	14	12	26	3	3	0.0652569940217621	0.13285787640561514	0.06760088238385303	0.5891544654500582	0.13095238095238093	False
LPAR2_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	LPAR2	ADGRE5	LPAR2	ADGRE5	other	12	14	26	3	4	0.010242993133609017	0.019424078876139263	0.009181085742530246	0.5891544654500582	0.13095238095238093	False
CD55_ADGRE5	incoming	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	13	9	22	3	4	0.015934459871586894	0.02495732681290327	0.009022866941316376	0.5931862546017165	0.14529914529914523	False
HLA-DRB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRB1	CD4	HLA-DRB1	CD4	other	11	9	20	3	4	0.0967096652011234	0.13511465883308052	0.038404993631957124	0.5948534237883254	0.1515151515151516	False
THBS1_CD47	outgoing	THBS	ECM-Receptor	THBS1	CD47	THBS1	CD47	other	6	12	18	3	4	0.01739524850092798	0.02177714049077345	0.004381891989845468	0.6164619694031459	0.16666666666666674	False
CRTAM_CADM1	incoming	CADM	Cell-Cell Contact	CRTAM	CADM1	CRTAM	CADM1	other	3	4	7	2	2	0.08890484990315892	0.033259933210115875	-0.05564491669304304	0.6285714285714286	-0.33333333333333337	False
HLA-DQB1_CD4	incoming	MHC-II	Cell-Cell Contact	HLA-DQB1	CD4	HLA-DQB1	CD4	other	4	3	7	2	2	0.0117566994485854	0.05624462374563129	0.04448792429704589	0.6285714285714286	0.33333333333333326	False
HLA-DQA1_CD4	incoming	MHC-II	Cell-Cell Contact	HLA-DQA1	CD4	HLA-DQA1	CD4	other	4	3	7	2	2	0.011463775750218036	0.04935204219021622	0.03788826643999819	0.6285714285714286	0.33333333333333326	False
LAMB1_ITGA1_ITGB1	outgoing	LAMININ	ECM-Receptor	LAMB1	ITGA1_ITGB1	LAMB1	ITGB1|ITGA1	other	4	3	7	3	2	0.028569869172714805	0.006551657812939977	-0.022018211359774827	0.6285714285714286	-0.33333333333333337	False
LAMC2_CD44	outgoing	LAMININ	ECM-Receptor	LAMC2	CD44	LAMC2	CD44	other	20	17	37	4	4	0.09260580751820444	0.1691828467119271	0.07657703919372266	0.636655916867849	0.09411764705882364	False
HLA-A_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8B	HLA-A	CD8B	other	18	11	29	4	3	0.5216615140174607	0.5414597296539989	0.019798215636538163	0.6369696845945058	-0.11111111111111116	False
TNF_TNFRSF1A	incoming	TNF	Secreted Signaling	TNF	TNFRSF1A	TNF	TNFRSF1A	attack	13	11	24	4	4	0.028554913845334123	0.030256490791199596	0.0017015769458654725	0.643011484398551	0.11888111888111896	False
LAMC2_ITGA1_ITGB1	outgoing	LAMININ	ECM-Receptor	LAMC2	ITGA1_ITGB1	LAMC2	ITGB1|ITGA1	other	7	4	11	4	2	0.11027522431247355	0.11382576332309916	0.003550539010625603	0.6484848484848484	0.2142857142857142	False
LGALS9_P4HB	incoming	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	12	7	19	4	4	0.1403378738857167	0.0903077288833183	-0.0500301450023984	0.6503532587123918	-0.1428571428571429	False
ITGAV_ITGB1_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	20	15	35	4	4	0.16471968264111886	0.15753086313516856	-0.007188819505950295	0.6527104405758399	0.09333333333333327	False
SPP1_ITGAV_ITGB1	incoming	SPP1	Secreted Signaling	SPP1	ITGAV_ITGB1	SPP1	ITGAV|ITGB1	other	7	3	10	3	2	0.24782663429766916	0.21672984744547139	-0.031096786852197772	0.6666666666666666	-0.23809523809523814	False
HLA-E_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8B	HLA-E	CD8B	inhibitory	18	11	29	4	3	0.26882697258562605	0.2926397071652417	0.023812734579615635	0.6693842468987063	-0.101010101010101	False
PTN_NCL	outgoing	PTN	Secreted Signaling	PTN	NCL	PTN	NCL	other	7	9	16	2	4	0.39150037458985626	0.2042917853680059	-0.18720858922185035	0.6805944055944056	-0.1428571428571429	False
HLA-DOA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DOA	CD4	HLA-DOA	CD4	other	4	4	8	2	3	0.019909789458499666	0.14071466823029583	0.12080487877179616	0.6857142857142857	-0.25	False
NECTIN3_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN3	TIGIT	NECTIN3	TIGIT	barrier	4	4	8	2	3	0.0230410052133322	0.03365230125450311	0.01061129604117091	0.6857142857142857	0.25	False
TGFB1_TGFBR1_TGFBR2	incoming	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	inhibitory	9	6	15	3	3	0.045059581862281914	0.04238900444893383	-0.0026705774133480853	0.6889110889110889	-0.14814814814814814	False
CD40LG_CD40	incoming	CD40	Cell-Cell Contact	CD40LG	CD40	CD40LG	CD40	other	6	6	12	3	3	0.012537555406706674	0.021316234249595542	0.008778678842888868	0.6991341991341992	0.16666666666666674	False
HLA-DRB5_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRB5	CD4	HLA-DRB5	CD4	other	9	5	14	3	4	0.13025865867857656	0.14933225110160392	0.019073592423027363	0.6993006993006993	0.15555555555555545	False
HLA-G_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-G	CD8A	HLA-G	CD8A	inhibitory	3	3	6	3	3	0.3627690438846429	0.11851661158599595	-0.24425243229864696	0.7	-0.33333333333333337	False
COL9A2_ITGA1_ITGB1	outgoing	COLLAGEN	ECM-Receptor	COL9A2	ITGA1_ITGB1	COL9A2	ITGB1|ITGA1	other	3	3	6	2	2	0.023841976658550392	0.0018702595221398576	-0.021971717136410534	0.7	-0.33333333333333337	False
APP_TNFRSF21	incoming	APP	Cell-Cell Contact	APP	TNFRSF21	APP	TNFRSF21	other	3	3	6	2	1	0.013254453173693463	0.025860453857274004	0.01260600068358054	0.7	0.33333333333333326	False
HLA-C_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8B	HLA-C	CD8B	other	18	11	29	4	3	0.46889501095881103	0.4998360383556128	0.030941027396801768	0.7024268081091429	-0.09090909090909094	False
HLA-DRA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRA	CD4	HLA-DRA	CD4	other	11	9	20	3	4	0.14683062692656473	0.19732338863840226	0.05049276171183753	0.7040429655866594	0.11111111111111116	False
