sample	patient	gene	rho_lib
LUAD-9 R1	Lung9	IDO1	0.03148919768279895
LUAD-9 R1	Lung9	CD274	0.052743521346987135
LUAD-9 R1	Lung9	DDX58	0.03467321768310842
LUAD-9 R1	Lung9	IFIH1	0.03463093901687329
LUAD-9 R1	Lung9	NLRC5	0.015601801108995726
LUAD-9 R2	Lung9	STAT1	0.011604844709503834
LUAD-9 R2	Lung9	IFIT1	0.05350932273867618
LUAD-9 R2	Lung9	IFITM1	0.02435306257301479
LUAD-9 R2	Lung9	IFITM3	0.030931046058474247
LUAD-9 R2	Lung9	MX1	0.022951238490744662
LUAD-9 R2	Lung9	OAS1	0.04854559747174271
LUAD-9 R2	Lung9	OAS2	0.03027176361919363
LUAD-9 R2	Lung9	OAS3	0.024238840198452252
LUAD-9 R2	Lung9	OASL	0.046989029553135865
LUAD-9 R2	Lung9	IFI27	0.021973124820091124
LUAD-9 R2	Lung9	CXCL9	0.05301435551664498
LUAD-9 R2	Lung9	CXCL10	0.036486605255444345
LUAD-9 R2	Lung9	IDO1	0.03770225005452399
LUAD-9 R2	Lung9	CD274	0.049967850440189414
LUAD-9 R2	Lung9	DDX58	0.04400722545138156
LUAD-9 R2	Lung9	IFIH1	0.03471949875314539
LUAD-9 R2	Lung9	NLRC5	0.03451550538173786
LUAD-12	Lung12	STAT1	0.01226228928257306
LUAD-12	Lung12	IFIT1	0.0020874631646972336
LUAD-12	Lung12	IFITM1	0.004543886090244382
LUAD-12	Lung12	IFITM3	-0.010357007641655888
LUAD-12	Lung12	MX1	0.016162362282050303
LUAD-12	Lung12	OAS1	0.013939077479812005
LUAD-12	Lung12	OAS2	0.01189474178131906
LUAD-12	Lung12	OAS3	0.01541136395731115
LUAD-12	Lung12	OASL	0.031045343431444584
LUAD-12	Lung12	IFI27	0.052602400496234096
LUAD-12	Lung12	CXCL9	0.016685629892922695
LUAD-12	Lung12	CXCL10	0.01132965003770254
LUAD-12	Lung12	IDO1	0.003163353129294029
LUAD-12	Lung12	CD274	0.008441795414845351
LUAD-12	Lung12	DDX58	0.017041191408039627
LUAD-12	Lung12	IFIH1	0.026517142420829934
LUAD-12	Lung12	NLRC5	-0.004114130532102901
LUAD-13	Lung13	STAT1	-0.010985635261162507
LUAD-13	Lung13	IFIT1	0.07683668897919924
LUAD-13	Lung13	IFITM1	-0.01249475223468845
LUAD-13	Lung13	IFITM3	-0.018871250225576595
LUAD-13	Lung13	MX1	0.02904208054463315
LUAD-13	Lung13	OAS1	0.059983053130084604
LUAD-13	Lung13	OAS2	0.046434521908573945
LUAD-13	Lung13	OAS3	-0.01796747706496754
LUAD-13	Lung13	OASL	0.07521773688246351
LUAD-13	Lung13	IFI27	-0.007937811995865475
LUAD-13	Lung13	CXCL9	0.03685597473349041
LUAD-13	Lung13	CXCL10	0.023793932953922126
LUAD-13	Lung13	IDO1	0.03529236718552817
LUAD-13	Lung13	CD274	0.02835613838109365
LUAD-13	Lung13	DDX58	0.06210354875343225
LUAD-13	Lung13	IFIH1	0.03276974050454651
LUAD-13	Lung13	NLRC5	0.03724301112171599
