gene	library	present	n	pct_pos	mean_log1p_cp10k
CLDN12	PB isotype	True	2916	0.48010973936899864	0.005516556557267904
CLDN14	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN14	Tumor isotype	True	4261	0.0	0.0
CLDN14	PB anti-LILRB2	True	1449	0.06901311249137336	0.0003025182813871652
CLDN14	PB isotype	True	2916	0.0	0.0
CLDN15	Tumor anti-LILRB2	True	6940	1.340057636887608	0.016847942024469376
CLDN15	Tumor isotype	True	4261	1.2907768129547055	0.014330418780446053
CLDN15	PB anti-LILRB2	True	1449	3.657694962042788	0.03511925786733627
CLDN15	PB isotype	True	2916	2.880658436213992	0.03321976959705353
CLDN16	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN16	Tumor isotype	True	4261	0.02346866932644919	0.0006091934046708047
CLDN16	PB anti-LILRB2	True	1449	0.0	0.0
CLDN16	PB isotype	True	2916	0.034293552812071325	0.0004552483733277768
CLDN17	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN17	Tumor isotype	True	4261	0.0	0.0
CLDN17	PB anti-LILRB2	True	1449	0.0	0.0
CLDN17	PB isotype	True	2916	0.0	0.0
CLDN18	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN18	Tumor isotype	True	4261	0.0	0.0
CLDN18	PB anti-LILRB2	True	1449	0.0	0.0
CLDN18	PB isotype	True	2916	0.0	0.0
CLDN19	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN19	Tumor isotype	True	4261	0.0	0.0
CLDN19	PB anti-LILRB2	True	1449	0.2070393374741201	0.0020917770452797413
CLDN19	PB isotype	True	2916	0.034293552812071325	0.0003559172328095883
CLDN20	Tumor anti-LILRB2	True	6940	0.028818443804034585	0.0006306983414106071
CLDN20	Tumor isotype	True	4261	0.14081201595869514	0.0019764911849051714
CLDN20	PB anti-LILRB2	True	1449	0.06901311249137336	0.0007886483217589557
CLDN20	PB isotype	True	2916	0.102880658436214	0.000964490813203156
CLDN22	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN22	Tumor isotype	True	4261	0.0	0.0
CLDN22	PB anti-LILRB2	True	1449	0.0	0.0
CLDN22	PB isotype	True	2916	0.0	0.0
CLDN23	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN23	Tumor isotype	True	4261	0.11734334663224597	0.0012515572598204017
CLDN23	PB anti-LILRB2	True	1449	0.06901311249137336	0.0010475331218913198
CLDN23	PB isotype	True	2916	0.0	0.0
CLDN24	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN24	Tumor isotype	True	4261	0.0	0.0
CLDN24	PB anti-LILRB2	True	1449	0.0	0.0
CLDN24	PB isotype	True	2916	0.0	0.0
CLDN25	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN25	Tumor isotype	True	4261	0.0	0.0
CLDN25	PB anti-LILRB2	True	1449	0.0	0.0
CLDN25	PB isotype	True	2916	0.0	0.0
CLDN34	Tumor anti-LILRB2	True	6940	0.0	0.0
CLDN34	Tumor isotype	True	4261	0.0	0.0
CLDN34	PB anti-LILRB2	True	1449	0.0	0.0
CLDN34	PB isotype	True	2916	0.0	0.0
