gene	library	lineage	n	pct_pos	mean_log1p_cp10k
LILRA4	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRA4	PB anti-LILRB2	NK	49	0.0	0.0
LILRA4	PB anti-LILRB2	epithelial	5	0.0	0.0
LILRA4	PB isotype	T	2651	0.0	0.0
LILRA4	PB isotype	NK	126	0.0	0.0
LILRA4	PB isotype	B	85	0.0	0.0
LILRA4	PB isotype	other	41	0.0	0.0
LILRA4	PB isotype	myeloid	9	0.0	0.0
LILRA4	PB isotype	pDC	4	0.0	0.0
LILRA5	Tumor anti-LILRB2	T	3911	0.0	0.0
LILRA5	Tumor anti-LILRB2	B	2173	0.0	0.0
LILRA5	Tumor anti-LILRB2	melanoma	153	0.0	0.0
LILRA5	Tumor anti-LILRB2	NK	253	0.0	0.0
LILRA5	Tumor anti-LILRB2	other	385	0.0	0.0
LILRA5	Tumor anti-LILRB2	myeloid	50	2.0	0.01861625723540783
LILRA5	Tumor anti-LILRB2	pDC	8	0.0	0.0
LILRA5	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRA5	Tumor isotype	B	2768	0.0	0.0
LILRA5	Tumor isotype	T	1158	0.0	0.0
LILRA5	Tumor isotype	other	79	0.0	0.0
LILRA5	Tumor isotype	melanoma	157	0.0	0.0
LILRA5	Tumor isotype	myeloid	22	13.636363636363635	0.3373163044452667
LILRA5	Tumor isotype	NK	70	0.0	0.0
LILRA5	Tumor isotype	pDC	5	0.0	0.0
LILRA5	Tumor isotype	epithelial	2	0.0	0.0
LILRA5	PB anti-LILRB2	T	1153	0.0	0.0
LILRA5	PB anti-LILRB2	other	78	2.564102564102564	0.03984883800148964
LILRA5	PB anti-LILRB2	B	48	0.0	0.0
LILRA5	PB anti-LILRB2	myeloid	69	15.942028985507244	0.23448993265628815
LILRA5	PB anti-LILRB2	pDC	42	7.142857142857142	0.09343727678060532
LILRA5	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRA5	PB anti-LILRB2	NK	49	0.0	0.0
LILRA5	PB anti-LILRB2	epithelial	5	0.0	0.0
LILRA5	PB isotype	T	2651	0.0	0.0
LILRA5	PB isotype	NK	126	0.0	0.0
LILRA5	PB isotype	B	85	0.0	0.0
LILRA5	PB isotype	other	41	0.0	0.0
LILRA5	PB isotype	myeloid	9	44.44444444444444	0.8031178712844849
LILRA5	PB isotype	pDC	4	0.0	0.0
LILRA6	Tumor anti-LILRB2	T	3911	0.0	0.0
LILRA6	Tumor anti-LILRB2	B	2173	0.09203865623561897	0.0009905491024255753
LILRA6	Tumor anti-LILRB2	melanoma	153	0.0	0.0
LILRA6	Tumor anti-LILRB2	NK	253	0.0	0.0
LILRA6	Tumor anti-LILRB2	other	385	0.0	0.0
LILRA6	Tumor anti-LILRB2	myeloid	50	2.0	0.04577239975333214
LILRA6	Tumor anti-LILRB2	pDC	8	0.0	0.0
LILRA6	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRA6	Tumor isotype	B	2768	0.0361271676300578	0.000264043192146346
LILRA6	Tumor isotype	T	1158	0.0	0.0
LILRA6	Tumor isotype	other	79	0.0	0.0
LILRA6	Tumor isotype	melanoma	157	0.0	0.0
LILRA6	Tumor isotype	myeloid	22	4.545454545454546	0.03421879559755325
LILRA6	Tumor isotype	NK	70	0.0	0.0
LILRA6	Tumor isotype	pDC	5	0.0	0.0
LILRA6	Tumor isotype	epithelial	2	0.0	0.0
LILRA6	PB anti-LILRB2	T	1153	0.0	0.0
LILRA6	PB anti-LILRB2	other	78	0.0	0.0
LILRA6	PB anti-LILRB2	B	48	0.0	0.0
LILRA6	PB anti-LILRB2	myeloid	69	7.246376811594203	0.08442369103431702
LILRA6	PB anti-LILRB2	pDC	42	0.0	0.0
LILRA6	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRA6	PB anti-LILRB2	NK	49	0.0	0.0
LILRA6	PB anti-LILRB2	epithelial	5	0.0	0.0
LILRA6	PB isotype	T	2651	0.0	0.0
LILRA6	PB isotype	NK	126	0.0	0.0
LILRA6	PB isotype	B	85	0.0	0.0
LILRA6	PB isotype	other	41	0.0	0.0
LILRA6	PB isotype	myeloid	9	11.11111111111111	0.15141820907592773
LILRA6	PB isotype	pDC	4	0.0	0.0
LILRB1	Tumor anti-LILRB2	T	3911	0.051137816415239075	0.0011434942716732621
LILRB1	Tumor anti-LILRB2	B	2173	3.0372756557754257	0.04396964982151985
LILRB1	Tumor anti-LILRB2	melanoma	153	0.6535947712418301	0.006941171828657389
LILRB1	Tumor anti-LILRB2	NK	253	0.0	0.0
LILRB1	Tumor anti-LILRB2	other	385	0.2597402597402597	0.004288366995751858
LILRB1	Tumor anti-LILRB2	myeloid	50	10.0	0.14973628520965576
LILRB1	Tumor anti-LILRB2	pDC	8	0.0	0.0
LILRB1	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRB1	Tumor isotype	B	2768	6.25	0.10492026805877686
LILRB1	Tumor isotype	T	1158	0.3454231433506045	0.005695834290236235
LILRB1	Tumor isotype	other	79	1.2658227848101267	0.010827579535543919
LILRB1	Tumor isotype	melanoma	157	0.0	0.0
LILRB1	Tumor isotype	myeloid	22	22.727272727272727	0.4334791302680969
LILRB1	Tumor isotype	NK	70	1.4285714285714286	0.03770479932427406
LILRB1	Tumor isotype	pDC	5	0.0	0.0
LILRB1	Tumor isotype	epithelial	2	0.0	0.0
LILRB1	PB anti-LILRB2	T	1153	0.08673026886383348	0.0016255140071734786
LILRB1	PB anti-LILRB2	other	78	0.0	0.0
LILRB1	PB anti-LILRB2	B	48	12.5	0.12048402428627014
LILRB1	PB anti-LILRB2	myeloid	69	7.246376811594203	0.05675693228840828
LILRB1	PB anti-LILRB2	pDC	42	0.0	0.0
LILRB1	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRB1	PB anti-LILRB2	NK	49	2.0408163265306123	0.009882879443466663
LILRB1	PB anti-LILRB2	epithelial	5	0.0	0.0
LILRB1	PB isotype	T	2651	0.0	0.0
LILRB1	PB isotype	NK	126	0.7936507936507936	0.012309366837143898
LILRB1	PB isotype	B	85	20.0	0.28474679589271545
LILRB1	PB isotype	other	41	0.0	0.0
LILRB1	PB isotype	myeloid	9	0.0	0.0
LILRB1	PB isotype	pDC	4	0.0	0.0
LILRB2	Tumor anti-LILRB2	T	3911	0.0	0.0
LILRB2	Tumor anti-LILRB2	B	2173	0.13805798435342845	0.002108633052557707
LILRB2	Tumor anti-LILRB2	melanoma	153	0.0	0.0
LILRB2	Tumor anti-LILRB2	NK	253	0.0	0.0
LILRB2	Tumor anti-LILRB2	other	385	0.0	0.0
LILRB2	Tumor anti-LILRB2	myeloid	50	10.0	0.1959189772605896
LILRB2	Tumor anti-LILRB2	pDC	8	0.0	0.0
LILRB2	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRB2	Tumor isotype	B	2768	0.2890173410404624	0.004877111408859491
LILRB2	Tumor isotype	T	1158	0.0	0.0
LILRB2	Tumor isotype	other	79	0.0	0.0
LILRB2	Tumor isotype	melanoma	157	0.0	0.0
LILRB2	Tumor isotype	myeloid	22	22.727272727272727	0.42878371477127075
LILRB2	Tumor isotype	NK	70	0.0	0.0
LILRB2	Tumor isotype	pDC	5	0.0	0.0
LILRB2	Tumor isotype	epithelial	2	0.0	0.0
LILRB2	PB anti-LILRB2	T	1153	0.0	0.0
LILRB2	PB anti-LILRB2	other	78	3.8461538461538463	0.06919318437576294
LILRB2	PB anti-LILRB2	B	48	2.083333333333333	0.014434318989515305
LILRB2	PB anti-LILRB2	myeloid	69	13.043478260869565	0.15962913632392883
LILRB2	PB anti-LILRB2	pDC	42	19.047619047619047	0.24730071425437927
LILRB2	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRB2	PB anti-LILRB2	NK	49	0.0	0.0
LILRB2	PB anti-LILRB2	epithelial	5	20.0	0.49380308389663696
LILRB2	PB isotype	T	2651	0.0	0.0
LILRB2	PB isotype	NK	126	0.0	0.0
LILRB2	PB isotype	B	85	4.705882352941177	0.08860983699560165
LILRB2	PB isotype	other	41	0.0	0.0
LILRB2	PB isotype	myeloid	9	11.11111111111111	0.11773237586021423
LILRB2	PB isotype	pDC	4	0.0	0.0
LILRB3	Tumor anti-LILRB2	T	3911	0.2045512656609563	0.0030943688470870256
LILRB3	Tumor anti-LILRB2	B	2173	0.36815462494247586	0.006790796294808388
LILRB3	Tumor anti-LILRB2	melanoma	153	1.9607843137254901	0.009235764853656292
LILRB3	Tumor anti-LILRB2	NK	253	0.0	0.0
LILRB3	Tumor anti-LILRB2	other	385	0.0	0.0
LILRB3	Tumor anti-LILRB2	myeloid	50	12.0	0.18386928737163544
LILRB3	Tumor anti-LILRB2	pDC	8	12.5	0.26753583550453186
LILRB3	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRB3	Tumor isotype	B	2768	0.2167630057803468	0.001809042994864285
LILRB3	Tumor isotype	T	1158	0.4317789291882556	0.007935792207717896
LILRB3	Tumor isotype	other	79	0.0	0.0
LILRB3	Tumor isotype	melanoma	157	0.0	0.0
LILRB3	Tumor isotype	myeloid	22	4.545454545454546	0.03421879559755325
LILRB3	Tumor isotype	NK	70	1.4285714285714286	0.028169957920908928
LILRB3	Tumor isotype	pDC	5	0.0	0.0
LILRB3	Tumor isotype	epithelial	2	0.0	0.0
LILRB3	PB anti-LILRB2	T	1153	1.5611448395490026	0.011790264397859573
LILRB3	PB anti-LILRB2	other	78	3.8461538461538463	0.05646999180316925
LILRB3	PB anti-LILRB2	B	48	0.0	0.0
LILRB3	PB anti-LILRB2	myeloid	69	15.942028985507244	0.2543405592441559
LILRB3	PB anti-LILRB2	pDC	42	4.761904761904762	0.0667618066072464
LILRB3	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRB3	PB anti-LILRB2	NK	49	0.0	0.0
LILRB3	PB anti-LILRB2	epithelial	5	0.0	0.0
LILRB3	PB isotype	T	2651	1.131648434552999	0.013779633678495884
LILRB3	PB isotype	NK	126	0.0	0.0
LILRB3	PB isotype	B	85	1.1764705882352942	0.020556984469294548
LILRB3	PB isotype	other	41	2.4390243902439024	0.030038222670555115
LILRB3	PB isotype	myeloid	9	33.33333333333333	0.6271708607673645
LILRB3	PB isotype	pDC	4	0.0	0.0
LILRB4	Tumor anti-LILRB2	T	3911	0.0767067246228586	0.0006491850945167243
LILRB4	Tumor anti-LILRB2	B	2173	3.727565577542568	0.03749215975403786
LILRB4	Tumor anti-LILRB2	melanoma	153	0.0	0.0
LILRB4	Tumor anti-LILRB2	NK	253	0.3952569169960474	0.0029097232036292553
LILRB4	Tumor anti-LILRB2	other	385	0.5194805194805194	0.004548020660877228
LILRB4	Tumor anti-LILRB2	myeloid	50	14.000000000000002	0.2356862872838974
LILRB4	Tumor anti-LILRB2	pDC	8	0.0	0.0
LILRB4	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRB4	Tumor isotype	B	2768	6.575144508670521	0.06749798357486725
LILRB4	Tumor isotype	T	1158	0.2590673575129534	0.0038939930964261293
LILRB4	Tumor isotype	other	79	1.2658227848101267	0.021763816475868225
LILRB4	Tumor isotype	melanoma	157	0.0	0.0
LILRB4	Tumor isotype	myeloid	22	40.909090909090914	0.7318820357322693
LILRB4	Tumor isotype	NK	70	0.0	0.0
LILRB4	Tumor isotype	pDC	5	0.0	0.0
LILRB4	Tumor isotype	epithelial	2	0.0	0.0
LILRB4	PB anti-LILRB2	T	1153	0.0	0.0
LILRB4	PB anti-LILRB2	other	78	0.0	0.0
LILRB4	PB anti-LILRB2	B	48	16.666666666666664	0.11972197145223618
LILRB4	PB anti-LILRB2	myeloid	69	7.246376811594203	0.07900111377239227
LILRB4	PB anti-LILRB2	pDC	42	2.380952380952381	0.059726566076278687
LILRB4	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRB4	PB anti-LILRB2	NK	49	0.0	0.0
LILRB4	PB anti-LILRB2	epithelial	5	0.0	0.0
LILRB4	PB isotype	T	2651	0.0	0.0
LILRB4	PB isotype	NK	126	0.0	0.0
LILRB4	PB isotype	B	85	5.88235294117647	0.05876975506544113
LILRB4	PB isotype	other	41	4.878048780487805	0.0399332121014595
LILRB4	PB isotype	myeloid	9	0.0	0.0
LILRB4	PB isotype	pDC	4	0.0	0.0
LILRB5	Tumor anti-LILRB2	T	3911	0.0	0.0
LILRB5	Tumor anti-LILRB2	B	2173	0.04601932811780948	0.0006314487545751035
LILRB5	Tumor anti-LILRB2	melanoma	153	0.0	0.0
LILRB5	Tumor anti-LILRB2	NK	253	0.0	0.0
LILRB5	Tumor anti-LILRB2	other	385	0.0	0.0
LILRB5	Tumor anti-LILRB2	myeloid	50	0.0	0.0
LILRB5	Tumor anti-LILRB2	pDC	8	0.0	0.0
LILRB5	Tumor anti-LILRB2	epithelial	7	0.0	0.0
LILRB5	Tumor isotype	B	2768	0.0	0.0
LILRB5	Tumor isotype	T	1158	0.0	0.0
LILRB5	Tumor isotype	other	79	0.0	0.0
LILRB5	Tumor isotype	melanoma	157	0.0	0.0
LILRB5	Tumor isotype	myeloid	22	0.0	0.0
LILRB5	Tumor isotype	NK	70	0.0	0.0
LILRB5	Tumor isotype	pDC	5	0.0	0.0
LILRB5	Tumor isotype	epithelial	2	0.0	0.0
LILRB5	PB anti-LILRB2	T	1153	0.0	0.0
LILRB5	PB anti-LILRB2	other	78	0.0	0.0
LILRB5	PB anti-LILRB2	B	48	0.0	0.0
LILRB5	PB anti-LILRB2	myeloid	69	0.0	0.0
LILRB5	PB anti-LILRB2	pDC	42	0.0	0.0
LILRB5	PB anti-LILRB2	melanoma	5	0.0	0.0
LILRB5	PB anti-LILRB2	NK	49	0.0	0.0
LILRB5	PB anti-LILRB2	epithelial	5	0.0	0.0
LILRB5	PB isotype	T	2651	0.0	0.0
LILRB5	PB isotype	NK	126	0.0	0.0
LILRB5	PB isotype	B	85	0.0	0.0
LILRB5	PB isotype	other	41	0.0	0.0
LILRB5	PB isotype	myeloid	9	0.0	0.0
LILRB5	PB isotype	pDC	4	0.0	0.0
