library	tissue	treatment	ligand	receptor	note	n_cells	n_myeloid	n_TNK	pct_ligand	pct_receptor	pct_product	mean_ligand_log1p_cp10k	mean_receptor_log1p_cp10k	pct_receptor_myeloid	pct_receptor_TNK	mean_receptor_myeloid
Tumor isotype	tumor	isotype	HLA-C	LILRB2	classical MHC-I–LILRB2	4261	22	1228	87.60854259563483	0.30509270124383947	0.26728726912538203	2.2815933227539062	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	HLA-G	LILRB1	nonclassical MHC-I–LILRB1	4261	22	1228	0.5397793945083313	4.318235156066651	0.023308943578862467	0.007353103719651699	0.07276375591754913	22.727272727272727	0.40716612377850164	0.4334791302680969
Tumor isotype	tumor	isotype	HLA-G	LILRB2	nonclassical MHC-I–LILRB2	4261	22	1228	0.5397793945083313	0.30509270124383947	0.001646827535463109	0.007353103719651699	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	HLA-E	LILRB1	HLA-E–LILRB1	4261	22	1228	68.71626378784323	4.318235156066651	2.9673298608221437	1.4755220413208008	0.07276375591754913	22.727272727272727	0.40716612377850164	0.4334791302680969
Tumor isotype	tumor	isotype	HLA-E	LILRB2	HLA-E–LILRB2	4261	22	1228	68.71626378784323	0.30509270124383947	0.2096483053841732	1.4755220413208008	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	HLA-F	LILRB1	HLA-F–LILRB1	4261	22	1228	11.945552687162637	4.318235156066651	0.5158370557235216	0.2251405119895935	0.07276375591754913	22.727272727272727	0.40716612377850164	0.4334791302680969
Tumor isotype	tumor	isotype	HLA-F	LILRB2	HLA-F–LILRB2	4261	22	1228	11.945552687162637	0.30509270124383947	0.03644500937177054	0.2251405119895935	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	ANGPTL2	LILRB2	known LILRB2 ligand	4261	22	1228	0.14081201595869514	0.30509270124383947	0.0004296071831642893	0.0012334033381193876	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	CD274	PDCD1	PD-L1–PD-1	4261	22	1228	1.009152781037315	3.7315184229054212	0.03765672193966982	0.012095258571207523	0.07975241541862488	0.0	11.237785016286644	0.0
Tumor isotype	tumor	isotype	CD47	SIRPA	don't-eat-me	4261	22	1228	23.210513963858247	1.7132128608307908	0.39764551029374606	0.37883085012435913	0.015153029933571815	13.636363636363635	0.0	0.2640213668346405
Tumor isotype	tumor	isotype	HLA-E	KLRC1	NKG2A	4261	22	1228	68.71626378784323	0.2581553625909411	0.17739471994045425	1.4755220413208008	0.0056153289042413235	0.0	0.8143322475570033	0.0
Tumor isotype	tumor	isotype	LGALS9	HAVCR2	galectin-9–TIM3	4261	22	1228	6.4538840647735265	0.9152781037315184	0.059070987685089775	0.12796235084533691	0.018435370177030563	18.181818181818183	1.9543973941368076	0.3366604447364807
Tumor isotype	tumor	isotype	NECTIN2	TIGIT	nectin–TIGIT	4261	22	1228	0.2581553625909411	5.5855432996949075	0.014419379558001403	0.001959393732249737	0.12462419271469116	0.0	17.263843648208468	0.0
Tumor isotype	tumor	isotype	PVR	TIGIT	PVR–TIGIT	4261	22	1228	0.18774935461159353	5.5855432996949075	0.010486821496728294	0.0014244031626731157	0.12462419271469116	0.0	17.263843648208468	0.0
PB anti-LILRB2	PB	anti-LILRB2	CLDN4	LILRB2	paper CLDN–LILRB2	1449	69	1202	0.0	1.518288474810214	0.0	0.0	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	CLDN4	LILRB5	paper CLDN–LILRB5	1449	69	1202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PB anti-LILRB2	PB	anti-LILRB2	CLDN1	LILRB2	other claudin–LILRB2	1449	69	1202	0.06901311249137336	1.518288474810214	0.0010478181330643298	0.00046372870565392077	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	CLDN3	LILRB2	other claudin–LILRB2	1449	69	1202	0.0	1.518288474810214	0.0	0.0	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	CLDN7	LILRB2	other claudin–LILRB2	1449	69	1202	0.27605244996549344	1.518288474810214	0.004191272532257319	0.001543502788990736	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	CLDN18	LILRB2	paper CLDN18.2–LILRB2	1449	69	1202	0.0	1.518288474810214	0.0	0.0	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	CLDN18	LILRB5	paper CLDN18–LILRB5	1449	69	1202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PB anti-LILRB2	PB	anti-LILRB2	HLA-A	LILRB1	classical MHC-I–LILRB1	1449	69	1202	95.8592132505176	0.8971704623878536	0.8600205467610273	3.0972983837127686	0.008321559056639671	7.246376811594203	0.16638935108153077	0.05675693228840828
PB anti-LILRB2	PB	anti-LILRB2	HLA-B	LILRB1	classical MHC-I–LILRB1	1449	69	1202	99.10282953761215	0.8971704623878536	0.8891213140020413	3.5774736404418945	0.008321559056639671	7.246376811594203	0.16638935108153077	0.05675693228840828
PB anti-LILRB2	PB	anti-LILRB2	HLA-C	LILRB1	classical MHC-I–LILRB1	1449	69	1202	89.57902001380262	0.8971704623878536	0.803676508060341	1.965768814086914	0.008321559056639671	7.246376811594203	0.16638935108153077	0.05675693228840828
PB anti-LILRB2	PB	anti-LILRB2	HLA-A	LILRB2	classical MHC-I–LILRB2	1449	69	1202	95.8592132505176	1.518288474810214	1.455419386826354	3.0972983837127686	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	HLA-B	LILRB2	classical MHC-I–LILRB2	1449	69	1202	99.10282953761215	1.518288474810214	1.5046668390803777	3.5774736404418945	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	HLA-C	LILRB2	classical MHC-I–LILRB2	1449	69	1202	89.57902001380262	1.518288474810214	1.3600679367175001	1.965768814086914	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	HLA-G	LILRB1	nonclassical MHC-I–LILRB1	1449	69	1202	1.0351966873706004	0.8971704623878536	0.009287478906706559	0.010267690755426884	0.008321559056639671	7.246376811594203	0.16638935108153077	0.05675693228840828
PB anti-LILRB2	PB	anti-LILRB2	HLA-G	LILRB2	nonclassical MHC-I–LILRB2	1449	69	1202	1.0351966873706004	1.518288474810214	0.015717271995964947	0.010267690755426884	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	HLA-E	LILRB1	HLA-E–LILRB1	1449	69	1202	95.58316080055211	0.8971704623878536	0.857543885719239	2.6213865280151367	0.008321559056639671	7.246376811594203	0.16638935108153077	0.05675693228840828
PB anti-LILRB2	PB	anti-LILRB2	HLA-E	LILRB2	HLA-E–LILRB2	1449	69	1202	95.58316080055211	1.518288474810214	1.451228114294097	2.6213865280151367	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	HLA-F	LILRB1	HLA-F–LILRB1	1449	69	1202	35.54175293305728	0.8971704623878536	0.31887010913025854	0.41593512892723083	0.008321559056639671	7.246376811594203	0.16638935108153077	0.05675693228840828
PB anti-LILRB2	PB	anti-LILRB2	HLA-F	LILRB2	HLA-F–LILRB2	1449	69	1202	35.54175293305728	1.518288474810214	0.5396263385281298	0.41593512892723083	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	ANGPTL2	LILRB2	known LILRB2 ligand	1449	69	1202	0.0	1.518288474810214	0.0	0.0	0.02067630924284458	13.043478260869565	0.0	0.15962913632392883
PB anti-LILRB2	PB	anti-LILRB2	CD274	PDCD1	PD-L1–PD-1	1449	69	1202	2.4154589371980677	18.08143547273982	0.43674964909999564	0.02136564627289772	0.2068793624639511	0.0	21.048252911813645	0.0
PB anti-LILRB2	PB	anti-LILRB2	CD47	SIRPA	don't-eat-me	1449	69	1202	69.84126984126983	4.3478260869565215	3.0365769496204273	1.0319969654083252	0.0538206547498703	40.57971014492754	0.16638935108153077	0.48833027482032776
PB anti-LILRB2	PB	anti-LILRB2	HLA-E	KLRC1	NKG2A	1449	69	1202	95.58316080055211	2.2774327122153206	2.176842171441145	2.6213865280151367	0.03887399658560753	0.0	2.579034941763727	0.0
PB anti-LILRB2	PB	anti-LILRB2	LGALS9	HAVCR2	galectin-9–TIM3	1449	69	1202	40.02760524499655	4.3478260869565215	1.740330662825937	0.47668567299842834	0.053450506180524826	8.695652173913043	3.9101497504159735	0.060153450816869736
PB anti-LILRB2	PB	anti-LILRB2	NECTIN2	TIGIT	nectin–TIGIT	1449	69	1202	0.759144237405107	13.871635610766045	0.10530572237296515	0.0055445111356675625	0.1893559843301773	0.0	16.55574043261231	0.0
PB anti-LILRB2	PB	anti-LILRB2	PVR	TIGIT	PVR–TIGIT	1449	69	1202	0.6901311249137336	13.871635610766045	0.09573247488451378	0.004965054336935282	0.1893559843301773	0.0	16.55574043261231	0.0
PB isotype	PB	isotype	CLDN4	LILRB2	paper CLDN–LILRB2	2916	9	2777	0.034293552812071325	0.17146776406035666	5.880238822371627e-05	0.00035551399923861027	0.0029463055543601513	11.11111111111111	0.0	0.11773237586021423
